Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
BSS2018_A01_abundance	38.273831863831305	20906634
BSS2018_A02_abundance	41.16470763602122	30126148
BSS2018_B01_abundance	46.14254107988125	26984254
BSS2018_B02_abundance	27.9773755905429	19548689
BSS2018_C01_abundance	44.834867466614995	25326723
BSS2018_C02_abundance	42.218315540023376	34591264
BSS2018_D01_abundance	46.71525226971687	40020361
BSS2018_D02_abundance	45.28414117471806	39300086
BSS2018_E01_abundance	26.921422158147806	19934569
BSS2018_E02_abundance	48.0370482025595	37397846
BSS2018_F01_abundance	27.30980896320873	16824949
BSS2018_F02_abundance	50.41666434662716	37033162
BSS2018_G01_abundance	27.15338497611917	17003706
BSS2018_G02_abundance	51.192121215910234	40040600
BSS2018_H01_abundance	37.75683887086244	21300609
BSS2018_H02_abundance	50.74629073332696	36469547
BSS_A01_abundance	45.83435216588707	19434440
BSS_A02_abundance	48.300605446723246	22854539
BSS_A03_abundance	48.257431890514596	24155840
BSS_A04_abundance	45.95322573344562	19472173
BSS_A05_abundance	22.65365780992775	10249780
BSS_A06_abundance	28.56602562996126	11998752
BSS_A07_abundance	48.439822182489415	19887683
BSS_B01_abundance	32.50624516993599	12999802
BSS_B02_abundance	48.8480436313294	22889610
BSS_B03_abundance	48.7315698569899	23361457
BSS_B04_abundance	47.08573611417968	22694942
BSS_B05_abundance	49.666286451601486	28739643
BSS_B06_abundance	46.78468136858528	30679554
BSS_C01_abundance	48.007731668969875	24247302
BSS_C02_abundance	48.41069345659761	25987279
BSS_C03_abundance	44.687147723085324	22618167
BSS_C04_abundance	48.486588532475736	19954784
BSS_C05_abundance	38.18059266799095	17807496
BSS_C06_abundance	29.878768755157697	17574638
BSS_D01_abundance	47.399892630143626	24581581
BSS_D02_abundance	43.40780347266524	21785893
BSS_D03_abundance	46.609126041157225	26336111
BSS_D04_abundance	50.35220395643925	25120135
BSS_D05_abundance	46.78308565796804	31048239
BSS_D06_abundance	47.34024047199077	22196989
BSS_E01_abundance	49.474479982646486	27316922
BSS_E02_abundance	47.321932297292854	23770303
BSS_E03_abundance	45.28766466607072	21373334
BSS_E04_abundance	47.67485288316875	23277071
BSS_E05_abundance	50.159506153240095	33832461
BSS_E06_abundance	47.22201840881095	24070266
BSS_F01_abundance	35.88795515724075	15545283
BSS_F02_abundance	48.84327330550652	17787797
BSS_F03_abundance	44.95293184077785	17919224
BSS_F04_abundance	48.00848750124309	21825235
BSS_F05_abundance	49.32181188043672	33463312
BSS_F06_abundance	50.71836269167406	22012023
BSS_G01_abundance	44.36735364313789	23556255
BSS_G02_abundance	32.17680829656563	12695259
BSS_G03_abundance	35.56388120721497	15382708
BSS_G04_abundance	47.40682776817866	21689249
BSS_G05_abundance	43.83959577623632	26304814
BSS_G06_abundance	38.91448807200919	20173938
BSS_H01_abundance	48.9679776167147	17997619
BSS_H02_abundance	45.084089104804356	18408192
BSS_H03_abundance	48.38316075050771	17497234
BSS_H04_abundance	46.604400520177464	19016351
BSS_H05_abundance	36.72996619184805	18108396
BSS_H06_abundance	18.881517581234966	8091542
