Sample	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION
BSS2018_A01	9.999999999999999e-05	35.7013	0.554214	
BSS2018_A02	0.0	12.364799999999999	0.554936	
BSS2018_B01	9.999999999999999e-05	30.7377	0.649275	
BSS2018_B02	9.999999999999999e-05	15.6865	0.646049	0.824327
BSS2018_C01	9.999999999999999e-05	35.7152	0.691947	
BSS2018_C02	9.999999999999999e-05	25.8733	0.651233	0.923434
BSS2018_D01	9.999999999999999e-05	27.132	0.604288	0.879826
BSS2018_D02	0.0	32.1248	0.706969	
BSS2018_E01	9.999999999999999e-05	13.872100000000001	0.685974	
BSS2018_E02	9.999999999999999e-05	37.241800000000005	0.776069	
BSS2018_F01	9.999999999999999e-05	16.4604	0.75611	0.469374
BSS2018_F02	9.999999999999999e-05	41.7526	0.735546	0.734121
BSS2018_G01	0.00019999999999999998	15.9775	0.62891	0.69018
BSS2018_G02	0.0	40.1389	0.71606	
BSS2018_H01	0.00019999999999999998	29.8741	0.653496	
BSS2018_H02	9.999999999999999e-05	39.1443	0.684297	
BSS_A01	0.0	38.7531	0.723558	
BSS_A02	9.999999999999999e-05	40.5664	0.758805	0.578292
BSS_A03	0.0	39.3297	0.760945	
BSS_A04	9.999999999999999e-05	37.7086	0.657498	
BSS_A05	9.999999999999999e-05	11.9992	0.72536	
BSS_A06	9.999999999999999e-05	12.564900000000002	0.674399	
BSS_A07	9.999999999999999e-05	38.3738	0.801113	
BSS_B01	9.999999999999999e-05	24.288999999999998	0.631741	
BSS_B02	0.0	40.4575	0.72379	
BSS_B03	0.0	19.2408	0.57586	
BSS_B04	9.999999999999999e-05	42.1591	0.701784	
BSS_B05	9.999999999999999e-05	44.384499999999996	0.746264	
BSS_B06	9.999999999999999e-05	39.7533	0.768006	
BSS_C01	9.999999999999999e-05	41.9205	0.726332	
BSS_C02	0.0	19.011300000000002	0.598689	
BSS_C03	9.999999999999999e-05	37.5229	0.668502	
BSS_C04	0.0	38.5257	0.716958	
BSS_C05	9.999999999999999e-05	29.6399	0.731281	0.542255
BSS_C06	9.999999999999999e-05	18.3299	0.726118	0.532886
BSS_D01	9.999999999999999e-05	43.7532	0.719508	
BSS_D03	9.999999999999999e-05	40.2874	0.66592	0.750906
BSS_D04	0.0	35.2744	0.731899	0.777548
BSS_D05	0.0	37.4377	0.708091	0.791118
BSS_D06	9.999999999999999e-05	41.1515	0.704066	0.652978
BSS_E02	0.0	40.2579	0.725984	0.601329
BSS_E03	0.0	40.781800000000004	0.720375	0.615683
BSS_E04	9.999999999999999e-05	38.5007	0.752858	0.63461
BSS_E05	0.0	40.5119	0.745313	0.655441
BSS_E06	0.0	39.6749	0.730191	0.656294
BSS_F01	0.00019999999999999998	24.3156	0.601209	
BSS_F02	9.999999999999999e-05	37.9536	0.815582	
BSS_F03	9.999999999999999e-05	36.0088	0.735937	
BSS_F04	9.999999999999999e-05	40.2941	0.746705	
BSS_F05	0.0	38.4384	0.73935	
BSS_F06	0.0	40.461200000000005	0.747392	
BSS_G01	9.999999999999999e-05	37.647999999999996	0.730497	
BSS_G02	9.999999999999999e-05	23.3319	0.729777	
BSS_G03	9.999999999999999e-05	26.4667	0.71517	
BSS_G04	9.999999999999999e-05	41.064099999999996	0.725326	
BSS_G05	9.999999999999999e-05	38.5628	0.715504	0.762244
BSS_G06	9.999999999999999e-05	29.843999999999998	0.574423	
BSS_H01	9.999999999999999e-05	43.5917	0.74192	
BSS_H02	9.999999999999999e-05	39.0107	0.726093	
BSS_H03	9.999999999999999e-05	40.7205	0.750179	
BSS_H04	0.0	39.763799999999996	0.726139	
BSS_H05	9.999999999999999e-05	25.371899999999997	0.69899	
BSS_H06	9.999999999999999e-05	8.2857	0.662912	
