Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP	PF_NOT_ALIGNED_BASES
BSS2018_A01	16496397566.0	8573424373.0	11476.0	1374089333.0	1686732532.0	3822062236.0	1690530832.0	0.0	14788556.0	544408.0	9.999999999999999e-05	16.0273	19.674	44.5803	19.7183	35.7013	18.554499999999997	96.4494	0.577802	0.565795	0.798586	0.679442				7922973193.0
BSS2018_A02	22101691518.0	11595901678.0	5738.0	497140614.0	936664534.0	3025953083.0	7136139508.0	0.0	5261190.0	1238531.0	0.0	4.2872	8.0775	26.095000000000002	61.5402	12.364799999999999	6.4873	80.9449	0.774624	0.405166	0.690537	0.582058				10505789840.0
BSS2018_B01	17661022816.0	10895093816.0	6946.0	1655961419.0	1692940257.0	4494466022.0	3051720376.0	0.0	17632117.0	634175.0	9.999999999999999e-05	15.199099999999998	15.538599999999999	41.2522	28.01	30.7377	18.9621	96.5282	0.63434	0.456255	0.82239	0.589007				6765929000.0
BSS2018_B02	21101707910.0	12934942622.0	18120.0	904783955.0	1124258073.0	5992033496.0	4913853526.0	0.0	9462973.0	1870415.0	9.999999999999999e-05	6.9948999999999995	8.6916	46.3244	37.989	15.6865	9.6155	83.49640000000001	0.631261	0.497919	0.79366	0.649146				8166765288.0
BSS2018_C01	17059647498.0	11279891440.0	13892.0	2049487721.0	1979142811.0	4633861742.0	2617388224.0	0.0	20673649.0	889077.0	9.999999999999999e-05	18.1694	17.5458	41.0807	23.204	35.7152	23.615	95.87679999999999	0.526367	0.540706	0.828375	0.668198				5779756058.0
BSS2018_C02	24744146218.0	15261578290.0	9362.0	1848655752.0	2100017654.0	6753507895.0	4559389424.0	0.0	19794108.0	997414.0	9.999999999999999e-05	12.113100000000001	13.760200000000001	44.2517	29.875	25.8733	15.958	95.2028	0.669463	0.445335	0.725575	0.600923				9482567928.0
BSS2018_D01	25871954950.0	14747353855.0	18120.0	1915558391.0	2085696393.0	5089672217.0	5656412248.0	0.0	19797643.0	1071273.0	9.999999999999999e-05	12.9892	14.1429	34.5124	38.3554	27.132	15.465599999999998	94.86670000000001	0.646446	0.467844	0.726124	0.614394				11124601095.0
BSS2018_D02	26209232778.0	17675987097.0	6946.0	2774171758.0	2904202568.0	7870745113.0	4126861720.0	0.0	30023916.0	860006.0	0.0	15.6946	16.4302	44.527899999999995	23.3473	32.1248	21.665499999999998	97.2154	0.602286	0.501072	0.840834	0.594988				8533245681.0
BSS2018_E01	22362265272.0	14654769132.0	17818.0	948816486.0	1084110163.0	6492312334.0	6129515395.0	0.0	9345870.0	2233850.0	9.999999999999999e-05	6.4745	7.3977	44.3017	41.8261	13.872100000000001	9.0909	80.7089	0.604126	0.565988	0.720176	0.747195				7707496140.0
BSS2018_E02	23511331180.0	17617807875.0	10268.0	3334340398.0	3226853401.0	7666332185.0	3390272972.0	0.0	34538960.0	770156.0	9.999999999999999e-05	18.926000000000002	18.3159	43.5147	19.2434	37.241800000000005	27.9065	97.8188	0.478275	0.56622	0.862034	0.658115				5893523305.0
BSS2018_F01	18605529628.0	13560768263.0	13288.0	1002896657.0	1229264998.0	6380632157.0	4947963151.0	0.0	10603222.0	1701214.0	9.999999999999999e-05	7.395599999999999	9.0649	47.0521	36.4873	16.4604	11.9973	86.17399999999999	0.512268	0.546995	0.849011	0.628475				5044761365.0
BSS2018_F02	22183171118.0	15661224733.0	13892.0	3318346715.0	3220619062.0	6082160699.0	3040086832.0	0.0	34629757.0	679710.0	9.999999999999999e-05	21.188299999999998	20.5643	38.8358	19.4116	41.7526	29.4771	98.075	0.496461	0.572366	0.836613	0.668189				6521946385.0
