Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
BSS2018_B02	Unknown Library	0.0	45141519.0	0.0	49463372.0	0.0	37211373.0	968190.0	0.824327	7961137.0
BSS2018_C02	Unknown Library	0.0	53358328.0	0.0	57151862.0	0.0	49272894.0	1222189.0	0.923434	4085445.0
BSS2018_D01	Unknown Library	0.0	51768581.0	0.0	67800288.0	0.0	45547330.0	885579.0	0.879826	6223000.0
BSS2018_F01	Unknown Library	0.0	46582230.0	0.0	30050968.0	0.0	21864481.0	1010297.0	0.469374	33029428.0
BSS2018_F02	Unknown Library	0.0	54028949.0	0.0	38850520.0	0.0	39663803.0	1068218.0	0.734121	14775191.0
BSS2018_G01	Unknown Library	0.0	39382960.0	0.0	46475968.0	0.0	27181333.0	801971.0	0.69018	12837334.0
BSS_A02	Unknown Library	0.0	35904593.0	0.0	22825400.0	0.0	20763341.0	473920.0	0.578292	17420321.0
BSS_C05	Unknown Library	0.0	34107064.0	0.0	25066226.0	0.0	18494725.0	414254.0	0.542255	18696298.0
BSS_C06	Unknown Library	0.0	42710138.0	0.0	32219364.0	0.0	22759626.0	522198.0	0.532886	24169443.0
BSS_D03	Unknown Library	0.0	37627259.0	0.0	37753870.0	0.0	28254535.0	437124.0	0.750906	9569052.0
BSS_D04	Unknown Library	0.0	36513599.0	0.0	26750500.0	0.0	28391061.0	424576.0	0.777548	8224749.0
BSS_D05	Unknown Library	0.0	46993425.0	0.0	38745904.0	0.0	37177321.0	573853.0	0.791118	9907553.0
BSS_D06	Unknown Library	0.0	33012382.0	0.0	27751646.0	0.0	21556352.0	398800.0	0.652978	12331988.0
BSS_E02	Unknown Library	0.0	36466953.0	0.0	27528192.0	0.0	21928631.0	439754.0	0.601329	16340141.0
BSS_E03	Unknown Library	0.0	33997832.0	0.0	26393544.0	0.0	20931878.0	398695.0	0.615683	14492487.0
BSS_E04	Unknown Library	0.0	36758000.0	0.0	24133262.0	0.0	23326984.0	488020.0	0.63461	14668461.0
BSS_E05	Unknown Library	0.0	50271202.0	0.0	34357094.0	0.0	32949791.0	569885.0	0.655441	18609090.0
BSS_E06	Unknown Library	0.0	37219680.0	0.0	27505736.0	0.0	24427049.0	494726.0	0.656294	13741941.0
BSS_G05	Unknown Library	0.0	42931949.0	0.0	34140922.0	0.0	32724616.0	527211.0	0.762244	10382095.0
