Sample	salmon_version	samp_type	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_targets	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time
BSS2018_A01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	54623833	20906634	38.273831863831305	quant	Wed Mar  6 17:05:09 2019
BSS2018_A02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	73184409	30126148	41.16470763602122	quant	Wed Mar  6 17:05:09 2019
BSS2018_B01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	58480208	26984254	46.14254107988125	quant	Wed Mar  6 17:04:26 2019
BSS2018_B02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	69873205	19548689	27.9773755905429	quant	Wed Mar  6 17:04:24 2019
BSS2018_C01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	56488899	25326723	44.834867466614995	quant	Wed Mar  6 17:03:35 2019
BSS2018_C02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	81934259	34591264	42.218315540023376	quant	Wed Mar  6 17:03:35 2019
BSS2018_D01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	85668725	40020361	46.71525226971687	quant	Wed Mar  6 17:03:35 2019
BSS2018_D02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	86785539	39300086	45.28414117471806	quant	Wed Mar  6 17:03:35 2019
BSS2018_E01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	74047236	19934569	26.921422158147806	quant	Wed Mar  6 17:03:28 2019
BSS2018_E02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	77852090	37397846	48.0370482025595	quant	Wed Mar  6 17:03:28 2019
BSS2018_F01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	61607714	16824949	27.30980896320873	quant	Wed Mar  6 17:03:28 2019
BSS2018_F02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	73454209	37033162	50.41666434662716	quant	Wed Mar  6 17:03:28 2019
BSS2018_G01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	62620944	17003706	27.15338497611917	quant	Wed Mar  6 16:52:36 2019
BSS2018_G02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	78216333	40040600	51.192121215910234	quant	Wed Mar  6 17:03:28 2019
BSS2018_H01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	56415234	21300609	37.75683887086244	quant	Wed Mar  6 17:05:49 2019
BSS2018_H02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	71866429	36469547	50.74629073332696	quant	Wed Mar  6 17:04:39 2019
BSS_A01_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	42401472	19434440	45.83435216588707	quant	Wed Mar  6 17:03:28 2019
BSS_A02_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	47317293	22854539	48.300605446723246	quant	Wed Mar  6 17:03:28 2019
BSS_A03_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	50056207	24155840	48.257431890514596	quant	Wed Mar  6 17:03:28 2019
BSS_A04_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	42373898	19472173	45.95322573344562	quant	Wed Mar  6 17:03:28 2019
BSS_A05_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	45245585	10249780	22.65365780992775	quant	Wed Mar  6 17:03:28 2019
