Module	Section	Sample Name	Source
Picard	AlignmentSummaryMetrics	BSS2018_C01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_C01/BSS2018_C01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_D02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_D02/BSS2018_D02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_G04	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_G04/BSS_G04.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_G02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_G02/BSS_G02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_F02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_F02/BSS_F02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_B01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_B01/BSS2018_B01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_B02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_B02/BSS2018_B02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_F06	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_F06/BSS_F06.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_F03	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_F03/BSS_F03.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_F05	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_F05/BSS_F05.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_A02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_A02/BSS2018_A02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_F04	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_F04/BSS_F04.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_H02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_H02/BSS2018_H02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_H01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_H01/BSS2018_H01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_A01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_A01/BSS2018_A01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_B05	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_B05/BSS_B05.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_B06	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_B06/BSS_B06.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_B02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_B02/BSS_B02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A03	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A03/BSS_A03.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A05	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A05/BSS_A05.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A07	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A07/BSS_A07.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A06	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A06/BSS_A06.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A04	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A04/BSS_A04.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A01/BSS_A01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_G01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_G01/BSS2018_G01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_A02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_A02/BSS_A02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_B03	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_B03/BSS_B03.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_H04	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_H04/BSS_H04.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_H05	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_H05/BSS_H05.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_G02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_G02/BSS2018_G02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_E01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_E01/BSS2018_E01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_F02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_F02/BSS2018_F02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_H06	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_H06/BSS_H06.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_H02	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_H02/BSS_H02.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS2018_D01	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS2018_D01/BSS2018_D01.merged.picard_metrics.alignment_metrics.txt
Picard	AlignmentSummaryMetrics	BSS_H03	/u/project/gandalm/shared/RNAseq/ASD_STG_LCM_RNAseq/ASD_Blocks/pipeline/bams/star/sample_merged/BSS_H03/BSS_H03.merged.picard_metrics.alignment_metrics.txt
