Sample	salmon_version	samp_type	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_targets	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time
1028N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	44326726	15269679	34.44801901227715	quant	Tue Mar  5 15:54:15 2019
1028Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	50306542	11259784	22.382345421396685	quant	Tue Mar  5 15:55:40 2019
1297N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	48977167	13661947	27.894522768129892	quant	Tue Mar  5 15:53:35 2019
1297Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	37792001	7802876	20.64689826823406	quant	Tue Mar  5 15:54:18 2019
1674N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	49139859	13679772	27.838443736682272	quant	Tue Mar  5 15:58:06 2019
1674Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	39185576	9246829	23.59753241856136	quant	Tue Mar  5 15:54:18 2019
177oldsamplerepeat_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	82381524	27321961	33.16515606096338	quant	Tue Mar  5 15:55:33 2019
1841N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	45240548	17513987	38.71303017814904	quant	Tue Mar  5 15:51:32 2019
1841Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	55747300	10993603	19.720422334355206	quant	Tue Mar  5 15:55:36 2019
1859N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	45867610	20194522	44.02784884584132	quant	Tue Mar  5 15:55:26 2019
2011_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	75925975	22002844	28.97933678164818	quant	Tue Mar  5 15:55:38 2019
2011oldSampleRepeat_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	95039312	27465329	28.898913956784533	quant	Tue Mar  5 15:52:07 2019
2012_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	78642036	25050433	31.8537442240178	quant	Tue Mar  5 15:54:51 2019
2013_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	126748253	41282330	32.57033451971918	quant	Tue Mar  5 15:54:53 2019
2014_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	53849850	14331571	26.613947856864968	quant	Tue Mar  5 15:55:33 2019
4287N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	49848193	21986064	44.106040112627554	quant	Tue Mar  5 15:55:28 2019
4287Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	41941746	12524685	29.862097300384207	quant	Tue Mar  5 15:55:36 2019
4336N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	46626501	15459665	33.15639104036565	quant	Tue Mar  5 15:54:06 2019
4336Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	46494343	11264899	24.228536792099632	quant	Tue Mar  5 15:55:33 2019
4498N_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	47326521	8246267	17.42419857990407	quant	Tue Mar  5 15:54:53 2019
5000Oligo_abundance	0.7.2	none	1	['ISF']	1001	False	False	4096	mapping	200139	0	53749084	9566451	17.79835168911902	quant	Tue Mar  5 15:54:43 2019
