ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	170,0,0,0,1,0,0,0,7,0,48,0,69,0,4,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13	0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
2	0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0	0,0,0,2,0,0,90,0,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0	0,0,0,0,0,0,0,23,0,37,3,0,0,25,0,20,44,0,0,0	0,0,0,0,0,0,0,0,8,0,29,0,0,0,0,0,0,0,0,0	300	150
3	336,9,10,50,147,155,0,217,154,0,64,1,153,126,136,104,231,29,92,130,115,1,78,28	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	156,76,0,123,22,0,14,5,119,135,72,0,186,32,0,17,26,95,0,0	0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0	220	150
5	55,0,9,92,76,95,188,171,53,8,15,48,27,125,25,0,0,0,21,97,0,19,19,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0	156,149,62,8,60,0,0,34,24,95,330,0,0,89,1,58,197,0,0,0	0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0	300	150
6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150
9	0,0,0,8,19,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0	0,0,0,0,49,0,1,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	41,0,0,0,17,0,0,0,0,0,10,0,0,34,0,27,2,0,23,0	96,0,0,0,0,0,0,1,0,0,34,0,0,57,0,19,0,0,0,0	161	150
13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0	62,2,0,13,0,174,20,127,1,0,0,0,24,0,41,0,0,55,23,0,64,0,11,0	123,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0	52,17,22,24,9,13,10,0,0,48,66,0,56,0,0,0,0,0,0,0	300	150
14	0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	161	150
15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0	206	150
19	46,0,0,0,0,36,0,0,0,27,0,0,12,31,79,0,89,0,53,162,148,46,19,0	0,0,0,0,3,0,0,0,6,0,0,0,0,0,81,11,0,0,42,0,0,0,8,0	61,33,0,1,21,0,0,0,25,7,11,0,0,9,0,6,0,0,0,0	0,0,0,0,0,44,21,0,0,0,0,0,0,0,0,0,71,0,0,0	296	150
20	0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,3,0,0,135,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0	0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150
22	55,0,0,6,0,154,0,3,0,33,0,0,27,11,17,0,0,0,11,0,86,0,8,0	0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	33,4,0,2,14,0,0,0,14,9,137,0,8,103,9,25,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
24	0,50,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5	68,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0	0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
26	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,139,0,14,8,0,0,55,0,14,152,0,38,65,42,0,0,0,30,17,0,37,1,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	39,16,5,18,3,0,0,0,6,1,28,0,0,0,0,0,6,0,0,0	197	150
27	0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	75,327,125,7,163,43,0,64,164,9,28,2,47,109,214,97,5,9,131,70,195,54,22,45	0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	124,28,100,26,6,79,43,40,90,44,554,1898,91,3,5,8,53,22,3,0	179	150
28	0,0,0,9,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	75,327,125,7,163,43,0,64,164,9,28,2,47,109,214,97,5,9,131,70,195,54,22,45	34,39,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0	124,28,100,26,6,79,43,40,90,44,554,1898,91,3,5,8,53,22,3,0	280	150
29	0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34,31,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	250	150
31	0,0,0,14,0,0,0,0,0,11,0,2,0,0,15,0,0,0,9,61,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0	0,0,0,0,0,0,0,0,51,0,0,0,0,7,0,1,0,0,0,2	0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	188	150
36	0,13,0,14,6,48,0,0,0,0,0,0,0,35,24,0,0,0,8,0,0,0,8,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,0,0,98,0,0,0,40,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	167	150
37	0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0	0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0	254	150
41	0,0,24,0,2,0,0,0,0,23,0,131,0,48,0,0,0,59,0,48,0,0,1,28	61,1,0,59,34,29,0,57,102,1,39,0,54,0,85,65,0,0,47,0,0,0,4,120	23,0,192,0,2,15,4,0,0,0,1,0,0,133,0,72,0,0,0,0	59,31,3,1,0,0,0,0,19,35,408,0,107,107,0,67,0,0,74,0	300	150
42	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	158,21,10,78,19,71,383,2,13,7,0,0,123,159,12,7,0,3,2,3,0,0,32,48	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	139,67,5,9,14,118,38,0,71,208,643,0,108,0,0,0,23,0,0,0	300	150
