ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,0,61,0,0,0,4,0,0,0,0,0,4,0,0,0,0,13,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,17,0	0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
1	0,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0	0,0,0,1,17,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,17,0	20,0,0,0,2,0,0,35,0,0,235,0,0,0,0,0,0,0,0,0	300	150
2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,68,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,1,0,71	0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0	16,1,0,0,1,0,0,0,28,12,0,0,0,0,0,4,7,0,15,0	240	150
4	19,0,9,61,40,0,188,93,0,2,30,24,6,67,21,18,0,37,19,0,1,19,18,20	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	131,191,93,18,51,50,4,2,1,75,159,0,0,44,0,27,102,0,44,0	0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	300	150
7	74,0,0,0,0,0,0,0,0,0,0,0,25,49,0,0,0,0,0,0,0,0,1,0	0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	296	150
9	0,0,36,0,0,0,0,0,5,18,0,0,0,38,2,0,0,0,1,21,0,0,0,0	0,0,0,6,0,0,0,0,0,0,58,0,0,78,0,0,0,0,0,0,0,0,0,14	39,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,34,0,0,19,0,0,0,0,0,0,0,0,27,0,16,0,0,0,256	300	150
10	0,0,0,1,0,48,0,0,0,0,0,0,0,115,26,0,0,101,3,124,0,0,0,0	0,0,0,0,0,136,0,12,0,0,39,0,0,28,0,0,0,0,0,0,0,0,0,0	0,0,23,0,0,11,1,0,0,5,0,0,0,0,1,0,8,0,8,0	41,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0	294	150
11	0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,225,0,0,0,0,2,0	0,44,0,50,53,0,0,60,0,1,0,0,0,7,84,0,33,0,34,20,0,0,21,10	3,39,0,0,6,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0	18,43,69,73,3,1,0,0,51,94,118,0,0,79,0,58,8,0,0,0	300	150
15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0	0,19,0,38,0,0,0,0,0,0,0,0,0,53,5,0,0,0,1,0,0,0,1,0	0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,8,0,0,0,35,0,0,0,6,0,0,0,0,0,0,0	249	150
18	79,0,0,13,0,0,0,67,7,0,0,0,30,0,44,0,0,6,15,0,0,0,1,0	437,1082,435,598,374,244,698,531,606,190,571,138,250,890,1055,240,989,85,551,788,205,506,193,690	32,29,45,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0	923,399,395,826,68,50,25,436,524,1218,946,0,482,1280,24,788,121,143,156,12	246	150
