ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,14,0,0,0,125,51,0,0,0,208,0,43,30,0,0,0,16,0,42,0,0,1	0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0	0,154,0,0,0,0,0,0,0,29,12,0,57,7,0,2,1,0,0,0	0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	278	150
1	39,16,4,13,3,0,0,101,17,51,64,7,18,2,12,75,93,74,6,200,0,4,27,320	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	29,40,2,89,0,279,141,0,0,209,80,0,0,144,0,96,8,235,34,0	0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,27,0,0,0,0	300	150
2	0,1,88,39,0,101,0,0,0,0,0,0,0,16,15,0,1,52,6,0,0,258,31,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0	0,0,0,62,5,78,38,1,15,49,37,0,0,41,0,27,139,0,14,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	290	150
3	0,0,1,0,15,0,0,103,0,2,0,0,0,30,34,0,0,0,25,80,0,32,15,2	73,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0	5,0,0,1,0,323,134,0,0,5,0,0,0,13,1,10,0,0,0,0	1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0	296	150
5	0,51,7,0,39,0,0,0,0,0,0,0,0,7,16,0,0,0,5,48,0,0,6,0	0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	210	150
6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,11,2,0,0,22,0,0,39,0,0,0,0,0,0,0,0,34,0,14,0,0	0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0	25,13,9,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,0,0	271	150
10	170,0,0,0,1,0,0,0,7,0,48,0,69,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13	0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	289	150
11	170,0,0,1,18,5,0,0,7,0,48,0,69,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13	20,44,0,0,2,0,0,35,0,0,235,0,0,0,0,0,6,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150
12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3	0,304,0,1,0,0,2,26,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0	7,0,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,18,0	0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	300	150
13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	0,304,0,1,0,0,2,26,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	300	150
