ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	260	150
1	0,0,0,1,17,5,0,0,4,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20,0,0,0,2,0,0,35,0,0,235,0,0,0,0,0,0,0,0,0	0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	181	150
4	0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,27,5,104,0,1,10,0,0,0,0,0,0,0,4,0,2,0,84,0,0,0	0,0,0,0,3,0,0,0,0,0,0,0,0,184,0,88,0,0,0,790	0,0,1,0,2,0,0,0,0,0,48,0,12,0,0,1,0,0,0,0	161	150
6	19,0,12,60,61,0,188,93,0,2,8,24,6,77,21,18,0,37,19,0,0,19,10,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94,136,93,18,25,50,4,2,1,51,64,0,0,44,0,27,102,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	355	150
7	19,45,12,82,87,0,188,107,0,2,30,24,6,110,21,18,0,41,19,0,0,19,15,19	0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	119,136,93,18,25,83,26,2,39,73,40,0,0,46,0,27,102,0,81,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	359	150
8	0,45,0,23,27,0,0,14,0,0,22,0,0,33,0,0,0,4,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	25,0,0,0,0,33,22,0,38,22,0,0,0,2,0,0,0,0,81,0	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0	154	150
10	0,0,0,11,0,13,0,110,0,0,10,0,1,106,0,0,0,0,0,0,0,0,13,0	0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,0,20,39,16,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	173	150
11	0,0,13,1,2,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0	0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,42,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0	153	150
13	0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,61,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0	0,0,2,0,0,0,0,0,0,8,80,1064,0,0,5,0,0,0,0,0	9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150
14	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,54	24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0	165	150
