ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	0,0,4,12,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0	2,0,0,34,0,0,0,0,22,0,0,0,0,51,0,0,0,0,0,0,0,0,4,0	4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,49,8,14,0,0,0,0,0,30,29,0,0,2,0,2,0,0,10,0	177	254
3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,28,51,0,0,0,0	1,0,0,0,0,0,0,43,0,7,0,28,0,0,0,0,0,54,0,6,0,0,1,9	0,0,0,0,16,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0	0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0	209	397
4	0,0,1,8,0,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,111	42,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0	53,0,0,16,0,0,0,69,15,20,0,0,4,0,0,0,7,0,0,0	24,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	293	209
5	0,0,1,0,0,0,0,0,0,7,0,37,0,0,0,0,0,0,1,0,0,0,0,75	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37,0,0,8,0,0,0,69,15,0,0,0,4,0,0,0,15,0,2,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	293	209
7	0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1	0,0,0,3,0,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0	0,4,53,0,0,0,0,0,0,0,41,0,0,20,0,14,0,0,0,0	0,4,0,0,0,0,0,0,2,37,43,0,0,0,0,0,0,0,0,0	280	225
11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,11,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,4,0	0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0	204	285
12	0,0,0,0,0,0,0,94,2,0,0,0,0,43,75,0,52,0,30,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,6,15,0,134,52,0,37,52,0,15,0	0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,49,0	249	244
14	0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0	97,0,1,0,33,0,0,30,31,0,131,0,66,82,193,0,0,0,89,0,209,0,6,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	19,36,0,81,0,0,0,48,0,0,47,0,4,0,0,0,149,0,13,0	242	242
16	0,0,0,2,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5	32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0	195	225
21	0,0,46,20,46,0,0,0,12,23,0,37,0,7,61,0,0,31,36,0,0,0,15,4	0,0,14,24,36,0,0,0,8,20,61,2,0,0,21,0,141,30,5,166,0,45,20,29	0,1,30,0,0,0,0,0,11,1,5,0,0,15,60,24,5,0,26,0	16,31,0,0,4,264,132,0,1,0,1,0,0,0,0,0,63,12,4,0	306	435
22	62,0,0,0,0,0,0,33,0,0,8,0,32,21,0,0,0,0,0,2,0,0,1,0	29,0,66,71,2,0,0,1,8,0,17,13,14,150,67,1,0,94,43,0,93,17,11,16	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	77,1,52,24,5,0,0,2,17,113,27,0,16,51,0,34,4,0,32,0	190	265
23	0,0,0,8,6,0,0,0,52,1,0,0,0,22,37,19,0,225,9,78,58,90,13,26	16,12,0,34,0,51,0,3,30,2,7,0,4,15,68,46,0,42,28,0,0,60,21,16	0,0,0,1,23,67,31,1,3,0,13,0,19,0,0,0,45,0,18,0	10,20,63,41,1,76,9,0,0,14,64,0,0,65,0,30,89,0,5,0	255	399
24	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,28,1,18,0,0,0,74,22,0,0,0,48,101,0,0,0,41,0,45,0,4,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0	0,0,0,29,6,302,121,0,0,17,0,0,0,146,0,94,30,0,0,0	156	199
25	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,28,1,18,0,0,0,74,22,0,0,0,48,74,0,0,0,26,0,45,0,4,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0	21,0,0,29,6,302,121,0,0,38,0,0,0,146,0,94,30,0,0,0	156	202
28	1,0,52,51,2,0,38,103,16,2,0,0,0,67,36,1,37,0,9,104,0,146,6,1	0,0,0,0,0,0,0,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,64,101,12,1,5,6,7,23,27,81,0,25,0,0,0,20,0,5,0	0,0,2,16,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0	305	252
29	0,0,0,0,2,0,0,1,0,0,40,99,0,0,3,0,0,0,2,0,0,0,0,0	5,33,0,63,8,0,0,6,8,1,31,11,2,37,23,98,0,0,6,0,117,0,3,10	26,32,0,0,0,0,0,0,2,0,1,0,0,27,0,24,0,0,0,0	18,106,14,59,71,0,0,76,18,7,28,0,10,25,0,33,85,0,0,0	249	249
30	25,0,0,6,17,0,424,0,9,0,0,7,17,0,0,0,0,0,1,38,101,56,2,0	0,0,0,33,0,0,0,0,0,0,0,0,0,0,46,0,150,1,21,52,0,0,11,1	4,15,0,2,0,0,0,0,0,149,47,0,13,0,0,0,2,0,7,0	57,26,0,0,0,0,0,20,0,2,1,0,3,6,0,2,17,0,0,0	334	212
32	0,0,7,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,1,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,45,25,0,0,0,0,0,0,0,0,0,0,0	273	267
36	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	188	347
37	0,86,0,45,0,0,0,92,1,9,0,32,0,0,0,0,0,74,0,0,0,0,5,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	331	347
38	0,86,0,45,0,0,0,92,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	300	347
39	0,86,0,45,0,0,0,92,1,9,0,32,0,0,0,0,0,74,0,0,0,0,5,1	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	331	188
40	0,86,0,45,0,0,0,92,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	300	188
42	0,86,0,45,0,0,0,92,1,9,0,32,0,0,0,0,0,74,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	331	188
44	158,0,0,0,0,0,0,0,0,3,0,0,75,0,0,0,0,0,0,0,0,0,0,28	44,0,0,0,31,0,0,82,0,0,0,0,15,24,0,82,0,0,0,0,0,1,0,24	0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48,0,0,0,0,0,1,50,0,0,26,0,0,91,0,51,0,0,0,0	239	277
48	65,74,0,26,67,0,0,46,30,33,9,0,39,27,231,0,270,25,104,135,9,1,22,96	48,123,46,67,49,0,116,191,56,49,0,0,32,13,0,0,44,5,0,7,116,0,26,4	151,134,7,51,6,0,1,2,8,56,29,0,26,11,0,9,0,0,43,0	184,98,46,60,8,0,0,2,20,144,381,0,67,38,23,18,11,1,70,0	267	381
49	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,16,0,47,34,70,0,0,0,8,0,0,0,3,40,0,0,0,18,0,0,0,4,23	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,68,41,0,2,0,0,0,7,2,36,0,0,0,0,0,1,0,0,0	220	295
50	0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,15,0	0,16,0,47,34,70,0,0,0,8,0,0,0,3,40,0,0,0,18,0,0,0,3,23	34,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,68,41,0,2,0,0,0,0,2,36,0,0,25,0,23,1,0,0,0	230	295
51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	78,16,0,54,34,121,0,0,0,8,0,0,42,63,40,0,0,24,18,1,0,0,12,23	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,86,78,40,10,173,41,6,0,22,36,0,0,0,0,0,3,0,23,0	220	746
52	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0	0,10,0,3,0,26,0,75,21,5,0,0,0,0,0,0,0,0,0,0,72,53,8,28	0,0,6,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0	223	286
54	63,0,0,0,0,0,0,0,1,0,8,0,40,0,0,0,0,0,0,4,28,0,12,0	0,0,0,17,2,0,0,26,30,4,0,0,0,0,0,151,82,0,0,0,0,0,8,28	63,0,0,0,0,0,0,0,0,36,39,0,15,0,0,0,145,0,0,0	4,0,0,19,0,0,0,1,15,43,23,0,14,0,0,0,42,0,0,0	276	298
55	60,0,0,29,0,0,0,0,0,2,20,0,40,5,56,0,0,0,12,0,0,0,8,0	0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	123,97,3,56,4,152,52,0,0,56,0,0,2,0,0,0,33,0,0,0	0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	298	189
