ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	62,0,0,0,0,129,0,611,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,245,0	300	150
25	0,0,0,0,0,0,0,0,0,0,0,0,287	20,300,0,15,2,18,0,2,2,0,2,1,0	0,0,0,0,0,0,0,0,0,0	73,1,0,0,0,66,155,63,221,15	280	150
38	1,0,0,0,0,0,0,0,0,0,2,0,0	2,92,0,0,0,156,0,0,17,0,0,0,0	0,0,0,0,0,0,13,0,0,0	20,0,0,0,0,0,99,0,0,0	300	150
47	0,0,0,0,0,0,0,0,0,0,184,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	300	150
63	0,20,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,1,0	0,1,0,0,0,97,0,135,0,0	0,0,0,0,0,14,220,0,0,88	161	150
73	0,25,0,0,0,0,0,0,0,0,0,0,0	0,569,0,326,0,283,81,0,12,0,160,85,0	0,0,0,0,0,0,0,0,129,0	1,0,0,0,0,123,2,30,2,0	198	150
74	0,0,0,0,0,0,0,0,1,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	196	150
92	0,2,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,3,0,0,0,0	159	150
95	198,75,645,1,0,135,0,33,108,148,2145,1101,0	0,2,0,0,0,0,0,0,0,0,0,5,0	0,129,0,0,2,368,126,3,33,0	0,0,0,0,0,0,0,0,0,0	300	150
107	0,86,0,0,0,0,0,7,37,0,0,218,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,42,72,0,0,0	0,0,0,0,0,50,0,0,0,0	262	150
108	0,459,0,0,0,0,0,8,113,0,0,218,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,226,72,0,0,0	0,0,0,0,0,50,0,0,0,0	208	150
125	0,31,0,0,0,0,0,728,13,0,0,0,0	0,85,0,0,0,16,0,0,0,0,0,0,0	0,0,0,0,0,0,0,3,0,0	0,161,0,0,0,0,0,0,0,2	176	150
146	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,73,0,0,0,0,0,0,0,0	155	150
154	0,0,0,0,0,0,0,0,0,0,134,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	295,0,0,0,0,0,0,0,0,0	252	150
180	0,17,0,0,0,0,0,0,0,0,0,333,0	0,0,0,0,0,0,0,0,0,0,0,202,0	0,0,0,0,0,12,0,0,0,0	0,0,0,0,0,0,0,0,0,0	300	150
186	0,58,0,0,0,0,0,0,0,0,145,0,0	0,52,0,0,0,0,0,67,0,0,232,122,0	0,0,0,0,0,0,0,0,0,1	0,17,0,0,0,0,43,0,0,0	158	150
189	0,58,0,0,0,55,0,142,28,2,238,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,67,0,0,241,0	0,0,0,0,0,0,0,88,0,0	300	150
