ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	0,0,0,0,0,0,0,0,0,0,0,92,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,26,0,0,0,0	203	284
10	0,96,0,0,0,0,0,0,0,0,133,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,69,0,0,0	194	224
15	0,33,0,0,0,0,0,0,1,0,112,0,0	0,86,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,31,0	0,0,0,0,0,0,0,0,0,0	254	300
28	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	187
29	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,3,0,0,0,18	0,0,0,0,0,0,0,0,0,0	299	187
31	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	187
37	0,88,0,0,0,0,0,1,63,0,12,0,0	0,73,0,0,0,0,0,0,30,0,0,0,0	238,0,0,0,0,122,0,0,0,0	0,15,0,0,0,0,0,0,0,0	266	300
41	3,19,0,233,0,0,0,0,2,0,0,1,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,466,0,0,0,0,139,150,0,0	0,0,0,0,0,50,361,0,1,0	176	173
43	0,0,0,0,0,1,0,0,0,0,0,0,0	0,41,0,0,0,0,0,0,2,0,0,39,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	181	208
48	0,90,0,0,1,1,0,19,0,0,239,0,0	0,60,0,67,0,0,0,0,3,0,0,0,0	0,5,0,0,0,4,0,0,0,0	0,0,0,0,0,70,2,0,3,0	300	272
49	0,0,0,0,0,0,0,0,0,0,0,0,0	11,71,0,0,0,0,0,0,0,0,0,0,0	0,359,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,0	218	184
50	0,89,0,0,0,0,0,0,0,0,0,159,0	0,62,0,0,4,4,0,0,0,0,3,0,0	0,0,0,0,0,8,98,0,0,0	0,0,0,0,0,0,150,0,327,0	275	298
52	59,55,0,0,0,0,0,0,6,431,340,19,0	0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,34,53,34,57,0,0	0,0,0,0,0,57,0,0,0,0	300	221
53	59,55,0,0,0,0,0,0,6,431,340,19,0	0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,34,53,34,57,0,0	0,0,0,0,0,57,0,0,0,0	300	224
54	0,123,0,0,0,50,0,19,0,0,775,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	220,0,0,0,0,97,33,1,5,0	0,0,0,0,0,57,0,0,0,0	257	224
65	7,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,58,0,8,0,0	0,0,0,0,0,21,0,0,0,0	299	238
69	0,2,0,0,0,132,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,22,0,0,0	198	191
74	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,27,0,0,0,0,0,30,0,251,0,0	0,0,0,0,0,0,0,0,111,0	0,0,0,0,0,0,228,0,0,0	300	288
75	27,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,47,0,0	288	300
78	0,174,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,67	0,0,0,0,35,0,150,0,6,0	251	247
