ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,159,0,0,0,0,0,1,0	151,0,0,0,0,0,0,0,0,0	0,0,0,0,0,30,0,0,0,0	300	150
9	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,173,0,0,0,0,133,0,0	0,0,0,0,0,0,130,0,0,0	0,0,0,0,0,0,9,0,87,0	300	150
10	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,114,1,0,0	116,0,0,0,0,0,8,0,25,0	294	150
11	0,40,0,0,0,0,0,0,9,0,0,0,0	0,0,0,0,144,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,87,0	0,0,0,0,0,8,178,111,0,0	300	150
15	0,60,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,71,0,0,0,0	249	150
17	0,0,0,0,0,36,0,0,8,139,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,88,69,0,0,0,48	0,0,0,0,0,1,0,0,0,0	150	150
18	4,0,0,0,0,0,0,0,0,0,0,0,0	58,442,29,355,0,535,1,13,64,0,1672,221,2	0,0,0,0,0,0,0,0,94,0	87,80,0,1,0,311,615,142,432,47	246	150
23	0,0,0,0,0,16,0,0,0,0,0,0,0	0,7,0,0,0,25,0,0,4,0,207,0,0	1,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,3,0,0,0	300	150
25	2,0,0,314,0,0,0,22,0,0,0,10,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0	300	150
30	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,113,0,0,0,0,0,0,0,0,0	152,0,0,0,0,0,6,0,0,0	0,0,0,0,0,0,0,2,0,0	281	150
31	0,8,97,0,0,0,0,0,0,0,0,10,0	0,0,0,0,0,1,81,0,0,0,0,0,0	0,0,0,0,0,0,66,0,0,0	0,0,0,0,0,0,145,0,0,0	300	150
35	0,0,0,0,151,0,60,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,9,0,0,0,0,76	0,0,0,0,0,0,0,0,0,2	300	150
37	0,0,0,0,0,0,0,0,0,0,0,2,0	0,68,0,0,0,0,0,0,0,0,0,87,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,13,0,0,0	299	150
44	0,3,0,0,0,0,0,0,0,0,4,0,0	0,18,0,0,0,0,0,0,5,0,0,128,0	0,0,0,0,0,0,0,0,0,0	0,8,0,0,0,11,0,0,0,0	220	150
48	0,0,0,0,0,0,0,0,0,2,28,0,0	12,0,0,0,39,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	1,0,0,0,0,0,0,0,0,0	249	150
