ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,3,0,0,0,18,0,0,2,0,0,0,0	0,0,1,204,0,0,0,0,0,0,0,0,0	0,2,0,0,0,2,0,65,158,0	0,0,0,0,0,0,0,0,0,0	300	150
1	0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,156,0	0,75,0,0,0,0,0,0,0,55	0,0,0,0,0,0,0,0,0,0	296	150
85	28,334,0,219,0,265,0,117,124,0,7,0,0	0,43,0,0,95,147,0,0,0,0,0,0,0	32,73,0,0,0,76,1,0,221,78	0,0,0,0,0,0,2,0,0,47	194	150
86	256,758,282,220,0,414,1,213,279,5,205,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	65,101,0,1,1,202,93,8,173,81	0,0,0,0,59,0,49,0,0,0	194	150
94	0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,76	0,0,0,0,0,0,0,0,0,0	286	150
112	0,0,0,0,0,255,0,0,0,0,0,0,0	0,0,38,0,0,0,0,0,0,0,0,0,0	739,0,0,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0	248	150
113	0,9,0,0,0,0,0,0,0,0,58,0,0	0,0,0,0,0,0,0,0,8,0,0,0,0	0,0,0,0,0,0,0,130,305,0	0,0,0,0,0,0,0,0,0,0	258	150
114	0,224,38,0,0,0,0,0,42,0,208,0,0	0,9,0,0,0,0,0,0,0,0,58,0,0	369,0,0,0,54,0,0,0,0,0	0,0,0,0,0,0,0,130,305,0	212	150
115	0,4,0,0,0,0,0,0,0,0,244,0,0	0,16,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,99,0,259,244,0	0,0,0,0,0,0,0,0,0,0	276	150
122	0,0,0,0,0,0,0,0,0,0,0,0,0	0,75,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,197,0,0,0	0,0,0,0,0,0,0,0,0,0	230	150
126	0,2,0,0,0,0,0,0,0,28,0,0,0	0,7,0,0,0,25,0,0,4,0,207,0,0	54,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,3,0,0,0	263	150
