ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	0,0,0,0,0,0,0,0,0,0,0,401,0	0,0,0,0,0,0,0,403,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0	161	150
7	0,0,0,0,0,73,0,0,47,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,81,0,0,0,0	173	150
10	0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,29,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,101,0,0,0	153	150
17	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,173,0,0,0,0,133,0,0	0,0,0,0,0,0,130,0,0,0	0,0,0,0,0,0,9,0,87,0	243	150
20	0,43,0,0,95,147,0,0,22,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,3,0,0,47	0,0,0,0,59,0,49,0,0,0	153	150
21	0,217,0,0,0,0,0,38,52,0,7,0,0	228,641,282,1,0,149,1,134,185,5,205,1,0	0,73,0,0,0,0,2,0,201,0	33,101,0,1,1,126,93,8,153,3	153	150
26	0,0,0,0,0,72,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0,0,0,0	0,0,0,0,0,4,13,0,0,0	0,0,0,0,0,0,0,0,0,0	535	150
31	0,0,0,0,0,0,0,16,0,0,0,0,0	0,10,0,0,0,0,0,290,0,0,0,0,0	112,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,89,0,0	153	150
36	3,204,585,0,0,0,0,0,1,0,0,297,0	0,26,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,428,12,2,0	0,0,0,0,0,0,0,0,0,0	255	150
44	0,0,0,0,0,0,0,0,0,0,0,93,0	0,93,0,0,0,0,0,101,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,38,121,0,0,0	205	150
45	0,0,0,0,0,0,0,0,0,0,0,0,0	10,87,0,0,0,0,0,0,0,0,0,54,0	0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,52,12	371	150
56	0,0,0,0,0,0,0,0,1,0,0,254,0	0,0,0,141,0,0,0,0,0,0,0,0,0	0,0,0,0,0,89,18,73,0,0	0,0,0,0,0,0,0,0,0,0	189	150
63	0,68,0,0,0,0,0,0,19,0,815,1,0	0,11,0,0,0,0,0,0,0,0,0,0,0	0,705,0,0,0,0,0,11,0,100	0,0,0,0,0,0,0,0,0,0	154	150
68	0,68,0,58,0,68,1,0,0,0,0,776,8	47,0,0,0,0,0,0,0,0,0,0,0,0	153,9,0,0,0,65,0,164,0,0	0,0,0,0,0,0,0,0,0,0	1492	150
84	0,32,0,0,0,3,0,40,0,0,0,0,0	0,0,0,0,0,210,0,0,0,0,0,0,0	0,0,0,0,0,1,90,0,227,0	0,0,0,0,0,0,0,0,0,0	527	150
92	0,0,0,0,0,0,0,19,0,0,0,0,0	0,12,0,24,145,0,1,0,21,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,94,0	245	150
99	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,5,0,0,324,0	0,0,0,0,0,0,0,0,0,39	0,0,0,0,0,0,0,0,0,0	171	150
103	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,412,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	317	150
116	0,0,0,0,0,0,0,0,22,128,0,0,0	0,8,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,1,1,0,0,0	0,0,0,0,0,0,281,0,4,0	153	150
117	4,16,0,0,0,0,0,0,0,0,0,0,0	0,24,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,169,0	0,0,0,0,0,0,12,0,0,0	153	150
118	4,59,0,0,0,0,0,0,0,0,107,0,0	0,5,0,0,0,50,0,0,2,0,0,0,0	0,0,0,0,0,0,0,0,14,0	0,0,0,0,0,0,0,0,56,0	153	150
128	0,0,0,0,74,0,0,0,0,0,25,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,4,0,0,0	0,0,0,0,0,57,0,0,0,0	174	150
137	0,0,0,0,0,0,0,0,0,0,0,0,0	0,39,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,3,0,0	0,0,0,0,0,0,0,0,78,0	153	150
138	7,185,0,2,0,3,0,1,2,0,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,101,0,0,0,0,27,0,0,0	0,0,0,0,0,0,0,0,0,7	200	150
139	1,94,0,0,0,0,0,0,66,10,250,324,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,229,0,1,0,22,69,126,2,399	0,0,0,0,0,85,8,0,0,0	170	150
