ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5	0,0,0,0,0,0,0,0,0,0,0,92,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,26,0,0,0,0	204	285
10	0,96,0,0,0,0,0,0,0,0,133,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,69,0,0,0	195	225
15	0,33,0,0,0,0,0,0,1,0,112,0,0	5,86,0,0,0,77,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,31,0	0,0,0,0,0,4,13,0,0,0	255	399
25	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,70,0,0,0,0	188	347
26	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,70,0,0,0,0	331	347
27	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,3,0,0,0,18	0,0,0,0,0,70,0,0,0,0	300	347
28	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	331	188
29	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,3,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	188
31	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	331	188
37	0,88,0,0,0,0,0,1,63,0,12,0,0	0,147,1,1,0,0,0,158,45,0,2,0,30	238,0,0,0,0,122,0,0,0,0	268,16,0,0,0,0,9,0,0,0	267	381
41	3,19,0,233,0,0,0,0,2,0,0,1,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,466,0,0,0,0,139,150,0,0	0,0,0,0,0,50,361,0,1,0	177	174
43	0,0,0,0,0,1,0,0,0,0,0,0,0	0,41,0,0,0,0,0,0,2,0,0,39,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	182	209
48	0,90,0,0,1,1,0,19,0,0,239,0,0	0,60,0,67,0,0,0,0,3,0,0,0,0	0,5,0,0,0,4,0,0,0,0	0,0,0,0,0,70,2,0,3,0	302	273
49	0,0,0,0,0,0,0,0,0,0,0,0,0	11,71,0,0,0,0,0,0,0,0,0,0,0	0,359,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,0	219	185
50	0,89,0,0,0,0,0,0,0,0,0,159,0	0,62,0,0,4,4,0,0,0,0,3,0,0	0,0,0,0,0,8,98,0,0,0	0,0,0,0,0,0,150,0,327,0	276	299
52	59,55,0,0,0,0,0,0,12,572,340,40,965	0,0,0,0,0,0,0,0,0,0,0,0,0	84,0,0,0,34,53,126,72,0,99	0,0,0,0,0,57,0,0,0,0	330	222
53	59,55,0,0,0,0,0,0,12,572,340,40,965	0,0,0,0,0,0,0,0,0,0,0,0,0	84,0,0,0,34,53,126,72,0,99	0,0,0,0,0,57,0,0,0,0	330	225
54	0,123,0,0,0,50,0,19,0,0,775,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	220,0,0,0,0,97,33,1,5,0	0,0,0,0,0,57,0,0,0,0	258	225
65	7,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,58,0,8,0,0	0,0,0,0,0,21,0,0,0,0	300	239
69	0,2,0,0,0,132,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,22,0,0,0	199	192
74	0,0,0,0,0,0,0,0,30,0,0,0,0	0,0,27,0,0,0,0,0,30,0,251,0,0	0,0,0,0,0,0,0,0,111,0	0,0,0,0,0,0,228,0,0,0	305	289
75	27,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,47,0,0	289	341
76	0,5,0,0,0,0,0,0,0,0,0,0,0	4,0,0,0,222,0,0,0,0,0,16,0,0	0,296,0,0,0,0,0,0,0,0	8,0,0,0,51,0,7,8,0,0	298	420
