ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,6,0,0,0,18,0,0,2,0,0,0,0	0,0,1,204,0,0,0,0,0,0,0,0,0	0,2,0,0,0,2,0,65,158,0	0,0,0,0,0,0,0,0,0,0	309	150
1	0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,156,0	0,75,0,0,0,0,0,0,0,55	0,0,0,0,0,0,0,0,0,0	297	150
29	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,7,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,19,0,0,0	337	150
85	28,334,0,219,0,265,0,117,124,0,7,0,0	0,43,0,0,95,147,0,0,0,0,0,0,0	32,73,0,0,0,76,1,0,221,78	0,0,0,0,0,0,2,0,0,47	195	150
86	256,758,282,220,0,414,1,213,279,5,205,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	65,101,0,1,1,202,93,8,173,81	0,0,0,0,59,0,49,0,0,0	195	150
94	0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,76	0,0,0,0,0,0,0,0,0,0	287	150
112	0,0,0,0,0,255,0,0,0,0,0,0,0	0,0,38,0,0,0,0,0,0,0,0,0,0	739,0,0,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0	249	150
113	0,9,0,0,0,0,0,0,0,0,58,0,0	0,0,0,0,0,0,0,0,8,0,0,0,0	0,0,0,0,0,0,0,130,305,0	0,0,0,0,0,0,0,0,0,0	259	150
114	0,224,38,0,0,0,0,0,42,0,208,0,0	0,9,0,0,0,0,0,0,0,0,58,0,0	369,0,0,0,54,0,0,0,0,0	0,0,0,0,0,0,0,130,305,0	213	150
115	0,4,0,0,0,0,0,0,0,0,244,0,0	0,16,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,99,0,259,244,0	0,0,0,0,0,0,0,0,0,0	277	150
122	0,0,0,0,0,0,0,0,0,0,0,0,0	0,75,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,197,0,0,0	0,0,0,0,0,0,0,0,0,0	231	150
126	0,2,0,0,0,0,0,0,0,28,0,0,0	0,7,0,0,0,25,0,0,4,0,207,0,0	54,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,3,0,0,0	264	150
144	0,10,0,0,0,0,0,290,8,0,0,0,0	0,0,0,0,0,0,0,0,0,0,550,0,0	0,0,0,0,0,0,0,89,0,0	0,0,0,0,0,75,0,0,0,0	279	150
145	0,0,0,0,0,0,0,16,8,0,0,0,0	0,0,0,0,0,0,0,0,0,0,550,0,0	112,0,0,0,0,0,0,0,0,0	0,0,0,0,0,75,0,0,0,0	282	150
153	0,6,367,0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,43,9,0,0,0,0	0,0,0,0,0,48,0,3,0,0	0,0,0,0,0,0,0,10,0,0	290	150
165	0,0,0,0,0,0,0,0,3,0,0,0,0	0,73,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,96,0	425	150
186	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,188,0,0,18,0,0,0,0	0,0,0,0,0,0,0,0,66,0	0,0,0,1,0,0,0,0,0,0	256	150
202	0,0,0,0,0,0,0,0,30,0,69,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,61,0,0,0,0	0,0,0,0,0,21,0,0,0,0	208	150
203	0,0,0,0,0,0,0,0,30,0,69,0,0	0,0,0,396,0,0,0,0,0,0,0,0,0	144,0,0,0,0,61,0,0,0,0	0,0,0,0,0,0,155,0,0,0	208	150
205	0,0,0,0,0,0,0,0,0,0,226,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,5,0	0,0,0,0,0,0,0,40,0,0	290	150
209	52,426,10,15,2,103,0,396,41,0,2,2,0	0,0,0,0,0,0,0,0,0,58,0,0,0	73,1,0,173,0,200,156,63,288,15	0,0,0,0,0,0,0,0,0,0	173	150
241	40,0,0,0,0,0,0,0,0,0,0,0,0	0,74,0,2,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,59,0,0,0,0	216	150
258	0,0,0,0,0,38,0,0,0,0,0,0,0	0,0,0,0,222,0,0,0,0,0,0,0,0	0,0,0,0,0,51,0,0,0,4	0,0,0,0,0,0,0,0,0,0	169	150
298	0,0,0,121,0,0,0,117,0,0,0,0,0	0,12,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,230,0,0,0	315	150
316	0,54,0,996,0,0,0,0,0,0,0,0,0	0,59,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,0,11,0,0,0	0,0,0,0,0,0,0,0,0,0	289	150
318	0,0,0,0,0,0,0,0,0,0,469,0,0	0,17,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,33,0,0,0,0,0	271	150
320	0,0,0,0,0,0,0,0,0,0,1,0,0	2,92,0,0,0,156,0,0,17,0,0,0,0	0,0,0,0,0,0,0,0,0,0	20,0,0,0,0,0,99,0,0,0	272	150
324	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,450,57,0,1,0,0,32,0,0,0,0	0,0,0,0,0,85,0,0,0,0	0,0,0,0,0,1,0,0,0,0	206	150
325	0,78,853,134,0,2,0,0,32,0,6,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,99,200,0	0,0,0,0,0,0,0,0,103,0	255	150
333	0,26,0,0,0,0,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,28,0,0,0,0	0,0,0,0,0,0,0,0,114,0	241	150
335	5,37,0,0,1,0,0,11,4,0,0,0,0	0,0,0,0,0,107,0,0,0,0,0,0,0	0,0,0,0,0,28,0,0,0,60	0,0,0,0,0,0,0,0,0,0	214	150
337	48,64,0,0,0,0,1,0,1,1,112,0,0	0,86,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,31,0	0,0,0,0,0,0,0,0,0,0	300	150
356	0,37,0,0,0,0,0,0,0,0,0,0,0	0,133,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,10,0,0	252	150
363	0,0,0,0,0,0,0,0,6,0,287,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,0,0,5,0	296	150
391	0,0,0,0,0,0,0,0,0,0,0,0,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,70,0,0,0,0	0,1,0,0,0,0,0,0,0,0	347	150
396	0,0,0,0,0,0,0,0,0,0,319,0,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	188	150
406	0,0,0,0,0,0,0,0,0,0,185,2,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,0,0,0,0,18	0,1,0,0,0,0,0,0,0,0	331	150
408	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	331	150
409	0,0,0,0,0,0,0,0,0,0,185,2,0	3,60,0,0,0,0,0,0,34,0,0,0,0	0,0,0,0,0,3,0,0,0,18	0,1,0,0,0,0,0,0,0,0	300	150
410	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	150
412	0,0,0,0,0,0,0,0,0,0,184,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0	238	150
414	19,37,0,0,0,0,0,0,0,0,19,0,0	0,43,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,94,0,0,0	85,0,0,0,0,0,0,0,0,0	780	150
433	0,81,0,2,8,0,0,0,0,0,0,1,0	0,3,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	359	150
446	0,22,0,0,40,0,0,0,0,0,0,0,0	0,0,0,0,0,24,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,38,0,0,0,0,0	221	150
466	0,0,0,0,0,0,0,283,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,9,0,0,13,0	0,0,0,0,0,0,0,0,0,20	269	150
471	0,1,0,0,0,0,0,0,0,0,0,7,0	0,0,0,0,0,0,0,0,14,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,108,0,0	283	150
