query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.44e-09	1531	225	57	0.253	0.037	GO:0050793	BP	37	regulation of developmental process	1	ENSG00000007372,ENSG00000011405,ENSG00000068078,ENSG00000079691,ENSG00000092820,ENSG00000101144,ENSG00000101439,ENSG00000104447,ENSG00000105088,ENSG00000106278,ENSG00000106571,ENSG00000108854,ENSG00000110693,ENSG00000111783,ENSG00000113296,ENSG00000113645,ENSG00000116641,ENSG00000117525,ENSG00000119408,ENSG00000125398,ENSG00000126016,ENSG00000126785,ENSG00000130203,ENSG00000134250,ENSG00000134569,ENSG00000135744,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000136869,ENSG00000137285,ENSG00000137693,ENSG00000138685,ENSG00000138696,ENSG00000138756,ENSG00000141736,ENSG00000147065,ENSG00000148053,ENSG00000155363,ENSG00000161955,ENSG00000163110,ENSG00000163909,ENSG00000164188,ENSG00000164199,ENSG00000167601,ENSG00000169439,ENSG00000169860,ENSG00000170989,ENSG00000173402,ENSG00000179604,ENSG00000180263,ENSG00000185650,ENSG00000185920,ENSG00000185985,ENSG00000186951,ENSG00000188064,ENSG00000205336
1	TRUE	3.82e-08	3726	211	88	0.417	0.024	GO:0005886	CC	200	plasma membrane	1	ENSG00000011405,ENSG00000018625,ENSG00000046889,ENSG00000068078,ENSG00000071967,ENSG00000072840,ENSG00000073712,ENSG00000077585,ENSG00000078549,ENSG00000079215,ENSG00000079691,ENSG00000080493,ENSG00000083857,ENSG00000085719,ENSG00000091409,ENSG00000092820,ENSG00000100427,ENSG00000101400,ENSG00000105088,ENSG00000105854,ENSG00000106278,ENSG00000108375,ENSG00000109472,ENSG00000110436,ENSG00000113645,ENSG00000114698,ENSG00000115902,ENSG00000116729,ENSG00000117525,ENSG00000123104,ENSG00000126016,ENSG00000126785,ENSG00000127249,ENSG00000127418,ENSG00000129116,ENSG00000129244,ENSG00000130203,ENSG00000132613,ENSG00000134250,ENSG00000134569,ENSG00000134873,ENSG00000135318,ENSG00000135424,ENSG00000135916,ENSG00000136160,ENSG00000136869,ENSG00000138696,ENSG00000139155,ENSG00000143545,ENSG00000144749,ENSG00000146409,ENSG00000146535,ENSG00000147027,ENSG00000148053,ENSG00000148175,ENSG00000148482,ENSG00000151012,ENSG00000152661,ENSG00000153208,ENSG00000153822,ENSG00000154856,ENSG00000161509,ENSG00000162407,ENSG00000162512,ENSG00000163406,ENSG00000167601,ENSG00000168461,ENSG00000169439,ENSG00000169604,ENSG00000169860,ENSG00000170075,ENSG00000170989,ENSG00000171885,ENSG00000173402,ENSG00000179399,ENSG00000179604,ENSG00000182985,ENSG00000183579,ENSG00000185920,ENSG00000185985,ENSG00000187244,ENSG00000188064,ENSG00000198838,ENSG00000205336,ENSG00000211448,ENSG00000240184,ENSG00000241399,ENSG00000266964
1	TRUE	1.6e-05	14	54	4	0.074	0.286	GO:0005313	MF	186	L-glutamate transmembrane transporter activity	1	ENSG00000079215,ENSG00000110436,ENSG00000151012,ENSG00000182902
1	TRUE	7.01e-05	840	41	12	0.293	0.014	GO:0038023	MF	3	signaling receptor activity	1	ENSG00000106278,ENSG00000112333,ENSG00000126016,ENSG00000134250,ENSG00000136160,ENSG00000138696,ENSG00000152990,ENSG00000164199,ENSG00000167601,ENSG00000170989,ENSG00000205336,ENSG00000241399
1	TRUE	0.000109	80	227	9	0.04	0.113	GO:0005796	CC	17	Golgi lumen	1	ENSG00000114646,ENSG00000130287,ENSG00000132692,ENSG00000162512,ENSG00000169439,ENSG00000173402,ENSG00000173905,ENSG00000179399,ENSG00000188064
1	TRUE	0.000394	63	189	7	0.037	0.111	GO:0072089	BP	192	stem cell proliferation	1	ENSG00000108375,ENSG00000116641,ENSG00000137693,ENSG00000138685,ENSG00000183579,ENSG00000185650,ENSG00000188064
1	TRUE	0.000472	54	227	7	0.031	0.13	GO:0006027	BP	189	glycosaminoglycan catabolic process	1	ENSG00000114646,ENSG00000130287,ENSG00000132692,ENSG00000138685,ENSG00000162512,ENSG00000169439,ENSG00000179399
1	TRUE	0.00158	70	225	7	0.031	0.1	GO:0019199	MF	49	transmembrane receptor protein kinase activity	1	ENSG00000068078,ENSG00000127418,ENSG00000138696,ENSG00000141736,ENSG00000148053,ENSG00000153208,ENSG00000167601
1	TRUE	0.00187	23	85	4	0.047	0.174	KEGG:04964	keg	144	Proximal tubule bicarbonate reclamation	1	ENSG00000018625,ENSG00000080493,ENSG00000129244,ENSG00000148672
1	TRUE	0.00201	273	189	12	0.063	0.044	GO:0043062	BP	149	extracellular structure organization	1	ENSG00000091409,ENSG00000100979,ENSG00000101144,ENSG00000101439,ENSG00000130203,ENSG00000130287,ENSG00000132692,ENSG00000135424,ENSG00000135744,ENSG00000138685,ENSG00000172037,ENSG00000173402
