query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00164	1353	147	22	0.15	0.016	GO:0005887	CC	5	integral component of plasma membrane	1	ENSG00000081985,ENSG00000101188,ENSG00000108846,ENSG00000112818,ENSG00000115665,ENSG00000118308,ENSG00000121807,ENSG00000137809,ENSG00000143786,ENSG00000143921,ENSG00000146276,ENSG00000147155,ENSG00000148680,ENSG00000163873,ENSG00000173826,ENSG00000178342,ENSG00000179603,ENSG00000180616,ENSG00000183908,ENSG00000186854,ENSG00000188263,ENSG00000198929
1	TRUE	0.00164	2211	147	29	0.197	0.013	GO:0031224	CC	10	intrinsic component of membrane	1	ENSG00000081985,ENSG00000101188,ENSG00000106714,ENSG00000108846,ENSG00000110628,ENSG00000112818,ENSG00000115665,ENSG00000118308,ENSG00000121807,ENSG00000122254,ENSG00000124302,ENSG00000134256,ENSG00000137809,ENSG00000143786,ENSG00000143921,ENSG00000146276,ENSG00000147155,ENSG00000148680,ENSG00000152128,ENSG00000163873,ENSG00000173826,ENSG00000175294,ENSG00000178342,ENSG00000179603,ENSG00000180616,ENSG00000183908,ENSG00000186854,ENSG00000188263,ENSG00000198929
1	TRUE	0.0022	6	11	2	0.182	0.333	GO:0008467	MF	7	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	1	ENSG00000122254,ENSG00000182601
1	TRUE	0.00328	237	53	6	0.113	0.025	KEGG:04080	keg	3	Neuroactive ligand-receptor interaction	1	ENSG00000101188,ENSG00000148680,ENSG00000163873,ENSG00000171509,ENSG00000179603,ENSG00000180616
1	TRUE	0.0119	680	138	13	0.094	0.019	GO:0004888	MF	8	transmembrane signaling receptor activity	1	ENSG00000081985,ENSG00000101188,ENSG00000121807,ENSG00000137809,ENSG00000146276,ENSG00000147155,ENSG00000148680,ENSG00000163873,ENSG00000171509,ENSG00000179603,ENSG00000180616,ENSG00000188263,ENSG00000189108
1	TRUE	0.0213	65	28	3	0.107	0.046	GO:0007215	BP	12	glutamate receptor signaling pathway	1	ENSG00000143786,ENSG00000163873,ENSG00000179603
1	TRUE	0.0245	60	6	2	0.333	0.033	GO:0004222	MF	4	metalloendopeptidase activity	1	ENSG00000038295,ENSG00000186854
1	TRUE	0.0291	84	204	5	0.025	0.06	KEGG:04974	keg	1	Protein digestion and absorption	1	ENSG00000112818,ENSG00000169436,ENSG00000197467,ENSG00000197635,ENSG00000204983
1	TRUE	0.0339	9	56	2	0.036	0.222	GO:1903818	BP	6	positive regulation of voltage-gated potassium channel activity	1	ENSG00000183908,ENSG00000198929
1	TRUE	0.0351	5	129	2	0.016	0.4	GO:0035701	BP	11	hematopoietic stem cell migration	1	ENSG00000121807,ENSG00000127152
1	TRUE	0.0431	160	89	5	0.056	0.031	GO:0007187	BP	9	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	1	ENSG00000135324,ENSG00000148680,ENSG00000171509,ENSG00000179603,ENSG00000180616
1	TRUE	0.0458	28	131	3	0.023	0.107	GO:0043204	CC	2	perikaryon	1	ENSG00000115665,ENSG00000121807,ENSG00000163873
