query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00174	107	87	7	0.08	0.065	GO:0051017	BP	36	actin filament bundle assembly	1	ENSG00000006611,ENSG00000097007,ENSG00000104728,ENSG00000119699,ENSG00000164403,ENSG00000172725,ENSG00000186635
1	TRUE	0.00174	56	57	5	0.088	0.089	GO:0005089	MF	82	Rho guanyl-nucleotide exchange factor activity	1	ENSG00000076928,ENSG00000104728,ENSG00000124126,ENSG00000150760,ENSG00000182957
1	TRUE	0.00832	60	43	4	0.093	0.067	GO:0051492	BP	21	regulation of stress fiber assembly	1	ENSG00000097007,ENSG00000104728,ENSG00000119699,ENSG00000186635
1	TRUE	0.00832	28	37	3	0.081	0.107	GO:0006911	BP	74	phagocytosis, engulfment	1	ENSG00000145794,ENSG00000148180,ENSG00000150760
1	TRUE	0.00969	31	119	4	0.034	0.129	GO:0001954	BP	10	positive regulation of cell-matrix adhesion	1	ENSG00000084636,ENSG00000097007,ENSG00000173801,ENSG00000184371
1	TRUE	0.00969	1075	73	15	0.205	0.014	GO:0048468	BP	53	cell development	1	ENSG00000006611,ENSG00000049245,ENSG00000066468,ENSG00000097007,ENSG00000104067,ENSG00000104728,ENSG00000110047,ENSG00000119139,ENSG00000119699,ENSG00000140262,ENSG00000145794,ENSG00000150760,ENSG00000160307,ENSG00000164050,ENSG00000167191
1	TRUE	0.00998	6	34	2	0.059	0.333	GO:0090557	BP	30	establishment of endothelial intestinal barrier	1	ENSG00000104067,ENSG00000119139
1	TRUE	0.0111	590	92	12	0.13	0.02	GO:0008092	MF	118	cytoskeletal protein binding	1	ENSG00000006611,ENSG00000097007,ENSG00000104728,ENSG00000126777,ENSG00000127946,ENSG00000136861,ENSG00000148180,ENSG00000160307,ENSG00000164403,ENSG00000170873,ENSG00000172725,ENSG00000196586
1	TRUE	0.0131	10	26	2	0.077	0.2	GO:0010935	BP	94	regulation of macrophage cytokine production	1	ENSG00000119699,ENSG00000167191
1	TRUE	0.0151	1894	112	26	0.232	0.014	GO:0070062	CC	54	extracellular exosome	1	ENSG00000040531,ENSG00000093010,ENSG00000102032,ENSG00000102699,ENSG00000110047,ENSG00000117115,ENSG00000119655,ENSG00000134716,ENSG00000136068,ENSG00000136861,ENSG00000137713,ENSG00000144579,ENSG00000148180,ENSG00000148204,ENSG00000159176,ENSG00000162889,ENSG00000164300,ENSG00000167191,ENSG00000172725,ENSG00000173801,ENSG00000175130,ENSG00000178996,ENSG00000196586,ENSG00000196743,ENSG00000204580,ENSG00000213977
