query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.69e-09	814	192	36	0.188	0.044	GO:0048699	BP	12	generation of neurons	1	ENSG00000004139,ENSG00000063660,ENSG00000070610,ENSG00000072518,ENSG00000102038,ENSG00000105429,ENSG00000107130,ENSG00000107263,ENSG00000107404,ENSG00000107954,ENSG00000115306,ENSG00000115694,ENSG00000116254,ENSG00000120049,ENSG00000124006,ENSG00000124507,ENSG00000130559,ENSG00000132535,ENSG00000135144,ENSG00000136848,ENSG00000148082,ENSG00000149930,ENSG00000150471,ENSG00000160007,ENSG00000162065,ENSG00000164796,ENSG00000165802,ENSG00000169220,ENSG00000169258,ENSG00000171798,ENSG00000173482,ENSG00000173898,ENSG00000181790,ENSG00000188906,ENSG00000198797,ENSG00000206052
1	TRUE	5.33e-09	322	185	22	0.119	0.068	GO:0045202	CC	88	synapse	1	ENSG00000004139,ENSG00000080845,ENSG00000101098,ENSG00000107282,ENSG00000107404,ENSG00000107954,ENSG00000116544,ENSG00000124507,ENSG00000132535,ENSG00000162065,ENSG00000162105,ENSG00000165802,ENSG00000169220,ENSG00000169992,ENSG00000171992,ENSG00000174871,ENSG00000181790,ENSG00000184702,ENSG00000186642,ENSG00000186716,ENSG00000187902,ENSG00000188906
1	TRUE	5.41e-09	651	193	31	0.161	0.048	GO:0097458	CC	50	neuron part	1	ENSG00000004139,ENSG00000072518,ENSG00000100505,ENSG00000101098,ENSG00000105642,ENSG00000107282,ENSG00000107404,ENSG00000107954,ENSG00000115306,ENSG00000124507,ENSG00000125869,ENSG00000132535,ENSG00000136848,ENSG00000139874,ENSG00000149930,ENSG00000150471,ENSG00000162065,ENSG00000162105,ENSG00000162951,ENSG00000165802,ENSG00000169220,ENSG00000171798,ENSG00000171992,ENSG00000174871,ENSG00000181790,ENSG00000184702,ENSG00000186642,ENSG00000186716,ENSG00000187902,ENSG00000188906,ENSG00000198797
1	TRUE	6.25e-09	543	192	28	0.146	0.052	GO:0031175	BP	83	neuron projection development	1	ENSG00000004139,ENSG00000063660,ENSG00000072518,ENSG00000105429,ENSG00000107130,ENSG00000107263,ENSG00000107404,ENSG00000107954,ENSG00000115306,ENSG00000115694,ENSG00000124006,ENSG00000124507,ENSG00000130559,ENSG00000132535,ENSG00000136848,ENSG00000148082,ENSG00000149930,ENSG00000160007,ENSG00000162065,ENSG00000164796,ENSG00000165802,ENSG00000169258,ENSG00000171798,ENSG00000173482,ENSG00000173898,ENSG00000181790,ENSG00000188906,ENSG00000206052
1	TRUE	6.25e-09	390	195	24	0.123	0.062	GO:0007268	BP	43	chemical synaptic transmission	1	ENSG00000101098,ENSG00000101298,ENSG00000105642,ENSG00000107282,ENSG00000107404,ENSG00000107954,ENSG00000109189,ENSG00000110076,ENSG00000120049,ENSG00000132535,ENSG00000145920,ENSG00000148408,ENSG00000162105,ENSG00000164418,ENSG00000165802,ENSG00000167535,ENSG00000169220,ENSG00000169992,ENSG00000171189,ENSG00000181790,ENSG00000184702,ENSG00000187902,ENSG00000188906,ENSG00000197283
1	TRUE	1.4e-08	163	195	16	0.082	0.098	GO:0099177	BP	126	regulation of trans-synaptic signaling	1	ENSG00000101098,ENSG00000107954,ENSG00000109189,ENSG00000132535,ENSG00000145920,ENSG00000162105,ENSG00000164418,ENSG00000165802,ENSG00000169220,ENSG00000169992,ENSG00000171189,ENSG00000181790,ENSG00000184702,ENSG00000187902,ENSG00000188906,ENSG00000197283
1	TRUE	2.55e-07	202	193	16	0.083	0.079	GO:0030425	CC	74	dendrite	1	ENSG00000004139,ENSG00000072518,ENSG00000100505,ENSG00000107954,ENSG00000125869,ENSG00000132535,ENSG00000149930,ENSG00000162105,ENSG00000165802,ENSG00000169220,ENSG00000171798,ENSG00000171992,ENSG00000174871,ENSG00000181790,ENSG00000188906,ENSG00000198797
1	TRUE	1.47e-05	172	141	11	0.078	0.064	GO:0050808	BP	113	synapse organization	1	ENSG00000107404,ENSG00000107954,ENSG00000110076,ENSG00000132535,ENSG00000136848,ENSG00000150471,ENSG00000162105,ENSG00000167535,ENSG00000169992,ENSG00000171992,ENSG00000187902
1	TRUE	1.47e-05	3792	195	75	0.385	0.02	GO:0071944	CC	57	cell periphery	1	ENSG00000007264,ENSG00000059915,ENSG00000063660,ENSG00000070610,ENSG00000072518,ENSG00000080224,ENSG00000080845,ENSG00000084710,ENSG00000095203,ENSG00000099864,ENSG00000101098,ENSG00000101940,ENSG00000105376,ENSG00000105642,ENSG00000105737,ENSG00000107130,ENSG00000107185,ENSG00000107281,ENSG00000107404,ENSG00000107954,ENSG00000110076,ENSG00000113100,ENSG00000114923,ENSG00000115306,ENSG00000116544,ENSG00000118432,ENSG00000120049,ENSG00000120088,ENSG00000124507,ENSG00000125869,ENSG00000129946,ENSG00000132434,ENSG00000132535,ENSG00000133612,ENSG00000135519,ENSG00000136295,ENSG00000136848,ENSG00000139874,ENSG00000140526,ENSG00000140854,ENSG00000141404,ENSG00000143248,ENSG00000148082,ENSG00000148408,ENSG00000149091,ENSG00000150471,ENSG00000158186,ENSG00000162065,ENSG00000162105,ENSG00000164398,ENSG00000164418,ENSG00000164796,ENSG00000165194,ENSG00000165802,ENSG00000167323,ENSG00000167535,ENSG00000167680,ENSG00000169220,ENSG00000169258,ENSG00000169992,ENSG00000171189,ENSG00000173020,ENSG00000173482,ENSG00000173898,ENSG00000174871,ENSG00000181790,ENSG00000184702,ENSG00000186642,ENSG00000187902,ENSG00000188906,ENSG00000197283,ENSG00000198053,ENSG00000204469,ENSG00000204681,ENSG00000241360
1	TRUE	6.41e-05	3726	195	72	0.369	0.019	GO:0005886	CC	134	plasma membrane	1	ENSG00000007264,ENSG00000059915,ENSG00000063660,ENSG00000070610,ENSG00000072518,ENSG00000080224,ENSG00000080845,ENSG00000084710,ENSG00000095203,ENSG00000099864,ENSG00000101098,ENSG00000101940,ENSG00000105376,ENSG00000105642,ENSG00000105737,ENSG00000107130,ENSG00000107185,ENSG00000107281,ENSG00000107404,ENSG00000107954,ENSG00000110076,ENSG00000113100,ENSG00000114923,ENSG00000115306,ENSG00000116544,ENSG00000118432,ENSG00000120049,ENSG00000120088,ENSG00000124507,ENSG00000125869,ENSG00000129946,ENSG00000132434,ENSG00000132535,ENSG00000135519,ENSG00000136295,ENSG00000136848,ENSG00000139874,ENSG00000140526,ENSG00000140854,ENSG00000141404,ENSG00000143248,ENSG00000148082,ENSG00000148408,ENSG00000149091,ENSG00000150471,ENSG00000158186,ENSG00000162065,ENSG00000162105,ENSG00000164398,ENSG00000164418,ENSG00000164796,ENSG00000165194,ENSG00000167323,ENSG00000167535,ENSG00000167680,ENSG00000169220,ENSG00000169258,ENSG00000169992,ENSG00000171189,ENSG00000173020,ENSG00000173482,ENSG00000174871,ENSG00000181790,ENSG00000184702,ENSG00000186642,ENSG00000187902,ENSG00000188906,ENSG00000197283,ENSG00000198053,ENSG00000204469,ENSG00000204681,ENSG00000241360
