query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000448	355	117	14	0.12	0.039	GO:0005925	CC	126	focal adhesion	1	ENSG00000050405,ENSG00000079308,ENSG00000087077,ENSG00000110651,ENSG00000111077,ENSG00000120063,ENSG00000120896,ENSG00000121691,ENSG00000137076,ENSG00000150093,ENSG00000154380,ENSG00000162909,ENSG00000164111,ENSG00000176105
1	TRUE	0.00216	2072	113	33	0.292	0.016	GO:0007166	BP	116	cell surface receptor signaling pathway	1	ENSG00000003402,ENSG00000049323,ENSG00000065978,ENSG00000067955,ENSG00000078246,ENSG00000088888,ENSG00000107104,ENSG00000110651,ENSG00000111961,ENSG00000113594,ENSG00000113658,ENSG00000114166,ENSG00000114353,ENSG00000116478,ENSG00000120693,ENSG00000127603,ENSG00000129219,ENSG00000131196,ENSG00000135547,ENSG00000145555,ENSG00000148400,ENSG00000150093,ENSG00000150457,ENSG00000150907,ENSG00000158195,ENSG00000162946,ENSG00000165458,ENSG00000168385,ENSG00000173821,ENSG00000176105,ENSG00000181449,ENSG00000204138,ENSG00000213625
1	TRUE	0.00225	85	7	3	0.429	0.035	GO:0051494	BP	34	negative regulation of cytoskeleton organization	1	ENSG00000107104,ENSG00000114166,ENSG00000158195
1	TRUE	0.00243	114	14	3	0.214	0.026	KEGG:04919	keg	21	Thyroid hormone signaling pathway	1	ENSG00000114166,ENSG00000148400,ENSG00000150907
1	TRUE	0.00243	38	67	4	0.06	0.105	KEGG:00260	keg	109	Glycine, serine and threonine metabolism	1	ENSG00000092621,ENSG00000135069,ENSG00000164904,ENSG00000171766
1	TRUE	0.00298	83	92	6	0.065	0.072	GO:0010508	BP	51	positive regulation of autophagy	1	ENSG00000097033,ENSG00000130147,ENSG00000150907,ENSG00000163820,ENSG00000164938,ENSG00000186815
1	TRUE	0.0035	237	121	10	0.083	0.042	GO:0030111	BP	161	regulation of Wnt signaling pathway	1	ENSG00000067955,ENSG00000101849,ENSG00000107104,ENSG00000116478,ENSG00000127603,ENSG00000131196,ENSG00000150457,ENSG00000162946,ENSG00000173821,ENSG00000181449
1	TRUE	0.0035	11	71	3	0.042	0.273	GO:2000737	BP	8	negative regulation of stem cell differentiation	1	ENSG00000084093,ENSG00000148400,ENSG00000152518
1	TRUE	0.0035	68	121	6	0.05	0.088	GO:0017053	CC	142	transcriptional repressor complex	1	ENSG00000084093,ENSG00000101849,ENSG00000116478,ENSG00000135547,ENSG00000136044,ENSG00000185591
1	TRUE	0.0035	1761	114	29	0.254	0.016	GO:0019899	MF	93	enzyme binding	1	ENSG00000003402,ENSG00000065978,ENSG00000078061,ENSG00000078246,ENSG00000087077,ENSG00000088888,ENSG00000111077,ENSG00000111961,ENSG00000113658,ENSG00000114166,ENSG00000116478,ENSG00000120063,ENSG00000121691,ENSG00000124067,ENSG00000124570,ENSG00000130147,ENSG00000131196,ENSG00000132669,ENSG00000135547,ENSG00000140836,ENSG00000148400,ENSG00000150093,ENSG00000150907,ENSG00000164292,ENSG00000165029,ENSG00000176105,ENSG00000185591,ENSG00000204138,ENSG00000265972
1	TRUE	0.00435	133	103	7	0.068	0.053	KEGG:04550	keg	35	Signaling pathways regulating pluripotency of stem cells	1	ENSG00000083168,ENSG00000084093,ENSG00000113594,ENSG00000113658,ENSG00000120693,ENSG00000140836,ENSG00000181449
1	TRUE	0.00541	17	7	2	0.286	0.118	GO:0007221	BP	92	positive regulation of transcription of Notch receptor target	1	ENSG00000114166,ENSG00000148400
1	TRUE	0.00558	10	14	2	0.143	0.2	GO:0014741	BP	13	negative regulation of muscle hypertrophy	1	ENSG00000148400,ENSG00000150907
1	TRUE	0.00666	43	4	2	0.5	0.047	GO:0010812	BP	132	negative regulation of cell-substrate adhesion	1	ENSG00000107104,ENSG00000148400
1	TRUE	0.00725	47	7	2	0.286	0.043	KEGG:04330	keg	103	Notch signaling pathway	1	ENSG00000114166,ENSG00000148400
1	TRUE	0.0101	668	7	4	0.571	0.006	GO:0044087	BP	88	regulation of cellular component biogenesis	1	ENSG00000107104,ENSG00000114166,ENSG00000148400,ENSG00000158195
1	TRUE	0.0101	4	69	2	0.029	0.5	GO:0060842	BP	144	arterial endothelial cell differentiation	1	ENSG00000135547,ENSG00000148400
1	TRUE	0.0101	1894	118	29	0.246	0.015	GO:0070062	CC	162	extracellular exosome	1	ENSG00000065978,ENSG00000092621,ENSG00000107317,ENSG00000110651,ENSG00000113594,ENSG00000114353,ENSG00000120063,ENSG00000121691,ENSG00000124570,ENSG00000129353,ENSG00000130147,ENSG00000135069,ENSG00000136044,ENSG00000137076,ENSG00000137831,ENSG00000150093,ENSG00000155368,ENSG00000158195,ENSG00000162909,ENSG00000163629,ENSG00000164111,ENSG00000164292,ENSG00000164904,ENSG00000168385,ENSG00000171766,ENSG00000176105,ENSG00000182871,ENSG00000184678,ENSG00000213064
1	TRUE	0.0113	1474	89	20	0.225	0.014	GO:0000981	MF	62	DNA-binding transcription factor activity, RNA polymerase II-specific	1	ENSG00000064961,ENSG00000065978,ENSG00000067955,ENSG00000084093,ENSG00000091656,ENSG00000109787,ENSG00000113658,ENSG00000116132,ENSG00000120693,ENSG00000135547,ENSG00000143842,ENSG00000147421,ENSG00000148143,ENSG00000150907,ENSG00000151322,ENSG00000152518,ENSG00000162599,ENSG00000181449,ENSG00000181722,ENSG00000185591
1	TRUE	0.0124	4	92	2	0.022	0.5	GO:0048102	BP	143	autophagic cell death	1	ENSG00000097033,ENSG00000164938
1	TRUE	0.0124	5	73	2	0.027	0.4	GO:0030618	MF	133	transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity	1	ENSG00000113658,ENSG00000120693
1	TRUE	0.0127	6	67	2	0.03	0.333	GO:0006564	BP	50	L-serine biosynthetic process	1	ENSG00000092621,ENSG00000135069
1	TRUE	0.0127	1	4	1	0.25	1	GO:0003213	BP	136	cardiac right atrium morphogenesis	1	ENSG00000148400
1	TRUE	0.013	9	46	2	0.043	0.222	GO:0060379	BP	54	cardiac muscle cell myoblast differentiation	1	ENSG00000084093,ENSG00000148400
1	TRUE	0.0137	40	54	3	0.056	0.075	GO:0072665	BP	146	protein localization to vacuole	1	ENSG00000097033,ENSG00000110651,ENSG00000130147
1	TRUE	0.015	7	73	2	0.027	0.286	GO:0071141	CC	129	SMAD protein complex	1	ENSG00000113658,ENSG00000120693
1	TRUE	0.0152	2	4	1	0.25	0.5	GO:0045967	BP	156	negative regulation of growth rate	1	ENSG00000148400
1	TRUE	0.0152	2	4	1	0.25	0.5	GO:0003250	BP	70	regulation of cell proliferation involved in heart valve morphogenesis	1	ENSG00000148400
1	TRUE	0.0152	2	4	1	0.25	0.5	GO:0003169	BP	37	coronary vein morphogenesis	1	ENSG00000148400
1	TRUE	0.0152	706	113	14	0.124	0.02	GO:0043565	MF	32	sequence-specific DNA binding	1	ENSG00000065978,ENSG00000067955,ENSG00000084093,ENSG00000116478,ENSG00000131196,ENSG00000135547,ENSG00000140836,ENSG00000143842,ENSG00000147421,ENSG00000148400,ENSG00000150907,ENSG00000162599,ENSG00000181449,ENSG00000185591
1	TRUE	0.0153	226	99	7	0.071	0.031	GO:0031252	CC	128	cell leading edge	1	ENSG00000107104,ENSG00000127603,ENSG00000137076,ENSG00000150093,ENSG00000158195,ENSG00000163629,ENSG00000204138
1	TRUE	0.0168	671	70	10	0.143	0.015	GO:0044877	MF	105	protein-containing complex binding	1	ENSG00000078246,ENSG00000110651,ENSG00000114166,ENSG00000114353,ENSG00000120063,ENSG00000127603,ENSG00000137076,ENSG00000145555,ENSG00000147421,ENSG00000158195
1	TRUE	0.0176	25	113	3	0.027	0.12	GO:0043921	BP	157	modulation by host of viral transcription	1	ENSG00000084093,ENSG00000116478,ENSG00000185591
1	TRUE	0.0176	25	113	3	0.027	0.12	GO:0052472	BP	90	modulation by host of symbiont transcription	1	ENSG00000084093,ENSG00000116478,ENSG00000185591
1	TRUE	0.0176	3	4	1	0.25	0.333	GO:1905457	BP	131	negative regulation of lymphoid progenitor cell differentiation	1	ENSG00000148400
1	TRUE	0.0176	3	4	1	0.25	0.333	GO:0003273	BP	78	cell migration involved in endocardial cushion formation	1	ENSG00000148400
1	TRUE	0.0176	3	4	1	0.25	0.333	GO:1902339	BP	98	positive regulation of apoptotic process involved in morphogenesis	1	ENSG00000148400
1	TRUE	0.0176	3	4	1	0.25	0.333	GO:2001027	BP	111	negative regulation of endothelial cell chemotaxis	1	ENSG00000148400
1	TRUE	0.0176	3	4	1	0.25	0.333	GO:0003332	BP	130	negative regulation of extracellular matrix constituent secretion	1	ENSG00000148400
1	TRUE	0.0176	54	121	4	0.033	0.074	GO:0000118	CC	57	histone deacetylase complex	1	ENSG00000101849,ENSG00000116478,ENSG00000135547,ENSG00000136044
1	TRUE	0.0176	3	4	1	0.25	0.333	GO:0002193	CC	38	MAML1-RBP-Jkappa- ICN1 complex	1	ENSG00000148400
1	TRUE	0.0191	60	113	4	0.035	0.067	GO:0045652	BP	135	regulation of megakaryocyte differentiation	1	ENSG00000055609,ENSG00000067955,ENSG00000114166,ENSG00000116478
1	TRUE	0.0191	32	95	3	0.032	0.094	GO:0014031	BP	22	mesenchymal cell development	1	ENSG00000135547,ENSG00000148400,ENSG00000204138
1	TRUE	0.0226	5	4	1	0.25	0.2	GO:0048715	BP	40	negative regulation of oligodendrocyte differentiation	1	ENSG00000148400
1	TRUE	0.0226	5	4	1	0.25	0.2	GO:0060982	BP	65	coronary artery morphogenesis	1	ENSG00000148400
1	TRUE	0.0226	5	4	1	0.25	0.2	GO:0061419	BP	68	positive regulation of transcription from RNA polymerase II promoter in response to hypoxia	1	ENSG00000148400
1	TRUE	0.0227	1	22	1	0.045	1	GO:1904826	BP	80	regulation of hydrogen sulfide biosynthetic process	1	ENSG00000185591
1	TRUE	0.0227	8	113	2	0.018	0.25	GO:0070933	BP	19	histone H4 deacetylation	1	ENSG00000084093,ENSG00000116478
1	TRUE	0.0227	1	22	1	0.045	1	GO:0100057	BP	148	regulation of phenotypic switching by transcription from RNA polymerase II promoter	1	ENSG00000185591
1	TRUE	0.0227	1	22	1	0.045	1	GO:1904828	BP	127	positive regulation of hydrogen sulfide biosynthetic process	1	ENSG00000185591
1	TRUE	0.0234	13	71	2	0.028	0.154	GO:0071385	BP	45	cellular response to glucocorticoid stimulus	1	ENSG00000084093,ENSG00000152518
1	TRUE	0.0235	6	4	1	0.25	0.167	GO:0003344	BP	153	pericardium morphogenesis	1	ENSG00000148400
1	TRUE	0.0235	70	111	4	0.036	0.057	GO:0038096	BP	20	Fc-gamma receptor signaling pathway involved in phagocytosis	1	ENSG00000129219,ENSG00000145555,ENSG00000158195,ENSG00000176105
1	TRUE	0.024	14	69	2	0.029	0.143	GO:0003214	BP	2	cardiac left ventricle morphogenesis	1	ENSG00000135547,ENSG00000148400
1	TRUE	0.0252	170	6	2	0.333	0.012	GO:0110053	BP	114	regulation of actin filament organization	1	ENSG00000107104,ENSG00000158195
1	TRUE	0.0252	7	4	1	0.25	0.143	GO:0062043	BP	119	positive regulation of cardiac epithelial to mesenchymal transition	1	ENSG00000148400
1	TRUE	0.0252	4	7	1	0.143	0.25	GO:0018076	BP	97	N-terminal peptidyl-lysine acetylation	1	ENSG00000114166
1	TRUE	0.0252	4	7	1	0.143	0.25	GO:0000125	CC	163	PCAF complex	1	ENSG00000114166
1	TRUE	0.0252	4	7	1	0.143	0.25	GO:0004468	MF	145	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor	1	ENSG00000114166
1	TRUE	0.0254	10	104	2	0.019	0.2	GO:0010832	BP	117	negative regulation of myotube differentiation	1	ENSG00000003402,ENSG00000148400
1	TRUE	0.0255	1	30	1	0.033	1	GO:0043128	BP	72	positive regulation of 1-phosphatidylinositol 4-kinase activity	1	ENSG00000110651
1	TRUE	0.0256	1	31	1	0.032	1	GO:0071612	BP	60	IP-10 production	1	ENSG00000088888
1	TRUE	0.0256	2	16	1	0.062	0.5	GO:0060002	MF	120	plus-end directed microfilament motor activity	1	ENSG00000145555
1	TRUE	0.0259	406	71	7	0.099	0.017	GO:0009611	BP	138	response to wounding	1	ENSG00000064961,ENSG00000107104,ENSG00000120063,ENSG00000127603,ENSG00000137076,ENSG00000152518,ENSG00000181449
1	TRUE	0.0259	8	4	1	0.25	0.125	GO:0003222	BP	124	ventricular trabecula myocardium morphogenesis	1	ENSG00000148400
1	TRUE	0.0259	1	32	1	0.031	1	GO:0015067	MF	155	amidinotransferase activity	1	ENSG00000171766
1	TRUE	0.0259	2	17	1	0.059	0.5	GO:0004923	MF	14	leukemia inhibitory factor receptor activity	1	ENSG00000113594
1	TRUE	0.027	17	2	1	0.5	0.059	GO:2000114	BP	55	regulation of establishment of cell polarity	1	ENSG00000107104
1	TRUE	0.0273	9	4	1	0.25	0.111	GO:0048711	BP	75	positive regulation of astrocyte differentiation	1	ENSG00000148400
1	TRUE	0.0273	9	4	1	0.25	0.111	GO:0001190	MF	42	obsolete transcriptional activator activity, RNA polymerase II transcription factor binding	1	ENSG00000148400
1	TRUE	0.0285	172	7	2	0.286	0.012	GO:0006367	BP	74	transcription initiation from RNA polymerase II promoter	1	ENSG00000114166,ENSG00000148400
1	TRUE	0.0285	1	40	1	0.025	1	GO:0033961	MF	150	cis-stilbene-oxide hydrolase activity	1	ENSG00000143819
1	TRUE	0.0288	1	42	1	0.024	1	GO:0004043	MF	25	L-aminoadipate-semialdehyde dehydrogenase activity	1	ENSG00000164904
1	TRUE	0.0288	1	42	1	0.024	1	GO:0008802	MF	77	betaine-aldehyde dehydrogenase activity	1	ENSG00000164904
1	TRUE	0.0292	11	4	1	0.25	0.091	GO:0060045	BP	141	positive regulation of cardiac muscle cell proliferation	1	ENSG00000148400
1	TRUE	0.0292	1	46	1	0.022	1	GO:2000798	BP	12	negative regulation of amniotic stem cell differentiation	1	ENSG00000084093
1	TRUE	0.0303	19	70	2	0.029	0.105	GO:1905360	CC	82	GTPase complex	1	ENSG00000114353,ENSG00000120063
1	TRUE	0.0303	3	17	1	0.059	0.333	GO:0004924	MF	118	oncostatin-M receptor activity	1	ENSG00000113594
1	TRUE	0.0303	41	113	3	0.027	0.073	GO:0004407	MF	52	histone deacetylase activity	1	ENSG00000064961,ENSG00000084093,ENSG00000116478
1	TRUE	0.0308	7	7	1	0.143	0.143	GO:0010835	BP	58	regulation of protein ADP-ribosylation	1	ENSG00000114166
1	TRUE	0.0309	4	14	1	0.071	0.25	GO:0071455	BP	33	cellular response to hyperoxia	1	ENSG00000150907
1	TRUE	0.0309	26	2	1	0.5	0.038	GO:0030837	BP	112	negative regulation of actin filament polymerization	1	ENSG00000107104
1	TRUE	0.0309	2	27	1	0.037	0.5	GO:0071228	BP	16	cellular response to tumor cell	1	ENSG00000265972
1	TRUE	0.0322	207	7	2	0.286	0.01	GO:0007050	BP	17	cell cycle arrest	1	ENSG00000114166,ENSG00000148400
1	TRUE	0.0322	8	7	1	0.143	0.125	GO:0046600	BP	7	negative regulation of centriole replication	1	ENSG00000114166
1	TRUE	0.0322	101	99	4	0.04	0.04	GO:0001726	CC	149	ruffle	1	ENSG00000107104,ENSG00000127603,ENSG00000137076,ENSG00000150093
1	TRUE	0.0322	164	99	5	0.051	0.03	GO:0031253	CC	71	cell projection membrane	1	ENSG00000107104,ENSG00000120063,ENSG00000127603,ENSG00000150093,ENSG00000168385
1	TRUE	0.0325	104	97	4	0.041	0.038	GO:0016125	BP	140	sterol metabolic process	1	ENSG00000076555,ENSG00000145476,ENSG00000165029,ENSG00000185591
1	TRUE	0.0325	136	75	4	0.053	0.029	GO:0007188	BP	59	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	1	ENSG00000114353,ENSG00000120063,ENSG00000158195,ENSG00000165029
1	TRUE	0.0329	15	4	1	0.25	0.067	GO:0090051	BP	89	negative regulation of cell migration involved in sprouting angiogenesis	1	ENSG00000148400
1	TRUE	0.0332	4	17	1	0.059	0.25	GO:0038165	BP	102	oncostatin-M-mediated signaling pathway	1	ENSG00000113594
1	TRUE	0.0332	16	4	1	0.25	0.062	GO:2000811	BP	96	negative regulation of anoikis	1	ENSG00000148400
1	TRUE	0.0332	1	67	1	0.015	1	GO:0004617	MF	15	phosphoglycerate dehydrogenase activity	1	ENSG00000092621
1	TRUE	0.0332	1	66	1	0.015	1	GO:0004648	MF	4	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	1	ENSG00000135069
1	TRUE	0.0332	16	96	2	0.021	0.125	GO:0016881	MF	10	acid-amino acid ligase activity	1	ENSG00000135912,ENSG00000214021
1	TRUE	0.0336	60	87	3	0.034	0.05	GO:1902930	BP	160	regulation of alcohol biosynthetic process	1	ENSG00000076555,ENSG00000084093,ENSG00000185591
1	TRUE	0.0345	10	7	1	0.143	0.1	GO:0004861	MF	85	cyclin-dependent protein serine/threonine kinase inhibitor activity	1	ENSG00000114166
1	TRUE	0.0346	1	75	1	0.013	1	GO:0090107	BP	125	regulation of high-density lipoprotein particle assembly	1	ENSG00000165029
1	TRUE	0.0354	1	78	1	0.013	1	GO:0050436	MF	87	microfibril binding	1	ENSG00000049323
1	TRUE	0.0356	19	4	1	0.25	0.053	GO:0030513	BP	66	positive regulation of BMP signaling pathway	1	ENSG00000148400
1	TRUE	0.0362	6	14	1	0.071	0.167	GO:0070417	BP	36	cellular response to cold	1	ENSG00000150907
1	TRUE	0.0364	5	17	1	0.059	0.2	GO:0070120	BP	122	ciliary neurotrophic factor-mediated signaling pathway	1	ENSG00000113594
1	TRUE	0.0364	5	17	1	0.059	0.2	GO:0005127	MF	81	ciliary neurotrophic factor receptor binding	1	ENSG00000113594
1	TRUE	0.0367	1	84	1	0.012	1	GO:0008117	MF	39	sphinganine-1-phosphate aldolase activity	1	ENSG00000166224
1	TRUE	0.0368	61	92	3	0.033	0.049	GO:0005776	CC	121	autophagosome	1	ENSG00000097033,ENSG00000163820,ENSG00000164938
