query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.12e-30	651	1367	154	0.113	0.237	GO:0097458	CC	200	neuron part	1	ENSG00000003147,ENSG00000003393,ENSG00000005249,ENSG00000006116,ENSG00000008056,ENSG00000008086,ENSG00000008277,ENSG00000008735,ENSG00000011347,ENSG00000018189,ENSG00000020129,ENSG00000040199,ENSG00000040608,ENSG00000050748,ENSG00000054277,ENSG00000054356,ENSG00000058335,ENSG00000067715,ENSG00000069424,ENSG00000070808,ENSG00000073969,ENSG00000077080,ENSG00000078018,ENSG00000078053,ENSG00000078369,ENSG00000078725,ENSG00000082397,ENSG00000082458,ENSG00000082701,ENSG00000088899,ENSG00000091129,ENSG00000099365,ENSG00000100321,ENSG00000101438,ENSG00000102003,ENSG00000102225,ENSG00000102606,ENSG00000103264,ENSG00000104093,ENSG00000104435,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000105723,ENSG00000106105,ENSG00000107643,ENSG00000107864,ENSG00000108797,ENSG00000109339,ENSG00000109756,ENSG00000111262,ENSG00000113327,ENSG00000113763,ENSG00000114030,ENSG00000116106,ENSG00000116141,ENSG00000117016,ENSG00000117533,ENSG00000120251,ENSG00000122126,ENSG00000124198,ENSG00000124486,ENSG00000126214,ENSG00000127561,ENSG00000127870,ENSG00000129159,ENSG00000129990,ENSG00000130477,ENSG00000130479,ENSG00000130558,ENSG00000130638,ENSG00000131238,ENSG00000131711,ENSG00000132639,ENSG00000132718,ENSG00000132872,ENSG00000136531,ENSG00000138175,ENSG00000138663,ENSG00000138814,ENSG00000139220,ENSG00000142192,ENSG00000144619,ENSG00000145632,ENSG00000145934,ENSG00000148660,ENSG00000149256,ENSG00000149269,ENSG00000151835,ENSG00000152954,ENSG00000154096,ENSG00000154429,ENSG00000155093,ENSG00000155252,ENSG00000155256,ENSG00000155961,ENSG00000156052,ENSG00000156642,ENSG00000157540,ENSG00000157680,ENSG00000157764,ENSG00000157782,ENSG00000158109,ENSG00000158445,ENSG00000159082,ENSG00000159164,ENSG00000159363,ENSG00000163536,ENSG00000164061,ENSG00000164114,ENSG00000164885,ENSG00000166006,ENSG00000166111,ENSG00000166233,ENSG00000166342,ENSG00000166405,ENSG00000166963,ENSG00000167371,ENSG00000167654,ENSG00000168824,ENSG00000168959,ENSG00000169933,ENSG00000170396,ENSG00000171160,ENSG00000171450,ENSG00000171862,ENSG00000171867,ENSG00000172020,ENSG00000174469,ENSG00000176749,ENSG00000176884,ENSG00000177301,ENSG00000179915,ENSG00000181754,ENSG00000183454,ENSG00000184156,ENSG00000185518,ENSG00000186868,ENSG00000187094,ENSG00000196712,ENSG00000196876,ENSG00000197106,ENSG00000197386,ENSG00000197457,ENSG00000197535,ENSG00000197562,ENSG00000198836,ENSG00000198910,ENSG00000198934,ENSG00000204843,ENSG00000220205,ENSG00000258947,ENSG00000273079,ENSG00000277586
1	TRUE	2.14e-23	3634	1164	408	0.351	0.112	GO:0006810	BP	92	transport	1	ENSG00000004059,ENSG00000006116,ENSG00000006125,ENSG00000007168,ENSG00000008056,ENSG00000011021,ENSG00000011083,ENSG00000011347,ENSG00000013016,ENSG00000014824,ENSG00000017797,ENSG00000018189,ENSG00000019505,ENSG00000022355,ENSG00000025772,ENSG00000025800,ENSG00000033627,ENSG00000036257,ENSG00000049759,ENSG00000051382,ENSG00000054356,ENSG00000054793,ENSG00000055163,ENSG00000061676,ENSG00000065150,ENSG00000065609,ENSG00000065923,ENSG00000066777,ENSG00000067191,ENSG00000067225,ENSG00000067606,ENSG00000067715,ENSG00000067842,ENSG00000068354,ENSG00000068912,ENSG00000069329,ENSG00000069424,ENSG00000069966,ENSG00000070718,ENSG00000070961,ENSG00000071553,ENSG00000072062,ENSG00000072315,ENSG00000073464,ENSG00000073969,ENSG00000074054,ENSG00000075340,ENSG00000075415,ENSG00000075790,ENSG00000075945,ENSG00000078018,ENSG00000078053,ENSG00000078328,ENSG00000078668,ENSG00000078902,ENSG00000079246,ENSG00000081189,ENSG00000082701,ENSG00000084234,ENSG00000084731,ENSG00000085365,ENSG00000085788,ENSG00000086300,ENSG00000087460,ENSG00000087470,ENSG00000090020,ENSG00000091039,ENSG00000092096,ENSG00000096092,ENSG00000099365,ENSG00000099624,ENSG00000100077,ENSG00000100321,ENSG00000100554,ENSG00000100934,ENSG00000101152,ENSG00000101337,ENSG00000101350,ENSG00000102003,ENSG00000102078,ENSG00000102468,ENSG00000102471,ENSG00000102900,ENSG00000103174,ENSG00000103723,ENSG00000103769,ENSG00000104361,ENSG00000104381,ENSG00000104388,ENSG00000104490,ENSG00000104723,ENSG00000104888,ENSG00000104904,ENSG00000105220,ENSG00000105270,ENSG00000105402,ENSG00000105409,ENSG00000105649,ENSG00000105723,ENSG00000106299,ENSG00000106537,ENSG00000106688,ENSG00000106976,ENSG00000107560,ENSG00000107643,ENSG00000107745,ENSG00000107758,ENSG00000107862,ENSG00000107959,ENSG00000109270,ENSG00000109436,ENSG00000109670,ENSG00000109738,ENSG00000109971,ENSG00000110048,ENSG00000110955,ENSG00000111052,ENSG00000111262,ENSG00000111371,ENSG00000111530,ENSG00000111731,ENSG00000112290,ENSG00000112697,ENSG00000112759,ENSG00000113327,ENSG00000114030,ENSG00000114279,ENSG00000114573,ENSG00000115073,ENSG00000115216,ENSG00000115419,ENSG00000115839,ENSG00000115840,ENSG00000115966,ENSG00000117016,ENSG00000117155,ENSG00000117533,ENSG00000118473,ENSG00000118596,ENSG00000118873,ENSG00000119801,ENSG00000120805,ENSG00000123240,ENSG00000123570,ENSG00000123607,ENSG00000123643,ENSG00000123983,ENSG00000124140,ENSG00000124164,ENSG00000124198,ENSG00000124209,ENSG00000124486,ENSG00000124532,ENSG00000125166,ENSG00000125814,ENSG00000125863,ENSG00000126214,ENSG00000127561,ENSG00000127824,ENSG00000127838,ENSG00000128245,ENSG00000128524,ENSG00000128731,ENSG00000128989,ENSG00000129159,ENSG00000130226,ENSG00000130477,ENSG00000130479,ENSG00000130643,ENSG00000131100,ENSG00000131238,ENSG00000131437,ENSG00000131507,ENSG00000132341,ENSG00000132639,ENSG00000132718,ENSG00000132872,ENSG00000133026,ENSG00000133083,ENSG00000133872,ENSG00000133958,ENSG00000134265,ENSG00000134287,ENSG00000134444,ENSG00000134852,ENSG00000135018,ENSG00000135423,ENSG00000135631,ENSG00000135750,ENSG00000135932,ENSG00000135968,ENSG00000136100,ENSG00000136193,ENSG00000136381,ENSG00000136448,ENSG00000136531,ENSG00000136854,ENSG00000137040,ENSG00000137312,ENSG00000137642,ENSG00000138069,ENSG00000138071,ENSG00000138078,ENSG00000138095,ENSG00000138107,ENSG00000138138,ENSG00000138175,ENSG00000138430,ENSG00000138686,ENSG00000139174,ENSG00000139973,ENSG00000140740,ENSG00000141252,ENSG00000141279,ENSG00000141367,ENSG00000142186,ENSG00000142192,ENSG00000142197,ENSG00000142230,ENSG00000143153,ENSG00000143376,ENSG00000143420,ENSG00000143473,ENSG00000143761,ENSG00000143933,ENSG00000144118,ENSG00000144285,ENSG00000144290,ENSG00000144406,ENSG00000144746,ENSG00000145087,ENSG00000145362,ENSG00000145675,ENSG00000145864,ENSG00000147416,ENSG00000148660,ENSG00000149269,ENSG00000149428,ENSG00000149575,ENSG00000149925,ENSG00000149927,ENSG00000150995,ENSG00000151229,ENSG00000151247,ENSG00000151320,ENSG00000151366,ENSG00000151502,ENSG00000151729,ENSG00000151779,ENSG00000152061,ENSG00000152642,ENSG00000153201,ENSG00000153956,ENSG00000154096,ENSG00000154174,ENSG00000154305,ENSG00000154917,ENSG00000155093,ENSG00000155096,ENSG00000155097,ENSG00000155256,ENSG00000155961,ENSG00000155970,ENSG00000156113,ENSG00000156261,ENSG00000156735,ENSG00000157077,ENSG00000157087,ENSG00000157214,ENSG00000157764,ENSG00000158445,ENSG00000158560,ENSG00000158623,ENSG00000158882,ENSG00000159082,ENSG00000159363,ENSG00000160014,ENSG00000160145,ENSG00000160716,ENSG00000161203,ENSG00000162517,ENSG00000162852,ENSG00000162989,ENSG00000163053,ENSG00000163399,ENSG00000163558,ENSG00000163618,ENSG00000163956,ENSG00000164038,ENSG00000164062,ENSG00000164506,ENSG00000164588,ENSG00000164609,ENSG00000164715,ENSG00000164794,ENSG00000164885,ENSG00000164924,ENSG00000165548,ENSG00000165637,ENSG00000165943,ENSG00000166006,ENSG00000166206,ENSG00000166342,ENSG00000166479,ENSG00000166501,ENSG00000166579,ENSG00000166847,ENSG00000166887,ENSG00000166913,ENSG00000166922,ENSG00000166963,ENSG00000167371,ENSG00000167972,ENSG00000168135,ENSG00000168438,ENSG00000168539,ENSG00000168824,ENSG00000168959,ENSG00000168993,ENSG00000169032,ENSG00000169851,ENSG00000170027,ENSG00000170540,ENSG00000171132,ENSG00000171314,ENSG00000171475,ENSG00000171862,ENSG00000171867,ENSG00000173692,ENSG00000173726,ENSG00000174238,ENSG00000174437,ENSG00000174996,ENSG00000175166,ENSG00000175203,ENSG00000175216,ENSG00000175416,ENSG00000175497,ENSG00000175582,ENSG00000175931,ENSG00000176884,ENSG00000177098,ENSG00000177301,ENSG00000177885,ENSG00000179091,ENSG00000180957,ENSG00000181754,ENSG00000181789,ENSG00000182220,ENSG00000182389,ENSG00000182400,ENSG00000183020,ENSG00000183023,ENSG00000183049,ENSG00000183454,ENSG00000184156,ENSG00000185760,ENSG00000185774,ENSG00000185883,ENSG00000186432,ENSG00000186868,ENSG00000187446,ENSG00000188021,ENSG00000188229,ENSG00000188419,ENSG00000196419,ENSG00000196776,ENSG00000196876,ENSG00000196937,ENSG00000196950,ENSG00000196961,ENSG00000197043,ENSG00000197102,ENSG00000197106,ENSG00000197147,ENSG00000197170,ENSG00000197386,ENSG00000197535,ENSG00000197694,ENSG00000197746,ENSG00000197930,ENSG00000197969,ENSG00000198420,ENSG00000198626,ENSG00000198668,ENSG00000198689,ENSG00000198700,ENSG00000198794,ENSG00000198825,ENSG00000198836,ENSG00000198863,ENSG00000198911,ENSG00000198932,ENSG00000203879,ENSG00000204442,ENSG00000204619,ENSG00000204843,ENSG00000205060,ENSG00000213023,ENSG00000213585,ENSG00000213760,ENSG00000215021,ENSG00000220205,ENSG00000241837,ENSG00000254999,ENSG00000273079,ENSG00000277586,ENSG00000278540
1	TRUE	1.42e-16	60	1443	33	0.023	0.55	KEGG:04721	keg	43	Synaptic vesicle cycle	1	ENSG00000006125,ENSG00000033627,ENSG00000042753,ENSG00000047249,ENSG00000067715,ENSG00000073969,ENSG00000099365,ENSG00000100554,ENSG00000101438,ENSG00000104888,ENSG00000105402,ENSG00000105649,ENSG00000106089,ENSG00000106976,ENSG00000114573,ENSG00000128524,ENSG00000130477,ENSG00000131100,ENSG00000132639,ENSG00000136854,ENSG00000136888,ENSG00000141367,ENSG00000147416,ENSG00000155097,ENSG00000159720,ENSG00000161203,ENSG00000168993,ENSG00000175416,ENSG00000183020,ENSG00000185883,ENSG00000196961,ENSG00000213760,ENSG00000220205
1	TRUE	4.54e-15	1761	1149	215	0.187	0.122	GO:0019899	MF	182	enzyme binding	1	ENSG00000003393,ENSG00000003509,ENSG00000005249,ENSG00000005810,ENSG00000007168,ENSG00000008056,ENSG00000008086,ENSG00000010017,ENSG00000010256,ENSG00000017797,ENSG00000023516,ENSG00000033627,ENSG00000036257,ENSG00000049130,ENSG00000054356,ENSG00000055130,ENSG00000061676,ENSG00000064726,ENSG00000065150,ENSG00000065609,ENSG00000066777,ENSG00000068354,ENSG00000070061,ENSG00000071553,ENSG00000072062,ENSG00000073969,ENSG00000075340,ENSG00000077254,ENSG00000077264,ENSG00000078140,ENSG00000078369,ENSG00000078902,ENSG00000079246,ENSG00000082458,ENSG00000082701,ENSG00000084764,ENSG00000086300,ENSG00000087095,ENSG00000087470,ENSG00000088538,ENSG00000089220,ENSG00000090020,ENSG00000095002,ENSG00000099365,ENSG00000100138,ENSG00000100280,ENSG00000100949,ENSG00000101210,ENSG00000101349,ENSG00000101350,ENSG00000102409,ENSG00000102606,ENSG00000102678,ENSG00000103657,ENSG00000104093,ENSG00000104643,ENSG00000105220,ENSG00000105723,ENSG00000106976,ENSG00000107560,ENSG00000107643,ENSG00000107758,ENSG00000107862,ENSG00000108061,ENSG00000108094,ENSG00000108389,ENSG00000108395,ENSG00000108509,ENSG00000108861,ENSG00000108946,ENSG00000109184,ENSG00000109270,ENSG00000109436,ENSG00000109670,ENSG00000109756,ENSG00000109971,ENSG00000110514,ENSG00000110925,ENSG00000111669,ENSG00000111707,ENSG00000112186,ENSG00000112290,ENSG00000115839,ENSG00000115966,ENSG00000116106,ENSG00000116604,ENSG00000118873,ENSG00000119383,ENSG00000122126,ENSG00000123240,ENSG00000123983,ENSG00000124164,ENSG00000124198,ENSG00000124422,ENSG00000126602,ENSG00000127445,ENSG00000127824,ENSG00000128245,ENSG00000128731,ENSG00000128989,ENSG00000131089,ENSG00000131100,ENSG00000131437,ENSG00000132694,ENSG00000132718,ENSG00000133816,ENSG00000135018,ENSG00000135503,ENSG00000135631,ENSG00000135930,ENSG00000135932,ENSG00000135956,ENSG00000137312,ENSG00000137642,ENSG00000137815,ENSG00000138095,ENSG00000138443,ENSG00000138814,ENSG00000139112,ENSG00000139625,ENSG00000140941,ENSG00000141367,ENSG00000142192,ENSG00000142230,ENSG00000142875,ENSG00000143153,ENSG00000143420,ENSG00000143933,ENSG00000144118,ENSG00000145087,ENSG00000145362,ENSG00000145495,ENSG00000145675,ENSG00000145715,ENSG00000148660,ENSG00000149269,ENSG00000151090,ENSG00000151247,ENSG00000151320,ENSG00000152061,ENSG00000152556,ENSG00000153201,ENSG00000154096,ENSG00000154277,ENSG00000155876,ENSG00000156735,ENSG00000157764,ENSG00000159164,ENSG00000160014,ENSG00000160145,ENSG00000162852,ENSG00000163618,ENSG00000163947,ENSG00000164506,ENSG00000164924,ENSG00000165943,ENSG00000166170,ENSG00000166197,ENSG00000166501,ENSG00000166913,ENSG00000167005,ENSG00000167770,ENSG00000168785,ENSG00000168959,ENSG00000169139,ENSG00000170027,ENSG00000170456,ENSG00000170500,ENSG00000171132,ENSG00000171314,ENSG00000171862,ENSG00000171867,ENSG00000173692,ENSG00000174437,ENSG00000174469,ENSG00000175203,ENSG00000175931,ENSG00000176749,ENSG00000176884,ENSG00000177885,ENSG00000177889,ENSG00000178502,ENSG00000182400,ENSG00000182621,ENSG00000183020,ENSG00000183454,ENSG00000185883,ENSG00000186868,ENSG00000187446,ENSG00000187555,ENSG00000188191,ENSG00000188419,ENSG00000189241,ENSG00000196220,ENSG00000196305,ENSG00000196961,ENSG00000197386,ENSG00000197535,ENSG00000197694,ENSG00000198626,ENSG00000198668,ENSG00000198853,ENSG00000198863,ENSG00000198919,ENSG00000198961,ENSG00000204619,ENSG00000204843,ENSG00000213585,ENSG00000213639,ENSG00000214517,ENSG00000221823,ENSG00000244687,ENSG00000254999,ENSG00000273079,ENSG00000277586
1	TRUE	3.78e-13	125	1345	42	0.031	0.336	KEGG:04728	keg	297	Dopaminergic synapse	1	ENSG00000050748,ENSG00000069966,ENSG00000070808,ENSG00000072062,ENSG00000074211,ENSG00000078304,ENSG00000078369,ENSG00000082701,ENSG00000087460,ENSG00000105568,ENSG00000105723,ENSG00000107643,ENSG00000107758,ENSG00000109339,ENSG00000112640,ENSG00000113575,ENSG00000115966,ENSG00000117020,ENSG00000120251,ENSG00000125675,ENSG00000130643,ENSG00000134852,ENSG00000138814,ENSG00000142875,ENSG00000143933,ENSG00000144285,ENSG00000148660,ENSG00000150995,ENSG00000154001,ENSG00000156052,ENSG00000156475,ENSG00000160014,ENSG00000162188,ENSG00000162728,ENSG00000162989,ENSG00000166501,ENSG00000175470,ENSG00000182621,ENSG00000183454,ENSG00000198668,ENSG00000213639,ENSG00000273079
1	TRUE	8.63e-11	575	1646	113	0.069	0.197	GO:0044257	BP	271	cellular protein catabolic process	1	ENSG00000002746,ENSG00000006125,ENSG00000013275,ENSG00000019995,ENSG00000036257,ENSG00000042753,ENSG00000049759,ENSG00000055130,ENSG00000064726,ENSG00000068912,ENSG00000069329,ENSG00000072062,ENSG00000077254,ENSG00000078140,ENSG00000078304,ENSG00000078902,ENSG00000081154,ENSG00000082701,ENSG00000085382,ENSG00000087448,ENSG00000096384,ENSG00000099341,ENSG00000100600,ENSG00000101266,ENSG00000101557,ENSG00000103035,ENSG00000103264,ENSG00000103266,ENSG00000104343,ENSG00000105723,ENSG00000107872,ENSG00000109670,ENSG00000110107,ENSG00000111667,ENSG00000112146,ENSG00000113558,ENSG00000113851,ENSG00000116005,ENSG00000116030,ENSG00000116106,ENSG00000116288,ENSG00000116406,ENSG00000116514,ENSG00000116750,ENSG00000119048,ENSG00000119318,ENSG00000119401,ENSG00000119682,ENSG00000123091,ENSG00000127481,ENSG00000127870,ENSG00000128731,ENSG00000130985,ENSG00000131263,ENSG00000131467,ENSG00000132879,ENSG00000133794,ENSG00000134852,ENSG00000135018,ENSG00000135108,ENSG00000136100,ENSG00000136758,ENSG00000136813,ENSG00000136827,ENSG00000138081,ENSG00000138686,ENSG00000139174,ENSG00000141030,ENSG00000141367,ENSG00000144357,ENSG00000145495,ENSG00000145860,ENSG00000146083,ENSG00000150991,ENSG00000152242,ENSG00000153201,ENSG00000153558,ENSG00000154277,ENSG00000157450,ENSG00000158828,ENSG00000159363,ENSG00000161203,ENSG00000163743,ENSG00000164733,ENSG00000166167,ENSG00000166170,ENSG00000166233,ENSG00000166963,ENSG00000167671,ENSG00000167986,ENSG00000168159,ENSG00000170500,ENSG00000171617,ENSG00000171862,ENSG00000173692,ENSG00000175166,ENSG00000177383,ENSG00000177565,ENSG00000177628,ENSG00000178502,ENSG00000180901,ENSG00000181852,ENSG00000182670,ENSG00000183020,ENSG00000184887,ENSG00000185825,ENSG00000187555,ENSG00000188021,ENSG00000196961,ENSG00000197170,ENSG00000198919,ENSG00000204619,ENSG00000215114
1	TRUE	1.16e-10	2390	1150	252	0.219	0.105	GO:0006793	BP	198	phosphorus metabolic process	1	ENSG00000003393,ENSG00000003509,ENSG00000004660,ENSG00000005249,ENSG00000006432,ENSG00000007168,ENSG00000008086,ENSG00000008118,ENSG00000010017,ENSG00000010256,ENSG00000014641,ENSG00000023228,ENSG00000023734,ENSG00000033627,ENSG00000036257,ENSG00000040199,ENSG00000040608,ENSG00000040933,ENSG00000049130,ENSG00000050748,ENSG00000051382,ENSG00000055130,ENSG00000061918,ENSG00000064763,ENSG00000065150,ENSG00000065559,ENSG00000067225,ENSG00000067606,ENSG00000067992,ENSG00000068366,ENSG00000069424,ENSG00000069956,ENSG00000070061,ENSG00000070087,ENSG00000071553,ENSG00000072062,ENSG00000074211,ENSG00000074590,ENSG00000075391,ENSG00000078140,ENSG00000078902,ENSG00000079246,ENSG00000081189,ENSG00000082458,ENSG00000082701,ENSG00000084764,ENSG00000087095,ENSG00000088179,ENSG00000088538,ENSG00000089220,ENSG00000091039,ENSG00000091140,ENSG00000097021,ENSG00000099624,ENSG00000100614,ENSG00000101210,ENSG00000101290,ENSG00000101349,ENSG00000102144,ENSG00000102468,ENSG00000102572,ENSG00000102678,ENSG00000103034,ENSG00000103502,ENSG00000104643,ENSG00000105220,ENSG00000105270,ENSG00000105568,ENSG00000105723,ENSG00000106105,ENSG00000107643,ENSG00000107758,ENSG00000108389,ENSG00000108861,ENSG00000108946,ENSG00000109270,ENSG00000109339,ENSG00000109670,ENSG00000109756,ENSG00000109971,ENSG00000110514,ENSG00000110786,ENSG00000110925,ENSG00000110931,ENSG00000110955,ENSG00000111669,ENSG00000111674,ENSG00000111897,ENSG00000112367,ENSG00000112640,ENSG00000113558,ENSG00000113575,ENSG00000115216,ENSG00000115685,ENSG00000116106,ENSG00000116141,ENSG00000117020,ENSG00000117152,ENSG00000119383,ENSG00000122126,ENSG00000123360,ENSG00000123983,ENSG00000125249,ENSG00000127445,ENSG00000128594,ENSG00000128609,ENSG00000128881,ENSG00000128989,ENSG00000130414,ENSG00000130540,ENSG00000131238,ENSG00000131828,ENSG00000132294,ENSG00000132341,ENSG00000133083,ENSG00000133703,ENSG00000134287,ENSG00000134318,ENSG00000134333,ENSG00000135503,ENSG00000135932,ENSG00000136143,ENSG00000136521,ENSG00000137312,ENSG00000137642,ENSG00000138018,ENSG00000138430,ENSG00000138443,ENSG00000138814,ENSG00000139625,ENSG00000140740,ENSG00000141425,ENSG00000142192,ENSG00000142875,ENSG00000143013,ENSG00000143153,ENSG00000143420,ENSG00000143761,ENSG00000143933,ENSG00000144118,ENSG00000144746,ENSG00000145632,ENSG00000145675,ENSG00000145715,ENSG00000148660,ENSG00000148925,ENSG00000148948,ENSG00000149269,ENSG00000149925,ENSG00000151320,ENSG00000151366,ENSG00000151952,ENSG00000152402,ENSG00000152495,ENSG00000152556,ENSG00000152642,ENSG00000153933,ENSG00000154027,ENSG00000154096,ENSG00000154277,ENSG00000155093,ENSG00000156052,ENSG00000156471,ENSG00000156515,ENSG00000156642,ENSG00000157064,ENSG00000157540,ENSG00000157680,ENSG00000157764,ENSG00000159082,ENSG00000159363,ENSG00000160014,ENSG00000160145,ENSG00000160710,ENSG00000162188,ENSG00000162694,ENSG00000162852,ENSG00000163558,ENSG00000163624,ENSG00000163655,ENSG00000163788,ENSG00000164076,ENSG00000164715,ENSG00000164742,ENSG00000164885,ENSG00000164951,ENSG00000165434,ENSG00000165704,ENSG00000166167,ENSG00000166501,ENSG00000166783,ENSG00000166908,ENSG00000166913,ENSG00000168959,ENSG00000169032,ENSG00000169744,ENSG00000169764,ENSG00000170027,ENSG00000171132,ENSG00000171314,ENSG00000171435,ENSG00000171450,ENSG00000171735,ENSG00000171862,ENSG00000171867,ENSG00000175175,ENSG00000176095,ENSG00000176454,ENSG00000176749,ENSG00000176884,ENSG00000177628,ENSG00000177885,ENSG00000177889,ENSG00000178662,ENSG00000179091,ENSG00000182220,ENSG00000182621,ENSG00000183049,ENSG00000183454,ENSG00000184203,ENSG00000184207,ENSG00000186868,ENSG00000187446,ENSG00000188191,ENSG00000189043,ENSG00000196090,ENSG00000196419,ENSG00000196712,ENSG00000197217,ENSG00000197381,ENSG00000197386,ENSG00000197694,ENSG00000198612,ENSG00000198668,ENSG00000198739,ENSG00000198791,ENSG00000198825,ENSG00000198836,ENSG00000198961,ENSG00000204217,ENSG00000204619,ENSG00000211456,ENSG00000213639,ENSG00000215021,ENSG00000241837,ENSG00000241973,ENSG00000244687,ENSG00000253729,ENSG00000273079,ENSG00000274211,ENSG00000277586,ENSG00000278540
1	TRUE	7.06e-10	174	1400	45	0.032	0.259	GO:0006470	BP	281	protein dephosphorylation	1	ENSG00000011485,ENSG00000040199,ENSG00000074211,ENSG00000074590,ENSG00000082701,ENSG00000088179,ENSG00000096384,ENSG00000100614,ENSG00000105568,ENSG00000107758,ENSG00000108389,ENSG00000108861,ENSG00000110786,ENSG00000112640,ENSG00000113575,ENSG00000115685,ENSG00000119383,ENSG00000127445,ENSG00000128989,ENSG00000134318,ENSG00000138814,ENSG00000139505,ENSG00000141425,ENSG00000143420,ENSG00000143933,ENSG00000151320,ENSG00000155093,ENSG00000156475,ENSG00000160014,ENSG00000164951,ENSG00000166167,ENSG00000166913,ENSG00000171735,ENSG00000171862,ENSG00000175175,ENSG00000175470,ENSG00000177628,ENSG00000184203,ENSG00000184207,ENSG00000196090,ENSG00000197386,ENSG00000198668,ENSG00000198793,ENSG00000204619,ENSG00000213639
1	TRUE	1.59e-09	66	1129	24	0.021	0.364	KEGG:04720	keg	261	Long-term potentiation	1	ENSG00000072062,ENSG00000107758,ENSG00000120251,ENSG00000133703,ENSG00000138814,ENSG00000142875,ENSG00000143933,ENSG00000148660,ENSG00000150995,ENSG00000152495,ENSG00000156052,ENSG00000157764,ENSG00000160014,ENSG00000164742,ENSG00000166501,ENSG00000168959,ENSG00000169032,ENSG00000176884,ENSG00000182621,ENSG00000183454,ENSG00000198668,ENSG00000213639,ENSG00000221823,ENSG00000273079
1	TRUE	3.08e-09	46	683	16	0.023	0.348	KEGG:04961	keg	68	Endocrine and other factor-regulated calcium reabsorption	1	ENSG00000006125,ENSG00000070961,ENSG00000087460,ENSG00000103769,ENSG00000105409,ENSG00000106976,ENSG00000141367,ENSG00000142875,ENSG00000143153,ENSG00000161203,ENSG00000163399,ENSG00000166501,ENSG00000182621,ENSG00000183020,ENSG00000183023,ENSG00000196961
