query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0209	66	30	2	0.067	0.03	KEGG:05218	keg	16	Melanoma	1	ENSG00000118972,ENSG00000141510
1	TRUE	0.0209	169	20	2	0.1	0.012	KEGG:05168	keg	7	Herpes simplex infection	1	ENSG00000116350,ENSG00000141510
1	TRUE	0.0337	85	19	1	0.053	0.012	KEGG:05210	keg	22	Colorectal cancer	1	ENSG00000141510
1	TRUE	0.0337	75	19	1	0.053	0.013	KEGG:05212	keg	40	Pancreatic cancer	1	ENSG00000141510
1	TRUE	0.0337	94	19	1	0.053	0.011	KEGG:01522	keg	37	Endocrine resistance	1	ENSG00000141510
1	TRUE	0.0337	88	19	1	0.053	0.011	KEGG:04211	keg	45	Longevity regulating pathway	1	ENSG00000141510
1	TRUE	0.0337	69	19	1	0.053	0.014	KEGG:01524	keg	43	Platinum drug resistance	1	ENSG00000141510
1	TRUE	0.0337	140	30	2	0.067	0.014	KEGG:05226	keg	36	Gastric cancer	1	ENSG00000118972,ENSG00000141510
1	TRUE	0.0337	62	19	1	0.053	0.016	KEGG:05230	keg	1	Central carbon metabolism in cancer	1	ENSG00000141510
1	TRUE	0.0337	163	84	2	0.024	0.012	KEGG:05202	keg	11	Transcriptional misregulation in cancer	1	ENSG00000126778,ENSG00000141510
1	TRUE	0.0337	76	19	1	0.053	0.013	KEGG:05220	keg	44	Chronic myeloid leukemia	1	ENSG00000141510
1	TRUE	0.0337	38	19	1	0.053	0.026	KEGG:05219	keg	34	Bladder cancer	1	ENSG00000141510
1	TRUE	0.0337	70	19	1	0.053	0.014	KEGG:05214	keg	31	Glioma	1	ENSG00000141510
1	TRUE	0.0337	49	19	1	0.053	0.02	KEGG:05014	keg	32	Amyotrophic lateral sclerosis (ALS)	1	ENSG00000141510
1	TRUE	0.0337	94	19	1	0.053	0.011	KEGG:05215	keg	48	Prostate cancer	1	ENSG00000141510
1	TRUE	0.0337	66	19	1	0.053	0.015	KEGG:05223	keg	10	Non-small cell lung cancer	1	ENSG00000141510
1	TRUE	0.0337	141	30	2	0.067	0.014	KEGG:05224	keg	12	Breast cancer	1	ENSG00000118972,ENSG00000141510
1	TRUE	0.0337	37	19	1	0.053	0.027	KEGG:05216	keg	30	Thyroid cancer	1	ENSG00000141510
1	TRUE	0.0337	63	19	1	0.053	0.016	KEGG:04137	keg	49	Mitophagy - animal	1	ENSG00000141510
1	TRUE	0.0337	91	19	1	0.053	0.011	KEGG:05222	keg	13	Small cell lung cancer	1	ENSG00000141510
1	TRUE	0.0337	58	19	1	0.053	0.017	KEGG:05213	keg	3	Endometrial cancer	1	ENSG00000141510
1	TRUE	0.0337	282	30	2	0.067	0.007	KEGG:04010	keg	39	MAPK signaling pathway	1	ENSG00000118972,ENSG00000141510
1	TRUE	0.0337	321	30	2	0.067	0.006	KEGG:04151	keg	20	PI3K-Akt signaling pathway	1	ENSG00000118972,ENSG00000141510
1	TRUE	0.0337	72	19	1	0.053	0.014	KEGG:04115	keg	15	p53 signaling pathway	1	ENSG00000141510
