query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.27e-05	1494	189	42	0.222	0.028	GO:0009653	BP	83	anatomical structure morphogenesis	1	ENSG00000004399,ENSG00000010319,ENSG00000020181,ENSG00000035403,ENSG00000057294,ENSG00000078114,ENSG00000099204,ENSG00000100884,ENSG00000101134,ENSG00000102302,ENSG00000106809,ENSG00000115170,ENSG00000115232,ENSG00000119314,ENSG00000120129,ENSG00000123384,ENSG00000128578,ENSG00000132670,ENSG00000135862,ENSG00000137273,ENSG00000137801,ENSG00000138061,ENSG00000140416,ENSG00000144868,ENSG00000146555,ENSG00000147862,ENSG00000154229,ENSG00000154358,ENSG00000159674,ENSG00000162992,ENSG00000163349,ENSG00000164056,ENSG00000164379,ENSG00000164683,ENSG00000165617,ENSG00000166068,ENSG00000168646,ENSG00000171476,ENSG00000173406,ENSG00000175344,ENSG00000189056,ENSG00000196781
1	TRUE	0.000294	2906	249	70	0.281	0.024	GO:0007275	BP	108	multicellular organism development	1	ENSG00000004399,ENSG00000010319,ENSG00000013619,ENSG00000017427,ENSG00000020181,ENSG00000036530,ENSG00000057294,ENSG00000060718,ENSG00000078114,ENSG00000082805,ENSG00000090006,ENSG00000099204,ENSG00000099889,ENSG00000100311,ENSG00000100884,ENSG00000101134,ENSG00000101938,ENSG00000102302,ENSG00000103489,ENSG00000105464,ENSG00000106809,ENSG00000107796,ENSG00000112139,ENSG00000113555,ENSG00000115170,ENSG00000115232,ENSG00000118257,ENSG00000120129,ENSG00000122691,ENSG00000123384,ENSG00000124203,ENSG00000124205,ENSG00000124496,ENSG00000132670,ENSG00000135919,ENSG00000137273,ENSG00000137801,ENSG00000138061,ENSG00000140416,ENSG00000141753,ENSG00000144868,ENSG00000146555,ENSG00000147862,ENSG00000154229,ENSG00000157873,ENSG00000159674,ENSG00000161681,ENSG00000162992,ENSG00000162998,ENSG00000163349,ENSG00000164056,ENSG00000164683,ENSG00000165617,ENSG00000166068,ENSG00000166426,ENSG00000166949,ENSG00000168646,ENSG00000170390,ENSG00000171476,ENSG00000172175,ENSG00000173406,ENSG00000175344,ENSG00000175745,ENSG00000178568,ENSG00000182197,ENSG00000183762,ENSG00000189056,ENSG00000196781,ENSG00000198682,ENSG00000204624
1	TRUE	0.000294	256	408	20	0.049	0.078	GO:0005509	MF	88	calcium ion binding	1	ENSG00000049449,ENSG00000070081,ENSG00000075142,ENSG00000090006,ENSG00000100884,ENSG00000103528,ENSG00000111885,ENSG00000115155,ENSG00000115756,ENSG00000116711,ENSG00000123384,ENSG00000137801,ENSG00000147041,ENSG00000163520,ENSG00000169231,ENSG00000172137,ENSG00000182132,ENSG00000183186,ENSG00000183496,ENSG00000185052
1	TRUE	0.000688	3726	309	94	0.304	0.025	GO:0005886	CC	78	plasma membrane	1	ENSG00000004399,ENSG00000005108,ENSG00000017427,ENSG00000017483,ENSG00000026559,ENSG00000027644,ENSG00000035403,ENSG00000047579,ENSG00000050767,ENSG00000057294,ENSG00000065357,ENSG00000070081,ENSG00000070729,ENSG00000072182,ENSG00000075142,ENSG00000077943,ENSG00000080709,ENSG00000082805,ENSG00000100246,ENSG00000100311,ENSG00000100884,ENSG00000103154,ENSG00000103257,ENSG00000103855,ENSG00000103888,ENSG00000105464,ENSG00000105520,ENSG00000110395,ENSG00000112139,ENSG00000112419,ENSG00000113555,ENSG00000115170,ENSG00000115232,ENSG00000118257,ENSG00000118507,ENSG00000118777,ENSG00000122420,ENSG00000123384,ENSG00000127329,ENSG00000127920,ENSG00000130224,ENSG00000132164,ENSG00000132670,ENSG00000135052,ENSG00000135824,ENSG00000135919,ENSG00000137801,ENSG00000138172,ENSG00000140416,ENSG00000144724,ENSG00000146477,ENSG00000146555,ENSG00000147041,ENSG00000147044,ENSG00000147100,ENSG00000149177,ENSG00000149452,ENSG00000151834,ENSG00000152767,ENSG00000154229,ENSG00000154358,ENSG00000157103,ENSG00000157873,ENSG00000161533,ENSG00000161681,ENSG00000162551,ENSG00000163817,ENSG00000163932,ENSG00000164056,ENSG00000164638,ENSG00000164707,ENSG00000166068,ENSG00000168003,ENSG00000168243,ENSG00000168646,ENSG00000168778,ENSG00000168952,ENSG00000169129,ENSG00000170385,ENSG00000170955,ENSG00000171126,ENSG00000175344,ENSG00000177707,ENSG00000178394,ENSG00000178568,ENSG00000179242,ENSG00000181467,ENSG00000181656,ENSG00000182132,ENSG00000183098,ENSG00000183186,ENSG00000185052,ENSG00000196660,ENSG00000197901
1	TRUE	0.000727	194	468	16	0.034	0.082	KEGG:04510	keg	124	Focal adhesion	1	ENSG00000017427,ENSG00000035403,ENSG00000077943,ENSG00000100311,ENSG00000102882,ENSG00000115232,ENSG00000130702,ENSG00000134871,ENSG00000135862,ENSG00000137801,ENSG00000154229,ENSG00000168477,ENSG00000169231,ENSG00000170962,ENSG00000177606,ENSG00000189056
1	TRUE	0.000736	1166	254	37	0.146	0.032	GO:0040011	BP	93	locomotion	1	ENSG00000004399,ENSG00000010319,ENSG00000017427,ENSG00000020181,ENSG00000035403,ENSG00000100034,ENSG00000100311,ENSG00000101134,ENSG00000103257,ENSG00000103888,ENSG00000112139,ENSG00000115170,ENSG00000115232,ENSG00000118257,ENSG00000122691,ENSG00000123384,ENSG00000124205,ENSG00000128578,ENSG00000132670,ENSG00000135862,ENSG00000135919,ENSG00000137801,ENSG00000138061,ENSG00000140416,ENSG00000144724,ENSG00000145824,ENSG00000147862,ENSG00000149177,ENSG00000154229,ENSG00000159674,ENSG00000163932,ENSG00000170962,ENSG00000173406,ENSG00000178568,ENSG00000183098,ENSG00000189056,ENSG00000206530
1	TRUE	0.00102	1362	335	47	0.14	0.035	GO:0006928	BP	119	movement of cell or subcellular component	1	ENSG00000004399,ENSG00000017427,ENSG00000020181,ENSG00000035403,ENSG00000047579,ENSG00000057294,ENSG00000075142,ENSG00000080709,ENSG00000100034,ENSG00000100246,ENSG00000100311,ENSG00000101134,ENSG00000103257,ENSG00000103888,ENSG00000112139,ENSG00000115170,ENSG00000115232,ENSG00000116852,ENSG00000118257,ENSG00000122691,ENSG00000123384,ENSG00000124205,ENSG00000128578,ENSG00000132670,ENSG00000135862,ENSG00000135919,ENSG00000137801,ENSG00000138061,ENSG00000140416,ENSG00000144724,ENSG00000144868,ENSG00000145824,ENSG00000147862,ENSG00000149177,ENSG00000154229,ENSG00000154928,ENSG00000159674,ENSG00000163932,ENSG00000168003,ENSG00000170962,ENSG00000172426,ENSG00000173406,ENSG00000178568,ENSG00000183098,ENSG00000183873,ENSG00000189056,ENSG00000206530
1	TRUE	0.00151	329	331	19	0.057	0.058	GO:0043269	BP	101	regulation of ion transport	1	ENSG00000026559,ENSG00000047579,ENSG00000057294,ENSG00000075142,ENSG00000080709,ENSG00000100311,ENSG00000103888,ENSG00000118507,ENSG00000137801,ENSG00000147044,ENSG00000161681,ENSG00000163932,ENSG00000166664,ENSG00000170385,ENSG00000178394,ENSG00000182132,ENSG00000183873,ENSG00000189056,ENSG00000196660
1	TRUE	0.00299	61	146	6	0.041	0.098	GO:0034109	BP	113	homotypic cell-cell adhesion	1	ENSG00000035403,ENSG00000057294,ENSG00000135919,ENSG00000154229,ENSG00000163932,ENSG00000181467
1	TRUE	0.00301	5	19	2	0.105	0.4	GO:1900451	BP	139	positive regulation of glutamate receptor signaling pathway	1	ENSG00000103154,ENSG00000189056
