query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	9.22e-12	135	403	15	0.037	0.111	KEGG:05012	keg	91	Parkinson disease	1	ENSG00000036565,ENSG00000156587,ENSG00000198695,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000198938,ENSG00000212907,ENSG00000228253
1	TRUE	6.97e-10	126	403	13	0.032	0.103	KEGG:00190	keg	55	Oxidative phosphorylation	1	ENSG00000198695,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000198938,ENSG00000212907,ENSG00000228253
1	TRUE	2.5e-08	105	348	12	0.034	0.114	GO:0006119	BP	13	oxidative phosphorylation	1	ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253,ENSG00000256591
1	TRUE	1.16e-07	75	348	10	0.029	0.133	GO:0042775	BP	54	mitochondrial ATP synthesis coupled electron transport	1	ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907,ENSG00000256591
1	TRUE	2.54e-07	80	403	10	0.025	0.125	GO:0098803	CC	10	respiratory chain complex	1	ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198938,ENSG00000212907
1	TRUE	5.25e-07	221	403	13	0.032	0.059	KEGG:04714	keg	94	Thermogenesis	1	ENSG00000198695,ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000198938,ENSG00000212907,ENSG00000228253
1	TRUE	6.25e-07	130	348	11	0.032	0.085	GO:0098800	CC	63	inner mitochondrial membrane protein complex	1	ENSG00000198712,ENSG00000198727,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000212907,ENSG00000228253
1	TRUE	1.47e-05	42	303	6	0.02	0.143	GO:0050136	MF	87	NADH dehydrogenase (quinone) activity	1	ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907
1	TRUE	3.28e-05	50	303	6	0.02	0.12	GO:0030964	CC	56	NADH dehydrogenase complex	1	ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907
1	TRUE	3.28e-05	50	303	6	0.02	0.12	GO:0005747	CC	84	mitochondrial respiratory chain complex I	1	ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907
1	TRUE	4.67e-05	145	399	9	0.023	0.062	KEGG:04723	keg	38	Retrograde endocannabinoid signaling	1	ENSG00000127928,ENSG00000198695,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000212907,ENSG00000268089
1	TRUE	7.94e-05	29	139	4	0.029	0.138	GO:0000460	BP	23	maturation of 5.8S rRNA	1	ENSG00000075914,ENSG00000129347,ENSG00000197223,ENSG00000198042
1	TRUE	0.000115	64	303	6	0.02	0.094	GO:0032981	BP	85	mitochondrial respiratory chain complex I assembly	1	ENSG00000198695,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888
1	TRUE	0.000115	64	303	6	0.02	0.094	GO:0010257	BP	22	NADH dehydrogenase complex assembly	1	ENSG00000198695,ENSG00000198763,ENSG00000198786,ENSG00000198840,ENSG00000198886,ENSG00000198888
