query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	6.95e-05	114	37	5	0.135	0.044	KEGG:04919	keg	33	Thyroid hormone signaling pathway	1	ENSG00000005339,ENSG00000100393,ENSG00000123066,ENSG00000124151,ENSG00000141027
1	TRUE	0.000139	118	37	6	0.162	0.051	GO:0043401	BP	128	steroid hormone mediated signaling pathway	1	ENSG00000012822,ENSG00000100393,ENSG00000124151,ENSG00000130254,ENSG00000131023,ENSG00000239306
1	TRUE	0.000139	650	217	26	0.12	0.04	GO:0016071	BP	48	mRNA metabolic process	1	ENSG00000039123,ENSG00000080802,ENSG00000082898,ENSG00000083312,ENSG00000090060,ENSG00000091542,ENSG00000110060,ENSG00000113593,ENSG00000114127,ENSG00000116754,ENSG00000121274,ENSG00000126226,ENSG00000129315,ENSG00000130254,ENSG00000135870,ENSG00000143368,ENSG00000143437,ENSG00000151461,ENSG00000157106,ENSG00000158435,ENSG00000173933,ENSG00000181222,ENSG00000189266,ENSG00000198730,ENSG00000204348,ENSG00000272886
1	TRUE	0.000139	114	37	6	0.162	0.053	GO:0030518	BP	35	intracellular steroid hormone receptor signaling pathway	1	ENSG00000012822,ENSG00000100393,ENSG00000124151,ENSG00000130254,ENSG00000131023,ENSG00000239306
1	TRUE	0.000176	907	52	14	0.269	0.015	GO:0044451	CC	72	nucleoplasm part	1	ENSG00000005339,ENSG00000099875,ENSG00000119596,ENSG00000122257,ENSG00000123066,ENSG00000130254,ENSG00000132424,ENSG00000141027,ENSG00000159256,ENSG00000168137,ENSG00000168488,ENSG00000173933,ENSG00000182872,ENSG00000239306
1	TRUE	0.00022	4	5	2	0.4	0.5	GO:0018076	BP	93	N-terminal peptidyl-lysine acetylation	1	ENSG00000005339,ENSG00000100393
1	TRUE	0.000383	391	169	16	0.095	0.041	GO:0000785	CC	91	chromatin	1	ENSG00000005339,ENSG00000005483,ENSG00000049618,ENSG00000059728,ENSG00000115548,ENSG00000118260,ENSG00000120733,ENSG00000124151,ENSG00000126226,ENSG00000141027,ENSG00000141646,ENSG00000156650,ENSG00000163104,ENSG00000163374,ENSG00000187837,ENSG00000198730
1	TRUE	0.000638	321	48	8	0.167	0.025	GO:0016570	BP	116	histone modification	1	ENSG00000005339,ENSG00000005483,ENSG00000024048,ENSG00000100393,ENSG00000141646,ENSG00000168137,ENSG00000173120,ENSG00000239306
1	TRUE	0.000765	456	176	17	0.097	0.037	GO:0034655	BP	110	nucleobase-containing compound catabolic process	1	ENSG00000039123,ENSG00000076685,ENSG00000080802,ENSG00000082898,ENSG00000083312,ENSG00000114127,ENSG00000121274,ENSG00000126226,ENSG00000135870,ENSG00000138735,ENSG00000141027,ENSG00000143437,ENSG00000151461,ENSG00000157106,ENSG00000158435,ENSG00000189266,ENSG00000272886
1	TRUE	0.00134	17	5	2	0.4	0.118	GO:0007221	BP	129	positive regulation of transcription of Notch receptor target	1	ENSG00000005339,ENSG00000100393
1	TRUE	0.00134	31	162	5	0.031	0.161	GO:0007099	BP	87	centriole replication	1	ENSG00000108773,ENSG00000151849,ENSG00000168014,ENSG00000168944,ENSG00000239306
1	TRUE	0.00134	46	107	5	0.047	0.109	GO:0004402	MF	59	histone acetyltransferase activity	1	ENSG00000005339,ENSG00000100393,ENSG00000108773,ENSG00000124151,ENSG00000156650
1	TRUE	0.00134	270	91	9	0.099	0.033	GO:0003713	MF	109	transcription coactivator activity	1	ENSG00000005339,ENSG00000012822,ENSG00000049618,ENSG00000100393,ENSG00000108773,ENSG00000111837,ENSG00000124151,ENSG00000150347,ENSG00000239306
1	TRUE	0.00134	31	23	3	0.13	0.097	GO:0001102	MF	124	RNA polymerase II activating transcription factor binding	1	ENSG00000005339,ENSG00000100393,ENSG00000141027
1	TRUE	0.0014	269	172	12	0.07	0.045	GO:1903706	BP	97	regulation of hemopoiesis	1	ENSG00000005339,ENSG00000005483,ENSG00000080802,ENSG00000100219,ENSG00000100393,ENSG00000108175,ENSG00000108773,ENSG00000135870,ENSG00000143437,ENSG00000175104,ENSG00000175354,ENSG00000198730
