query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0016	108	87	7	0.08	0.065	GO:0061572	BP	32	actin filament bundle organization	1	ENSG00000006611,ENSG00000097007,ENSG00000104728,ENSG00000119699,ENSG00000164403,ENSG00000172725,ENSG00000186635
1	TRUE	0.0016	107	87	7	0.08	0.065	GO:0051017	BP	13	actin filament bundle assembly	1	ENSG00000006611,ENSG00000097007,ENSG00000104728,ENSG00000119699,ENSG00000164403,ENSG00000172725,ENSG00000186635
1	TRUE	0.0016	56	57	5	0.088	0.089	GO:0005089	MF	20	Rho guanyl-nucleotide exchange factor activity	1	ENSG00000076928,ENSG00000104728,ENSG00000124126,ENSG00000150760,ENSG00000182957
1	TRUE	0.0092	28	37	3	0.081	0.107	GO:0006911	BP	30	phagocytosis, engulfment	1	ENSG00000145794,ENSG00000148180,ENSG00000150760
1	TRUE	0.0108	59	119	5	0.042	0.085	GO:0010811	BP	26	positive regulation of cell-substrate adhesion	1	ENSG00000084636,ENSG00000097007,ENSG00000150760,ENSG00000173801,ENSG00000184371
1	TRUE	0.0111	6	34	2	0.059	0.333	GO:0090557	BP	31	establishment of endothelial intestinal barrier	1	ENSG00000104067,ENSG00000119139
1	TRUE	0.0137	144	126	7	0.056	0.049	GO:1902905	BP	34	positive regulation of supramolecular fiber organization	1	ENSG00000097007,ENSG00000104728,ENSG00000119699,ENSG00000136861,ENSG00000148180,ENSG00000172725,ENSG00000242498
1	TRUE	0.0137	590	92	12	0.13	0.02	GO:0008092	MF	35	cytoskeletal protein binding	1	ENSG00000006611,ENSG00000097007,ENSG00000104728,ENSG00000126777,ENSG00000127946,ENSG00000136861,ENSG00000148180,ENSG00000160307,ENSG00000164403,ENSG00000170873,ENSG00000172725,ENSG00000196586
1	TRUE	0.0153	10	26	2	0.077	0.2	GO:0010935	BP	66	regulation of macrophage cytokine production	1	ENSG00000119699,ENSG00000167191
1	TRUE	0.0184	39	43	3	0.07	0.077	GO:0051496	BP	37	positive regulation of stress fiber assembly	1	ENSG00000097007,ENSG00000104728,ENSG00000119699
1	TRUE	0.0206	8	44	2	0.045	0.25	GO:0007435	BP	55	salivary gland morphogenesis	1	ENSG00000066468,ENSG00000119699
1	TRUE	0.0229	111	44	4	0.091	0.036	GO:0060560	BP	57	developmental growth involved in morphogenesis	1	ENSG00000066468,ENSG00000097007,ENSG00000103449,ENSG00000164050
1	TRUE	0.0229	31	66	3	0.045	0.097	GO:0042471	BP	3	ear morphogenesis	1	ENSG00000006611,ENSG00000066468,ENSG00000103449
1	TRUE	0.023	540	52	8	0.154	0.015	GO:0007169	BP	18	transmembrane receptor protein tyrosine kinase signaling pathway	1	ENSG00000066468,ENSG00000097007,ENSG00000112851,ENSG00000127946,ENSG00000150760,ENSG00000170873,ENSG00000186635,ENSG00000204580
1	TRUE	0.023	50	41	3	0.073	0.06	GO:0046847	BP	56	filopodium assembly	1	ENSG00000119699,ENSG00000182957,ENSG00000186635
1	TRUE	0.0232	21	112	3	0.027	0.143	GO:0051019	MF	65	mitogen-activated protein kinase binding	1	ENSG00000097007,ENSG00000162889,ENSG00000170653
1	TRUE	0.0243	9	52	2	0.038	0.222	GO:0032594	BP	53	protein transport within lipid bilayer	1	ENSG00000127946,ENSG00000162944
1	TRUE	0.0284	10	52	2	0.038	0.2	GO:0035791	BP	15	platelet-derived growth factor receptor-beta signaling pathway	1	ENSG00000097007,ENSG00000127946
1	TRUE	0.0287	12	44	2	0.045	0.167	GO:0048286	BP	42	lung alveolus development	1	ENSG00000066468,ENSG00000119699
1	TRUE	0.0287	945	79	13	0.165	0.014	GO:0009888	BP	11	tissue development	1	ENSG00000006611,ENSG00000066468,ENSG00000103449,ENSG00000104067,ENSG00000119139,ENSG00000119699,ENSG00000145794,ENSG00000148204,ENSG00000170873,ENSG00000173801,ENSG00000174705,ENSG00000182158,ENSG00000204580
1	TRUE	0.0287	353	111	9	0.081	0.025	GO:0015629	CC	47	actin cytoskeleton	1	ENSG00000097007,ENSG00000136068,ENSG00000148180,ENSG00000164403,ENSG00000170873,ENSG00000172725,ENSG00000174705,ENSG00000196586,ENSG00000213977
1	TRUE	0.0294	847	115	15	0.13	0.018	GO:0043085	BP	19	positive regulation of catalytic activity	1	ENSG00000066468,ENSG00000097007,ENSG00000104728,ENSG00000127946,ENSG00000129521,ENSG00000148180,ENSG00000151414,ENSG00000162889,ENSG00000164050,ENSG00000164300,ENSG00000167191,ENSG00000178996,ENSG00000184371,ENSG00000186635,ENSG00000213977
1	TRUE	0.0294	288	111	8	0.072	0.028	GO:0045296	MF	24	cadherin binding	1	ENSG00000104067,ENSG00000104529,ENSG00000110047,ENSG00000119139,ENSG00000126777,ENSG00000136068,ENSG00000172725,ENSG00000173801
1	TRUE	0.0303	133	45	4	0.089	0.03	GO:0006338	BP	4	chromatin remodeling	1	ENSG00000099954,ENSG00000117115,ENSG00000123636,ENSG00000173473
1	TRUE	0.0317	401	102	9	0.088	0.022	GO:0051345	BP	63	positive regulation of hydrolase activity	1	ENSG00000066468,ENSG00000104728,ENSG00000127946,ENSG00000129521,ENSG00000148180,ENSG00000164050,ENSG00000178996,ENSG00000186635,ENSG00000213977
1	TRUE	0.0321	100	67	4	0.06	0.04	GO:0030177	BP	14	positive regulation of Wnt signaling pathway	1	ENSG00000066468,ENSG00000103449,ENSG00000167191,ENSG00000173801
1	TRUE	0.0322	93	73	4	0.055	0.043	GO:0051147	BP	28	regulation of muscle cell differentiation	1	ENSG00000066468,ENSG00000097007,ENSG00000110047,ENSG00000145794
1	TRUE	0.0331	66	43	3	0.07	0.045	GO:0007229	BP	39	integrin-mediated signaling pathway	1	ENSG00000097007,ENSG00000112851,ENSG00000150760
1	TRUE	0.0331	265	43	5	0.116	0.019	GO:0010720	BP	27	positive regulation of cell development	1	ENSG00000097007,ENSG00000140262,ENSG00000150760,ENSG00000164050,ENSG00000167191
1	TRUE	0.0344	392	84	8	0.095	0.02	GO:0008047	MF	17	enzyme activator activity	1	ENSG00000124126,ENSG00000140750,ENSG00000150760,ENSG00000164050,ENSG00000167191,ENSG00000174705,ENSG00000186635,ENSG00000196743
1	TRUE	0.0352	16	44	2	0.045	0.125	GO:0033688	BP	51	regulation of osteoblast proliferation	1	ENSG00000066468,ENSG00000164050
1	TRUE	0.0352	860	81	12	0.148	0.014	GO:0002252	BP	9	immune effector process	1	ENSG00000097007,ENSG00000102158,ENSG00000117115,ENSG00000119655,ENSG00000119699,ENSG00000148180,ENSG00000150760,ENSG00000164300,ENSG00000167191,ENSG00000169871,ENSG00000173801,ENSG00000196743
1	TRUE	0.0352	67	45	3	0.067	0.045	GO:0070603	CC	40	SWI/SNF superfamily-type complex	1	ENSG00000099954,ENSG00000103449,ENSG00000173473
1	TRUE	0.0352	101	72	4	0.056	0.04	GO:0001726	CC	48	ruffle	1	ENSG00000160307,ENSG00000170873,ENSG00000182957,ENSG00000196586
1	TRUE	0.0355	22	33	2	0.061	0.091	GO:0006658	BP	68	phosphatidylserine metabolic process	1	ENSG00000130304,ENSG00000164300
1	TRUE	0.0387	39	87	3	0.034	0.077	GO:0014812	BP	8	muscle cell migration	1	ENSG00000145794,ENSG00000172725,ENSG00000204580
1	TRUE	0.0387	17	45	2	0.044	0.118	GO:0031498	BP	59	chromatin disassembly	1	ENSG00000117115,ENSG00000173473
1	TRUE	0.0397	18	44	2	0.045	0.111	GO:0021879	BP	36	forebrain neuron differentiation	1	ENSG00000066468,ENSG00000103449
1	TRUE	0.0402	212	35	4	0.114	0.019	GO:0005096	MF	22	GTPase activator activity	1	ENSG00000124126,ENSG00000150760,ENSG00000164050,ENSG00000186635
1	TRUE	0.0411	20	44	2	0.045	0.1	GO:0048566	BP	60	embryonic digestive tract development	1	ENSG00000066468,ENSG00000103449
1	TRUE	0.0421	32	29	2	0.069	0.062	GO:0035850	BP	43	epithelial cell differentiation involved in kidney development	1	ENSG00000103449,ENSG00000170873
1	TRUE	0.0423	13	79	2	0.025	0.154	GO:0071800	BP	1	podosome assembly	1	ENSG00000148180,ENSG00000174705
1	TRUE	0.0435	24	52	2	0.038	0.083	GO:0045742	BP	49	positive regulation of epidermal growth factor receptor signaling pathway	1	ENSG00000127946,ENSG00000186635
1	TRUE	0.0435	23	43	2	0.047	0.087	GO:1902036	BP	33	regulation of hematopoietic stem cell differentiation	1	ENSG00000097007,ENSG00000140262
1	TRUE	0.0435	337	93	7	0.075	0.021	GO:0007264	BP	2	small GTPase mediated signal transduction	1	ENSG00000076928,ENSG00000097007,ENSG00000124126,ENSG00000140750,ENSG00000150760,ENSG00000186635,ENSG00000213977
1	TRUE	0.0435	189	126	6	0.048	0.032	GO:0051258	BP	52	protein polymerization	1	ENSG00000097007,ENSG00000124126,ENSG00000136861,ENSG00000148180,ENSG00000172725,ENSG00000242498
1	TRUE	0.0435	11	126	2	0.016	0.182	GO:2000392	BP	62	regulation of lamellipodium morphogenesis	1	ENSG00000172725,ENSG00000242498
1	TRUE	0.0435	36	34	2	0.059	0.056	GO:0035329	BP	29	hippo signaling	1	ENSG00000104067,ENSG00000119139
1	TRUE	0.0435	61	67	3	0.045	0.049	GO:0034109	BP	12	homotypic cell-cell adhesion	1	ENSG00000145794,ENSG00000159176,ENSG00000173801
1	TRUE	0.0435	994	126	16	0.127	0.016	GO:0030030	BP	44	cell projection organization	1	ENSG00000006611,ENSG00000066468,ENSG00000097007,ENSG00000110047,ENSG00000119699,ENSG00000130675,ENSG00000132122,ENSG00000136861,ENSG00000148180,ENSG00000160307,ENSG00000164050,ENSG00000170873,ENSG00000172725,ENSG00000182957,ENSG00000186635,ENSG00000242498
1	TRUE	0.0435	410	118	9	0.076	0.022	GO:0043065	BP	10	positive regulation of apoptotic process	1	ENSG00000076928,ENSG00000097007,ENSG00000119699,ENSG00000124126,ENSG00000127946,ENSG00000129521,ENSG00000137713,ENSG00000148180,ENSG00000148411
1	TRUE	0.0435	25	44	2	0.045	0.08	GO:0014855	BP	23	striated muscle cell proliferation	1	ENSG00000066468,ENSG00000145794
1	TRUE	0.0435	284	81	6	0.074	0.021	GO:0034774	CC	45	secretory granule lumen	1	ENSG00000117115,ENSG00000119655,ENSG00000119699,ENSG00000148180,ENSG00000173801,ENSG00000196743
1	TRUE	0.0436	23	56	2	0.036	0.087	GO:0048753	BP	64	pigment granule organization	1	ENSG00000132842,ENSG00000137177
1	TRUE	0.0443	360	13	3	0.231	0.008	GO:0042060	BP	21	wound healing	1	ENSG00000150760,ENSG00000159176,ENSG00000204580
1	TRUE	0.0445	213	44	4	0.091	0.019	GO:0018108	BP	54	peptidyl-tyrosine phosphorylation	1	ENSG00000066468,ENSG00000097007,ENSG00000167191,ENSG00000204580
1	TRUE	0.0451	254	38	4	0.105	0.016	GO:0002683	BP	67	negative regulation of immune system process	1	ENSG00000112851,ENSG00000117115,ENSG00000119699,ENSG00000166925
1	TRUE	0.0473	604	103	10	0.097	0.017	GO:0000902	BP	58	cell morphogenesis	1	ENSG00000049245,ENSG00000066468,ENSG00000097007,ENSG00000130675,ENSG00000150760,ENSG00000160307,ENSG00000164050,ENSG00000164403,ENSG00000172725,ENSG00000186635
