query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.08e-30	651	1367	154	0.113	0.237	GO:0097458	CC	159	neuron part	1	ENSG00000003147,ENSG00000003393,ENSG00000005249,ENSG00000006116,ENSG00000008056,ENSG00000008086,ENSG00000008277,ENSG00000008735,ENSG00000011347,ENSG00000018189,ENSG00000020129,ENSG00000040199,ENSG00000040608,ENSG00000050748,ENSG00000054277,ENSG00000054356,ENSG00000058335,ENSG00000067715,ENSG00000069424,ENSG00000070808,ENSG00000073969,ENSG00000077080,ENSG00000078018,ENSG00000078053,ENSG00000078369,ENSG00000078725,ENSG00000082397,ENSG00000082458,ENSG00000082701,ENSG00000088899,ENSG00000091129,ENSG00000099365,ENSG00000100321,ENSG00000101438,ENSG00000102003,ENSG00000102225,ENSG00000102606,ENSG00000103264,ENSG00000104093,ENSG00000104435,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000105723,ENSG00000106105,ENSG00000107643,ENSG00000107864,ENSG00000108797,ENSG00000109339,ENSG00000109756,ENSG00000111262,ENSG00000113327,ENSG00000113763,ENSG00000114030,ENSG00000116106,ENSG00000116141,ENSG00000117016,ENSG00000117533,ENSG00000120251,ENSG00000122126,ENSG00000124198,ENSG00000124486,ENSG00000126214,ENSG00000127561,ENSG00000127870,ENSG00000129159,ENSG00000129990,ENSG00000130477,ENSG00000130479,ENSG00000130558,ENSG00000130638,ENSG00000131238,ENSG00000131711,ENSG00000132639,ENSG00000132718,ENSG00000132872,ENSG00000136531,ENSG00000138175,ENSG00000138663,ENSG00000138814,ENSG00000139220,ENSG00000142192,ENSG00000144619,ENSG00000145632,ENSG00000145934,ENSG00000148660,ENSG00000149256,ENSG00000149269,ENSG00000151835,ENSG00000152954,ENSG00000154096,ENSG00000154429,ENSG00000155093,ENSG00000155252,ENSG00000155256,ENSG00000155961,ENSG00000156052,ENSG00000156642,ENSG00000157540,ENSG00000157680,ENSG00000157764,ENSG00000157782,ENSG00000158109,ENSG00000158445,ENSG00000159082,ENSG00000159164,ENSG00000159363,ENSG00000163536,ENSG00000164061,ENSG00000164114,ENSG00000164885,ENSG00000166006,ENSG00000166111,ENSG00000166233,ENSG00000166342,ENSG00000166405,ENSG00000166963,ENSG00000167371,ENSG00000167654,ENSG00000168824,ENSG00000168959,ENSG00000169933,ENSG00000170396,ENSG00000171160,ENSG00000171450,ENSG00000171862,ENSG00000171867,ENSG00000172020,ENSG00000174469,ENSG00000176749,ENSG00000176884,ENSG00000177301,ENSG00000179915,ENSG00000181754,ENSG00000183454,ENSG00000184156,ENSG00000185518,ENSG00000186868,ENSG00000187094,ENSG00000196712,ENSG00000196876,ENSG00000197106,ENSG00000197386,ENSG00000197457,ENSG00000197535,ENSG00000197562,ENSG00000198836,ENSG00000198910,ENSG00000198934,ENSG00000204843,ENSG00000220205,ENSG00000258947,ENSG00000273079,ENSG00000277586
1	TRUE	9.16e-20	621	1289	124	0.096	0.2	GO:0034220	BP	305	ion transmembrane transport	1	ENSG00000006116,ENSG00000008735,ENSG00000011021,ENSG00000014216,ENSG00000022355,ENSG00000033627,ENSG00000047249,ENSG00000049759,ENSG00000065923,ENSG00000067191,ENSG00000067842,ENSG00000069424,ENSG00000069966,ENSG00000070961,ENSG00000071553,ENSG00000072062,ENSG00000072315,ENSG00000073464,ENSG00000081189,ENSG00000090020,ENSG00000099624,ENSG00000100554,ENSG00000102468,ENSG00000105409,ENSG00000106537,ENSG00000106688,ENSG00000107745,ENSG00000109738,ENSG00000110955,ENSG00000111262,ENSG00000111371,ENSG00000112992,ENSG00000113327,ENSG00000114279,ENSG00000114573,ENSG00000115840,ENSG00000116030,ENSG00000118596,ENSG00000121905,ENSG00000124134,ENSG00000124532,ENSG00000128245,ENSG00000128524,ENSG00000129159,ENSG00000130226,ENSG00000131100,ENSG00000133958,ENSG00000135018,ENSG00000135750,ENSG00000135932,ENSG00000136531,ENSG00000136888,ENSG00000137726,ENSG00000142192,ENSG00000143153,ENSG00000143473,ENSG00000143933,ENSG00000144406,ENSG00000144746,ENSG00000145362,ENSG00000145864,ENSG00000147416,ENSG00000149575,ENSG00000150995,ENSG00000151320,ENSG00000152642,ENSG00000153956,ENSG00000154096,ENSG00000155097,ENSG00000155970,ENSG00000156486,ENSG00000157087,ENSG00000157214,ENSG00000158445,ENSG00000159363,ENSG00000159720,ENSG00000160014,ENSG00000162728,ENSG00000162989,ENSG00000163399,ENSG00000164038,ENSG00000164588,ENSG00000164794,ENSG00000165629,ENSG00000166006,ENSG00000166206,ENSG00000166342,ENSG00000168135,ENSG00000168959,ENSG00000170540,ENSG00000171132,ENSG00000171867,ENSG00000174437,ENSG00000175497,ENSG00000176884,ENSG00000177098,ENSG00000177301,ENSG00000179091,ENSG00000181754,ENSG00000182389,ENSG00000183023,ENSG00000183454,ENSG00000184156,ENSG00000185760,ENSG00000185774,ENSG00000185883,ENSG00000187446,ENSG00000196950,ENSG00000197043,ENSG00000197147,ENSG00000197386,ENSG00000197930,ENSG00000198420,ENSG00000198626,ENSG00000198668,ENSG00000198689,ENSG00000204442,ENSG00000205060,ENSG00000213760,ENSG00000215021,ENSG00000220205,ENSG00000241837,ENSG00000273079,ENSG00000278540
1	TRUE	3.99e-19	322	1533	90	0.059	0.28	GO:0045202	CC	350	synapse	1	ENSG00000003147,ENSG00000003249,ENSG00000005249,ENSG00000008056,ENSG00000008735,ENSG00000011347,ENSG00000054356,ENSG00000055163,ENSG00000067715,ENSG00000072071,ENSG00000073969,ENSG00000078053,ENSG00000082458,ENSG00000088899,ENSG00000099365,ENSG00000100321,ENSG00000101438,ENSG00000102003,ENSG00000102225,ENSG00000104093,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000106089,ENSG00000107864,ENSG00000109756,ENSG00000111052,ENSG00000111262,ENSG00000115977,ENSG00000116106,ENSG00000117016,ENSG00000117533,ENSG00000120251,ENSG00000124198,ENSG00000127561,ENSG00000129990,ENSG00000130477,ENSG00000130479,ENSG00000131238,ENSG00000132639,ENSG00000132718,ENSG00000132872,ENSG00000133019,ENSG00000138138,ENSG00000138663,ENSG00000138814,ENSG00000139220,ENSG00000142192,ENSG00000145934,ENSG00000148660,ENSG00000155093,ENSG00000155252,ENSG00000156642,ENSG00000157680,ENSG00000157782,ENSG00000158109,ENSG00000159082,ENSG00000159164,ENSG00000164061,ENSG00000164885,ENSG00000166006,ENSG00000166111,ENSG00000166342,ENSG00000167371,ENSG00000167654,ENSG00000168539,ENSG00000168959,ENSG00000169933,ENSG00000170396,ENSG00000170579,ENSG00000171867,ENSG00000171914,ENSG00000172020,ENSG00000176749,ENSG00000176884,ENSG00000177301,ENSG00000177380,ENSG00000178235,ENSG00000179915,ENSG00000180720,ENSG00000183454,ENSG00000185518,ENSG00000186868,ENSG00000189410,ENSG00000197106,ENSG00000197562,ENSG00000198934,ENSG00000205090,ENSG00000220205,ENSG00000273079
1	TRUE	1.27e-16	413	1289	90	0.07	0.218	GO:0098662	BP	137	inorganic cation transmembrane transport	1	ENSG00000006116,ENSG00000033627,ENSG00000047249,ENSG00000049759,ENSG00000065923,ENSG00000067191,ENSG00000069424,ENSG00000069966,ENSG00000071553,ENSG00000072062,ENSG00000072315,ENSG00000090020,ENSG00000099624,ENSG00000102468,ENSG00000105409,ENSG00000106537,ENSG00000107745,ENSG00000110955,ENSG00000111262,ENSG00000112992,ENSG00000114279,ENSG00000116030,ENSG00000121905,ENSG00000124134,ENSG00000124532,ENSG00000128245,ENSG00000128524,ENSG00000129159,ENSG00000130226,ENSG00000131100,ENSG00000135018,ENSG00000135750,ENSG00000135932,ENSG00000136531,ENSG00000137726,ENSG00000143153,ENSG00000143473,ENSG00000143933,ENSG00000145362,ENSG00000147416,ENSG00000149575,ENSG00000150995,ENSG00000151320,ENSG00000152642,ENSG00000153956,ENSG00000154096,ENSG00000155097,ENSG00000155970,ENSG00000156486,ENSG00000157214,ENSG00000158445,ENSG00000159720,ENSG00000160014,ENSG00000162728,ENSG00000162989,ENSG00000163399,ENSG00000164588,ENSG00000164794,ENSG00000165629,ENSG00000166006,ENSG00000166342,ENSG00000168135,ENSG00000171132,ENSG00000171867,ENSG00000174437,ENSG00000175497,ENSG00000176884,ENSG00000177098,ENSG00000177301,ENSG00000179091,ENSG00000181754,ENSG00000182389,ENSG00000183023,ENSG00000183454,ENSG00000184156,ENSG00000185760,ENSG00000185774,ENSG00000185883,ENSG00000187446,ENSG00000196950,ENSG00000197386,ENSG00000197930,ENSG00000198626,ENSG00000198668,ENSG00000198689,ENSG00000204442,ENSG00000215021,ENSG00000220205,ENSG00000241837,ENSG00000273079
1	TRUE	1.41e-16	60	1443	33	0.023	0.55	KEGG:04721	keg	91	Synaptic vesicle cycle	1	ENSG00000006125,ENSG00000033627,ENSG00000042753,ENSG00000047249,ENSG00000067715,ENSG00000073969,ENSG00000099365,ENSG00000100554,ENSG00000101438,ENSG00000104888,ENSG00000105402,ENSG00000105649,ENSG00000106089,ENSG00000106976,ENSG00000114573,ENSG00000128524,ENSG00000130477,ENSG00000131100,ENSG00000132639,ENSG00000136854,ENSG00000136888,ENSG00000141367,ENSG00000147416,ENSG00000155097,ENSG00000159720,ENSG00000161203,ENSG00000168993,ENSG00000175416,ENSG00000183020,ENSG00000185883,ENSG00000196961,ENSG00000213760,ENSG00000220205
1	TRUE	1.42e-15	202	1149	54	0.047	0.267	GO:0030425	CC	119	dendrite	1	ENSG00000003393,ENSG00000005249,ENSG00000008086,ENSG00000018189,ENSG00000020129,ENSG00000040608,ENSG00000073969,ENSG00000078018,ENSG00000078725,ENSG00000082701,ENSG00000105723,ENSG00000107643,ENSG00000107864,ENSG00000111262,ENSG00000113327,ENSG00000114030,ENSG00000116106,ENSG00000116141,ENSG00000120251,ENSG00000124198,ENSG00000130479,ENSG00000130638,ENSG00000131711,ENSG00000132718,ENSG00000138814,ENSG00000142192,ENSG00000145632,ENSG00000145934,ENSG00000149269,ENSG00000151835,ENSG00000154096,ENSG00000155256,ENSG00000157540,ENSG00000157680,ENSG00000158445,ENSG00000164061,ENSG00000164885,ENSG00000166006,ENSG00000166963,ENSG00000167654,ENSG00000168824,ENSG00000169933,ENSG00000170396,ENSG00000171867,ENSG00000174469,ENSG00000176749,ENSG00000176884,ENSG00000177301,ENSG00000181754,ENSG00000186868,ENSG00000196712,ENSG00000197386,ENSG00000198836,ENSG00000198934
1	TRUE	6.55e-15	390	1154	78	0.068	0.2	GO:0098916	BP	171	anterograde trans-synaptic signaling	1	ENSG00000007168,ENSG00000008056,ENSG00000011347,ENSG00000019505,ENSG00000022355,ENSG00000067191,ENSG00000067606,ENSG00000067715,ENSG00000078053,ENSG00000081189,ENSG00000082458,ENSG00000082701,ENSG00000099365,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000102468,ENSG00000105649,ENSG00000105723,ENSG00000106688,ENSG00000107758,ENSG00000107864,ENSG00000109738,ENSG00000109756,ENSG00000111052,ENSG00000111262,ENSG00000113327,ENSG00000115839,ENSG00000116106,ENSG00000117016,ENSG00000120251,ENSG00000124140,ENSG00000127838,ENSG00000128245,ENSG00000130477,ENSG00000131238,ENSG00000132639,ENSG00000132718,ENSG00000132872,ENSG00000133019,ENSG00000136854,ENSG00000136928,ENSG00000137312,ENSG00000138078,ENSG00000138138,ENSG00000142192,ENSG00000143761,ENSG00000144619,ENSG00000145632,ENSG00000145864,ENSG00000149575,ENSG00000149927,ENSG00000155093,ENSG00000156642,ENSG00000157764,ENSG00000158445,ENSG00000159082,ENSG00000160716,ENSG00000164061,ENSG00000164885,ENSG00000166342,ENSG00000166963,ENSG00000167371,ENSG00000168539,ENSG00000168824,ENSG00000168959,ENSG00000168993,ENSG00000170027,ENSG00000170579,ENSG00000171862,ENSG00000176884,ENSG00000182389,ENSG00000183454,ENSG00000184156,ENSG00000186868,ENSG00000213023,ENSG00000220205,ENSG00000273079
1	TRUE	6.61e-15	901	1660	172	0.104	0.191	GO:0098796	CC	229	membrane protein complex	1	ENSG00000004779,ENSG00000006071,ENSG00000006116,ENSG00000006125,ENSG00000006530,ENSG00000010256,ENSG00000023228,ENSG00000033627,ENSG00000042753,ENSG00000047249,ENSG00000051382,ENSG00000053770,ENSG00000067191,ENSG00000069329,ENSG00000069424,ENSG00000070718,ENSG00000071553,ENSG00000072062,ENSG00000072315,ENSG00000078369,ENSG00000078902,ENSG00000082458,ENSG00000087460,ENSG00000090020,ENSG00000099365,ENSG00000099624,ENSG00000100554,ENSG00000100934,ENSG00000104490,ENSG00000104723,ENSG00000105402,ENSG00000105409,ENSG00000106089,ENSG00000106367,ENSG00000107147,ENSG00000107745,ENSG00000108797,ENSG00000109270,ENSG00000109738,ENSG00000110955,ENSG00000111052,ENSG00000111262,ENSG00000113448,ENSG00000114573,ENSG00000115561,ENSG00000116030,ENSG00000116288,ENSG00000117118,ENSG00000117461,ENSG00000117533,ENSG00000118473,ENSG00000119383,ENSG00000119421,ENSG00000119844,ENSG00000120251,ENSG00000121879,ENSG00000122958,ENSG00000124134,ENSG00000125675,ENSG00000125814,ENSG00000127463,ENSG00000128524,ENSG00000128609,ENSG00000129159,ENSG00000130226,ENSG00000130414,ENSG00000131100,ENSG00000131143,ENSG00000131174,ENSG00000131398,ENSG00000132305,ENSG00000132589,ENSG00000132639,ENSG00000134265,ENSG00000134375,ENSG00000134709,ENSG00000135503,ENSG00000135750,ENSG00000136100,ENSG00000136521,ENSG00000136531,ENSG00000136928,ENSG00000137312,ENSG00000140740,ENSG00000141367,ENSG00000142186,ENSG00000143153,ENSG00000143376,ENSG00000143473,ENSG00000143740,ENSG00000143933,ENSG00000145495,ENSG00000145675,ENSG00000147123,ENSG00000147481,ENSG00000149575,ENSG00000150054,ENSG00000151320,ENSG00000151366,ENSG00000151502,ENSG00000152234,ENSG00000153956,ENSG00000154174,ENSG00000154723,ENSG00000155097,ENSG00000155876,ENSG00000156052,ENSG00000156113,ENSG00000156411,ENSG00000156486,ENSG00000158445,ENSG00000158623,ENSG00000158828,ENSG00000158882,ENSG00000159082,ENSG00000159199,ENSG00000159720,ENSG00000160014,ENSG00000160716,ENSG00000161203,ENSG00000162517,ENSG00000162989,ENSG00000163399,ENSG00000164506,ENSG00000164588,ENSG00000165629,ENSG00000166006,ENSG00000166862,ENSG00000166887,ENSG00000168135,ENSG00000168993,ENSG00000169021,ENSG00000169100,ENSG00000170540,ENSG00000173660,ENSG00000173726,ENSG00000173915,ENSG00000174469,ENSG00000175416,ENSG00000175497,ENSG00000176884,ENSG00000177098,ENSG00000177301,ENSG00000177885,ENSG00000178741,ENSG00000179091,ENSG00000181754,ENSG00000181789,ENSG00000182389,ENSG00000183020,ENSG00000183454,ENSG00000184156,ENSG00000185760,ENSG00000185774,ENSG00000185825,ENSG00000185883,ENSG00000189043,ENSG00000196876,ENSG00000196961,ENSG00000197147,ENSG00000198626,ENSG00000198668,ENSG00000198794,ENSG00000198911,ENSG00000198919,ENSG00000198934,ENSG00000204843,ENSG00000213585,ENSG00000220205,ENSG00000241837,ENSG00000255112,ENSG00000273079
1	TRUE	7.31e-14	222	948	49	0.052	0.221	GO:1902495	CC	483	transmembrane transporter complex	1	ENSG00000006116,ENSG00000067191,ENSG00000069424,ENSG00000072062,ENSG00000072315,ENSG00000082458,ENSG00000090020,ENSG00000105409,ENSG00000107745,ENSG00000108797,ENSG00000109738,ENSG00000120251,ENSG00000125675,ENSG00000129159,ENSG00000132639,ENSG00000135750,ENSG00000136531,ENSG00000143153,ENSG00000143473,ENSG00000143933,ENSG00000149575,ENSG00000153956,ENSG00000156113,ENSG00000158445,ENSG00000160014,ENSG00000160716,ENSG00000162989,ENSG00000163399,ENSG00000164506,ENSG00000164588,ENSG00000166006,ENSG00000168135,ENSG00000174469,ENSG00000175497,ENSG00000176884,ENSG00000177098,ENSG00000177301,ENSG00000181754,ENSG00000182389,ENSG00000183454,ENSG00000184156,ENSG00000185760,ENSG00000185774,ENSG00000196876,ENSG00000197147,ENSG00000198626,ENSG00000198668,ENSG00000220205,ENSG00000273079
1	TRUE	1.06e-13	606	1240	105	0.085	0.173	GO:0048666	BP	417	neuron development	1	ENSG00000003393,ENSG00000005810,ENSG00000007168,ENSG00000008086,ENSG00000010017,ENSG00000018189,ENSG00000020129,ENSG00000021645,ENSG00000040608,ENSG00000049759,ENSG00000050748,ENSG00000051382,ENSG00000066248,ENSG00000067715,ENSG00000073910,ENSG00000076356,ENSG00000077254,ENSG00000077264,ENSG00000078018,ENSG00000081189,ENSG00000082397,ENSG00000082701,ENSG00000088899,ENSG00000091129,ENSG00000099365,ENSG00000102225,ENSG00000102572,ENSG00000103034,ENSG00000103769,ENSG00000104435,ENSG00000106299,ENSG00000107295,ENSG00000107643,ENSG00000107758,ENSG00000107864,ENSG00000108797,ENSG00000109339,ENSG00000109756,ENSG00000113763,ENSG00000116106,ENSG00000116141,ENSG00000118200,ENSG00000121871,ENSG00000124140,ENSG00000124486,ENSG00000125249,ENSG00000127870,ENSG00000128245,ENSG00000128656,ENSG00000130477,ENSG00000130479,ENSG00000130558,ENSG00000130638,ENSG00000131238,ENSG00000131711,ENSG00000132872,ENSG00000132932,ENSG00000133083,ENSG00000135298,ENSG00000136854,ENSG00000138175,ENSG00000142192,ENSG00000143126,ENSG00000144619,ENSG00000145675,ENSG00000145934,ENSG00000147650,ENSG00000148948,ENSG00000149256,ENSG00000149269,ENSG00000154096,ENSG00000154429,ENSG00000155256,ENSG00000156642,ENSG00000157764,ENSG00000160716,ENSG00000163536,ENSG00000163558,ENSG00000164885,ENSG00000166170,ENSG00000166579,ENSG00000167654,ENSG00000170396,ENSG00000171862,ENSG00000174469,ENSG00000176749,ENSG00000177885,ENSG00000178235,ENSG00000179542,ENSG00000181754,ENSG00000183049,ENSG00000183715,ENSG00000186487,ENSG00000186868,ENSG00000187094,ENSG00000197457,ENSG00000197694,ENSG00000198513,ENSG00000198689,ENSG00000198825,ENSG00000198908,ENSG00000198910,ENSG00000203879,ENSG00000213023,ENSG00000221866
