query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00233	51	34	4	0.118	0.078	GO:0043197	CC	13	dendritic spine	1	ENSG00000151490,ENSG00000152578,ENSG00000184408,ENSG00000197555
1	TRUE	0.00464	663	40	9	0.225	0.014	GO:0032989	BP	37	cellular component morphogenesis	1	ENSG00000070182,ENSG00000072110,ENSG00000091136,ENSG00000111249,ENSG00000131504,ENSG00000136842,ENSG00000151490,ENSG00000197555,ENSG00000275342
1	TRUE	0.00464	37	24	3	0.125	0.081	GO:0009187	BP	5	cyclic nucleotide metabolic process	1	ENSG00000078295,ENSG00000113231,ENSG00000116337
1	TRUE	0.00563	21	8	2	0.25	0.095	GO:0061001	BP	3	regulation of dendritic spine morphogenesis	1	ENSG00000111249,ENSG00000197555
1	TRUE	0.00563	10	15	2	0.133	0.2	GO:0008179	MF	30	adenylate cyclase binding	1	ENSG00000078295,ENSG00000179841
1	TRUE	0.00563	4	41	2	0.049	0.5	GO:0005250	MF	15	A-type (transient outward) potassium channel activity	1	ENSG00000171385,ENSG00000184408
1	TRUE	0.00718	69	3	2	0.667	0.029	GO:0090630	BP	18	activation of GTPase activity	1	ENSG00000140538,ENSG00000197555
1	TRUE	0.00718	79	3	2	0.667	0.025	GO:0031532	BP	29	actin cytoskeleton reorganization	1	ENSG00000140538,ENSG00000197555
1	TRUE	0.00718	93	41	4	0.098	0.043	GO:0044325	MF	1	ion channel binding	1	ENSG00000022267,ENSG00000072110,ENSG00000131504,ENSG00000171385
1	TRUE	0.0113	65	5	2	0.4	0.031	GO:0007215	BP	27	glutamate receptor signaling pathway	1	ENSG00000152578,ENSG00000196730
1	TRUE	0.0122	124	41	4	0.098	0.032	GO:0071805	BP	34	potassium ion transmembrane transport	1	ENSG00000022267,ENSG00000157388,ENSG00000171385,ENSG00000184408
1	TRUE	0.0182	264	41	5	0.122	0.019	GO:0042391	BP	28	regulation of membrane potential	1	ENSG00000022267,ENSG00000111249,ENSG00000157388,ENSG00000171385,ENSG00000184408
1	TRUE	0.0182	270	42	5	0.119	0.019	GO:0003713	MF	21	transcription coactivator activity	1	ENSG00000072110,ENSG00000080503,ENSG00000084676,ENSG00000101577,ENSG00000179456
1	TRUE	0.0194	205	32	4	0.125	0.02	GO:1904062	BP	31	regulation of cation transmembrane transport	1	ENSG00000022267,ENSG00000131504,ENSG00000157388,ENSG00000196730
1	TRUE	0.0218	17	40	2	0.05	0.118	GO:0030506	MF	6	ankyrin binding	1	ENSG00000070182,ENSG00000157388
1	TRUE	0.0221	170	41	4	0.098	0.024	GO:0034703	CC	38	cation channel complex	1	ENSG00000152578,ENSG00000157388,ENSG00000171385,ENSG00000184408
