query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.79e-05	543	656	32	0.049	0.059	GO:0000003	BP	14	reproduction	1	ENSG00000079393,ENSG00000099139,ENSG00000099338,ENSG00000100206,ENSG00000104953,ENSG00000106128,ENSG00000107485,ENSG00000121101,ENSG00000125885,ENSG00000129810,ENSG00000132749,ENSG00000134207,ENSG00000135409,ENSG00000143450,ENSG00000152430,ENSG00000154438,ENSG00000160207,ENSG00000163508,ENSG00000164404,ENSG00000165891,ENSG00000168619,ENSG00000169679,ENSG00000170848,ENSG00000173809,ENSG00000173894,ENSG00000188886,ENSG00000198765,ENSG00000214102,ENSG00000221826,ENSG00000243130,ENSG00000243137,ENSG00000273706
1	TRUE	0.00437	80	308	7	0.023	0.087	GO:0005796	CC	9	Golgi lumen	1	ENSG00000099139,ENSG00000154342,ENSG00000169876,ENSG00000169894,ENSG00000181143,ENSG00000204544,ENSG00000215182
1	TRUE	0.00754	71	512	8	0.016	0.113	GO:0004497	MF	26	monooxygenase activity	1	ENSG00000095596,ENSG00000142973,ENSG00000180176,ENSG00000186526,ENSG00000186529,ENSG00000187134,ENSG00000187553,ENSG00000197446
1	TRUE	0.011	156	346	9	0.026	0.058	GO:0043009	BP	34	chordate embryonic development	1	ENSG00000099139,ENSG00000107485,ENSG00000128652,ENSG00000158055,ENSG00000163508,ENSG00000165891,ENSG00000171956,ENSG00000204531,ENSG00000273706
1	TRUE	0.011	958	654	37	0.057	0.039	GO:0006952	BP	22	defense response	1	ENSG00000012223,ENSG00000023445,ENSG00000079263,ENSG00000089127,ENSG00000096996,ENSG00000107485,ENSG00000108700,ENSG00000109101,ENSG00000111679,ENSG00000113905,ENSG00000115085,ENSG00000116701,ENSG00000123146,ENSG00000134830,ENSG00000137265,ENSG00000142405,ENSG00000149476,ENSG00000150637,ENSG00000158517,ENSG00000160791,ENSG00000163435,ENSG00000165682,ENSG00000166523,ENSG00000169876,ENSG00000169894,ENSG00000174123,ENSG00000178772,ENSG00000180644,ENSG00000181143,ENSG00000183486,ENSG00000183625,ENSG00000203710,ENSG00000204544,ENSG00000204577,ENSG00000213903,ENSG00000215182,ENSG00000221826
1	TRUE	0.0237	51	308	5	0.016	0.098	GO:0016266	BP	6	O-glycan processing	1	ENSG00000169876,ENSG00000169894,ENSG00000181143,ENSG00000204544,ENSG00000215182
1	TRUE	0.0237	49	193	4	0.021	0.082	GO:2000736	BP	49	regulation of stem cell differentiation	1	ENSG00000078900,ENSG00000107485,ENSG00000119715,ENSG00000154342
1	TRUE	0.0244	5	120	2	0.017	0.4	GO:0010455	BP	12	positive regulation of cell fate commitment	1	ENSG00000096996,ENSG00000154342
1	TRUE	0.0253	7	512	3	0.006	0.429	GO:0048387	BP	13	negative regulation of retinoic acid receptor signaling pathway	1	ENSG00000095596,ENSG00000185686,ENSG00000187553
1	TRUE	0.0253	56	308	5	0.016	0.089	GO:0002223	BP	18	stimulatory C-type lectin receptor signaling pathway	1	ENSG00000169876,ENSG00000169894,ENSG00000181143,ENSG00000204544,ENSG00000215182
1	TRUE	0.0253	111	577	9	0.016	0.081	GO:0000793	CC	17	condensed chromosome	1	ENSG00000100206,ENSG00000117724,ENSG00000119715,ENSG00000129810,ENSG00000139618,ENSG00000152253,ENSG00000169189,ENSG00000169679,ENSG00000198765
1	TRUE	0.0289	78	81	3	0.037	0.038	KEGG:05410	keg	40	Hypertrophic cardiomyopathy (HCM)	1	ENSG00000115221,ENSG00000115592,ENSG00000151062
1	TRUE	0.0291	441	324	13	0.04	0.029	GO:0009887	BP	31	animal organ morphogenesis	1	ENSG00000012223,ENSG00000086159,ENSG00000089225,ENSG00000107485,ENSG00000109101,ENSG00000125046,ENSG00000128652,ENSG00000135903,ENSG00000154342,ENSG00000163435,ENSG00000180176,ENSG00000273706,ENSG00000275410
1	TRUE	0.0303	4	208	2	0.01	0.5	GO:0001847	MF	10	opsonin receptor activity	1	ENSG00000134830,ENSG00000203710
1	TRUE	0.0325	187	193	6	0.031	0.032	GO:0030098	BP	37	lymphocyte differentiation	1	ENSG00000096996,ENSG00000107485,ENSG00000115085,ENSG00000163508,ENSG00000182885,ENSG00000203710
1	TRUE	0.0331	167	445	9	0.02	0.054	GO:0008544	BP	24	epidermis development	1	ENSG00000058085,ENSG00000065618,ENSG00000088002,ENSG00000109101,ENSG00000158055,ENSG00000159184,ENSG00000163435,ENSG00000167767,ENSG00000197641
1	TRUE	0.0331	3	308	2	0.006	0.667	GO:0030197	MF	1	extracellular matrix constituent, lubricant activity	1	ENSG00000169876,ENSG00000169894
1	TRUE	0.0331	442	383	14	0.037	0.032	GO:0008233	MF	47	peptidase activity	1	ENSG00000012223,ENSG00000099139,ENSG00000124602,ENSG00000136378,ENSG00000137747,ENSG00000153002,ENSG00000162438,ENSG00000167751,ENSG00000168060,ENSG00000168619,ENSG00000169174,ENSG00000178772,ENSG00000184012,ENSG00000188886
