query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.53e-45	958	395	112	0.284	0.117	GO:0006952	BP	324	defense response	1	ENSG00000005844,ENSG00000010327,ENSG00000010671,ENSG00000011600,ENSG00000015285,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000067066,ENSG00000068079,ENSG00000069431,ENSG00000072694,ENSG00000081041,ENSG00000081237,ENSG00000090339,ENSG00000095585,ENSG00000095970,ENSG00000100292,ENSG00000101017,ENSG00000101336,ENSG00000104518,ENSG00000104974,ENSG00000105329,ENSG00000105974,ENSG00000106538,ENSG00000107201,ENSG00000108771,ENSG00000110057,ENSG00000111321,ENSG00000111331,ENSG00000111335,ENSG00000112343,ENSG00000115267,ENSG00000115318,ENSG00000115523,ENSG00000116815,ENSG00000117228,ENSG00000118503,ENSG00000118640,ENSG00000119535,ENSG00000120915,ENSG00000121933,ENSG00000123609,ENSG00000125347,ENSG00000125730,ENSG00000127241,ENSG00000128284,ENSG00000128394,ENSG00000128604,ENSG00000130303,ENSG00000131042,ENSG00000132109,ENSG00000132274,ENSG00000137462,ENSG00000137628,ENSG00000137752,ENSG00000137959,ENSG00000138496,ENSG00000138646,ENSG00000140853,ENSG00000140968,ENSG00000150337,ENSG00000155629,ENSG00000155926,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000160712,ENSG00000161921,ENSG00000162692,ENSG00000163131,ENSG00000163563,ENSG00000163565,ENSG00000163823,ENSG00000163840,ENSG00000165025,ENSG00000165168,ENSG00000165457,ENSG00000166278,ENSG00000166710,ENSG00000168329,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171522,ENSG00000171860,ENSG00000172936,ENSG00000173193,ENSG00000173369,ENSG00000173372,ENSG00000173535,ENSG00000174125,ENSG00000174130,ENSG00000179583,ENSG00000182578,ENSG00000184979,ENSG00000185507,ENSG00000185885,ENSG00000188313,ENSG00000196664,ENSG00000197943,ENSG00000204264,ENSG00000204287,ENSG00000204472,ENSG00000204642,ENSG00000216490,ENSG00000223865,ENSG00000231389,ENSG00000235568,ENSG00000239713,ENSG00000254415,ENSG00000276231
1	TRUE	1.12e-40	860	341	95	0.279	0.11	GO:0002252	BP	134	immune effector process	1	ENSG00000005844,ENSG00000008394,ENSG00000010671,ENSG00000010704,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000021355,ENSG00000026297,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000072694,ENSG00000072786,ENSG00000081237,ENSG00000086062,ENSG00000090339,ENSG00000100504,ENSG00000101160,ENSG00000101336,ENSG00000103187,ENSG00000104043,ENSG00000104518,ENSG00000105329,ENSG00000107201,ENSG00000108771,ENSG00000111331,ENSG00000111335,ENSG00000114013,ENSG00000115267,ENSG00000115318,ENSG00000116815,ENSG00000118503,ENSG00000118640,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000125810,ENSG00000127241,ENSG00000127314,ENSG00000128394,ENSG00000129226,ENSG00000130303,ENSG00000130429,ENSG00000131042,ENSG00000134516,ENSG00000135077,ENSG00000136167,ENSG00000137462,ENSG00000137628,ENSG00000137959,ENSG00000138496,ENSG00000138646,ENSG00000140678,ENSG00000140853,ENSG00000141968,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000145703,ENSG00000146425,ENSG00000150337,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000163191,ENSG00000163563,ENSG00000163565,ENSG00000163840,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000166710,ENSG00000166825,ENSG00000167613,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171522,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000180448,ENSG00000185507,ENSG00000188313,ENSG00000196664,ENSG00000197249,ENSG00000197943,ENSG00000203747,ENSG00000239713,ENSG00000242574,ENSG00000254415,ENSG00000276231
1	TRUE	4.89e-40	672	315	82	0.26	0.122	GO:0050776	BP	322	regulation of immune response	1	ENSG00000005844,ENSG00000010610,ENSG00000010671,ENSG00000010704,ENSG00000011600,ENSG00000015285,ENSG00000019582,ENSG00000026950,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000082074,ENSG00000086730,ENSG00000090339,ENSG00000095970,ENSG00000101017,ENSG00000101096,ENSG00000101336,ENSG00000104974,ENSG00000105329,ENSG00000107201,ENSG00000108771,ENSG00000110057,ENSG00000114013,ENSG00000115267,ENSG00000115318,ENSG00000117228,ENSG00000118503,ENSG00000118640,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000127241,ENSG00000130303,ENSG00000130429,ENSG00000131042,ENSG00000135077,ENSG00000137462,ENSG00000137628,ENSG00000138496,ENSG00000140853,ENSG00000141968,ENSG00000143226,ENSG00000150337,ENSG00000155307,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000162692,ENSG00000163131,ENSG00000163563,ENSG00000163565,ENSG00000165025,ENSG00000166278,ENSG00000166710,ENSG00000167613,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000172936,ENSG00000173193,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000184979,ENSG00000185507,ENSG00000185885,ENSG00000186818,ENSG00000188313,ENSG00000196664,ENSG00000197943,ENSG00000203747,ENSG00000204287,ENSG00000204642,ENSG00000223865,ENSG00000231389,ENSG00000242574,ENSG00000276231
1	TRUE	1.27e-37	984	341	97	0.284	0.099	GO:0001775	BP	105	cell activation	1	ENSG00000005844,ENSG00000008394,ENSG00000010610,ENSG00000010671,ENSG00000010704,ENSG00000011600,ENSG00000012779,ENSG00000019582,ENSG00000021355,ENSG00000026297,ENSG00000026950,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000072694,ENSG00000072786,ENSG00000081237,ENSG00000086062,ENSG00000086730,ENSG00000090339,ENSG00000095585,ENSG00000100504,ENSG00000101017,ENSG00000101096,ENSG00000101160,ENSG00000102034,ENSG00000103187,ENSG00000104043,ENSG00000104518,ENSG00000105122,ENSG00000105329,ENSG00000106799,ENSG00000107099,ENSG00000107968,ENSG00000114013,ENSG00000115318,ENSG00000115956,ENSG00000116815,ENSG00000118503,ENSG00000118640,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000125810,ENSG00000127314,ENSG00000128791,ENSG00000129226,ENSG00000130303,ENSG00000131042,ENSG00000134516,ENSG00000135077,ENSG00000136167,ENSG00000137462,ENSG00000140678,ENSG00000141506,ENSG00000141968,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000145703,ENSG00000146425,ENSG00000152804,ENSG00000155307,ENSG00000158869,ENSG00000160255,ENSG00000162493,ENSG00000162692,ENSG00000163131,ENSG00000163191,ENSG00000163563,ENSG00000165025,ENSG00000165168,ENSG00000166710,ENSG00000166825,ENSG00000167613,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171522,ENSG00000171860,ENSG00000174125,ENSG00000174130,ENSG00000180448,ENSG00000185811,ENSG00000186818,ENSG00000188313,ENSG00000197249,ENSG00000197943,ENSG00000204472,ENSG00000204482,ENSG00000213719,ENSG00000223865,ENSG00000231389,ENSG00000242574,ENSG00000254415,ENSG00000259207,ENSG00000276231
1	TRUE	1.44e-35	703	295	76	0.258	0.108	GO:0002684	BP	341	positive regulation of immune system process	1	ENSG00000006747,ENSG00000010610,ENSG00000015285,ENSG00000019582,ENSG00000026950,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000082074,ENSG00000086730,ENSG00000090339,ENSG00000095970,ENSG00000101096,ENSG00000101336,ENSG00000105122,ENSG00000105329,ENSG00000107099,ENSG00000107201,ENSG00000107968,ENSG00000108771,ENSG00000110057,ENSG00000114013,ENSG00000115267,ENSG00000117228,ENSG00000118503,ENSG00000118640,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000127241,ENSG00000130300,ENSG00000130429,ENSG00000131042,ENSG00000137462,ENSG00000137628,ENSG00000138496,ENSG00000140853,ENSG00000141968,ENSG00000143226,ENSG00000150337,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000160712,ENSG00000162367,ENSG00000162692,ENSG00000163131,ENSG00000163563,ENSG00000163565,ENSG00000163823,ENSG00000165025,ENSG00000166278,ENSG00000166710,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000172936,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000180353,ENSG00000186818,ENSG00000188313,ENSG00000196664,ENSG00000197943,ENSG00000203747,ENSG00000204287,ENSG00000204472,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	1.96e-31	761	319	77	0.241	0.101	GO:0034097	BP	186	response to cytokine	1	ENSG00000010610,ENSG00000012779,ENSG00000019582,ENSG00000028137,ENSG00000067066,ENSG00000068079,ENSG00000077238,ENSG00000081237,ENSG00000090339,ENSG00000095970,ENSG00000100292,ENSG00000100368,ENSG00000101017,ENSG00000101336,ENSG00000102007,ENSG00000105329,ENSG00000105483,ENSG00000107099,ENSG00000107201,ENSG00000107968,ENSG00000110324,ENSG00000111321,ENSG00000111331,ENSG00000111335,ENSG00000112343,ENSG00000114013,ENSG00000115267,ENSG00000116815,ENSG00000117228,ENSG00000118503,ENSG00000119535,ENSG00000125347,ENSG00000126561,ENSG00000127314,ENSG00000128604,ENSG00000130300,ENSG00000130303,ENSG00000131724,ENSG00000132109,ENSG00000132274,ENSG00000136167,ENSG00000137462,ENSG00000137752,ENSG00000138496,ENSG00000140678,ENSG00000140853,ENSG00000140968,ENSG00000141968,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000160712,ENSG00000161921,ENSG00000162692,ENSG00000163823,ENSG00000165025,ENSG00000166710,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000172936,ENSG00000173193,ENSG00000179583,ENSG00000180353,ENSG00000182578,ENSG00000184979,ENSG00000185507,ENSG00000185885,ENSG00000188313,ENSG00000198223,ENSG00000204264,ENSG00000204287,ENSG00000204472,ENSG00000204642,ENSG00000216490,ENSG00000223865,ENSG00000231389
1	TRUE	1.07e-23	652	341	64	0.188	0.098	GO:0045055	BP	43	regulated exocytosis	1	ENSG00000005844,ENSG00000006747,ENSG00000008394,ENSG00000011600,ENSG00000012779,ENSG00000021355,ENSG00000026297,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000071127,ENSG00000072694,ENSG00000072786,ENSG00000081237,ENSG00000086062,ENSG00000100504,ENSG00000101160,ENSG00000101336,ENSG00000103187,ENSG00000104043,ENSG00000104518,ENSG00000105329,ENSG00000106538,ENSG00000115956,ENSG00000116815,ENSG00000118640,ENSG00000123338,ENSG00000125257,ENSG00000125730,ENSG00000125810,ENSG00000127314,ENSG00000129226,ENSG00000130303,ENSG00000131042,ENSG00000134516,ENSG00000137462,ENSG00000138722,ENSG00000140678,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000145685,ENSG00000145703,ENSG00000146425,ENSG00000158710,ENSG00000158869,ENSG00000160255,ENSG00000163131,ENSG00000163191,ENSG00000163563,ENSG00000165025,ENSG00000165168,ENSG00000166710,ENSG00000166825,ENSG00000167613,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000180448,ENSG00000197249,ENSG00000198113,ENSG00000254415,ENSG00000259207
1	TRUE	5.57e-23	424	331	51	0.154	0.12	GO:0001817	BP	294	regulation of cytokine production	1	ENSG00000010610,ENSG00000010671,ENSG00000010704,ENSG00000019582,ENSG00000051523,ENSG00000066294,ENSG00000072694,ENSG00000100292,ENSG00000104518,ENSG00000105329,ENSG00000105483,ENSG00000107201,ENSG00000108771,ENSG00000114013,ENSG00000115267,ENSG00000116815,ENSG00000117228,ENSG00000118503,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000128604,ENSG00000128791,ENSG00000130303,ENSG00000131042,ENSG00000132109,ENSG00000135077,ENSG00000137462,ENSG00000137628,ENSG00000137752,ENSG00000138646,ENSG00000140853,ENSG00000158869,ENSG00000160712,ENSG00000163565,ENSG00000165025,ENSG00000166710,ENSG00000168329,ENSG00000168961,ENSG00000170458,ENSG00000171522,ENSG00000172936,ENSG00000174125,ENSG00000174130,ENSG00000174600,ENSG00000182179,ENSG00000182578,ENSG00000185507,ENSG00000196664,ENSG00000223865,ENSG00000231389
1	TRUE	6.4e-23	450	393	56	0.142	0.124	GO:0043207	BP	5	response to external biotic stimulus	1	ENSG00000006453,ENSG00000010327,ENSG00000028137,ENSG00000051523,ENSG00000069431,ENSG00000072694,ENSG00000081041,ENSG00000081237,ENSG00000101017,ENSG00000101336,ENSG00000104518,ENSG00000105329,ENSG00000105483,ENSG00000105939,ENSG00000105974,ENSG00000106538,ENSG00000107201,ENSG00000108771,ENSG00000111321,ENSG00000111331,ENSG00000111335,ENSG00000112799,ENSG00000115267,ENSG00000115523,ENSG00000118503,ENSG00000125347,ENSG00000128394,ENSG00000128604,ENSG00000130303,ENSG00000131042,ENSG00000132274,ENSG00000137462,ENSG00000137628,ENSG00000137752,ENSG00000137959,ENSG00000137965,ENSG00000138496,ENSG00000138646,ENSG00000140853,ENSG00000158869,ENSG00000160712,ENSG00000163565,ENSG00000163840,ENSG00000165025,ENSG00000168329,ENSG00000168961,ENSG00000170458,ENSG00000172936,ENSG00000173535,ENSG00000174125,ENSG00000174130,ENSG00000185507,ENSG00000185885,ENSG00000188313,ENSG00000196664,ENSG00000239713
1	TRUE	5.75e-18	51	270	20	0.074	0.392	KEGG:05150	keg	193	Staphylococcus aureus infection	1	ENSG00000005844,ENSG00000090339,ENSG00000125730,ENSG00000127241,ENSG00000143226,ENSG00000150337,ENSG00000159189,ENSG00000160255,ENSG00000166278,ENSG00000169896,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000203747,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
