Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	-0.0836599076191069	0.0342603010879113	-2.44189061282436	0.0178539348344472	0.267809022516707	0	
blue	2	Autism	0.0219814930084233	0.0360470131204578	0.609800677103762	0.544505089737607	1	0	
brown	3	Autism	0.0167197504666205	0.0354205859334831	0.472034835844296	0.638769408450689	1	0	
yellow	4	Autism	-0.099495927822791	0.0328191535631567	-3.03164210592215	0.00370483508633112	0.062982196467629	0	
green	5	Autism	0.0145469236511151	0.036127021159767	0.4026604791683	0.688758848118231	1	0	
red	6	Autism	-0.0085025820548257	0.0361467157834427	-0.235224193140124	0.814908348792941	1	0	
black	7	Autism	0.126385277539267	0.0320248696097933	3.94647282187896	0.000227143054625982	0.00454286109251964	2.34267054244457	0.1
pink	8	Autism	0.0570887165359099	0.0353783842855897	1.61366093134907	0.112324505078318	1	0	
magenta	9	Autism	0.0610819601982448	0.0352538006433738	1.73263475379996	0.0887651674683152	1	0	
purple	10	Autism	0.0324083195207958	0.0355772981866815	0.910926944219953	0.366309071703741	1	0	
greenyellow	11	Autism	0.112906619501992	0.0327314517904961	3.44948400775721	0.00108542257700569	0.0195376063861025	1.7091286441476	0.1
tan	12	Autism	-0.00777103333004122	0.0361749243404593	-0.214818233119283	0.830703579220813	1	0	
salmon	13	Autism	-0.00928054456678337	0.035294775529325	-0.262943861452598	0.793576364246801	1	0	
midnightblue	15	Autism	0.0410578232518461	0.0359516079044822	1.14203023578056	0.258389029348339	1	0	
lightcyan	16	Autism	0.07832393935319	0.0348023334410294	2.25053700740801	0.0284336569983825	0.398071197977356	0	
grey60	17	Autism	-0.114342420150296	0.0323883457752248	-3.53035690503716	0.000847615385612239	0.0161046923266325	-1.79304756777829	-0.1
lightgreen	18	Autism	0.0640182196712938	0.0353080604231936	1.81313328752663	0.0752694000677862	0.978502200881221	0	
lightyellow	19	Autism	-0.0462234995113718	0.0351632327199042	-1.31454067035216	0.194119823484197	1	0	
royalblue	20	Autism	0.129237700411053	0.0318251143120106	4.06087152253464	0.000156262024987032	0.00328150252472768	2.48392725726874	0.1
darkred	21	Autism	0.0585455271031361	0.0347838614212609	1.68312328508046	0.0980200585405425	1	0	
darkgrey	24	Autism	-0.0943281609969735	0.0336349950224481	-2.80446484187135	0.00695194382424151	0.111231101187864	0	
