query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.67e-09	650	144	28	0.194	0.043	GO:0016071	BP	110	mRNA metabolic process	1	ENSG00000058673,ENSG00000065526,ENSG00000070366,ENSG00000083896,ENSG00000096746,ENSG00000100201,ENSG00000100227,ENSG00000100941,ENSG00000105323,ENSG00000116560,ENSG00000122566,ENSG00000126070,ENSG00000126804,ENSG00000126883,ENSG00000134371,ENSG00000134744,ENSG00000134748,ENSG00000135473,ENSG00000136937,ENSG00000141232,ENSG00000149311,ENSG00000153048,ENSG00000164548,ENSG00000165494,ENSG00000168066,ENSG00000169045,ENSG00000185246,ENSG00000198563
1	TRUE	2.91e-07	368	139	19	0.137	0.052	GO:0008380	BP	32	RNA splicing	1	ENSG00000013441,ENSG00000065526,ENSG00000075292,ENSG00000083896,ENSG00000096746,ENSG00000100201,ENSG00000100941,ENSG00000105323,ENSG00000116560,ENSG00000122566,ENSG00000134748,ENSG00000136937,ENSG00000164548,ENSG00000165494,ENSG00000168066,ENSG00000169045,ENSG00000179335,ENSG00000185246,ENSG00000198563
1	TRUE	3.32e-07	907	144	29	0.201	0.032	GO:0044451	CC	64	nucleoplasm part	1	ENSG00000055609,ENSG00000065243,ENSG00000076108,ENSG00000083168,ENSG00000083896,ENSG00000100201,ENSG00000100227,ENSG00000100813,ENSG00000100941,ENSG00000102710,ENSG00000105856,ENSG00000109118,ENSG00000116560,ENSG00000122566,ENSG00000126804,ENSG00000127483,ENSG00000134371,ENSG00000135365,ENSG00000136891,ENSG00000153914,ENSG00000163960,ENSG00000165494,ENSG00000166439,ENSG00000174197,ENSG00000181090,ENSG00000184634,ENSG00000188554,ENSG00000197579,ENSG00000198563
1	TRUE	6.22e-07	852	149	28	0.188	0.033	GO:0051276	BP	2	chromosome organization	1	ENSG00000070366,ENSG00000073584,ENSG00000073614,ENSG00000076108,ENSG00000083168,ENSG00000100813,ENSG00000101972,ENSG00000107077,ENSG00000108055,ENSG00000116560,ENSG00000117713,ENSG00000122566,ENSG00000126804,ENSG00000127483,ENSG00000134371,ENSG00000143442,ENSG00000149311,ENSG00000158711,ENSG00000163939,ENSG00000164190,ENSG00000166164,ENSG00000168769,ENSG00000172943,ENSG00000181090,ENSG00000184678,ENSG00000185619,ENSG00000189079,ENSG00000197724
1	TRUE	1.31e-05	456	108	16	0.148	0.035	GO:0003712	MF	111	transcription coregulator activity	1	ENSG00000073584,ENSG00000073614,ENSG00000083168,ENSG00000100201,ENSG00000109118,ENSG00000117713,ENSG00000119950,ENSG00000135365,ENSG00000141232,ENSG00000158711,ENSG00000161021,ENSG00000166164,ENSG00000168066,ENSG00000183864,ENSG00000184634,ENSG00000197724
1	TRUE	2.3e-05	106	124	9	0.073	0.085	GO:0006406	BP	96	mRNA export from nucleus	1	ENSG00000058673,ENSG00000070366,ENSG00000083896,ENSG00000095319,ENSG00000100227,ENSG00000122566,ENSG00000126883,ENSG00000136937,ENSG00000198563
1	TRUE	2.3e-05	106	124	9	0.073	0.085	GO:0071427	BP	40	mRNA-containing ribonucleoprotein complex export from nucleus	1	ENSG00000058673,ENSG00000070366,ENSG00000083896,ENSG00000095319,ENSG00000100227,ENSG00000122566,ENSG00000126883,ENSG00000136937,ENSG00000198563
1	TRUE	9.47e-05	753	150	22	0.147	0.029	GO:0005694	CC	6	chromosome	1	ENSG00000073584,ENSG00000076108,ENSG00000101972,ENSG00000107077,ENSG00000108055,ENSG00000109118,ENSG00000116560,ENSG00000117713,ENSG00000122566,ENSG00000127483,ENSG00000133884,ENSG00000134371,ENSG00000143442,ENSG00000149311,ENSG00000160049,ENSG00000163939,ENSG00000166439,ENSG00000184678,ENSG00000185591,ENSG00000185619,ENSG00000197724,ENSG00000214022
1	TRUE	0.00027	198	124	10	0.081	0.051	GO:0022618	BP	44	ribonucleoprotein complex assembly	1	ENSG00000083896,ENSG00000126070,ENSG00000134371,ENSG00000136937,ENSG00000145907,ENSG00000149311,ENSG00000168066,ENSG00000185246,ENSG00000198563,ENSG00000257103
1	TRUE	0.000411	162	93	8	0.086	0.049	GO:0042393	MF	98	histone binding	1	ENSG00000073614,ENSG00000076108,ENSG00000109118,ENSG00000135365,ENSG00000146247,ENSG00000166164,ENSG00000172943,ENSG00000197724
