query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	6.41e-08	907	153	31	0.203	0.034	GO:0044451	CC	66	nucleoplasm part	1	ENSG00000072364,ENSG00000099875,ENSG00000100650,ENSG00000108256,ENSG00000108510,ENSG00000110422,ENSG00000112739,ENSG00000115524,ENSG00000116754,ENSG00000118058,ENSG00000118579,ENSG00000119596,ENSG00000122257,ENSG00000125952,ENSG00000130254,ENSG00000131051,ENSG00000136450,ENSG00000141027,ENSG00000143437,ENSG00000147140,ENSG00000149532,ENSG00000156650,ENSG00000159140,ENSG00000167258,ENSG00000167978,ENSG00000173933,ENSG00000174579,ENSG00000178028,ENSG00000182872,ENSG00000196367,ENSG00000239306
1	TRUE	2.77e-07	650	152	25	0.164	0.038	GO:0016071	BP	4	mRNA metabolic process	1	ENSG00000078687,ENSG00000082898,ENSG00000088038,ENSG00000090060,ENSG00000092199,ENSG00000100650,ENSG00000108654,ENSG00000110422,ENSG00000112739,ENSG00000115524,ENSG00000116754,ENSG00000120948,ENSG00000125755,ENSG00000130254,ENSG00000136450,ENSG00000143368,ENSG00000143437,ENSG00000147140,ENSG00000147274,ENSG00000149532,ENSG00000157106,ENSG00000159140,ENSG00000167978,ENSG00000173933,ENSG00000272886
1	TRUE	9.17e-07	368	144	18	0.125	0.049	GO:0008380	BP	35	RNA splicing	1	ENSG00000090060,ENSG00000092199,ENSG00000100650,ENSG00000108654,ENSG00000112739,ENSG00000115524,ENSG00000116754,ENSG00000120948,ENSG00000125755,ENSG00000136450,ENSG00000143368,ENSG00000147140,ENSG00000147274,ENSG00000149532,ENSG00000159140,ENSG00000167258,ENSG00000167978,ENSG00000173933
1	TRUE	0.000119	114	46	6	0.13	0.053	GO:0030518	BP	54	intracellular steroid hormone receptor signaling pathway	1	ENSG00000012822,ENSG00000100393,ENSG00000108510,ENSG00000108654,ENSG00000130254,ENSG00000239306
1	TRUE	0.000119	118	46	6	0.13	0.051	GO:0043401	BP	40	steroid hormone mediated signaling pathway	1	ENSG00000012822,ENSG00000100393,ENSG00000108510,ENSG00000108654,ENSG00000130254,ENSG00000239306
1	TRUE	0.000119	321	153	14	0.092	0.044	GO:0016570	BP	45	histone modification	1	ENSG00000005483,ENSG00000024048,ENSG00000100393,ENSG00000118058,ENSG00000141646,ENSG00000143258,ENSG00000156650,ENSG00000165671,ENSG00000173120,ENSG00000174579,ENSG00000178028,ENSG00000181555,ENSG00000196367,ENSG00000239306
1	TRUE	0.000119	391	121	14	0.116	0.036	GO:0000785	CC	23	chromatin	1	ENSG00000005483,ENSG00000049618,ENSG00000059728,ENSG00000062650,ENSG00000072364,ENSG00000092199,ENSG00000118260,ENSG00000121892,ENSG00000124151,ENSG00000125952,ENSG00000141027,ENSG00000141646,ENSG00000156650,ENSG00000196367
1	TRUE	0.00012	144	3	3	1	0.021	GO:1901991	BP	11	negative regulation of mitotic cell cycle phase transition	1	ENSG00000010244,ENSG00000100393,ENSG00000197343
1	TRUE	0.000121	456	108	14	0.13	0.031	GO:0003712	MF	77	transcription coregulator activity	1	ENSG00000012822,ENSG00000049618,ENSG00000059728,ENSG00000100393,ENSG00000108510,ENSG00000118260,ENSG00000124151,ENSG00000125952,ENSG00000141027,ENSG00000165671,ENSG00000178028,ENSG00000196367,ENSG00000239306,ENSG00000244754
1	TRUE	0.000127	984	121	22	0.182	0.022	GO:2000113	BP	81	negative regulation of cellular macromolecule biosynthetic process	1	ENSG00000024048,ENSG00000059728,ENSG00000062650,ENSG00000078687,ENSG00000088038,ENSG00000092199,ENSG00000100393,ENSG00000108654,ENSG00000118260,ENSG00000121892,ENSG00000125952,ENSG00000141027,ENSG00000141646,ENSG00000147140,ENSG00000156650,ENSG00000165671,ENSG00000173933,ENSG00000175104,ENSG00000178028,ENSG00000178935,ENSG00000204514,ENSG00000244754
1	TRUE	0.000233	62	108	6	0.056	0.097	GO:0000980	MF	32	RNA polymerase II distal enhancer sequence-specific DNA binding	1	ENSG00000012822,ENSG00000092199,ENSG00000118058,ENSG00000118260,ENSG00000147140,ENSG00000213676
1	TRUE	0.00039	26	74	4	0.054	0.154	GO:0046966	MF	87	thyroid hormone receptor binding	1	ENSG00000108510,ENSG00000124151,ENSG00000141027,ENSG00000165671
1	TRUE	0.000573	59	80	5	0.062	0.085	GO:0034968	BP	48	histone lysine methylation	1	ENSG00000005483,ENSG00000118058,ENSG00000141646,ENSG00000165671,ENSG00000181555
1	TRUE	0.000573	149	158	9	0.057	0.06	GO:0050658	BP	56	RNA transport	1	ENSG00000082898,ENSG00000100650,ENSG00000116754,ENSG00000125755,ENSG00000136450,ENSG00000157106,ENSG00000173744,ENSG00000181555,ENSG00000204842
1	TRUE	0.000588	235	76	8	0.105	0.034	GO:0040029	BP	46	regulation of gene expression, epigenetic	1	ENSG00000024048,ENSG00000049618,ENSG00000078687,ENSG00000100393,ENSG00000108654,ENSG00000115524,ENSG00000141027,ENSG00000173933
1	TRUE	0.000756	96	144	7	0.049	0.073	GO:0071013	CC	62	catalytic step 2 spliceosome	1	ENSG00000092199,ENSG00000108654,ENSG00000112739,ENSG00000115524,ENSG00000136450,ENSG00000147274,ENSG00000167978
1	TRUE	0.000785	123	158	8	0.051	0.065	GO:0071426	BP	43	ribonucleoprotein complex export from nucleus	1	ENSG00000082898,ENSG00000100650,ENSG00000116754,ENSG00000125755,ENSG00000136450,ENSG00000157106,ENSG00000173744,ENSG00000181555
1	TRUE	0.000829	761	118	17	0.144	0.022	GO:0006259	BP	3	DNA metabolic process	1	ENSG00000005483,ENSG00000024048,ENSG00000062650,ENSG00000092199,ENSG00000100393,ENSG00000118058,ENSG00000121892,ENSG00000122257,ENSG00000135945,ENSG00000157106,ENSG00000164164,ENSG00000173120,ENSG00000178028,ENSG00000181555,ENSG00000196367,ENSG00000213923,ENSG00000239306
1	TRUE	0.00107	128	114	7	0.061	0.055	GO:0007623	BP	42	circadian rhythm	1	ENSG00000100393,ENSG00000118058,ENSG00000118260,ENSG00000141027,ENSG00000147140,ENSG00000173933,ENSG00000213923
1	TRUE	0.00111	13	80	3	0.037	0.231	GO:0051571	BP	39	positive regulation of histone H3-K4 methylation	1	ENSG00000005483,ENSG00000118058,ENSG00000141646
