query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	9.52e-08	394	80	16	0.2	0.041	GO:0046873	MF	31	metal ion transmembrane transporter activity	1	ENSG00000011083,ENSG00000067842,ENSG00000111262,ENSG00000129159,ENSG00000131398,ENSG00000142185,ENSG00000143473,ENSG00000144285,ENSG00000149575,ENSG00000157087,ENSG00000158445,ENSG00000166862,ENSG00000174437,ENSG00000177301,ENSG00000182389,ENSG00000185760
1	TRUE	3.71e-07	550	80	17	0.212	0.031	GO:0030001	BP	63	metal ion transport	1	ENSG00000067842,ENSG00000069966,ENSG00000111262,ENSG00000129159,ENSG00000131398,ENSG00000142185,ENSG00000143473,ENSG00000144285,ENSG00000149575,ENSG00000157087,ENSG00000158445,ENSG00000164715,ENSG00000166862,ENSG00000174437,ENSG00000177301,ENSG00000182389,ENSG00000185760
1	TRUE	6.06e-07	137	148	12	0.081	0.088	GO:0035637	BP	33	multicellular organismal signaling	1	ENSG00000067842,ENSG00000072062,ENSG00000090020,ENSG00000111262,ENSG00000144285,ENSG00000149575,ENSG00000157087,ENSG00000166862,ENSG00000174437,ENSG00000177098,ENSG00000177301,ENSG00000183023
1	TRUE	6.06e-07	75	26	6	0.231	0.08	GO:0008076	CC	18	voltage-gated potassium channel complex	1	ENSG00000129159,ENSG00000131398,ENSG00000143473,ENSG00000158445,ENSG00000177301,ENSG00000185760
1	TRUE	1.25e-06	138	148	11	0.074	0.08	KEGG:04261	keg	51	Adrenergic signaling in cardiomyocytes	1	ENSG00000067842,ENSG00000072062,ENSG00000090020,ENSG00000157087,ENSG00000157445,ENSG00000166862,ENSG00000174437,ENSG00000177098,ENSG00000182389,ENSG00000182621,ENSG00000183023
1	TRUE	3.57e-06	124	26	6	0.231	0.048	GO:0071805	BP	56	potassium ion transmembrane transport	1	ENSG00000129159,ENSG00000131398,ENSG00000143473,ENSG00000158445,ENSG00000177301,ENSG00000185760
1	TRUE	5.15e-06	264	145	14	0.097	0.053	GO:0042391	BP	14	regulation of membrane potential	1	ENSG00000090020,ENSG00000111262,ENSG00000117016,ENSG00000140015,ENSG00000143473,ENSG00000144285,ENSG00000149575,ENSG00000158445,ENSG00000166862,ENSG00000174437,ENSG00000177098,ENSG00000177301,ENSG00000182389,ENSG00000183023
1	TRUE	9.15e-05	126	148	9	0.061	0.071	GO:0006941	BP	8	striated muscle contraction	1	ENSG00000072062,ENSG00000090020,ENSG00000100604,ENSG00000132694,ENSG00000144285,ENSG00000149575,ENSG00000174437,ENSG00000177098,ENSG00000183023
1	TRUE	0.000116	16	26	3	0.115	0.188	GO:0032809	CC	46	neuronal cell body membrane	1	ENSG00000129159,ENSG00000158445,ENSG00000177301
1	TRUE	0.000116	16	26	3	0.115	0.188	GO:0044298	CC	11	cell body membrane	1	ENSG00000129159,ENSG00000158445,ENSG00000177301
1	TRUE	0.000234	13	43	3	0.07	0.231	GO:0005388	MF	60	calcium-transporting ATPase activity	1	ENSG00000067842,ENSG00000157087,ENSG00000174437
1	TRUE	0.00032	20	31	3	0.097	0.15	GO:0050433	BP	15	regulation of catecholamine secretion	1	ENSG00000100604,ENSG00000158445,ENSG00000177301
1	TRUE	0.000848	42	134	5	0.037	0.119	GO:0007613	BP	38	memory	1	ENSG00000058335,ENSG00000107864,ENSG00000124788,ENSG00000166963,ENSG00000182621
1	TRUE	0.000888	2	74	2	0.027	1	GO:0050966	BP	35	detection of mechanical stimulus involved in sensory perception of pain	1	ENSG00000111262,ENSG00000144285
1	TRUE	0.000995	70	145	6	0.041	0.086	KEGG:04260	keg	54	Cardiac muscle contraction	1	ENSG00000090020,ENSG00000157445,ENSG00000166862,ENSG00000174437,ENSG00000182389,ENSG00000183023
1	TRUE	0.00156	78	148	6	0.041	0.077	KEGG:04970	keg	58	Salivary secretion	1	ENSG00000067842,ENSG00000072062,ENSG00000090020,ENSG00000152402,ENSG00000157087,ENSG00000182621
1	TRUE	0.00178	84	148	6	0.041	0.071	KEGG:05414	keg	53	Dilated cardiomyopathy (DCM)	1	ENSG00000072062,ENSG00000157445,ENSG00000166862,ENSG00000174437,ENSG00000182389,ENSG00000183023
1	TRUE	0.00258	81	55	4	0.073	0.049	KEGG:04972	keg	59	Pancreatic secretion	1	ENSG00000067842,ENSG00000157087,ENSG00000174437,ENSG00000182621
1	TRUE	0.00276	71	119	5	0.042	0.07	KEGG:05412	keg	39	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1	ENSG00000157445,ENSG00000166862,ENSG00000174437,ENSG00000182389,ENSG00000183023
1	TRUE	0.00324	149	148	7	0.047	0.047	KEGG:04921	keg	69	Oxytocin signaling pathway	1	ENSG00000072062,ENSG00000142185,ENSG00000152402,ENSG00000157445,ENSG00000166862,ENSG00000182389,ENSG00000182621
1	TRUE	0.00324	78	119	5	0.042	0.064	KEGG:05410	keg	2	Hypertrophic cardiomyopathy (HCM)	1	ENSG00000157445,ENSG00000166862,ENSG00000174437,ENSG00000182389,ENSG00000183023
1	TRUE	0.00634	3	136	2	0.015	0.667	GO:1900736	BP	30	regulation of phospholipase C-activating G-protein coupled receptor signaling pathway	1	ENSG00000100604,ENSG00000151746
1	TRUE	0.00906	131	148	6	0.041	0.046	KEGG:04371	keg	42	Apelin signaling pathway	1	ENSG00000069966,ENSG00000072062,ENSG00000090020,ENSG00000109819,ENSG00000182621,ENSG00000183023
1	TRUE	0.0111	205	148	8	0.054	0.039	GO:1904062	BP	23	regulation of cation transmembrane transport	1	ENSG00000069966,ENSG00000072062,ENSG00000090020,ENSG00000149575,ENSG00000166862,ENSG00000177098,ENSG00000182389,ENSG00000183023
1	TRUE	0.0122	157	132	6	0.045	0.038	KEGG:04022	keg	52	cGMP-PKG signaling pathway	1	ENSG00000067842,ENSG00000152402,ENSG00000157087,ENSG00000174437,ENSG00000182621,ENSG00000183023
1	TRUE	0.0125	23	115	3	0.026	0.13	GO:0015804	BP	40	neutral amino acid transport	1	ENSG00000011083,ENSG00000092068,ENSG00000123643
1	TRUE	0.0154	390	128	10	0.078	0.026	GO:0098916	BP	41	anterograde trans-synaptic signaling	1	ENSG00000058335,ENSG00000107864,ENSG00000111262,ENSG00000117016,ENSG00000127838,ENSG00000149575,ENSG00000158445,ENSG00000166963,ENSG00000168993,ENSG00000182389
1	TRUE	0.0158	169	148	7	0.047	0.041	GO:0032412	BP	47	regulation of ion transmembrane transporter activity	1	ENSG00000069966,ENSG00000072062,ENSG00000090020,ENSG00000149575,ENSG00000166862,ENSG00000177098,ENSG00000182389
1	TRUE	0.0158	9	74	2	0.027	0.222	GO:0044224	CC	10	juxtaparanode region of axon	1	ENSG00000111262,ENSG00000177301
1	TRUE	0.0158	6	115	2	0.017	0.333	GO:0015193	MF	55	L-proline transmembrane transporter activity	1	ENSG00000011083,ENSG00000123643
1	TRUE	0.0158	426	140	11	0.079	0.026	GO:0031267	MF	28	small GTPase binding	1	ENSG00000058335,ENSG00000066248,ENSG00000102606,ENSG00000132694,ENSG00000135631,ENSG00000135956,ENSG00000137642,ENSG00000146426,ENSG00000151746,ENSG00000153201,ENSG00000277586
1	TRUE	0.0172	75	95	4	0.042	0.053	GO:0042752	BP	5	regulation of circadian rhythm	1	ENSG00000054277,ENSG00000109819,ENSG00000133794,ENSG00000198963
1	TRUE	0.0189	56	133	4	0.03	0.071	GO:0086003	BP	3	cardiac muscle cell contraction	1	ENSG00000144285,ENSG00000149575,ENSG00000174437,ENSG00000177098
1	TRUE	0.0203	125	72	4	0.056	0.032	KEGG:04728	keg	49	Dopaminergic synapse	1	ENSG00000069966,ENSG00000133794,ENSG00000144285,ENSG00000182621
1	TRUE	0.0206	176	55	4	0.073	0.023	KEGG:04020	keg	17	Calcium signaling pathway	1	ENSG00000067842,ENSG00000157087,ENSG00000174437,ENSG00000182621
1	TRUE	0.0214	56	140	4	0.029	0.071	GO:0005089	MF	24	Rho guanyl-nucleotide exchange factor activity	1	ENSG00000066248,ENSG00000102606,ENSG00000132694,ENSG00000146426
1	TRUE	0.0247	108	8	2	0.25	0.019	GO:0051224	BP	12	negative regulation of protein transport	1	ENSG00000157782,ENSG00000158445
1	TRUE	0.0247	8	123	2	0.016	0.25	GO:0014850	BP	29	response to muscle activity	1	ENSG00000109819,ENSG00000160097
1	TRUE	0.025	9	110	2	0.018	0.222	GO:0071415	BP	45	cellular response to purine-containing compound	1	ENSG00000142185,ENSG00000183023
1	TRUE	0.0253	7	145	2	0.014	0.286	GO:0035994	BP	73	response to muscle stretch	1	ENSG00000090020,ENSG00000183023
1	TRUE	0.0269	27	148	3	0.02	0.111	GO:0010644	BP	19	cell communication by electrical coupling	1	ENSG00000072062,ENSG00000111262,ENSG00000183023
1	TRUE	0.027	154	95	5	0.053	0.032	GO:1901214	BP	16	regulation of neuron death	1	ENSG00000100604,ENSG00000109819,ENSG00000135472,ENSG00000137642,ENSG00000158445
1	TRUE	0.0274	211	5	2	0.4	0.009	GO:0030424	CC	36	axon	1	ENSG00000158445,ENSG00000177301
1	TRUE	0.0281	8	145	2	0.014	0.25	GO:0071468	BP	68	cellular response to acidic pH	1	ENSG00000090020,ENSG00000135631
1	TRUE	0.0287	8	148	2	0.014	0.25	GO:0071871	BP	71	response to epinephrine	1	ENSG00000072062,ENSG00000090020
1	TRUE	0.0289	94	55	3	0.055	0.032	KEGG:04925	keg	78	Aldosterone synthesis and secretion	1	ENSG00000067842,ENSG00000157087,ENSG00000182621
1	TRUE	0.0296	63	148	4	0.027	0.063	GO:0001678	BP	66	cellular glucose homeostasis	1	ENSG00000072062,ENSG00000109819,ENSG00000135631,ENSG00000158445
1	TRUE	0.0298	272	16	3	0.188	0.011	GO:0004857	MF	20	enzyme inhibitor activity	1	ENSG00000128594,ENSG00000157782,ENSG00000164715
1	TRUE	0.034	174	7	2	0.286	0.011	GO:0006470	BP	80	protein dephosphorylation	1	ENSG00000164951,ENSG00000171735
1	TRUE	0.0363	32	42	2	0.048	0.062	GO:0050805	BP	57	negative regulation of synaptic transmission	1	ENSG00000127838,ENSG00000158445
1	TRUE	0.037	188	148	6	0.041	0.032	KEGG:04024	keg	77	cAMP signaling pathway	1	ENSG00000065989,ENSG00000067842,ENSG00000072062,ENSG00000090020,ENSG00000157087,ENSG00000174437
1	TRUE	0.0377	10	145	2	0.014	0.2	GO:0006883	BP	61	cellular sodium ion homeostasis	1	ENSG00000090020,ENSG00000183023
1	TRUE	0.0386	11	134	2	0.015	0.182	GO:0042405	CC	79	nuclear inclusion body	1	ENSG00000124788,ENSG00000153201
1	TRUE	0.039	11	136	2	0.015	0.182	GO:0008093	MF	70	cytoskeletal adaptor activity	1	ENSG00000151746,ENSG00000166963
1	TRUE	0.039	59	24	2	0.083	0.034	GO:0004722	MF	6	protein serine/threonine phosphatase activity	1	ENSG00000163590,ENSG00000164951
1	TRUE	0.0393	65	77	3	0.039	0.046	GO:0007215	BP	26	glutamate receptor signaling pathway	1	ENSG00000158445,ENSG00000166862,ENSG00000182621
1	TRUE	0.0394	172	8	2	0.25	0.012	GO:0033157	BP	21	regulation of intracellular protein transport	1	ENSG00000157782,ENSG00000158445
1	TRUE	0.0408	668	144	13	0.09	0.019	GO:0007186	BP	37	G-protein coupled receptor signaling pathway	1	ENSG00000054277,ENSG00000065989,ENSG00000066248,ENSG00000069966,ENSG00000100604,ENSG00000102606,ENSG00000108018,ENSG00000132694,ENSG00000146426,ENSG00000151025,ENSG00000151746,ENSG00000182621,ENSG00000240771
1	TRUE	0.0416	13	127	2	0.016	0.154	GO:0008090	BP	75	retrograde axonal transport	1	ENSG00000166963,ENSG00000277586
1	TRUE	0.0417	15	110	2	0.018	0.133	GO:0055119	BP	72	relaxation of cardiac muscle	1	ENSG00000100604,ENSG00000183023
1	TRUE	0.0433	14	123	2	0.016	0.143	GO:0050873	BP	76	brown fat cell differentiation	1	ENSG00000109819,ENSG00000160097
1	TRUE	0.0434	44	38	2	0.053	0.045	GO:0004879	MF	32	nuclear receptor activity	1	ENSG00000077092,ENSG00000198963
1	TRUE	0.0442	108	63	3	0.048	0.028	KEGG:04725	keg	7	Cholinergic synapse	1	ENSG00000069966,ENSG00000182621,ENSG00000185760
1	TRUE	0.0442	92	148	4	0.027	0.043	KEGG:04713	keg	74	Circadian entrainment	1	ENSG00000069966,ENSG00000072062,ENSG00000152402,ENSG00000182621
1	TRUE	0.0442	46	148	3	0.02	0.065	KEGG:04961	keg	25	Endocrine and other factor-regulated calcium reabsorption	1	ENSG00000072062,ENSG00000182621,ENSG00000183023
1	TRUE	0.0442	30	72	2	0.028	0.067	KEGG:04710	keg	22	Circadian rhythm	1	ENSG00000133794,ENSG00000198963
1	TRUE	0.0442	171	16	2	0.125	0.012	KEGG:04360	keg	9	Axon guidance	1	ENSG00000106123,ENSG00000128594
1	TRUE	0.0442	89	148	4	0.027	0.045	KEGG:05032	keg	62	Morphine addiction	1	ENSG00000065989,ENSG00000069966,ENSG00000072062,ENSG00000187730
1	TRUE	0.0446	18	95	2	0.021	0.111	GO:0001659	BP	50	temperature homeostasis	1	ENSG00000109819,ENSG00000142185
1	TRUE	0.046	24	72	2	0.028	0.083	GO:2000772	BP	44	regulation of cellular senescence	1	ENSG00000074590,ENSG00000133794
1	TRUE	0.046	282	148	7	0.047	0.025	KEGG:04010	keg	65	MAPK signaling pathway	1	ENSG00000058335,ENSG00000072062,ENSG00000087095,ENSG00000108861,ENSG00000157445,ENSG00000166862,ENSG00000182389
1	TRUE	0.0484	121	48	3	0.062	0.025	GO:0006665	BP	48	sphingolipid metabolic process	1	ENSG00000101638,ENSG00000101846,ENSG00000163590
