query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000763	3	16	2	0.125	0.667	GO:0010286	BP	120	heat acclimation	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.000763	3	16	2	0.125	0.667	GO:0070434	BP	67	positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.000763	3	16	2	0.125	0.667	GO:0070426	BP	87	positive regulation of nucleotide-binding oligomerization domain containing signaling pathway	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.00102	137	134	8	0.06	0.058	GO:0035967	BP	23	cellular response to topologically incorrect protein	1	ENSG00000044574,ENSG00000136731,ENSG00000154832,ENSG00000163516,ENSG00000166340,ENSG00000166598,ENSG00000179218,ENSG00000204389
1	TRUE	0.00102	4	16	2	0.125	0.5	GO:0090063	BP	48	positive regulation of microtubule nucleation	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.00138	22	32	3	0.094	0.136	GO:0033120	BP	82	positive regulation of RNA splicing	1	ENSG00000063244,ENSG00000110713,ENSG00000204389
1	TRUE	0.00152	6	16	2	0.125	0.333	GO:0055131	MF	60	C3HC4-type RING finger domain binding	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.00157	7	16	2	0.125	0.286	GO:1903265	BP	20	positive regulation of tumor necrosis factor-mediated signaling pathway	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.00157	609	99	13	0.131	0.021	GO:0016604	CC	17	nuclear body	1	ENSG00000004975,ENSG00000033030,ENSG00000063244,ENSG00000110713,ENSG00000117360,ENSG00000122008,ENSG00000132155,ENSG00000148300,ENSG00000154832,ENSG00000163159,ENSG00000188486,ENSG00000204388,ENSG00000204389
1	TRUE	0.00174	71	39	4	0.103	0.056	GO:0016234	CC	30	inclusion body	1	ENSG00000004975,ENSG00000110713,ENSG00000204388,ENSG00000204389
1	TRUE	0.002	57	20	3	0.15	0.053	GO:0031397	BP	71	negative regulation of protein ubiquitination	1	ENSG00000063244,ENSG00000204388,ENSG00000204389
1	TRUE	0.002	650	59	10	0.169	0.015	GO:0016071	BP	45	mRNA metabolic process	1	ENSG00000005007,ENSG00000033030,ENSG00000063244,ENSG00000083223,ENSG00000105771,ENSG00000110713,ENSG00000117360,ENSG00000168566,ENSG00000204388,ENSG00000204389
1	TRUE	0.00219	242	134	9	0.067	0.037	GO:0034976	BP	28	response to endoplasmic reticulum stress	1	ENSG00000044574,ENSG00000127191,ENSG00000136731,ENSG00000154832,ENSG00000163516,ENSG00000166340,ENSG00000166598,ENSG00000179218,ENSG00000204389
1	TRUE	0.00219	10	16	2	0.125	0.2	GO:0090084	BP	90	negative regulation of inclusion body assembly	1	ENSG00000204388,ENSG00000204389
1	TRUE	0.0023	83	16	3	0.188	0.036	GO:0051082	MF	4	unfolded protein binding	1	ENSG00000136731,ENSG00000204388,ENSG00000204389
1	TRUE	0.00238	10	134	3	0.022	0.3	GO:0036500	BP	129	ATF6-mediated unfolded protein response	1	ENSG00000044574,ENSG00000166598,ENSG00000179218
1	TRUE	0.00262	310	41	6	0.146	0.019	GO:0006401	BP	78	RNA catabolic process	1	ENSG00000005007,ENSG00000083223,ENSG00000105771,ENSG00000172922,ENSG00000204388,ENSG00000204389
1	TRUE	0.00262	290	16	4	0.25	0.014	GO:0044389	MF	43	ubiquitin-like protein ligase binding	1	ENSG00000133104,ENSG00000170581,ENSG00000204388,ENSG00000204389
1	TRUE	0.00277	154	16	4	0.25	0.026	KEGG:05164	keg	32	Influenza A	1	ENSG00000132155,ENSG00000170581,ENSG00000204388,ENSG00000204389
