query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00181	92	36	4	0.111	0.043	KEGG:04713	keg	27	Circadian entrainment	1	ENSG00000102882,ENSG00000126583,ENSG00000186469,ENSG00000196557
1	TRUE	0.00402	111	39	4	0.103	0.036	KEGG:04724	keg	78	Glutamatergic synapse	1	ENSG00000102882,ENSG00000126583,ENSG00000186469,ENSG00000198785
1	TRUE	0.00986	205	37	4	0.108	0.02	KEGG:05163	keg	13	Human cytomegalovirus infection	1	ENSG00000050628,ENSG00000102882,ENSG00000126583,ENSG00000186469
1	TRUE	0.00986	99	31	3	0.097	0.03	KEGG:05231	keg	111	Choline metabolism in cancer	1	ENSG00000102882,ENSG00000126583,ENSG00000145214
1	TRUE	0.00986	108	31	3	0.097	0.028	KEGG:04725	keg	49	Cholinergic synapse	1	ENSG00000102882,ENSG00000126583,ENSG00000186469
1	TRUE	0.00986	66	43	3	0.07	0.045	KEGG:04720	keg	42	Long-term potentiation	1	ENSG00000102882,ENSG00000126583,ENSG00000135447
1	TRUE	0.00986	105	31	3	0.097	0.029	KEGG:04726	keg	46	Serotonergic synapse	1	ENSG00000102882,ENSG00000126583,ENSG00000186469
1	TRUE	0.00986	171	42	4	0.095	0.023	KEGG:04360	keg	4	Axon guidance	1	ENSG00000102882,ENSG00000136040,ENSG00000184347,ENSG00000196189
1	TRUE	0.0125	162	31	3	0.097	0.019	KEGG:05225	keg	64	Hepatocellular carcinoma	1	ENSG00000082014,ENSG00000102882,ENSG00000126583
1	TRUE	0.0125	89	11	2	0.182	0.022	KEGG:05032	keg	106	Morphine addiction	1	ENSG00000126583,ENSG00000186469
1	TRUE	0.0125	70	14	2	0.143	0.029	KEGG:04918	keg	96	Thyroid hormone synthesis	1	ENSG00000091137,ENSG00000126583
1	TRUE	0.0125	86	11	2	0.182	0.023	KEGG:04727	keg	109	GABAergic synapse	1	ENSG00000126583,ENSG00000186469
1	TRUE	0.0125	35	31	2	0.065	0.057	KEGG:04960	keg	79	Aldosterone-regulated sodium reabsorption	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0125	145	31	3	0.097	0.021	KEGG:04723	keg	75	Retrograde endocannabinoid signaling	1	ENSG00000102882,ENSG00000126583,ENSG00000186469
1	TRUE	0.014	103	82	4	0.049	0.039	KEGG:04928	keg	25	Parathyroid hormone synthesis, secretion and action	1	ENSG00000102882,ENSG00000126583,ENSG00000137486,ENSG00000156103
1	TRUE	0.0169	114	80	4	0.05	0.035	KEGG:04919	keg	10	Thyroid hormone signaling pathway	1	ENSG00000008838,ENSG00000102882,ENSG00000126351,ENSG00000126583
1	TRUE	0.0173	194	31	3	0.097	0.015	KEGG:05170	keg	17	Human immunodeficiency virus 1 infection	1	ENSG00000102882,ENSG00000126583,ENSG00000186469
1	TRUE	0.0178	125	11	2	0.182	0.016	KEGG:04728	keg	76	Dopaminergic synapse	1	ENSG00000126583,ENSG00000186469
1	TRUE	0.0179	69	39	4	0.103	0.058	GO:0097305	BP	44	response to alcohol	1	ENSG00000101958,ENSG00000184347,ENSG00000186469,ENSG00000198785
1	TRUE	0.0179	405	39	7	0.179	0.017	GO:0042493	BP	90	response to drug	1	ENSG00000091592,ENSG00000101958,ENSG00000102882,ENSG00000126583,ENSG00000145214,ENSG00000184347,ENSG00000198785
1	TRUE	0.0188	139	39	3	0.077	0.022	KEGG:05034	keg	14	Alcoholism	1	ENSG00000102882,ENSG00000186469,ENSG00000198785
1	TRUE	0.0195	214	31	3	0.097	0.014	KEGG:04014	keg	95	Ras signaling pathway	1	ENSG00000102882,ENSG00000126583,ENSG00000186469
1	TRUE	0.0199	59	31	2	0.065	0.034	KEGG:04370	keg	18	VEGF signaling pathway	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0203	61	31	2	0.065	0.033	KEGG:04730	keg	28	Long-term depression	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0227	66	31	2	0.065	0.03	KEGG:05223	keg	31	Non-small cell lung cancer	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0228	176	37	3	0.081	0.017	KEGG:04020	keg	60	Calcium signaling pathway	1	ENSG00000050628,ENSG00000126583,ENSG00000196557
1	TRUE	0.0233	8	36	2	0.056	0.25	GO:1902645	BP	3	tertiary alcohol biosynthetic process	1	ENSG00000145214,ENSG00000196557
1	TRUE	0.0233	27	76	3	0.039	0.111	GO:0007405	BP	47	neuroblast proliferation	1	ENSG00000082014,ENSG00000105245,ENSG00000134532
1	TRUE	0.0233	8	36	2	0.056	0.25	GO:0034650	BP	108	cortisol metabolic process	1	ENSG00000145214,ENSG00000196557
1	TRUE	0.0233	508	32	6	0.188	0.012	GO:0010243	BP	15	response to organonitrogen compound	1	ENSG00000091592,ENSG00000101958,ENSG00000102882,ENSG00000126583,ENSG00000145214,ENSG00000186469
1	TRUE	0.0233	8	36	2	0.056	0.25	GO:0034651	BP	101	cortisol biosynthetic process	1	ENSG00000145214,ENSG00000196557
1	TRUE	0.0233	124	31	4	0.129	0.032	GO:0030168	BP	99	platelet activation	1	ENSG00000102882,ENSG00000126583,ENSG00000145214,ENSG00000186469
1	TRUE	0.0233	54	7	2	0.286	0.037	GO:0000118	CC	33	histone deacetylase complex	1	ENSG00000127511,ENSG00000170004
1	TRUE	0.0233	41	7	2	0.286	0.049	GO:0004407	MF	67	histone deacetylase activity	1	ENSG00000127511,ENSG00000170004
1	TRUE	0.0233	11	39	2	0.051	0.182	GO:0016594	MF	7	glycine binding	1	ENSG00000101958,ENSG00000198785
1	TRUE	0.0234	70	31	2	0.065	0.029	KEGG:05214	keg	53	Glioma	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0238	17	36	2	0.056	0.118	GO:0007520	BP	94	myoblast fusion	1	ENSG00000111913,ENSG00000196557
1	TRUE	0.0238	401	31	5	0.161	0.012	GO:0014070	BP	86	response to organic cyclic compound	1	ENSG00000102882,ENSG00000126583,ENSG00000145214,ENSG00000184347,ENSG00000186469
1	TRUE	0.0238	359	34	5	0.147	0.014	GO:0043410	BP	84	positive regulation of MAPK cascade	1	ENSG00000009694,ENSG00000102882,ENSG00000135299,ENSG00000141503,ENSG00000162734
1	TRUE	0.0238	8	87	2	0.023	0.25	GO:0046325	BP	23	negative regulation of glucose import	1	ENSG00000106070,ENSG00000162734
1	TRUE	0.0238	269	10	3	0.3	0.011	GO:0000790	CC	88	nuclear chromatin	1	ENSG00000082014,ENSG00000127511,ENSG00000170004
1	TRUE	0.0244	885	87	12	0.138	0.014	GO:0071495	BP	1	cellular response to endogenous stimulus	1	ENSG00000008838,ENSG00000101958,ENSG00000102882,ENSG00000106070,ENSG00000121989,ENSG00000126351,ENSG00000134532,ENSG00000174460,ENSG00000184347,ENSG00000186469,ENSG00000196557,ENSG00000242265
1	TRUE	0.0246	40	17	2	0.118	0.05	GO:1990869	BP	43	cellular response to chemokine	1	ENSG00000111913,ENSG00000184347
1	TRUE	0.0246	10	76	2	0.026	0.2	GO:0036445	BP	9	neuronal stem cell division	1	ENSG00000105245,ENSG00000134532
1	TRUE	0.0246	329	87	7	0.08	0.021	GO:0048667	BP	48	cell morphogenesis involved in neuron differentiation	1	ENSG00000044090,ENSG00000102882,ENSG00000106070,ENSG00000136040,ENSG00000141503,ENSG00000145242,ENSG00000184347
1	TRUE	0.0246	67	10	2	0.2	0.03	GO:0070603	CC	21	SWI/SNF superfamily-type complex	1	ENSG00000082014,ENSG00000170004
1	TRUE	0.0248	21	36	2	0.056	0.095	GO:0006700	BP	36	C21-steroid hormone biosynthetic process	1	ENSG00000145214,ENSG00000196557
1	TRUE	0.0249	98	24	2	0.083	0.02	KEGG:04070	keg	69	Phosphatidylinositol signaling system	1	ENSG00000126583,ENSG00000145214
1	TRUE	0.0264	106	36	3	0.083	0.028	GO:0071248	BP	77	cellular response to metal ion	1	ENSG00000101958,ENSG00000102882,ENSG00000196557
1	TRUE	0.0264	222	64	5	0.078	0.023	GO:0050769	BP	87	positive regulation of neurogenesis	1	ENSG00000044090,ENSG00000082014,ENSG00000105245,ENSG00000108960,ENSG00000136040
1	TRUE	0.0264	238	34	4	0.118	0.017	GO:0018105	BP	8	peptidyl-serine phosphorylation	1	ENSG00000009694,ENSG00000126583,ENSG00000130822,ENSG00000145214
1	TRUE	0.0264	25	34	2	0.059	0.08	GO:0051491	BP	114	positive regulation of filopodium assembly	1	ENSG00000009694,ENSG00000111913
1	TRUE	0.0264	679	57	8	0.14	0.012	GO:0016773	MF	11	phosphotransferase activity, alcohol group as acceptor	1	ENSG00000102882,ENSG00000108960,ENSG00000121989,ENSG00000126583,ENSG00000130822,ENSG00000141503,ENSG00000145214,ENSG00000150938
1	TRUE	0.0265	79	31	2	0.065	0.025	KEGG:01521	keg	39	EGFR tyrosine kinase inhibitor resistance	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0268	58	72	3	0.042	0.052	GO:0016363	CC	92	nuclear matrix	1	ENSG00000009694,ENSG00000079102,ENSG00000145214
1	TRUE	0.027	24	42	2	0.048	0.083	GO:0050919	BP	55	negative chemotaxis	1	ENSG00000184347,ENSG00000196189
1	TRUE	0.0271	188	39	3	0.077	0.016	KEGG:04024	keg	91	cAMP signaling pathway	1	ENSG00000050628,ENSG00000102882,ENSG00000198785
1	TRUE	0.0271	84	31	2	0.065	0.024	KEGG:04540	keg	58	Gap junction	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0271	84	31	2	0.065	0.024	KEGG:04012	keg	20	ErbB signaling pathway	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.028	71	14	2	0.143	0.028	GO:0098862	CC	35	cluster of actin-based cell projections	1	ENSG00000091137,ENSG00000111913
1	TRUE	0.0299	90	31	2	0.065	0.022	KEGG:04666	keg	112	Fc gamma R-mediated phagocytosis	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0302	19	66	2	0.03	0.105	GO:1905360	CC	100	GTPase complex	1	ENSG00000137486,ENSG00000186469
1	TRUE	0.0302	19	66	2	0.03	0.105	GO:0005834	CC	105	heterotrimeric G-protein complex	1	ENSG00000137486,ENSG00000186469
1	TRUE	0.0305	64	39	2	0.051	0.031	KEGG:05031	keg	19	Amphetamine addiction	1	ENSG00000126583,ENSG00000198785
1	TRUE	0.031	96	31	2	0.065	0.021	KEGG:04066	keg	81	HIF-1 signaling pathway	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0317	99	31	2	0.065	0.02	KEGG:04916	keg	102	Melanogenesis	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0317	100	31	2	0.065	0.02	KEGG:04650	keg	70	Natural killer cell mediated cytotoxicity	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0319	160	31	3	0.097	0.019	GO:0070302	BP	63	regulation of stress-activated protein kinase signaling cascade	1	ENSG00000102882,ENSG00000135299,ENSG00000141503
1	TRUE	0.0319	85	14	2	0.143	0.024	GO:0007605	BP	29	sensory perception of sound	1	ENSG00000091137,ENSG00000111913
1	TRUE	0.0319	840	80	10	0.125	0.012	GO:0038023	MF	30	signaling receptor activity	1	ENSG00000008838,ENSG00000050628,ENSG00000101958,ENSG00000108960,ENSG00000117425,ENSG00000121989,ENSG00000126351,ENSG00000145242,ENSG00000150938,ENSG00000198785
1	TRUE	0.0322	22	66	2	0.03	0.091	GO:0035066	BP	56	positive regulation of histone acetylation	1	ENSG00000102882,ENSG00000137486
1	TRUE	0.0333	120	66	3	0.045	0.025	KEGG:04926	keg	38	Relaxin signaling pathway	1	ENSG00000102882,ENSG00000137486,ENSG00000186469
1	TRUE	0.0346	94	36	2	0.056	0.021	KEGG:04925	keg	22	Aldosterone synthesis and secretion	1	ENSG00000126583,ENSG00000196557
1	TRUE	0.0346	113	31	2	0.065	0.018	KEGG:04071	keg	32	Sphingolipid signaling pathway	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0346	282	36	3	0.083	0.011	KEGG:04010	keg	5	MAPK signaling pathway	1	ENSG00000102882,ENSG00000126583,ENSG00000196557
1	TRUE	0.0346	237	39	3	0.077	0.013	KEGG:04080	keg	41	Neuroactive ligand-receptor interaction	1	ENSG00000050628,ENSG00000101958,ENSG00000198785
1	TRUE	0.0346	90	83	3	0.036	0.033	KEGG:00564	keg	12	Glycerophospholipid metabolism	1	ENSG00000115159,ENSG00000145214,ENSG00000241878
1	TRUE	0.0346	492	45	5	0.111	0.01	KEGG:05200	keg	110	Pathways in cancer	1	ENSG00000050628,ENSG00000102882,ENSG00000117425,ENSG00000126583,ENSG00000186469
1	TRUE	0.0346	113	31	2	0.065	0.018	KEGG:04270	keg	6	Vascular smooth muscle contraction	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0358	46	66	2	0.03	0.043	KEGG:04340	keg	97	Hedgehog signaling pathway	1	ENSG00000117425,ENSG00000137486
1	TRUE	0.0361	171	8	2	0.25	0.012	GO:0007162	BP	45	negative regulation of cell adhesion	1	ENSG00000111913,ENSG00000136040
1	TRUE	0.0361	651	41	6	0.146	0.009	GO:0097458	CC	71	neuron part	1	ENSG00000009694,ENSG00000082014,ENSG00000111913,ENSG00000126583,ENSG00000163630,ENSG00000198785
1	TRUE	0.0361	58	26	2	0.077	0.034	GO:0005254	MF	24	chloride channel activity	1	ENSG00000091137,ENSG00000101958
1	TRUE	0.0374	184	31	3	0.097	0.016	GO:0031667	BP	34	response to nutrient levels	1	ENSG00000102882,ENSG00000126583,ENSG00000145214
1	TRUE	0.0374	42	39	2	0.051	0.048	GO:0022824	MF	66	transmitter-gated ion channel activity	1	ENSG00000101958,ENSG00000198785
1	TRUE	0.038	131	31	2	0.065	0.015	KEGG:04371	keg	62	Apelin signaling pathway	1	ENSG00000102882,ENSG00000186469
1	TRUE	0.0384	133	31	2	0.065	0.015	KEGG:05161	keg	107	Hepatitis B	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.04	93	66	3	0.045	0.032	GO:0046578	BP	26	regulation of Ras protein signal transduction	1	ENSG00000111913,ENSG00000119522,ENSG00000137486
1	TRUE	0.0401	139	31	2	0.065	0.014	KEGG:04072	keg	68	Phospholipase D signaling pathway	1	ENSG00000102882,ENSG00000145214
1	TRUE	0.0405	109	57	3	0.053	0.028	GO:0030509	BP	82	BMP signaling pathway	1	ENSG00000102882,ENSG00000121989,ENSG00000174460
1	TRUE	0.0433	487	4	2	0.5	0.004	GO:0032101	BP	2	regulation of response to external stimulus	1	ENSG00000111913,ENSG00000126583
1	TRUE	0.0433	275	24	3	0.125	0.011	GO:0019216	BP	93	regulation of lipid metabolic process	1	ENSG00000082014,ENSG00000127511,ENSG00000145214
1	TRUE	0.0433	96	75	3	0.04	0.031	GO:0019933	BP	40	cAMP-mediated signaling	1	ENSG00000145214,ENSG00000145242,ENSG00000186469
1	TRUE	0.0433	76	26	2	0.077	0.026	GO:0015698	BP	65	inorganic anion transport	1	ENSG00000091137,ENSG00000101958
1	TRUE	0.0435	149	31	2	0.065	0.013	KEGG:04921	keg	72	Oxytocin signaling pathway	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0435	148	31	2	0.065	0.014	KEGG:04150	keg	16	mTOR signaling pathway	1	ENSG00000102882,ENSG00000126583
1	TRUE	0.0443	157	66	3	0.045	0.019	KEGG:04062	keg	83	Chemokine signaling pathway	1	ENSG00000102882,ENSG00000137486,ENSG00000186469
1	TRUE	0.0445	474	14	3	0.214	0.006	GO:0050877	BP	57	nervous system process	1	ENSG00000091137,ENSG00000111913,ENSG00000165186
1	TRUE	0.0483	118	68	3	0.044	0.025	GO:0022843	MF	98	voltage-gated cation channel activity	1	ENSG00000116396,ENSG00000196557,ENSG00000198785
