query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000895	651	80	14	0.175	0.022	GO:0097458	CC	22	neuron part	1	ENSG00000011332,ENSG00000072518,ENSG00000088899,ENSG00000116329,ENSG00000130479,ENSG00000139613,ENSG00000143847,ENSG00000146216,ENSG00000146938,ENSG00000151067,ENSG00000155252,ENSG00000160460,ENSG00000169169,ENSG00000172534
1	TRUE	0.0128	16	14	2	0.143	0.125	GO:0048846	BP	6	axon extension involved in axon guidance	1	ENSG00000105429,ENSG00000114554
1	TRUE	0.0128	16	14	2	0.143	0.125	GO:1902284	BP	13	neuron projection extension involved in neuron projection guidance	1	ENSG00000105429,ENSG00000114554
1	TRUE	0.0128	10	14	2	0.143	0.2	GO:0048841	BP	11	regulation of axon extension involved in axon guidance	1	ENSG00000105429,ENSG00000114554
1	TRUE	0.0128	15	14	2	0.143	0.133	GO:1902667	BP	30	regulation of axon guidance	1	ENSG00000105429,ENSG00000114554
1	TRUE	0.0128	238	53	6	0.113	0.025	GO:0018105	BP	19	peptidyl-serine phosphorylation	1	ENSG00000008710,ENSG00000072518,ENSG00000116329,ENSG00000146216,ENSG00000160460,ENSG00000177169
1	TRUE	0.0128	148	45	5	0.111	0.034	GO:0043025	CC	29	neuronal cell body	1	ENSG00000130479,ENSG00000146216,ENSG00000155252,ENSG00000160460,ENSG00000172534
1	TRUE	0.0275	222	4	2	0.5	0.009	GO:0050769	BP	8	positive regulation of neurogenesis	1	ENSG00000105429,ENSG00000146216
1	TRUE	0.0275	202	64	5	0.078	0.025	GO:0030425	CC	23	dendrite	1	ENSG00000072518,ENSG00000130479,ENSG00000146938,ENSG00000155252,ENSG00000169169
1	TRUE	0.0301	30	28	2	0.071	0.067	GO:1904031	BP	10	positive regulation of cyclin-dependent protein kinase activity	1	ENSG00000008710,ENSG00000146216
1	TRUE	0.0301	11	79	2	0.025	0.182	GO:1990454	CC	2	L-type voltage-gated calcium channel complex	1	ENSG00000105605,ENSG00000151067
1	TRUE	0.0342	17	62	2	0.032	0.118	GO:0043984	BP	4	histone H4-K16 acetylation	1	ENSG00000172534,ENSG00000188895
1	TRUE	0.0348	17	69	2	0.029	0.118	GO:0031498	BP	21	chromatin disassembly	1	ENSG00000130479,ENSG00000139613
1	TRUE	0.0348	71	62	3	0.048	0.042	GO:0000123	CC	3	histone acetyltransferase complex	1	ENSG00000096070,ENSG00000172534,ENSG00000188895
1	TRUE	0.0349	428	56	6	0.107	0.014	GO:0007417	BP	24	central nervous system development	1	ENSG00000008710,ENSG00000130479,ENSG00000146216,ENSG00000146938,ENSG00000160460,ENSG00000170485
1	TRUE	0.0356	679	3	2	0.667	0.003	GO:0016773	MF	7	phosphotransferase activity, alcohol group as acceptor	1	ENSG00000146216,ENSG00000186111
1	TRUE	0.0368	28	44	2	0.045	0.071	GO:0051646	BP	5	mitochondrion localization	1	ENSG00000072518,ENSG00000130479
1	TRUE	0.0378	322	80	6	0.075	0.019	GO:0045202	CC	17	synapse	1	ENSG00000088899,ENSG00000130479,ENSG00000143847,ENSG00000146938,ENSG00000151067,ENSG00000155252
1	TRUE	0.0382	499	71	7	0.099	0.014	GO:0051020	MF	33	GTPase binding	1	ENSG00000008256,ENSG00000038382,ENSG00000100359,ENSG00000160460,ENSG00000171680,ENSG00000177169,ENSG00000198853
1	TRUE	0.0387	521	69	7	0.101	0.013	GO:0006325	BP	25	chromatin organization	1	ENSG00000096070,ENSG00000099991,ENSG00000130479,ENSG00000139613,ENSG00000142453,ENSG00000172534,ENSG00000188895
1	TRUE	0.0397	52	28	2	0.071	0.038	GO:0048565	BP	28	digestive tract development	1	ENSG00000008710,ENSG00000105429
1	TRUE	0.0397	18	83	2	0.024	0.111	GO:0046058	BP	26	cAMP metabolic process	1	ENSG00000123360,ENSG00000162104
1	TRUE	0.0397	43	36	2	0.056	0.047	GO:0019226	BP	32	transmission of nerve impulse	1	ENSG00000105605,ENSG00000160460
1	TRUE	0.0407	122	45	3	0.067	0.025	GO:0000287	MF	12	magnesium ion binding	1	ENSG00000072518,ENSG00000141568,ENSG00000155252
1	TRUE	0.0411	20	84	2	0.024	0.1	GO:0009154	BP	1	purine ribonucleotide catabolic process	1	ENSG00000123360,ENSG00000173598
1	TRUE	0.0428	148	41	3	0.073	0.02	GO:0043393	BP	18	regulation of protein binding	1	ENSG00000008710,ENSG00000072518,ENSG00000146216
1	TRUE	0.0428	87	69	3	0.043	0.034	GO:0035326	MF	31	enhancer binding	1	ENSG00000108557,ENSG00000139613,ENSG00000170485
1	TRUE	0.0456	37	52	2	0.038	0.054	GO:0030534	BP	16	adult behavior	1	ENSG00000146938,ENSG00000160460
1	TRUE	0.0475	25	83	2	0.024	0.08	GO:0046068	BP	14	cGMP metabolic process	1	ENSG00000123360,ENSG00000162104
1	TRUE	0.0476	109	62	3	0.048	0.028	GO:0016573	BP	20	histone acetylation	1	ENSG00000096070,ENSG00000172534,ENSG00000188895
