query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000373	680	78	16	0.205	0.024	GO:0030054	CC	166	cell junction	1	ENSG00000073712,ENSG00000083857,ENSG00000085719,ENSG00000091409,ENSG00000116117,ENSG00000117519,ENSG00000120063,ENSG00000129116,ENSG00000138448,ENSG00000143514,ENSG00000143545,ENSG00000146535,ENSG00000147065,ENSG00000152661,ENSG00000162407,ENSG00000266964
1	TRUE	0.000897	24	17	3	0.176	0.125	GO:0010743	BP	58	regulation of macrophage derived foam cell differentiation	1	ENSG00000135744,ENSG00000138448,ENSG00000186951
1	TRUE	0.00164	40	49	4	0.082	0.1	GO:0072164	BP	73	mesonephric tubule development	1	ENSG00000101144,ENSG00000125398,ENSG00000135744,ENSG00000138685
1	TRUE	0.00164	40	49	4	0.082	0.1	GO:0072163	BP	5	mesonephric epithelium development	1	ENSG00000101144,ENSG00000125398,ENSG00000135744,ENSG00000138685
1	TRUE	0.00181	2	46	2	0.043	1	GO:0031752	MF	176	D5 dopamine receptor binding	1	ENSG00000120063,ENSG00000146535
1	TRUE	0.00193	251	67	8	0.119	0.032	GO:0001667	BP	33	ameboidal-type cell migration	1	ENSG00000108854,ENSG00000125398,ENSG00000130203,ENSG00000135744,ENSG00000138685,ENSG00000143545,ENSG00000146535,ENSG00000162407
1	TRUE	0.00274	6	17	2	0.118	0.333	GO:0010871	BP	144	negative regulation of receptor biosynthetic process	1	ENSG00000138448,ENSG00000186951
1	TRUE	0.00274	2	67	2	0.03	1	GO:1901629	BP	101	regulation of presynaptic membrane organization	1	ENSG00000130203,ENSG00000134569
1	TRUE	0.00356	229	61	7	0.115	0.031	GO:0001501	BP	28	skeletal system development	1	ENSG00000101144,ENSG00000104447,ENSG00000115380,ENSG00000125398,ENSG00000132692,ENSG00000138685,ENSG00000165458
1	TRUE	0.0044	12	16	2	0.125	0.167	GO:0090190	BP	49	positive regulation of branching involved in ureteric bud morphogenesis	1	ENSG00000125398,ENSG00000135744
1	TRUE	0.0044	370	19	5	0.263	0.014	GO:1905114	BP	36	cell surface receptor signaling pathway involved in cell-cell signaling	1	ENSG00000073712,ENSG00000125398,ENSG00000134569,ENSG00000154856,ENSG00000162407
1	TRUE	0.0044	337	19	5	0.263	0.015	GO:0198738	BP	87	cell-cell signaling by wnt	1	ENSG00000073712,ENSG00000125398,ENSG00000134569,ENSG00000154856,ENSG00000162407
1	TRUE	0.0044	273	79	8	0.101	0.029	GO:0043062	BP	141	extracellular structure organization	1	ENSG00000091409,ENSG00000101144,ENSG00000130203,ENSG00000132692,ENSG00000135424,ENSG00000135744,ENSG00000138448,ENSG00000138685
1	TRUE	0.0044	11	16	2	0.125	0.182	GO:1902894	BP	109	negative regulation of pri-miRNA transcription by RNA polymerase II	1	ENSG00000125398,ENSG00000186951
1	TRUE	0.0044	68	17	3	0.176	0.044	GO:0032368	BP	39	regulation of lipid transport	1	ENSG00000135744,ENSG00000138448,ENSG00000186951
1	TRUE	0.0044	733	57	11	0.193	0.015	GO:0019752	BP	136	carboxylic acid metabolic process	1	ENSG00000100243,ENSG00000103740,ENSG00000105854,ENSG00000119711,ENSG00000132692,ENSG00000135069,ENSG00000138685,ENSG00000166123,ENSG00000167315,ENSG00000186951,ENSG00000197977
