query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00222	8	9	2	0.222	0.25	GO:0097120	BP	50	receptor localization to synapse	1	ENSG00000082458,ENSG00000179915
1	TRUE	0.00222	276	17	5	0.294	0.018	GO:0034762	BP	16	regulation of transmembrane transport	1	ENSG00000091039,ENSG00000128989,ENSG00000153956,ENSG00000179915,ENSG00000187446
1	TRUE	0.00222	120	31	5	0.161	0.042	GO:0034764	BP	99	positive regulation of transmembrane transport	1	ENSG00000091039,ENSG00000128989,ENSG00000153956,ENSG00000155096,ENSG00000187446
1	TRUE	0.00222	4	18	2	0.111	0.5	GO:0098698	BP	7	postsynaptic specialization assembly	1	ENSG00000171862,ENSG00000179915
1	TRUE	0.00222	72	59	5	0.085	0.069	GO:0035305	BP	53	negative regulation of dephosphorylation	1	ENSG00000060709,ENSG00000082458,ENSG00000121671,ENSG00000128989,ENSG00000187446
1	TRUE	0.00222	75	55	5	0.091	0.067	GO:0097060	CC	68	synaptic membrane	1	ENSG00000082458,ENSG00000138138,ENSG00000147044,ENSG00000166342,ENSG00000179915
1	TRUE	0.00222	651	55	12	0.218	0.018	GO:0097458	CC	40	neuron part	1	ENSG00000033122,ENSG00000082458,ENSG00000139220,ENSG00000147044,ENSG00000156052,ENSG00000162951,ENSG00000166342,ENSG00000170091,ENSG00000171862,ENSG00000179915,ENSG00000185008,ENSG00000196712
1	TRUE	0.00275	863	44	11	0.25	0.013	GO:0022008	BP	18	neurogenesis	1	ENSG00000033122,ENSG00000068305,ENSG00000072832,ENSG00000073910,ENSG00000166503,ENSG00000169085,ENSG00000170558,ENSG00000171862,ENSG00000179915,ENSG00000185008,ENSG00000196712
1	TRUE	0.00282	93	55	5	0.091	0.054	GO:0007611	BP	45	learning or memory	1	ENSG00000138138,ENSG00000166342,ENSG00000171862,ENSG00000179915,ENSG00000196712
1	TRUE	0.00296	6	18	2	0.111	0.333	GO:0097091	BP	51	synaptic vesicle clustering	1	ENSG00000171862,ENSG00000179915
