query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0043	2	49	2	0.041	1	GO:0009450	BP	60	gamma-aminobutyric acid catabolic process	1	ENSG00000112294,ENSG00000183044
1	TRUE	0.0043	42	48	4	0.083	0.095	GO:0022824	MF	46	transmitter-gated ion channel activity	1	ENSG00000151834,ENSG00000155511,ENSG00000163288,ENSG00000164418
1	TRUE	0.00599	445	43	8	0.186	0.018	GO:0098660	BP	73	inorganic ion transmembrane transport	1	ENSG00000022267,ENSG00000065923,ENSG00000088832,ENSG00000125648,ENSG00000151834,ENSG00000163288,ENSG00000167323,ENSG00000197386
1	TRUE	0.00599	5	24	2	0.083	0.4	GO:0022851	MF	50	GABA-gated chloride ion channel activity	1	ENSG00000151834,ENSG00000163288
1	TRUE	0.00668	39	29	3	0.103	0.077	KEGG:05033	keg	20	Nicotine addiction	1	ENSG00000151834,ENSG00000155511,ENSG00000163288
1	TRUE	0.00668	145	47	5	0.106	0.034	KEGG:04723	keg	22	Retrograde endocannabinoid signaling	1	ENSG00000100030,ENSG00000118432,ENSG00000151834,ENSG00000155511,ENSG00000163288
1	TRUE	0.0119	390	58	8	0.138	0.021	GO:0098916	BP	38	anterograde trans-synaptic signaling	1	ENSG00000100030,ENSG00000103528,ENSG00000107282,ENSG00000109189,ENSG00000155511,ENSG00000164418,ENSG00000183826,ENSG00000198216
1	TRUE	0.0132	8	30	2	0.067	0.25	GO:0017162	MF	83	aryl hydrocarbon receptor binding	1	ENSG00000084676,ENSG00000172379
1	TRUE	0.0179	62	5	2	0.4	0.032	GO:0001764	BP	66	neuron migration	1	ENSG00000150471,ENSG00000150625
1	TRUE	0.0186	44	40	3	0.075	0.068	GO:0060359	BP	75	response to ammonium ion	1	ENSG00000100030,ENSG00000163288,ENSG00000183044
1	TRUE	0.0199	14	24	2	0.083	0.143	GO:0007214	BP	12	gamma-aminobutyric acid signaling pathway	1	ENSG00000151834,ENSG00000163288
1	TRUE	0.0235	86	5	2	0.4	0.023	GO:0007416	BP	78	synapse assembly	1	ENSG00000150471,ENSG00000150625
1	TRUE	0.0235	651	54	9	0.167	0.014	GO:0097458	CC	82	neuron part	1	ENSG00000107282,ENSG00000147862,ENSG00000150471,ENSG00000150625,ENSG00000151834,ENSG00000152767,ENSG00000155511,ENSG00000162409,ENSG00000197386
1	TRUE	0.0235	17	24	2	0.083	0.118	GO:1902711	CC	45	GABA-A receptor complex	1	ENSG00000151834,ENSG00000163288
1	TRUE	0.0249	131	23	3	0.13	0.023	KEGG:04371	keg	33	Apelin signaling pathway	1	ENSG00000100030,ENSG00000158186,ENSG00000162409
1	TRUE	0.0249	124	23	3	0.13	0.024	KEGG:04140	keg	24	Autophagy - animal	1	ENSG00000100030,ENSG00000158186,ENSG00000162409
1	TRUE	0.0269	382	58	7	0.121	0.018	GO:0048812	BP	81	neuron projection morphogenesis	1	ENSG00000100030,ENSG00000103528,ENSG00000117600,ENSG00000132670,ENSG00000147862,ENSG00000150625,ENSG00000152767
1	TRUE	0.0269	179	57	5	0.088	0.028	GO:0070588	BP	85	calcium ion transmembrane transport	1	ENSG00000058668,ENSG00000088832,ENSG00000125648,ENSG00000167323,ENSG00000197386
1	TRUE	0.0285	401	57	7	0.123	0.017	GO:0014070	BP	49	response to organic cyclic compound	1	ENSG00000048540,ENSG00000058668,ENSG00000084676,ENSG00000100030,ENSG00000140526,ENSG00000163288,ENSG00000183044
1	TRUE	0.0301	65	43	3	0.07	0.046	GO:1901019	BP	14	regulation of calcium ion transmembrane transporter activity	1	ENSG00000088832,ENSG00000167323,ENSG00000197386
1	TRUE	0.0301	20	31	2	0.065	0.1	GO:0097009	BP	44	energy homeostasis	1	ENSG00000116337,ENSG00000162409
1	TRUE	0.0316	256	3	2	0.667	0.008	GO:0005509	MF	67	calcium ion binding	1	ENSG00000116983,ENSG00000150471
1	TRUE	0.032	61	50	3	0.06	0.049	KEGG:04730	keg	61	Long-term depression	1	ENSG00000100030,ENSG00000155511,ENSG00000164116
