query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00024	416	14	6	0.429	0.014	GO:0010563	BP	26	negative regulation of phosphorus metabolic process	1	ENSG00000071575,ENSG00000109762,ENSG00000120875,ENSG00000136158,ENSG00000173334,ENSG00000225968
1	TRUE	0.00024	245	34	7	0.206	0.029	GO:0001228	MF	7	DNA-binding transcription activator activity, RNA polymerase II-specific	1	ENSG00000119508,ENSG00000123358,ENSG00000134954,ENSG00000155090,ENSG00000160888,ENSG00000175832,ENSG00000244405
1	TRUE	0.000371	4	8	2	0.25	0.5	GO:0071376	BP	53	cellular response to corticotropin-releasing hormone stimulus	1	ENSG00000119508,ENSG00000123358
1	TRUE	0.000371	4	8	2	0.25	0.5	GO:0043435	BP	80	response to corticotropin-releasing hormone	1	ENSG00000119508,ENSG00000123358
1	TRUE	0.000516	5	8	2	0.25	0.4	GO:0061469	BP	65	regulation of type B pancreatic cell proliferation	1	ENSG00000119508,ENSG00000123358
1	TRUE	0.000779	319	14	5	0.357	0.016	GO:0001933	BP	38	negative regulation of protein phosphorylation	1	ENSG00000071575,ENSG00000109762,ENSG00000120875,ENSG00000136158,ENSG00000173334
1	TRUE	0.0013	97	23	4	0.174	0.041	GO:0007369	BP	55	gastrulation	1	ENSG00000119508,ENSG00000120875,ENSG00000122641,ENSG00000138166
1	TRUE	0.00136	150	34	5	0.147	0.033	GO:0001077	MF	81	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific	1	ENSG00000119508,ENSG00000123358,ENSG00000134954,ENSG00000155090,ENSG00000175832
1	TRUE	0.00168	902	48	11	0.229	0.012	GO:0010648	BP	28	negative regulation of cell communication	1	ENSG00000109762,ENSG00000115457,ENSG00000120875,ENSG00000122641,ENSG00000122870,ENSG00000132334,ENSG00000136158,ENSG00000147571,ENSG00000173334,ENSG00000176907,ENSG00000198435
1	TRUE	0.00168	146	39	5	0.128	0.034	GO:0048511	BP	51	rhythmic process	1	ENSG00000121764,ENSG00000122641,ENSG00000132326,ENSG00000147571,ENSG00000155090
1	TRUE	0.00168	237	13	4	0.308	0.017	GO:0043405	BP	36	regulation of MAP kinase activity	1	ENSG00000071575,ENSG00000120875,ENSG00000138166,ENSG00000173334
1	TRUE	0.00168	907	48	11	0.229	0.012	GO:0023057	BP	68	negative regulation of signaling	1	ENSG00000109762,ENSG00000115457,ENSG00000120875,ENSG00000122641,ENSG00000122870,ENSG00000132334,ENSG00000136158,ENSG00000147571,ENSG00000173334,ENSG00000176907,ENSG00000198435
1	TRUE	0.00168	123	8	3	0.375	0.024	GO:0045444	BP	12	fat cell differentiation	1	ENSG00000071575,ENSG00000119508,ENSG00000123358
1	TRUE	0.00168	8	15	2	0.133	0.25	GO:0048520	BP	47	positive regulation of behavior	1	ENSG00000119508,ENSG00000147571
1	TRUE	0.00168	590	34	8	0.235	0.014	GO:0048646	BP	3	anatomical structure formation involved in morphogenesis	1	ENSG00000120875,ENSG00000122641,ENSG00000123358,ENSG00000134954,ENSG00000136158,ENSG00000138166,ENSG00000182580,ENSG00000198435
1	TRUE	0.00168	11	11	2	0.182	0.182	GO:0031434	MF	10	mitogen-activated protein kinase kinase binding	1	ENSG00000071575,ENSG00000173334
1	TRUE	0.00194	46	23	3	0.13	0.065	GO:0001706	BP	13	endoderm formation	1	ENSG00000120875,ENSG00000122641,ENSG00000138166
1	TRUE	0.00194	46	23	3	0.13	0.065	GO:0005179	MF	45	hormone activity	1	ENSG00000122641,ENSG00000147571,ENSG00000181195
1	TRUE	0.00194	13	11	2	0.182	0.154	GO:0055106	MF	24	ubiquitin-protein transferase regulator activity	1	ENSG00000071575,ENSG00000173334
1	TRUE	0.0022	45	26	3	0.115	0.067	GO:2001023	BP	75	regulation of response to drug	1	ENSG00000119508,ENSG00000132326,ENSG00000147571
1	TRUE	0.00238	503	34	7	0.206	0.014	GO:0000976	MF	78	transcription regulatory region sequence-specific DNA binding	1	ENSG00000119508,ENSG00000132326,ENSG00000134954,ENSG00000155090,ENSG00000160888,ENSG00000175832,ENSG00000244405
