query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00247	25	36	3	0.083	0.12	KEGG:00534	keg	57	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1	ENSG00000136720,ENSG00000164100,ENSG00000185352
1	TRUE	0.00323	13	36	3	0.083	0.231	GO:0034483	MF	30	heparan sulfate sulfotransferase activity	1	ENSG00000136720,ENSG00000164100,ENSG00000185352
1	TRUE	0.00408	94	42	4	0.095	0.043	KEGG:04925	keg	63	Aldosterone synthesis and secretion	1	ENSG00000078295,ENSG00000150995,ENSG00000152495,ENSG00000183049
1	TRUE	0.00408	64	71	4	0.056	0.062	KEGG:04927	keg	59	Cortisol synthesis and secretion	1	ENSG00000078295,ENSG00000113231,ENSG00000150995,ENSG00000185630
1	TRUE	0.00458	18	36	3	0.083	0.167	GO:0015012	BP	25	heparan sulfate proteoglycan biosynthetic process	1	ENSG00000136720,ENSG00000164100,ENSG00000185352
1	TRUE	0.00478	2	72	2	0.028	1	GO:0090260	BP	17	negative regulation of retinal ganglion cell axon guidance	1	ENSG00000145147,ENSG00000151490
1	TRUE	0.00577	195	48	5	0.104	0.026	KEGG:04015	keg	23	Rap1 signaling pathway	1	ENSG00000049130,ENSG00000078295,ENSG00000151276,ENSG00000163558,ENSG00000197555
1	TRUE	0.00577	98	54	4	0.074	0.041	KEGG:04070	keg	22	Phosphatidylinositol signaling system	1	ENSG00000107242,ENSG00000136267,ENSG00000137825,ENSG00000150995
1	TRUE	0.00736	238	51	6	0.118	0.025	GO:0018105	BP	47	peptidyl-serine phosphorylation	1	ENSG00000069020,ENSG00000113448,ENSG00000140538,ENSG00000152495,ENSG00000163558,ENSG00000183049
1	TRUE	0.00736	51	72	4	0.056	0.078	GO:0043197	CC	2	dendritic spine	1	ENSG00000151490,ENSG00000152578,ENSG00000184408,ENSG00000197555
1	TRUE	0.00736	52	72	4	0.056	0.077	GO:0044309	CC	68	neuron spine	1	ENSG00000151490,ENSG00000152578,ENSG00000184408,ENSG00000197555
1	TRUE	0.012	149	42	4	0.095	0.027	KEGG:04921	keg	21	Oxytocin signaling pathway	1	ENSG00000078295,ENSG00000150995,ENSG00000152495,ENSG00000183049
1	TRUE	0.0147	139	54	4	0.074	0.029	KEGG:04072	keg	38	Phospholipase D signaling pathway	1	ENSG00000049130,ENSG00000078295,ENSG00000107242,ENSG00000136267
1	TRUE	0.0148	679	54	9	0.167	0.013	GO:0016773	MF	48	phosphotransferase activity, alcohol group as acceptor	1	ENSG00000049130,ENSG00000069020,ENSG00000107242,ENSG00000136267,ENSG00000137825,ENSG00000152495,ENSG00000163558,ENSG00000163788,ENSG00000183049
1	TRUE	0.0168	176	42	4	0.095	0.023	KEGG:04020	keg	26	Calcium signaling pathway	1	ENSG00000078295,ENSG00000137825,ENSG00000150995,ENSG00000152495
1	TRUE	0.0178	25	89	3	0.034	0.12	GO:0010828	BP	14	positive regulation of glucose transmembrane transport	1	ENSG00000111731,ENSG00000163558,ENSG00000169047
1	TRUE	0.0179	188	42	4	0.095	0.021	KEGG:04024	keg	27	cAMP signaling pathway	1	ENSG00000078295,ENSG00000113448,ENSG00000152495,ENSG00000152578
1	TRUE	0.0179	92	41	3	0.073	0.033	KEGG:04713	keg	56	Circadian entrainment	1	ENSG00000078295,ENSG00000150995,ENSG00000152578
1	TRUE	0.0184	10	43	2	0.047	0.2	GO:0008179	MF	43	adenylate cyclase binding	1	ENSG00000078295,ENSG00000179841
1	TRUE	0.0226	103	41	3	0.073	0.029	KEGG:04928	keg	44	Parathyroid hormone synthesis, secretion and action	1	ENSG00000078295,ENSG00000113448,ENSG00000150995
1	TRUE	0.0236	155	71	4	0.056	0.026	KEGG:04934	keg	13	Cushing syndrome	1	ENSG00000078295,ENSG00000113231,ENSG00000150995,ENSG00000185630
1	TRUE	0.0236	111	41	3	0.073	0.027	KEGG:04724	keg	74	Glutamatergic synapse	1	ENSG00000078295,ENSG00000150995,ENSG00000152578
1	TRUE	0.0241	108	42	3	0.071	0.028	KEGG:04725	keg	67	Cholinergic synapse	1	ENSG00000078295,ENSG00000150995,ENSG00000152495
1	TRUE	0.0244	37	71	3	0.042	0.081	GO:0009187	BP	12	cyclic nucleotide metabolic process	1	ENSG00000078295,ENSG00000113231,ENSG00000113448
1	TRUE	0.0275	141	48	4	0.083	0.028	GO:0010976	BP	62	positive regulation of neuron projection development	1	ENSG00000111249,ENSG00000145147,ENSG00000163558,ENSG00000183049
1	TRUE	0.0281	21	29	2	0.069	0.095	GO:0061001	BP	19	regulation of dendritic spine morphogenesis	1	ENSG00000111249,ENSG00000197555
1	TRUE	0.0281	15	42	2	0.048	0.133	GO:0033081	BP	24	regulation of T cell differentiation in thymus	1	ENSG00000135426,ENSG00000152495
1	TRUE	0.0312	13	53	2	0.038	0.154	GO:0005095	MF	29	GTPase inhibitor activity	1	ENSG00000065150,ENSG00000145147
1	TRUE	0.0313	16	61	2	0.033	0.125	GO:0021795	BP	31	cerebral cortex cell migration	1	ENSG00000091136,ENSG00000145147
1	TRUE	0.0313	70	15	2	0.133	0.029	GO:0008406	BP	7	gonad development	1	ENSG00000049130,ENSG00000145147
1	TRUE	0.0313	22	39	2	0.051	0.091	GO:0090022	BP	36	regulation of neutrophil chemotaxis	1	ENSG00000145147,ENSG00000183049
1	TRUE	0.0313	102	37	3	0.081	0.029	GO:0060402	BP	49	calcium ion transport into cytosol	1	ENSG00000113448,ENSG00000150995,ENSG00000204442
1	TRUE	0.0313	390	87	7	0.08	0.018	GO:0098916	BP	41	anterograde trans-synaptic signaling	1	ENSG00000111249,ENSG00000120327,ENSG00000144619,ENSG00000179841,ENSG00000184408,ENSG00000197555,ENSG00000198010
1	TRUE	0.0313	342	64	6	0.094	0.018	GO:0042326	BP	34	negative regulation of phosphorylation	1	ENSG00000065150,ENSG00000113448,ENSG00000140538,ENSG00000145147,ENSG00000162545,ENSG00000176204
1	TRUE	0.0313	319	64	6	0.094	0.019	GO:0001933	BP	78	negative regulation of protein phosphorylation	1	ENSG00000065150,ENSG00000113448,ENSG00000140538,ENSG00000145147,ENSG00000162545,ENSG00000176204
1	TRUE	0.0313	72	15	2	0.133	0.028	GO:0045137	BP	66	development of primary sexual characteristics	1	ENSG00000049130,ENSG00000145147
1	TRUE	0.0313	87	39	3	0.077	0.034	GO:0050921	BP	8	positive regulation of chemotaxis	1	ENSG00000140538,ENSG00000145147,ENSG00000183049
1	TRUE	0.0313	15	71	2	0.028	0.133	GO:0004115	MF	61	3',5'-cyclic-AMP phosphodiesterase activity	1	ENSG00000113231,ENSG00000113448
1	TRUE	0.0317	27	42	2	0.048	0.074	GO:0004683	MF	77	calmodulin-dependent protein kinase activity	1	ENSG00000152495,ENSG00000183049
1	TRUE	0.0327	159	29	3	0.103	0.019	GO:0043547	BP	20	positive regulation of GTPase activity	1	ENSG00000140538,ENSG00000182732,ENSG00000197555
1	TRUE	0.0327	170	27	3	0.111	0.018	GO:0034703	CC	9	cation channel complex	1	ENSG00000113448,ENSG00000130226,ENSG00000152578
1	TRUE	0.0339	89	71	3	0.042	0.034	KEGG:05032	keg	28	Morphine addiction	1	ENSG00000078295,ENSG00000113231,ENSG00000113448
1	TRUE	0.0343	131	42	3	0.071	0.023	KEGG:04371	keg	40	Apelin signaling pathway	1	ENSG00000078295,ENSG00000150995,ENSG00000152495
1	TRUE	0.0343	145	41	3	0.073	0.021	KEGG:04723	keg	51	Retrograde endocannabinoid signaling	1	ENSG00000078295,ENSG00000150995,ENSG00000152578
1	TRUE	0.0343	88	89	3	0.034	0.034	KEGG:04211	keg	11	Longevity regulating pathway	1	ENSG00000078295,ENSG00000152495,ENSG00000169047
1	TRUE	0.0343	122	48	3	0.062	0.025	KEGG:04611	keg	37	Platelet activation	1	ENSG00000078295,ENSG00000150995,ENSG00000163558
1	TRUE	0.0347	52	27	2	0.074	0.038	GO:1903779	BP	15	regulation of cardiac conduction	1	ENSG00000113448,ENSG00000150995
1	TRUE	0.0347	277	68	5	0.074	0.018	GO:0005261	MF	50	cation channel activity	1	ENSG00000150995,ENSG00000152578,ENSG00000184261,ENSG00000184408,ENSG00000204442
1	TRUE	0.0375	27	64	2	0.031	0.074	GO:1904030	BP	16	negative regulation of cyclin-dependent protein kinase activity	1	ENSG00000065150,ENSG00000162545
1	TRUE	0.0375	136	43	3	0.07	0.022	GO:0007188	BP	42	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	1	ENSG00000078295,ENSG00000113448,ENSG00000179841
1	TRUE	0.038	220	27	3	0.111	0.014	GO:0051235	BP	70	maintenance of location	1	ENSG00000113448,ENSG00000150995,ENSG00000170419
1	TRUE	0.038	42	42	2	0.048	0.048	GO:0007613	BP	65	memory	1	ENSG00000111249,ENSG00000152495
1	TRUE	0.0381	43	43	2	0.047	0.047	GO:0097110	MF	55	scaffold protein binding	1	ENSG00000113448,ENSG00000179841
1	TRUE	0.0381	256	83	5	0.06	0.02	GO:0005509	MF	76	calcium ion binding	1	ENSG00000111731,ENSG00000115840,ENSG00000117868,ENSG00000145147,ENSG00000150995
1	TRUE	0.0384	219	28	3	0.107	0.014	GO:0005088	MF	1	Ras guanyl-nucleotide exchange factor activity	1	ENSG00000049130,ENSG00000070182,ENSG00000113319
1	TRUE	0.0391	345	89	6	0.067	0.017	GO:0071417	BP	64	cellular response to organonitrogen compound	1	ENSG00000065150,ENSG00000078295,ENSG00000111731,ENSG00000145147,ENSG00000163558,ENSG00000169047
1	TRUE	0.0397	71	27	2	0.074	0.028	GO:0050848	BP	53	regulation of calcium-mediated signaling	1	ENSG00000113448,ENSG00000150995
1	TRUE	0.0397	48	41	2	0.049	0.042	GO:1901654	BP	54	response to ketone	1	ENSG00000078295,ENSG00000145147
1	TRUE	0.0397	84	24	2	0.083	0.024	GO:0099106	MF	60	ion channel regulator activity	1	ENSG00000130226,ENSG00000150995
1	TRUE	0.0407	44	48	2	0.042	0.045	GO:1903078	BP	18	positive regulation of protein localization to plasma membrane	1	ENSG00000163558,ENSG00000179841
1	TRUE	0.0422	250	27	3	0.111	0.012	GO:0032970	BP	33	regulation of actin filament-based process	1	ENSG00000113448,ENSG00000140538,ENSG00000145147
1	TRUE	0.0471	79	29	2	0.069	0.025	GO:0031532	BP	5	actin cytoskeleton reorganization	1	ENSG00000140538,ENSG00000197555
