query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0134	543	310	16	0.052	0.029	GO:0000003	BP	26	reproduction	1	ENSG00000099139,ENSG00000100031,ENSG00000121101,ENSG00000132749,ENSG00000134207,ENSG00000152430,ENSG00000154438,ENSG00000160207,ENSG00000163508,ENSG00000165891,ENSG00000169679,ENSG00000170848,ENSG00000173809,ENSG00000188488,ENSG00000243137,ENSG00000273706
1	TRUE	0.0134	80	348	7	0.02	0.087	GO:0005796	CC	8	Golgi lumen	1	ENSG00000099139,ENSG00000154342,ENSG00000169876,ENSG00000181143,ENSG00000204544,ENSG00000213420,ENSG00000215182
1	TRUE	0.026	945	285	20	0.07	0.021	GO:0009888	BP	28	tissue development	1	ENSG00000012223,ENSG00000058085,ENSG00000065618,ENSG00000073737,ENSG00000078900,ENSG00000089225,ENSG00000109101,ENSG00000128652,ENSG00000136378,ENSG00000154342,ENSG00000158055,ENSG00000161270,ENSG00000163508,ENSG00000165891,ENSG00000167767,ENSG00000187553,ENSG00000187908,ENSG00000204531,ENSG00000273706,ENSG00000275410
1	TRUE	0.0325	943	147	13	0.088	0.014	GO:0044432	CC	5	endoplasmic reticulum part	1	ENSG00000065618,ENSG00000066427,ENSG00000121680,ENSG00000124564,ENSG00000134207,ENSG00000136378,ENSG00000142973,ENSG00000145626,ENSG00000154342,ENSG00000166557,ENSG00000169174,ENSG00000178031,ENSG00000186526
1	TRUE	0.0345	5	147	2	0.014	0.4	GO:0010455	BP	1	positive regulation of cell fate commitment	1	ENSG00000096996,ENSG00000154342
1	TRUE	0.0345	56	360	5	0.014	0.089	GO:0002223	BP	25	stimulatory C-type lectin receptor signaling pathway	1	ENSG00000166523,ENSG00000169876,ENSG00000181143,ENSG00000204544,ENSG00000215182
1	TRUE	0.0345	47	231	4	0.017	0.085	GO:0001895	BP	21	retina homeostasis	1	ENSG00000012223,ENSG00000119715,ENSG00000162896,ENSG00000183638
1	TRUE	0.0345	3	266	2	0.008	0.667	GO:0016103	BP	15	diterpenoid catabolic process	1	ENSG00000095596,ENSG00000187553
1	TRUE	0.0345	3	266	2	0.008	0.667	GO:0034653	BP	27	retinoic acid catabolic process	1	ENSG00000095596,ENSG00000187553
1	TRUE	0.0345	4	215	2	0.009	0.5	GO:0060044	BP	33	negative regulation of cardiac muscle cell proliferation	1	ENSG00000078900,ENSG00000089225
1	TRUE	0.0345	49	215	4	0.019	0.082	GO:2000736	BP	18	regulation of stem cell differentiation	1	ENSG00000078900,ENSG00000089225,ENSG00000119715,ENSG00000154342
1	TRUE	0.0345	156	285	7	0.025	0.045	GO:0043009	BP	34	chordate embryonic development	1	ENSG00000099139,ENSG00000128652,ENSG00000158055,ENSG00000163508,ENSG00000165891,ENSG00000204531,ENSG00000273706
1	TRUE	0.0345	210	69	4	0.058	0.019	GO:0019898	CC	4	extrinsic component of membrane	1	ENSG00000134207,ENSG00000169174,ENSG00000181143,ENSG00000187908
1	TRUE	0.0345	71	266	5	0.019	0.07	GO:0004497	MF	3	monooxygenase activity	1	ENSG00000095596,ENSG00000142973,ENSG00000180176,ENSG00000186526,ENSG00000187553
1	TRUE	0.0345	11	301	3	0.01	0.273	GO:0001972	MF	10	retinoic acid binding	1	ENSG00000095596,ENSG00000187553,ENSG00000188488
1	TRUE	0.0347	281	139	6	0.043	0.021	GO:0002521	BP	22	leukocyte differentiation	1	ENSG00000012223,ENSG00000096996,ENSG00000100867,ENSG00000163508,ENSG00000182885,ENSG00000203710
1	TRUE	0.0347	441	215	10	0.047	0.023	GO:0009887	BP	6	animal organ morphogenesis	1	ENSG00000012223,ENSG00000086159,ENSG00000089225,ENSG00000109101,ENSG00000125046,ENSG00000128652,ENSG00000135903,ENSG00000154342,ENSG00000180176,ENSG00000273706
1	TRUE	0.0347	440	303	12	0.04	0.027	GO:0009986	CC	12	cell surface	1	ENSG00000012223,ENSG00000142319,ENSG00000154342,ENSG00000155719,ENSG00000163518,ENSG00000168065,ENSG00000169174,ENSG00000169876,ENSG00000170927,ENSG00000175894,ENSG00000188488,ENSG00000203710
1	TRUE	0.0347	71	311	5	0.016	0.07	GO:0098862	CC	31	cluster of actin-based cell projections	1	ENSG00000124564,ENSG00000166866,ENSG00000175894,ENSG00000187017,ENSG00000214279
1	TRUE	0.0396	126	283	6	0.021	0.048	GO:0001822	BP	13	kidney development	1	ENSG00000099139,ENSG00000161270,ENSG00000169174,ENSG00000170927,ENSG00000273706,ENSG00000275410
1	TRUE	0.0399	133	266	6	0.023	0.045	GO:0042445	BP	9	hormone metabolic process	1	ENSG00000073737,ENSG00000095596,ENSG00000099139,ENSG00000100867,ENSG00000140279,ENSG00000187553
1	TRUE	0.0399	10	137	2	0.015	0.2	GO:0031581	BP	23	hemidesmosome assembly	1	ENSG00000058085,ENSG00000065618
1	TRUE	0.0399	51	262	4	0.015	0.078	GO:0016266	BP	7	O-glycan processing	1	ENSG00000169876,ENSG00000181143,ENSG00000204544,ENSG00000215182
