query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.8e-05	840	92	20	0.217	0.024	GO:0038023	MF	99	signaling receptor activity	1	ENSG00000068078,ENSG00000106278,ENSG00000112333,ENSG00000113721,ENSG00000120907,ENSG00000123384,ENSG00000126016,ENSG00000130202,ENSG00000134250,ENSG00000136160,ENSG00000138696,ENSG00000148053,ENSG00000152990,ENSG00000161509,ENSG00000164199,ENSG00000167601,ENSG00000170989,ENSG00000171444,ENSG00000205336,ENSG00000241399
1	TRUE	0.000257	23	11	3	0.273	0.13	KEGG:04964	keg	53	Proximal tubule bicarbonate reclamation	1	ENSG00000018625,ENSG00000080493,ENSG00000148672
1	TRUE	0.000989	20	163	5	0.031	0.25	GO:0009065	BP	65	glutamine family amino acid catabolic process	1	ENSG00000100033,ENSG00000135821,ENSG00000148672,ENSG00000159423,ENSG00000162174
1	TRUE	0.00134	14	133	4	0.03	0.286	GO:0005313	MF	117	L-glutamate transmembrane transporter activity	1	ENSG00000079215,ENSG00000110436,ENSG00000151012,ENSG00000182902
1	TRUE	0.00134	284	57	8	0.14	0.028	GO:0022804	MF	113	active transmembrane transporter activity	1	ENSG00000018625,ENSG00000080493,ENSG00000110436,ENSG00000127249,ENSG00000139155,ENSG00000151012,ENSG00000163406,ENSG00000182902
1	TRUE	0.00145	215	103	9	0.087	0.042	GO:0051056	BP	22	regulation of small GTPase mediated signal transduction	1	ENSG00000031081,ENSG00000114790,ENSG00000120907,ENSG00000126785,ENSG00000128849,ENSG00000134250,ENSG00000136297,ENSG00000158321,ENSG00000205336
1	TRUE	0.00145	52	88	5	0.057	0.096	GO:0010517	BP	45	regulation of phospholipase activity	1	ENSG00000068078,ENSG00000113721,ENSG00000120907,ENSG00000123384,ENSG00000148053
1	TRUE	0.00295	8	133	3	0.023	0.375	GO:0051938	BP	41	L-glutamate import	1	ENSG00000018625,ENSG00000079215,ENSG00000110436
1	TRUE	0.00295	8	133	3	0.023	0.375	GO:0098712	BP	51	L-glutamate import across plasma membrane	1	ENSG00000018625,ENSG00000079215,ENSG00000110436
1	TRUE	0.00318	461	126	13	0.103	0.028	GO:0060284	BP	40	regulation of cell development	1	ENSG00000007372,ENSG00000079691,ENSG00000106278,ENSG00000116641,ENSG00000134250,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000137693,ENSG00000148053,ENSG00000163110,ENSG00000169439,ENSG00000205336
1	TRUE	0.00318	70	90	5	0.056	0.071	GO:0019199	MF	67	transmembrane receptor protein kinase activity	1	ENSG00000068078,ENSG00000113721,ENSG00000138696,ENSG00000148053,ENSG00000167601
1	TRUE	0.00385	440	8	4	0.5	0.009	GO:0009986	CC	86	cell surface	1	ENSG00000126016,ENSG00000151012,ENSG00000164199,ENSG00000167601
1	TRUE	0.0041	570	93	12	0.129	0.021	GO:0072359	BP	39	circulatory system development	1	ENSG00000011405,ENSG00000078114,ENSG00000109472,ENSG00000113721,ENSG00000123384,ENSG00000126016,ENSG00000126785,ENSG00000134250,ENSG00000163110,ENSG00000166341,ENSG00000170989,ENSG00000205336
1	TRUE	0.00431	2	124	2	0.016	1	GO:0038018	BP	50	Wnt receptor catabolic process	1	ENSG00000108375,ENSG00000183579
1	TRUE	0.0044	863	126	18	0.143	0.021	GO:0022008	BP	15	neurogenesis	1	ENSG00000007372,ENSG00000092820,ENSG00000106278,ENSG00000116641,ENSG00000123384,ENSG00000135540,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000137693,ENSG00000148053,ENSG00000158321,ENSG00000163110,ENSG00000166341,ENSG00000169439,ENSG00000185985,ENSG00000205336,ENSG00000256463
1	TRUE	0.0046	527	88	11	0.125	0.021	GO:0030029	BP	58	actin filament-based process	1	ENSG00000078114,ENSG00000079691,ENSG00000092820,ENSG00000101400,ENSG00000113721,ENSG00000123384,ENSG00000126016,ENSG00000126785,ENSG00000128849,ENSG00000170989,ENSG00000179604
1	TRUE	0.0046	443	103	11	0.107	0.025	GO:0030036	BP	70	actin cytoskeleton organization	1	ENSG00000078114,ENSG00000079691,ENSG00000092820,ENSG00000113721,ENSG00000123384,ENSG00000126016,ENSG00000126785,ENSG00000128849,ENSG00000158321,ENSG00000170989,ENSG00000179604
1	TRUE	0.0046	428	126	12	0.095	0.028	GO:0051960	BP	89	regulation of nervous system development	1	ENSG00000007372,ENSG00000106278,ENSG00000116641,ENSG00000135916,ENSG00000136160,ENSG00000136297,ENSG00000137693,ENSG00000148053,ENSG00000163110,ENSG00000169439,ENSG00000185985,ENSG00000205336
1	TRUE	0.00485	908	93	15	0.161	0.017	GO:0016477	BP	91	cell migration	1	ENSG00000011405,ENSG00000079691,ENSG00000113721,ENSG00000123384,ENSG00000126016,ENSG00000126785,ENSG00000135540,ENSG00000136160,ENSG00000148053,ENSG00000151012,ENSG00000166341,ENSG00000169439,ENSG00000170989,ENSG00000171444,ENSG00000205336
1	TRUE	0.00526	14	112	3	0.027	0.214	GO:0010875	BP	76	positive regulation of cholesterol efflux	1	ENSG00000100979,ENSG00000123384,ENSG00000185920
1	TRUE	0.00533	3	99	2	0.02	0.667	GO:0042271	BP	106	susceptibility to natural killer cell mediated cytotoxicity	1	ENSG00000130202,ENSG00000182985
1	TRUE	0.00533	6	46	2	0.043	0.333	GO:0090520	BP	93	sphingolipid mediated signaling pathway	1	ENSG00000092820,ENSG00000170989
1	TRUE	0.00533	6	46	2	0.043	0.333	GO:0003376	BP	134	sphingosine-1-phosphate receptor signaling pathway	1	ENSG00000092820,ENSG00000170989
1	TRUE	0.00727	310	161	11	0.068	0.035	GO:0061061	BP	82	muscle structure development	1	ENSG00000078114,ENSG00000105088,ENSG00000110693,ENSG00000113721,ENSG00000116016,ENSG00000136160,ENSG00000162430,ENSG00000163110,ENSG00000164188,ENSG00000164976,ENSG00000170989
1	TRUE	0.00807	44	109	4	0.037	0.091	GO:0030032	BP	16	lamellipodium assembly	1	ENSG00000079691,ENSG00000099204,ENSG00000158321,ENSG00000170989
1	TRUE	0.00836	54	171	5	0.029	0.093	GO:0006027	BP	27	glycosaminoglycan catabolic process	1	ENSG00000114646,ENSG00000130287,ENSG00000162512,ENSG00000169439,ENSG00000179399
1	TRUE	0.00904	31	165	4	0.024	0.129	GO:0048008	BP	54	platelet-derived growth factor receptor signaling pathway	1	ENSG00000011405,ENSG00000113721,ENSG00000117525,ENSG00000123384
1	TRUE	0.00918	96	54	4	0.074	0.042	GO:0021700	BP	19	developmental maturation	1	ENSG00000068078,ENSG00000136160,ENSG00000167601,ENSG00000170989
1	TRUE	0.00953	680	55	9	0.164	0.013	GO:0030054	CC	57	cell junction	1	ENSG00000068078,ENSG00000092820,ENSG00000121742,ENSG00000123384,ENSG00000126016,ENSG00000130202,ENSG00000136205,ENSG00000163110,ENSG00000179604
1	TRUE	0.00994	284	100	8	0.08	0.028	GO:0043235	CC	37	receptor complex	1	ENSG00000078549,ENSG00000123104,ENSG00000123384,ENSG00000134250,ENSG00000138696,ENSG00000148053,ENSG00000161509,ENSG00000164199
1	TRUE	0.0101	26	15	2	0.133	0.077	GO:0055017	BP	75	cardiac muscle tissue growth	1	ENSG00000163110,ENSG00000170989
1	TRUE	0.0102	36	60	3	0.05	0.083	GO:0035329	BP	7	hippo signaling	1	ENSG00000126016,ENSG00000137693,ENSG00000166341
1	TRUE	0.0103	550	98	11	0.112	0.02	GO:0030001	BP	72	metal ion transport	1	ENSG00000018625,ENSG00000080493,ENSG00000101400,ENSG00000113721,ENSG00000120907,ENSG00000123104,ENSG00000148482,ENSG00000153822,ENSG00000161509,ENSG00000185942,ENSG00000198838
1	TRUE	0.0105	23	98	3	0.031	0.13	GO:0099604	MF	109	ligand-gated calcium channel activity	1	ENSG00000123104,ENSG00000161509,ENSG00000198838
1	TRUE	0.0108	78	150	6	0.04	0.077	KEGG:04970	keg	24	Salivary secretion	1	ENSG00000018625,ENSG00000101439,ENSG00000120907,ENSG00000123104,ENSG00000129244,ENSG00000198838
1	TRUE	0.0108	46	164	5	0.03	0.109	KEGG:00330	keg	108	Arginine and proline metabolism	1	ENSG00000100033,ENSG00000111275,ENSG00000143149,ENSG00000159423,ENSG00000189221
1	TRUE	0.0108	176	98	7	0.071	0.04	KEGG:04020	keg	56	Calcium signaling pathway	1	ENSG00000067177,ENSG00000113721,ENSG00000120907,ENSG00000123104,ENSG00000136160,ENSG00000161509,ENSG00000198838
1	TRUE	0.0113	71	71	4	0.056	0.056	KEGG:04971	keg	127	Gastric acid secretion	1	ENSG00000018625,ENSG00000092820,ENSG00000123104,ENSG00000153822
1	TRUE	0.0117	20	119	3	0.025	0.15	GO:0035035	MF	87	histone acetyltransferase binding	1	ENSG00000007372,ENSG00000106571,ENSG00000116016
1	TRUE	0.0117	15	163	3	0.018	0.2	GO:0004029	MF	71	aldehyde dehydrogenase (NAD) activity	1	ENSG00000111275,ENSG00000143149,ENSG00000159423
1	TRUE	0.0118	4	136	2	0.015	0.5	GO:0016576	BP	94	histone dephosphorylation	1	ENSG00000064655,ENSG00000104313
1	TRUE	0.012	62	96	4	0.042	0.065	GO:0030282	BP	18	bone mineralization	1	ENSG00000068078,ENSG00000138696,ENSG00000138756,ENSG00000170989
1	TRUE	0.012	78	6	2	0.333	0.026	GO:0030004	BP	59	cellular monovalent inorganic cation homeostasis	1	ENSG00000018625,ENSG00000080493
1	TRUE	0.0122	190	88	6	0.068	0.032	GO:0070372	BP	120	regulation of ERK1 and ERK2 cascade	1	ENSG00000068078,ENSG00000092820,ENSG00000100234,ENSG00000113721,ENSG00000120907,ENSG00000134250
1	TRUE	0.0125	70	90	4	0.044	0.057	GO:0060348	BP	136	bone development	1	ENSG00000068078,ENSG00000134250,ENSG00000138696,ENSG00000164188
1	TRUE	0.0125	114	55	4	0.073	0.035	GO:0016323	CC	6	basolateral plasma membrane	1	ENSG00000080493,ENSG00000092820,ENSG00000100427,ENSG00000123384
1	TRUE	0.0133	296	82	7	0.085	0.024	GO:0015711	BP	62	organic anion transport	1	ENSG00000018625,ENSG00000080493,ENSG00000100979,ENSG00000110090,ENSG00000110436,ENSG00000115902,ENSG00000139155
1	TRUE	0.0135	4	163	2	0.012	0.5	GO:0019470	BP	79	4-hydroxyproline catabolic process	1	ENSG00000100033,ENSG00000159423
1	TRUE	0.0154	311	9	3	0.333	0.01	GO:0071396	BP	28	cellular response to lipid	1	ENSG00000018625,ENSG00000100427,ENSG00000167601
1	TRUE	0.0171	990	123	17	0.138	0.017	GO:0003008	BP	130	system process	1	ENSG00000007372,ENSG00000011405,ENSG00000018625,ENSG00000099204,ENSG00000101400,ENSG00000104313,ENSG00000106278,ENSG00000115902,ENSG00000120907,ENSG00000121742,ENSG00000123104,ENSG00000136160,ENSG00000148053,ENSG00000148730,ENSG00000163110,ENSG00000164199,ENSG00000198838
1	TRUE	0.0177	54	13	2	0.154	0.037	GO:0045621	BP	25	positive regulation of lymphocyte differentiation	1	ENSG00000106571,ENSG00000167601
1	TRUE	0.0177	53	13	2	0.154	0.038	GO:0071887	BP	73	leukocyte apoptotic process	1	ENSG00000106571,ENSG00000167601
