Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	0.0324419197815932	0.0358711977790085	0.904400237244877	0.369727769672457	1	0	
blue	2	Autism	0.0903897917663061	0.0341111683649942	2.64985915460657	0.0104933634429234	0.335787630173548	0	
brown	3	Autism	-0.0531537080273248	0.0352755564135673	-1.50681416344382	0.137580835471631	1	0	
yellow	4	Autism	-0.00807271255268444	0.0353055974919539	-0.228652483633061	0.819987084496598	1	0	
green	5	Autism	0.0903580517213803	0.0341677281321855	2.6445437452502	0.0106403196914193	0.335787630173548	0	
red	6	Autism	0.0657170118300867	0.0352801575628208	1.8627187736639	0.0678459738590684	1	0	
black	7	Autism	0.0395587719992353	0.0359688208880494	1.09980730595421	0.27620675603691	1	0	
pink	8	Autism	-0.0705548004807308	0.0349164203109985	-2.02067680055124	0.0481927991463595	1	0	
magenta	9	Autism	0.071239288349087	0.0347836688996624	2.04806711317846	0.0453394535039701	0.997467977087343	0	
purple	10	Autism	-0.0994412392439034	0.0330876861540246	-3.00538510855671	0.00399010335535887	0.131673410726843	0	
greenyellow	11	Autism	-0.123240701472848	0.0315480947780583	-3.90643879891478	0.000258608968904824	0.00879270494276401	-2.05587750023886	-0.1
tan	12	Autism	0.137400879679388	0.0312523741214134	4.39649413979221	5.07941195867769e-05	0.00182858830512397	2.73788406212274	0.1
salmon	13	Autism	0.0313020478515891	0.0361074835806647	0.866913025984206	0.389756114774485	1	0	
cyan	14	Autism	0.128908427941372	0.0317233450157455	4.06351940116624	0.000154906186343581	0.00542171652202534	2.26586319353137	0.1
midnightblue	15	Autism	-0.0447076052667437	0.0356944687480761	-1.25250793287555	0.215684487727133	1	0	
lightcyan	16	Autism	-0.0165515037510698	0.0362089583494007	-0.457110740147644	0.649391885638225	1	0	
grey60	17	Autism	0.0628356542363542	0.03520639842734	1.78477938792962	0.0798124899518525	1	0	
lightgreen	18	Autism	-0.067841789666969	0.0344506003551161	-1.96924840112095	0.0539704181815958	1	0	
lightyellow	19	Autism	0.158892637084988	0.0292715595579963	5.42822587809749	1.32280270377744e-06	5.02665027435427e-05	4.29872132945297	0.2
darkred	21	Autism	-0.0119961774543032	0.0360396303216756	-0.332860724353442	0.740504901499496	1	0	
darkgreen	22	Autism	0.0147532320275931	0.0355026572810371	0.41555289540181	0.679354044239844	1	0	
darkturquoise	23	Autism	-0.0659286051430295	0.0339230317000635	-1.94347621185362	0.0570827346605936	1	0	
darkgrey	24	Autism	-0.0692708678643081	0.0327059721128736	-2.11798834858793	0.0387100595636247	0.929041429526993	0	
orange	25	Autism	-0.00797572771613713	0.0346331056949357	-0.230292015575819	0.818719289080509	1	0	
darkorange	26	Autism	0.149111781730478	0.030289919499665	4.92281868666329	8.14757271135958e-06	0.000301460190320305	3.52077003100554	0.1
white	27	Autism	-0.0721703538267639	0.0344516619233777	-2.09482938696179	0.04080555539803	0.93852777415469	0	
skyblue	28	Autism	-0.0848530416918833	0.0335190074813446	-2.53149028171879	0.0142457626162934	0.414499523569201	0	
saddlebrown	29	Autism	-0.0254065694988293	0.0359755748618609	-0.706217193092411	0.483034060518096	1	0	
steelblue	30	Autism	0.0874658524649387	0.0343882488358506	2.54348085249846	0.01381665078564	0.414499523569201	0	
paleturquoise	31	Autism	-0.00183073253939447	0.0362044856720119	-0.050566456211522	0.959854191024198	1	0	
violet	32	Autism	-0.0816113563354648	0.0329801333503483	-2.47456113862568	0.0164524699618951	0.449825878998792	0	
darkolivegreen	33	Autism	-0.0395279657600858	0.0358903835801247	-1.10135255790288	0.275539850611095	1	0	
darkmagenta	34	Autism	-0.0850446981712036	0.0342365637150819	-2.4840313671357	0.0160652099642426	0.449825878998792	0	
sienna3	35	Autism	-0.076888753263181	0.0328805076198559	-2.3384296298622	0.0230280165591615	0.5987284305382	0	
yellowgreen	36	Autism	-0.0616832025895974	0.0322010780880692	-1.91556327464861	0.0606253399096858	1	0	
skyblue3	37	Autism	-0.00220984861724823	0.0361654342990591	-0.061103887180631	0.951497977131787	1	0	
plum1	38	Autism	-0.075550553651861	0.0342508767098464	-2.20579911842496	0.0315947711080653	0.789869277701632	0	
mediumpurple3	40	Autism	0.0603232522500531	0.0351552519834097	1.71591010863812	0.0918070474087656	1	0	
