query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.27e-08	322	39	12	0.308	0.037	GO:0045202	CC	8	synapse	1	ENSG00000107954,ENSG00000116544,ENSG00000124507,ENSG00000132535,ENSG00000161681,ENSG00000162105,ENSG00000165802,ENSG00000171992,ENSG00000181790,ENSG00000184702,ENSG00000186642,ENSG00000186716
1	TRUE	5.21e-08	390	78	15	0.192	0.038	GO:0098916	BP	77	anterograde trans-synaptic signaling	1	ENSG00000075043,ENSG00000101098,ENSG00000105642,ENSG00000107954,ENSG00000110076,ENSG00000118160,ENSG00000132535,ENSG00000148408,ENSG00000161681,ENSG00000162105,ENSG00000165802,ENSG00000167535,ENSG00000181790,ENSG00000184702,ENSG00000197283
1	TRUE	5.21e-08	66	37	7	0.189	0.106	GO:0014069	CC	10	postsynaptic density	1	ENSG00000107954,ENSG00000132535,ENSG00000161681,ENSG00000162105,ENSG00000165802,ENSG00000181790,ENSG00000186716
1	TRUE	4.47e-07	746	154	26	0.169	0.035	GO:0030182	BP	56	neuron differentiation	1	ENSG00000004399,ENSG00000107130,ENSG00000107263,ENSG00000107954,ENSG00000112658,ENSG00000115694,ENSG00000116254,ENSG00000124507,ENSG00000130559,ENSG00000132535,ENSG00000135127,ENSG00000135144,ENSG00000136848,ENSG00000141622,ENSG00000149930,ENSG00000161681,ENSG00000162065,ENSG00000163462,ENSG00000165802,ENSG00000173621,ENSG00000173898,ENSG00000181790,ENSG00000184916,ENSG00000185924,ENSG00000188157,ENSG00000198797
1	TRUE	1.03e-06	172	40	8	0.2	0.047	GO:0050808	BP	86	synapse organization	1	ENSG00000107954,ENSG00000110076,ENSG00000132535,ENSG00000136848,ENSG00000161681,ENSG00000162105,ENSG00000167535,ENSG00000171992
1	TRUE	2.19e-06	202	120	12	0.1	0.059	GO:0030425	CC	4	dendrite	1	ENSG00000100505,ENSG00000107954,ENSG00000132535,ENSG00000161681,ENSG00000162105,ENSG00000164061,ENSG00000165802,ENSG00000169169,ENSG00000171992,ENSG00000174871,ENSG00000181790,ENSG00000198797
1	TRUE	9.65e-06	543	154	20	0.13	0.037	GO:0031175	BP	53	neuron projection development	1	ENSG00000004399,ENSG00000107130,ENSG00000107263,ENSG00000107954,ENSG00000115694,ENSG00000124507,ENSG00000130559,ENSG00000132535,ENSG00000135127,ENSG00000136848,ENSG00000141622,ENSG00000149930,ENSG00000161681,ENSG00000162065,ENSG00000163462,ENSG00000165802,ENSG00000173621,ENSG00000173898,ENSG00000181790,ENSG00000185924
1	TRUE	1.39e-05	48	43	5	0.116	0.104	GO:0007612	BP	24	learning	1	ENSG00000110076,ENSG00000118160,ENSG00000132535,ENSG00000161681,ENSG00000162105
1	TRUE	7.61e-05	74	40	5	0.125	0.068	GO:0050773	BP	49	regulation of dendrite development	1	ENSG00000107954,ENSG00000124507,ENSG00000136848,ENSG00000161681,ENSG00000165802
1	TRUE	8.83e-05	33	40	4	0.1	0.121	GO:1900006	BP	28	positive regulation of dendrite development	1	ENSG00000107954,ENSG00000124507,ENSG00000136848,ENSG00000161681
1	TRUE	0.000112	12	32	3	0.094	0.25	GO:0035255	MF	61	ionotropic glutamate receptor binding	1	ENSG00000132535,ENSG00000161681,ENSG00000162105
1	TRUE	0.000212	15	32	3	0.094	0.2	GO:0035418	BP	17	protein localization to synapse	1	ENSG00000110076,ENSG00000132535,ENSG00000161681
