query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00168	390	85	11	0.129	0.028	GO:0007268	BP	13	chemical synaptic transmission	1	ENSG00000100884,ENSG00000107404,ENSG00000109189,ENSG00000115155,ENSG00000144868,ENSG00000147044,ENSG00000164418,ENSG00000181656,ENSG00000188803,ENSG00000198216,ENSG00000237515
1	TRUE	0.00558	11	85	3	0.035	0.273	GO:0048172	BP	44	regulation of short-term neuronal synaptic plasticity	1	ENSG00000164418,ENSG00000188803,ENSG00000237515
1	TRUE	0.00558	50	55	4	0.073	0.08	GO:0046847	BP	46	filopodium assembly	1	ENSG00000099864,ENSG00000102302,ENSG00000150625,ENSG00000163932
1	TRUE	0.00558	651	85	13	0.153	0.02	GO:0097458	CC	38	neuron part	1	ENSG00000100884,ENSG00000107404,ENSG00000115155,ENSG00000139874,ENSG00000144868,ENSG00000147044,ENSG00000150471,ENSG00000150625,ENSG00000151834,ENSG00000162409,ENSG00000185008,ENSG00000188803,ENSG00000237515
1	TRUE	0.00574	172	85	7	0.082	0.041	GO:0050808	BP	39	synapse organization	1	ENSG00000107404,ENSG00000144868,ENSG00000150471,ENSG00000150625,ENSG00000185008,ENSG00000188064,ENSG00000188803
1	TRUE	0.00588	814	42	10	0.238	0.012	GO:0048699	BP	33	generation of neurons	1	ENSG00000100884,ENSG00000117600,ENSG00000150471,ENSG00000150625,ENSG00000164796,ENSG00000169258,ENSG00000170390,ENSG00000185008,ENSG00000188064,ENSG00000206052
1	TRUE	0.0242	543	77	10	0.13	0.018	GO:0031175	BP	17	neuron projection development	1	ENSG00000100884,ENSG00000107404,ENSG00000117600,ENSG00000144868,ENSG00000150625,ENSG00000164796,ENSG00000169258,ENSG00000175745,ENSG00000185008,ENSG00000206052
1	TRUE	0.0252	42	61	3	0.049	0.071	KEGG:04930	keg	29	Type II diabetes mellitus	1	ENSG00000105647,ENSG00000163932,ENSG00000198216
1	TRUE	0.0263	114	54	4	0.074	0.035	GO:0043409	BP	6	negative regulation of MAPK cascade	1	ENSG00000048540,ENSG00000105647,ENSG00000153233,ENSG00000163932
1	TRUE	0.0263	105	5	2	0.4	0.019	GO:0048588	BP	22	developmental cell growth	1	ENSG00000100884,ENSG00000154556
1	TRUE	0.0263	889	42	9	0.214	0.01	GO:0007155	BP	26	cell adhesion	1	ENSG00000095203,ENSG00000113100,ENSG00000150471,ENSG00000163932,ENSG00000165194,ENSG00000174136,ENSG00000179242,ENSG00000185008,ENSG00000188064
1	TRUE	0.0263	17	23	2	0.087	0.118	GO:0032515	BP	30	negative regulation of phosphoprotein phosphatase activity	1	ENSG00000088832,ENSG00000119698
1	TRUE	0.0263	434	54	7	0.13	0.016	GO:0031400	BP	19	negative regulation of protein modification process	1	ENSG00000048540,ENSG00000088832,ENSG00000105647,ENSG00000119698,ENSG00000153233,ENSG00000162409,ENSG00000163932
1	TRUE	0.0263	164	64	5	0.078	0.03	GO:0031253	CC	1	cell projection membrane	1	ENSG00000099864,ENSG00000113645,ENSG00000147044,ENSG00000185008,ENSG00000237515
1	TRUE	0.0263	889	43	9	0.209	0.01	GO:0060089	MF	14	molecular transducer activity	1	ENSG00000090006,ENSG00000139874,ENSG00000150471,ENSG00000151834,ENSG00000153233,ENSG00000162409,ENSG00000164418,ENSG00000174136,ENSG00000185008
1	TRUE	0.0263	256	66	6	0.091	0.023	GO:0005509	MF	49	calcium ion binding	1	ENSG00000090006,ENSG00000100884,ENSG00000115155,ENSG00000150471,ENSG00000163520,ENSG00000183186
1	TRUE	0.0325	16	42	2	0.048	0.125	GO:0032589	CC	8	neuron projection membrane	1	ENSG00000185008,ENSG00000237515
1	TRUE	0.0325	13	53	2	0.038	0.154	GO:0008195	MF	7	phosphatidate phosphatase activity	1	ENSG00000101577,ENSG00000117600
1	TRUE	0.0358	27	35	2	0.057	0.074	GO:0042307	BP	5	positive regulation of protein import into nucleus	1	ENSG00000105647,ENSG00000163932
1	TRUE	0.0358	13	68	2	0.029	0.154	GO:1990776	BP	40	response to angiotensin	1	ENSG00000163932,ENSG00000196660
1	TRUE	0.0358	109	70	4	0.057	0.037	GO:0018107	BP	27	peptidyl-threonine phosphorylation	1	ENSG00000149115,ENSG00000163932,ENSG00000164076,ENSG00000170390
1	TRUE	0.0358	416	35	5	0.143	0.012	GO:0010563	BP	32	negative regulation of phosphorus metabolic process	1	ENSG00000088832,ENSG00000105647,ENSG00000119698,ENSG00000153233,ENSG00000163932
1	TRUE	0.0358	190	72	5	0.069	0.026	GO:0070372	BP	34	regulation of ERK1 and ERK2 cascade	1	ENSG00000048540,ENSG00000103154,ENSG00000153233,ENSG00000163491,ENSG00000196660
1	TRUE	0.0358	411	68	7	0.103	0.017	GO:0032870	BP	41	cellular response to hormone stimulus	1	ENSG00000048540,ENSG00000105647,ENSG00000132434,ENSG00000139874,ENSG00000163932,ENSG00000185008,ENSG00000196660
