query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.81e-13	301	205	27	0.132	0.09	GO:0000398	BP	98	mRNA splicing, via spliceosome	1	ENSG00000039123,ENSG00000065526,ENSG00000089682,ENSG00000092199,ENSG00000096746,ENSG00000100201,ENSG00000100650,ENSG00000100941,ENSG00000107290,ENSG00000108848,ENSG00000110713,ENSG00000112739,ENSG00000113593,ENSG00000115524,ENSG00000116754,ENSG00000122566,ENSG00000134748,ENSG00000136937,ENSG00000147274,ENSG00000159140,ENSG00000163714,ENSG00000164548,ENSG00000165494,ENSG00000168066,ENSG00000168566,ENSG00000169045,ENSG00000185246
1	TRUE	1.81e-13	304	205	27	0.132	0.089	GO:0000375	BP	105	RNA splicing, via transesterification reactions	1	ENSG00000039123,ENSG00000065526,ENSG00000089682,ENSG00000092199,ENSG00000096746,ENSG00000100201,ENSG00000100650,ENSG00000100941,ENSG00000107290,ENSG00000108848,ENSG00000110713,ENSG00000112739,ENSG00000113593,ENSG00000115524,ENSG00000116754,ENSG00000122566,ENSG00000134748,ENSG00000136937,ENSG00000147274,ENSG00000159140,ENSG00000163714,ENSG00000164548,ENSG00000165494,ENSG00000168066,ENSG00000168566,ENSG00000169045,ENSG00000185246
1	TRUE	1.81e-13	907	206	45	0.218	0.05	GO:0044451	CC	13	nucleoplasm part	1	ENSG00000011007,ENSG00000055609,ENSG00000065243,ENSG00000072364,ENSG00000100201,ENSG00000100650,ENSG00000100813,ENSG00000100815,ENSG00000100941,ENSG00000102710,ENSG00000107290,ENSG00000108256,ENSG00000108510,ENSG00000108848,ENSG00000110713,ENSG00000112739,ENSG00000113593,ENSG00000115524,ENSG00000116754,ENSG00000118579,ENSG00000120616,ENSG00000122008,ENSG00000122257,ENSG00000122566,ENSG00000125952,ENSG00000127483,ENSG00000131051,ENSG00000132155,ENSG00000135341,ENSG00000135365,ENSG00000136891,ENSG00000153914,ENSG00000156650,ENSG00000159140,ENSG00000159256,ENSG00000164944,ENSG00000165494,ENSG00000166439,ENSG00000167258,ENSG00000174197,ENSG00000184634,ENSG00000188554,ENSG00000197579,ENSG00000198646,ENSG00000198887
1	TRUE	2.94e-08	163	237	17	0.072	0.104	GO:0005681	CC	121	spliceosomal complex	1	ENSG00000003756,ENSG00000039123,ENSG00000089682,ENSG00000092199,ENSG00000096746,ENSG00000100941,ENSG00000108848,ENSG00000112739,ENSG00000113593,ENSG00000115524,ENSG00000122566,ENSG00000134748,ENSG00000147274,ENSG00000168066,ENSG00000168566,ENSG00000169045,ENSG00000185246
1	TRUE	2.05e-06	170	267	16	0.06	0.094	GO:0003729	MF	106	mRNA binding	1	ENSG00000003756,ENSG00000092199,ENSG00000108848,ENSG00000110713,ENSG00000114416,ENSG00000115524,ENSG00000120948,ENSG00000122566,ENSG00000123908,ENSG00000125676,ENSG00000135870,ENSG00000136937,ENSG00000145388,ENSG00000145907,ENSG00000147274,ENSG00000165494
1	TRUE	2.05e-06	456	225	24	0.107	0.053	GO:0003712	MF	51	transcription coregulator activity	1	ENSG00000049618,ENSG00000073614,ENSG00000100201,ENSG00000100393,ENSG00000100815,ENSG00000108510,ENSG00000110713,ENSG00000111596,ENSG00000111727,ENSG00000112200,ENSG00000117713,ENSG00000118260,ENSG00000119950,ENSG00000124151,ENSG00000125686,ENSG00000125952,ENSG00000135365,ENSG00000141380,ENSG00000165671,ENSG00000168066,ENSG00000178028,ENSG00000184634,ENSG00000198646,ENSG00000244754
1	TRUE	1.84e-05	235	256	17	0.066	0.072	GO:0040029	BP	76	regulation of gene expression, epigenetic	1	ENSG00000049618,ENSG00000078687,ENSG00000083223,ENSG00000100393,ENSG00000102974,ENSG00000105968,ENSG00000114416,ENSG00000115524,ENSG00000117713,ENSG00000120616,ENSG00000122566,ENSG00000123908,ENSG00000126070,ENSG00000134744,ENSG00000136937,ENSG00000185619,ENSG00000204120
1	TRUE	1.84e-05	26	265	7	0.026	0.269	GO:0046966	MF	69	thyroid hormone receptor binding	1	ENSG00000108510,ENSG00000118418,ENSG00000124151,ENSG00000125686,ENSG00000165671,ENSG00000184634,ENSG00000198646
1	TRUE	5.82e-05	852	193	28	0.145	0.033	GO:0051276	BP	12	chromosome organization	1	ENSG00000005483,ENSG00000010244,ENSG00000049618,ENSG00000062650,ENSG00000073614,ENSG00000092199,ENSG00000100393,ENSG00000100813,ENSG00000110713,ENSG00000112200,ENSG00000112701,ENSG00000117713,ENSG00000120616,ENSG00000121892,ENSG00000122566,ENSG00000127483,ENSG00000135341,ENSG00000143442,ENSG00000156650,ENSG00000158161,ENSG00000163939,ENSG00000164190,ENSG00000165671,ENSG00000168769,ENSG00000181555,ENSG00000185619,ENSG00000189079,ENSG00000198887
1	TRUE	6.47e-05	753	206	27	0.131	0.036	GO:0005694	CC	39	chromosome	1	ENSG00000005483,ENSG00000010244,ENSG00000049618,ENSG00000062650,ENSG00000072364,ENSG00000092199,ENSG00000107290,ENSG00000110713,ENSG00000117713,ENSG00000118260,ENSG00000121892,ENSG00000122008,ENSG00000122566,ENSG00000124151,ENSG00000125952,ENSG00000127483,ENSG00000133884,ENSG00000143442,ENSG00000147274,ENSG00000156650,ENSG00000160049,ENSG00000163939,ENSG00000166439,ENSG00000167258,ENSG00000181555,ENSG00000185619,ENSG00000198887
