Module	moduleNumber	Group	beta	SE	t	p	fdr	signedLog10fdr	text
turquoise	1	Autism	0.11209003639024	0.0357552138912743	3.13492842557418	0.00285032551258147	0.0826594398648627	0	
blue	2	Autism	-0.0495133410056028	0.0372785350593356	-1.32819975159413	0.190025601870708	1	0	
brown	3	Autism	-0.115124275341002	0.0341054264863861	-3.37554129067867	0.00141555952349094	0.0438823452282191	-1.35771017023914	-0.1
yellow	4	Autism	0.174851087246159	0.0302308584732381	5.78386112987649	4.46411824278431e-07	1.56244138497451e-05	4.80619626624604	0.2
green	5	Autism	-0.0641815196508652	0.0375726751647759	-1.70819669798319	0.0936805315062019	1	0	
red	6	Autism	-0.00558280567538901	0.0392061510968512	-0.142396167927777	0.887328158586306	1	0	
black	7	Autism	-0.0452275899015794	0.038168761038798	-1.18493733279962	0.241534621333611	1	0	
pink	8	Autism	-0.0712624983929374	0.0371715746979033	-1.91712347330168	0.060832328316727	0.979560012655537	0	
magenta	9	Autism	-0.0730624563055368	0.0378439682050675	-1.93062355167483	0.0590983491989948	0.979560012655537	0	
purple	10	Autism	0.0247851831723775	0.0393946095590494	0.629151639013619	0.532057976833695	1	0	
greenyellow	11	Autism	0.0428937281447241	0.0386373436001709	1.11016245290047	0.272136068070904	1	0	
tan	12	Autism	-0.0985314317707047	0.0352110774486178	-2.79830777443513	0.00723216729585965	0.188036349692351	0	
salmon	13	Autism	-0.00494749216533916	0.038483496389684	-0.128561399807357	0.898210357963007	1	0	
cyan	14	Autism	0.0655715197862609	0.0373419263591591	1.75597582073261	0.0850965224397591	1	0	
midnightblue	15	Autism	-0.12762220623307	0.0328647187679038	-3.88325873513051	0.000297709792283067	0.00952671335305815	-2.02105690196599	-0.1
lightcyan	16	Autism	-0.10041374267542	0.0362915059988608	-2.76686623802748	0.00786518756216243	0.196629689054061	0	
grey60	17	Autism	-0.0905385517453028	0.0362398847079484	-2.49831235598399	0.0157434761300293	0.362099950990673	0	
lightgreen	18	Autism	-0.0774643003009101	0.0345986139282866	-2.23894230160412	0.0295503457088261	0.620557259885348	0	
lightyellow	19	Autism	-0.0800473381843351	0.0368345168769143	-2.17316107204067	0.0344372802654333	0.654308325043232	0	
royalblue	20	Autism	-0.102546773533045	0.0363445728061496	-2.82151544551085	0.00679548418855781	0.183478073091061	0	
darkred	21	Autism	0.0264971619228319	0.0384849035790058	0.688507946198585	0.494253136126255	1	0	
darkgreen	22	Autism	0.114124043032669	0.0360353874908617	3.16699919104823	0.00260056548780152	0.0780169646340457	0	
darkturquoise	23	Autism	-0.084828835314075	0.0357569601613002	-2.37237267741472	0.0214841331579064	0.47265092947394	0	
darkgrey	24	Autism	-0.072976872782164	0.0377134116955093	-1.93503768291676	0.0585406285172459	0.979560012655537	0	
darkorange	26	Autism	-0.130037396597138	0.0325115941091769	-3.99972379577761	0.000205305701231615	0.00698039384187492	-2.15612007328978	-0.1
white	27	Autism	0.135741683292185	0.0346141641330394	3.92156467423171	0.000263596940941592	0.00869869905107252	2.06054569418457	0.1
skyblue	28	Autism	-0.0822001302779837	0.0370951953019864	-2.21592391167656	0.0311857682291396	0.623715364582791	0	
saddlebrown	29	Autism	-0.0715413849856853	0.0368315534307055	-1.94239390744902	0.0576211772150316	0.979560012655537	0	
steelblue	30	Autism	-0.0406604350109489	0.0380426107132866	-1.06881295075651	0.290186855478675	1	0	
paleturquoise	31	Autism	-0.0812010839607655	0.0378779979855747	-2.14375332063985	0.0368429802570562	0.663173644627011	0	
sienna3	35	Autism	0.0962945067553005	0.03685831878655	2.61255830231843	0.0117782510258003	0.282678024619207	0	
skyblue3	37	Autism	0.113180762603654	0.0361397209863829	3.13175529623762	0.0028762267614126	0.0826594398648627	0	
plum1	38	Autism	0.055711902272491	0.0383720490057675	1.4518876035032	0.152657281041561	1	0	
orangered4	39	Autism	0.0243865399998047	0.0392748358169138	0.620920227737849	0.537417401805479	1	0	
mediumpurple3	40	Autism	-0.00561423000700029	0.0376752425784652	-0.149016426246166	0.882128367128827	1	0	
