query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	9.08e-14	391	254	34	0.134	0.087	GO:0099537	BP	131	trans-synaptic signaling	1	ENSG00000058404,ENSG00000070808,ENSG00000075043,ENSG00000100030,ENSG00000101098,ENSG00000101298,ENSG00000105642,ENSG00000107954,ENSG00000109189,ENSG00000110076,ENSG00000111249,ENSG00000113758,ENSG00000132535,ENSG00000145451,ENSG00000148408,ENSG00000161681,ENSG00000162105,ENSG00000164418,ENSG00000165802,ENSG00000165995,ENSG00000167535,ENSG00000169220,ENSG00000179841,ENSG00000179915,ENSG00000181790,ENSG00000183826,ENSG00000184408,ENSG00000184702,ENSG00000188906,ENSG00000196277,ENSG00000197283,ENSG00000197555,ENSG00000198010,ENSG00000237515
1	TRUE	9.08e-14	390	254	34	0.134	0.087	GO:0098916	BP	136	anterograde trans-synaptic signaling	1	ENSG00000058404,ENSG00000070808,ENSG00000075043,ENSG00000100030,ENSG00000101098,ENSG00000101298,ENSG00000105642,ENSG00000107954,ENSG00000109189,ENSG00000110076,ENSG00000111249,ENSG00000113758,ENSG00000132535,ENSG00000145451,ENSG00000148408,ENSG00000161681,ENSG00000162105,ENSG00000164418,ENSG00000165802,ENSG00000165995,ENSG00000167535,ENSG00000169220,ENSG00000179841,ENSG00000179915,ENSG00000181790,ENSG00000183826,ENSG00000184408,ENSG00000184702,ENSG00000188906,ENSG00000196277,ENSG00000197283,ENSG00000197555,ENSG00000198010,ENSG00000237515
1	TRUE	4.55e-13	543	276	40	0.145	0.074	GO:0031175	BP	63	neuron projection development	1	ENSG00000049759,ENSG00000058404,ENSG00000062524,ENSG00000066032,ENSG00000070182,ENSG00000072832,ENSG00000091136,ENSG00000100030,ENSG00000107130,ENSG00000107263,ENSG00000107954,ENSG00000111249,ENSG00000113758,ENSG00000114554,ENSG00000117600,ENSG00000124006,ENSG00000124507,ENSG00000132535,ENSG00000135127,ENSG00000136848,ENSG00000141622,ENSG00000145147,ENSG00000150625,ENSG00000151490,ENSG00000161681,ENSG00000164796,ENSG00000165802,ENSG00000169258,ENSG00000171798,ENSG00000173406,ENSG00000173898,ENSG00000175745,ENSG00000179915,ENSG00000181790,ENSG00000185924,ENSG00000188906,ENSG00000196405,ENSG00000197555,ENSG00000206052,ENSG00000275342
1	TRUE	9.68e-13	322	238	29	0.122	0.09	GO:0045202	CC	156	synapse	1	ENSG00000080845,ENSG00000101098,ENSG00000107954,ENSG00000116544,ENSG00000121440,ENSG00000124507,ENSG00000131018,ENSG00000132535,ENSG00000151067,ENSG00000151490,ENSG00000151834,ENSG00000152578,ENSG00000161681,ENSG00000162105,ENSG00000165802,ENSG00000169220,ENSG00000171992,ENSG00000174871,ENSG00000179915,ENSG00000181790,ENSG00000184408,ENSG00000184702,ENSG00000186642,ENSG00000186716,ENSG00000188906,ENSG00000196277,ENSG00000197555,ENSG00000198010,ENSG00000237515
1	TRUE	9.68e-13	273	238	27	0.113	0.099	GO:0036477	CC	113	somatodendritic compartment	1	ENSG00000078295,ENSG00000105642,ENSG00000107954,ENSG00000113758,ENSG00000132535,ENSG00000136848,ENSG00000150625,ENSG00000151490,ENSG00000152578,ENSG00000161681,ENSG00000162105,ENSG00000162409,ENSG00000165802,ENSG00000169220,ENSG00000170091,ENSG00000171798,ENSG00000171992,ENSG00000174871,ENSG00000179915,ENSG00000181790,ENSG00000184408,ENSG00000188906,ENSG00000196277,ENSG00000197386,ENSG00000197555,ENSG00000198797,ENSG00000237515
1	TRUE	1.56e-12	162	254	22	0.087	0.136	GO:0050804	BP	119	modulation of chemical synaptic transmission	1	ENSG00000058404,ENSG00000070808,ENSG00000101098,ENSG00000107954,ENSG00000109189,ENSG00000111249,ENSG00000113758,ENSG00000132535,ENSG00000161681,ENSG00000162105,ENSG00000164418,ENSG00000165802,ENSG00000169220,ENSG00000179915,ENSG00000181790,ENSG00000183826,ENSG00000184702,ENSG00000188906,ENSG00000196277,ENSG00000197283,ENSG00000197555,ENSG00000237515
1	TRUE	2.79e-12	202	290	25	0.086	0.124	GO:0030425	CC	128	dendrite	1	ENSG00000078295,ENSG00000100884,ENSG00000107954,ENSG00000113758,ENSG00000125869,ENSG00000132535,ENSG00000151490,ENSG00000152578,ENSG00000161681,ENSG00000162105,ENSG00000162409,ENSG00000165802,ENSG00000169220,ENSG00000170091,ENSG00000171798,ENSG00000171992,ENSG00000174871,ENSG00000181790,ENSG00000184408,ENSG00000188906,ENSG00000196277,ENSG00000197386,ENSG00000197555,ENSG00000198797,ENSG00000237515
1	TRUE	5.08e-11	3792	299	121	0.405	0.032	GO:0071944	CC	13	cell periphery	1	ENSG00000002834,ENSG00000005108,ENSG00000007264,ENSG00000022267,ENSG00000049130,ENSG00000049759,ENSG00000050767,ENSG00000055118,ENSG00000058404,ENSG00000059915,ENSG00000062524,ENSG00000070182,ENSG00000070808,ENSG00000075043,ENSG00000078295,ENSG00000080224,ENSG00000080845,ENSG00000084710,ENSG00000088832,ENSG00000095203,ENSG00000099864,ENSG00000100030,ENSG00000100884,ENSG00000101098,ENSG00000101940,ENSG00000103154,ENSG00000105376,ENSG00000105520,ENSG00000105642,ENSG00000105737,ENSG00000107130,ENSG00000107954,ENSG00000110076,ENSG00000113758,ENSG00000114554,ENSG00000114923,ENSG00000116544,ENSG00000117600,ENSG00000118432,ENSG00000120088,ENSG00000121753,ENSG00000124507,ENSG00000125869,ENSG00000127329,ENSG00000128641,ENSG00000130226,ENSG00000131018,ENSG00000132535,ENSG00000134780,ENSG00000135519,ENSG00000136099,ENSG00000136267,ENSG00000136295,ENSG00000136848,ENSG00000140416,ENSG00000140526,ENSG00000140538,ENSG00000141404,ENSG00000143061,ENSG00000143248,ENSG00000143324,ENSG00000144724,ENSG00000145147,ENSG00000145451,ENSG00000147100,ENSG00000148408,ENSG00000149091,ENSG00000150471,ENSG00000150625,ENSG00000151067,ENSG00000151490,ENSG00000151834,ENSG00000152578,ENSG00000153253,ENSG00000153395,ENSG00000157388,ENSG00000160963,ENSG00000161681,ENSG00000162105,ENSG00000164398,ENSG00000164418,ENSG00000164638,ENSG00000164796,ENSG00000165194,ENSG00000165802,ENSG00000165995,ENSG00000166206,ENSG00000167535,ENSG00000167680,ENSG00000169220,ENSG00000169258,ENSG00000170558,ENSG00000171385,ENSG00000172375,ENSG00000173020,ENSG00000173166,ENSG00000173898,ENSG00000174136,ENSG00000174871,ENSG00000179841,ENSG00000179915,ENSG00000181790,ENSG00000182732,ENSG00000184408,ENSG00000184702,ENSG00000184916,ENSG00000184922,ENSG00000185052,ENSG00000185924,ENSG00000186642,ENSG00000188906,ENSG00000196277,ENSG00000196730,ENSG00000197283,ENSG00000198010,ENSG00000198873,ENSG00000204681,ENSG00000205269,ENSG00000205726,ENSG00000237515,ENSG00000241360
1	TRUE	4.51e-10	3726	299	117	0.391	0.031	GO:0005886	CC	36	plasma membrane	1	ENSG00000005108,ENSG00000007264,ENSG00000022267,ENSG00000049130,ENSG00000049759,ENSG00000050767,ENSG00000055118,ENSG00000058404,ENSG00000059915,ENSG00000062524,ENSG00000070182,ENSG00000070808,ENSG00000075043,ENSG00000078295,ENSG00000080224,ENSG00000080845,ENSG00000084710,ENSG00000088832,ENSG00000095203,ENSG00000099864,ENSG00000100030,ENSG00000100884,ENSG00000101098,ENSG00000101940,ENSG00000103154,ENSG00000105376,ENSG00000105520,ENSG00000105642,ENSG00000105737,ENSG00000107130,ENSG00000107954,ENSG00000110076,ENSG00000114554,ENSG00000114923,ENSG00000116544,ENSG00000117600,ENSG00000118432,ENSG00000120088,ENSG00000121753,ENSG00000124507,ENSG00000125869,ENSG00000127329,ENSG00000128641,ENSG00000130226,ENSG00000131018,ENSG00000132535,ENSG00000134780,ENSG00000135519,ENSG00000136099,ENSG00000136267,ENSG00000136295,ENSG00000136848,ENSG00000140416,ENSG00000140526,ENSG00000140538,ENSG00000141404,ENSG00000143061,ENSG00000143248,ENSG00000143324,ENSG00000144724,ENSG00000145147,ENSG00000145451,ENSG00000147100,ENSG00000148408,ENSG00000149091,ENSG00000150471,ENSG00000150625,ENSG00000151067,ENSG00000151490,ENSG00000151834,ENSG00000152578,ENSG00000153253,ENSG00000153395,ENSG00000157388,ENSG00000160963,ENSG00000161681,ENSG00000162105,ENSG00000164398,ENSG00000164418,ENSG00000164638,ENSG00000164796,ENSG00000165194,ENSG00000165995,ENSG00000166206,ENSG00000167535,ENSG00000167680,ENSG00000169220,ENSG00000169258,ENSG00000170558,ENSG00000171385,ENSG00000172375,ENSG00000173020,ENSG00000173166,ENSG00000174136,ENSG00000174871,ENSG00000179841,ENSG00000179915,ENSG00000181790,ENSG00000182732,ENSG00000184408,ENSG00000184702,ENSG00000184916,ENSG00000184922,ENSG00000185052,ENSG00000185924,ENSG00000186642,ENSG00000188906,ENSG00000196277,ENSG00000196730,ENSG00000197283,ENSG00000198010,ENSG00000198873,ENSG00000204681,ENSG00000205269,ENSG00000205726,ENSG00000237515,ENSG00000241360
1	TRUE	4.52e-09	172	238	18	0.076	0.105	GO:0050808	BP	44	synapse organization	1	ENSG00000058404,ENSG00000066032,ENSG00000107954,ENSG00000110076,ENSG00000111249,ENSG00000121440,ENSG00000132535,ENSG00000136848,ENSG00000150471,ENSG00000150625,ENSG00000161681,ENSG00000162105,ENSG00000165995,ENSG00000167535,ENSG00000171992,ENSG00000179915,ENSG00000188906,ENSG00000197555
