query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000424	1894	127	35	0.276	0.018	GO:0070062	CC	86	extracellular exosome	1	ENSG00000013364,ENSG00000065978,ENSG00000074695,ENSG00000084207,ENSG00000087086,ENSG00000107317,ENSG00000110651,ENSG00000113594,ENSG00000114353,ENSG00000119729,ENSG00000120063,ENSG00000121691,ENSG00000124570,ENSG00000129353,ENSG00000132475,ENSG00000135069,ENSG00000135926,ENSG00000136044,ENSG00000137076,ENSG00000137831,ENSG00000140497,ENSG00000150093,ENSG00000155368,ENSG00000162909,ENSG00000163629,ENSG00000164111,ENSG00000164292,ENSG00000164904,ENSG00000168385,ENSG00000171766,ENSG00000182871,ENSG00000183255,ENSG00000184678,ENSG00000185722,ENSG00000213064
1	TRUE	0.000459	2072	125	36	0.288	0.017	GO:0007166	BP	36	cell surface receptor signaling pathway	1	ENSG00000013364,ENSG00000049323,ENSG00000065978,ENSG00000067900,ENSG00000067955,ENSG00000078246,ENSG00000084207,ENSG00000088888,ENSG00000107104,ENSG00000110651,ENSG00000111961,ENSG00000113594,ENSG00000113658,ENSG00000113732,ENSG00000114166,ENSG00000114353,ENSG00000116478,ENSG00000119729,ENSG00000120690,ENSG00000120693,ENSG00000127603,ENSG00000129219,ENSG00000135547,ENSG00000135926,ENSG00000145555,ENSG00000150093,ENSG00000150907,ENSG00000162946,ENSG00000165458,ENSG00000168385,ENSG00000169813,ENSG00000173039,ENSG00000173821,ENSG00000181449,ENSG00000184371,ENSG00000204138
1	TRUE	0.00152	780	147	21	0.143	0.027	GO:0045944	BP	62	positive regulation of transcription by RNA polymerase II	1	ENSG00000065978,ENSG00000088888,ENSG00000101849,ENSG00000110651,ENSG00000113658,ENSG00000114166,ENSG00000116044,ENSG00000116478,ENSG00000119729,ENSG00000120690,ENSG00000120693,ENSG00000131196,ENSG00000135547,ENSG00000141380,ENSG00000150907,ENSG00000158711,ENSG00000162599,ENSG00000173039,ENSG00000181449,ENSG00000185591,ENSG00000187079
1	TRUE	0.00345	265	118	10	0.085	0.038	GO:0031331	BP	20	positive regulation of cellular catabolic process	1	ENSG00000067900,ENSG00000097033,ENSG00000110651,ENSG00000116044,ENSG00000150907,ENSG00000152518,ENSG00000163820,ENSG00000164938,ENSG00000183255,ENSG00000186815
1	TRUE	0.00345	68	141	6	0.043	0.088	GO:0017053	CC	65	transcriptional repressor complex	1	ENSG00000084093,ENSG00000101849,ENSG00000116478,ENSG00000135547,ENSG00000136044,ENSG00000185591
1	TRUE	0.00535	706	147	18	0.122	0.025	GO:0043565	MF	40	sequence-specific DNA binding	1	ENSG00000065978,ENSG00000067955,ENSG00000084093,ENSG00000116044,ENSG00000116478,ENSG00000120690,ENSG00000131196,ENSG00000132475,ENSG00000135547,ENSG00000140836,ENSG00000143842,ENSG00000150907,ENSG00000158711,ENSG00000162599,ENSG00000173039,ENSG00000181449,ENSG00000185591,ENSG00000187079
1	TRUE	0.00789	5	56	2	0.036	0.4	GO:0030618	MF	78	transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity	1	ENSG00000113658,ENSG00000120693
1	TRUE	0.00871	332	25	5	0.2	0.015	GO:0016032	BP	32	viral process	1	ENSG00000084093,ENSG00000088888,ENSG00000110651,ENSG00000162599,ENSG00000185591
1	TRUE	0.00884	12	148	3	0.02	0.25	GO:0030208	BP	124	dermatan sulfate biosynthetic process	1	ENSG00000038427,ENSG00000171451,ENSG00000173546
1	TRUE	0.00976	10165	154	115	0.747	0.011	GO:0005515	MF	89	protein binding	1	ENSG00000013364,ENSG00000038427,ENSG00000049323,ENSG00000065978,ENSG00000067167,ENSG00000067900,ENSG00000067955,ENSG00000070778,ENSG00000074695,ENSG00000076555,ENSG00000076770,ENSG00000078246,ENSG00000079308,ENSG00000083168,ENSG00000084093,ENSG00000084207,ENSG00000084754,ENSG00000087077,ENSG00000087086,ENSG00000088888,ENSG00000097033,ENSG00000100106,ENSG00000100243,ENSG00000101849,ENSG00000101972,ENSG00000104067,ENSG00000104133,ENSG00000107104,ENSG00000107317,ENSG00000110651,ENSG00000111961,ENSG00000113594,ENSG00000113658,ENSG00000114166,ENSG00000114353,ENSG00000116044,ENSG00000116478,ENSG00000119729,ENSG00000120063,ENSG00000120690,ENSG00000120693,ENSG00000120896,ENSG00000121691,ENSG00000124067,ENSG00000124570,ENSG00000125826,ENSG00000126883,ENSG00000127603,ENSG00000129219,ENSG00000131095,ENSG00000131196,ENSG00000132475,ENSG00000132669,ENSG00000135547,ENSG00000135912,ENSG00000135926,ENSG00000136044,ENSG00000137076,ENSG00000137831,ENSG00000138029,ENSG00000139218,ENSG00000139946,ENSG00000140299,ENSG00000140497,ENSG00000140836,ENSG00000141380,ENSG00000143337,ENSG00000143842,ENSG00000145555,ENSG00000146966,ENSG00000147853,ENSG00000148143,ENSG00000150093,ENSG00000150907,ENSG00000152518,ENSG00000154380,ENSG00000154930,ENSG00000155324,ENSG00000155368,ENSG00000156482,ENSG00000158711,ENSG00000162599,ENSG00000162738,ENSG00000162909,ENSG00000162946,ENSG00000163629,ENSG00000163820,ENSG00000164111,ENSG00000164292,ENSG00000164649,ENSG00000164904,ENSG00000164938,ENSG00000165458,ENSG00000166224,ENSG00000166889,ENSG00000167766,ENSG00000168385,ENSG00000169813,ENSG00000170348,ENSG00000173039,ENSG00000173546,ENSG00000175309,ENSG00000181449,ENSG00000181804,ENSG00000183255,ENSG00000184371,ENSG00000184743,ENSG00000185591,ENSG00000185722,ENSG00000186815,ENSG00000187079,ENSG00000196935,ENSG00000197771,ENSG00000204138,ENSG00000265972
