query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	6.32e-14	239	116	21	0.181	0.088	GO:0031012	CC	45	extracellular matrix	1	ENSG00000011201,ENSG00000011465,ENSG00000050555,ENSG00000106333,ENSG00000106809,ENSG00000106823,ENSG00000108821,ENSG00000115414,ENSG00000119681,ENSG00000120708,ENSG00000122176,ENSG00000142173,ENSG00000142910,ENSG00000163359,ENSG00000163815,ENSG00000164692,ENSG00000166482,ENSG00000173376,ENSG00000174348,ENSG00000187244,ENSG00000187720
1	TRUE	2.64e-12	111	116	15	0.129	0.135	GO:0005201	MF	105	extracellular matrix structural constituent	1	ENSG00000011201,ENSG00000011465,ENSG00000106333,ENSG00000106809,ENSG00000108821,ENSG00000115414,ENSG00000119681,ENSG00000120708,ENSG00000122176,ENSG00000142173,ENSG00000142910,ENSG00000163359,ENSG00000164692,ENSG00000166482,ENSG00000174348
1	TRUE	7.07e-11	395	121	22	0.182	0.056	GO:0001944	BP	5	vasculature development	1	ENSG00000011465,ENSG00000101384,ENSG00000108821,ENSG00000113140,ENSG00000113721,ENSG00000120156,ENSG00000120708,ENSG00000125968,ENSG00000127528,ENSG00000128052,ENSG00000131477,ENSG00000136826,ENSG00000136830,ENSG00000138795,ENSG00000143867,ENSG00000164692,ENSG00000164850,ENSG00000173376,ENSG00000176692,ENSG00000179348,ENSG00000185551,ENSG00000203883
1	TRUE	8.8e-07	47	49	6	0.122	0.128	GO:0005518	MF	68	collagen binding	1	ENSG00000106333,ENSG00000106823,ENSG00000113140,ENSG00000115414,ENSG00000162733,ENSG00000174348
1	TRUE	2.06e-06	251	92	12	0.13	0.048	GO:0001667	BP	185	ameboidal-type cell migration	1	ENSG00000011465,ENSG00000113140,ENSG00000115414,ENSG00000120156,ENSG00000125968,ENSG00000128052,ENSG00000136826,ENSG00000138795,ENSG00000162733,ENSG00000176692,ENSG00000179348,ENSG00000185551
1	TRUE	8.7e-06	23	85	5	0.059	0.217	GO:2000352	BP	49	negative regulation of endothelial cell apoptotic process	1	ENSG00000120156,ENSG00000128052,ENSG00000131477,ENSG00000173376,ENSG00000179348
1	TRUE	4.09e-05	15	20	3	0.15	0.2	GO:0018149	BP	10	peptide cross-linking	1	ENSG00000096696,ENSG00000115414,ENSG00000173376
1	TRUE	0.000112	1268	88	21	0.239	0.017	GO:0010557	BP	162	positive regulation of macromolecule biosynthetic process	1	ENSG00000011465,ENSG00000026025,ENSG00000043355,ENSG00000074181,ENSG00000101384,ENSG00000108821,ENSG00000113721,ENSG00000127528,ENSG00000128052,ENSG00000135363,ENSG00000136826,ENSG00000136830,ENSG00000138795,ENSG00000143867,ENSG00000151702,ENSG00000152977,ENSG00000153162,ENSG00000167244,ENSG00000176692,ENSG00000179348,ENSG00000185551
1	TRUE	0.000112	1377	88	22	0.25	0.016	GO:0010628	BP	65	positive regulation of gene expression	1	ENSG00000011465,ENSG00000026025,ENSG00000043355,ENSG00000074181,ENSG00000101384,ENSG00000108821,ENSG00000115414,ENSG00000127528,ENSG00000131477,ENSG00000135363,ENSG00000136826,ENSG00000136830,ENSG00000138795,ENSG00000143867,ENSG00000144642,ENSG00000151702,ENSG00000152977,ENSG00000153162,ENSG00000163815,ENSG00000176692,ENSG00000179348,ENSG00000185551
1	TRUE	0.000112	2072	125	35	0.28	0.017	GO:0007166	BP	73	cell surface receptor signaling pathway	1	ENSG00000011201,ENSG00000011465,ENSG00000026025,ENSG00000027075,ENSG00000074181,ENSG00000095015,ENSG00000101384,ENSG00000108821,ENSG00000112837,ENSG00000113721,ENSG00000115414,ENSG00000119681,ENSG00000120156,ENSG00000121858,ENSG00000122176,ENSG00000124205,ENSG00000125968,ENSG00000128052,ENSG00000136830,ENSG00000138193,ENSG00000138795,ENSG00000144642,ENSG00000152977,ENSG00000153162,ENSG00000153208,ENSG00000157110,ENSG00000162490,ENSG00000162733,ENSG00000164692,ENSG00000164850,ENSG00000167244,ENSG00000174348,ENSG00000176692,ENSG00000179348,ENSG00000187800
1	TRUE	0.000127	2	29	2	0.069	1	GO:0005584	CC	72	collagen type I trimer	1	ENSG00000108821,ENSG00000164692
1	TRUE	0.000168	83	48	5	0.104	0.06	GO:0031091	CC	131	platelet alpha granule	1	ENSG00000112419,ENSG00000113140,ENSG00000115414,ENSG00000167244,ENSG00000175899
1	TRUE	0.000173	194	60	8	0.133	0.041	KEGG:04510	keg	82	Focal adhesion	1	ENSG00000101335,ENSG00000108821,ENSG00000113721,ENSG00000115414,ENSG00000128052,ENSG00000142173,ENSG00000163359,ENSG00000164692
1	TRUE	0.000173	79	32	5	0.156	0.063	KEGG:04512	keg	91	ECM-receptor interaction	1	ENSG00000108821,ENSG00000115414,ENSG00000142173,ENSG00000163359,ENSG00000164692
1	TRUE	0.000461	406	60	9	0.15	0.022	GO:0009611	BP	187	response to wounding	1	ENSG00000101335,ENSG00000108821,ENSG00000115414,ENSG00000123104,ENSG00000164692,ENSG00000173376,ENSG00000175899,ENSG00000176692,ENSG00000179348
1	TRUE	0.000476	4	28	2	0.071	0.5	GO:0051901	BP	46	positive regulation of mitochondrial depolarization	1	ENSG00000011465,ENSG00000128052
1	TRUE	0.000507	12	9	2	0.222	0.167	GO:0031527	CC	16	filopodium membrane	1	ENSG00000054654,ENSG00000152818
