query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	3.94e-10	2465	81	41	0.506	0.017	GO:0005615	CC	55	extracellular space	1	ENSG00000011304,ENSG00000069702,ENSG00000082781,ENSG00000086062,ENSG00000087245,ENSG00000087303,ENSG00000093072,ENSG00000100342,ENSG00000101608,ENSG00000104518,ENSG00000106624,ENSG00000106991,ENSG00000110799,ENSG00000116962,ENSG00000124782,ENSG00000124942,ENSG00000125733,ENSG00000135842,ENSG00000138119,ENSG00000138185,ENSG00000142798,ENSG00000143545,ENSG00000147065,ENSG00000151491,ENSG00000155363,ENSG00000155366,ENSG00000157227,ENSG00000158710,ENSG00000163430,ENSG00000163453,ENSG00000168899,ENSG00000172380,ENSG00000172638,ENSG00000177119,ENSG00000182326,ENSG00000182492,ENSG00000182718,ENSG00000187955,ENSG00000197879,ENSG00000213949,ENSG00000254087
1	TRUE	1.08e-07	1894	90	34	0.378	0.018	GO:0070062	CC	114	extracellular exosome	1	ENSG00000011304,ENSG00000069702,ENSG00000082781,ENSG00000086062,ENSG00000087303,ENSG00000101608,ENSG00000106624,ENSG00000110799,ENSG00000116815,ENSG00000116962,ENSG00000124782,ENSG00000124942,ENSG00000125733,ENSG00000131981,ENSG00000135842,ENSG00000138119,ENSG00000138185,ENSG00000142798,ENSG00000143545,ENSG00000147065,ENSG00000151491,ENSG00000155366,ENSG00000158710,ENSG00000163430,ENSG00000163453,ENSG00000168899,ENSG00000172380,ENSG00000172638,ENSG00000177119,ENSG00000182492,ENSG00000182718,ENSG00000197879,ENSG00000213949,ENSG00000254087
1	TRUE	1.2e-07	945	34	15	0.441	0.016	GO:0009888	BP	155	tissue development	1	ENSG00000018408,ENSG00000069702,ENSG00000091409,ENSG00000106991,ENSG00000124782,ENSG00000140682,ENSG00000143545,ENSG00000147065,ENSG00000153071,ENSG00000155366,ENSG00000157227,ENSG00000158710,ENSG00000163513,ENSG00000177119,ENSG00000185650
1	TRUE	1.25e-06	449	47	12	0.255	0.027	GO:0070161	CC	82	anchoring junction	1	ENSG00000082781,ENSG00000086062,ENSG00000091409,ENSG00000106991,ENSG00000140682,ENSG00000142798,ENSG00000145012,ENSG00000147065,ENSG00000153071,ENSG00000157227,ENSG00000182718,ENSG00000213949
1	TRUE	2.42e-06	440	51	12	0.235	0.027	GO:0009986	CC	51	cell surface	1	ENSG00000069702,ENSG00000082781,ENSG00000086062,ENSG00000091409,ENSG00000106991,ENSG00000147065,ENSG00000163513,ENSG00000177119,ENSG00000182492,ENSG00000182718,ENSG00000204301,ENSG00000213949
1	TRUE	3.56e-06	4	30	3	0.1	0.75	GO:0070022	CC	147	transforming growth factor beta receptor complex	1	ENSG00000106991,ENSG00000153071,ENSG00000163513
1	TRUE	6.51e-06	111	76	8	0.105	0.072	GO:0005201	MF	15	extracellular matrix structural constituent	1	ENSG00000087303,ENSG00000106624,ENSG00000116962,ENSG00000142798,ENSG00000163453,ENSG00000172638,ENSG00000182492,ENSG00000187955
1	TRUE	0.00015	54	30	4	0.133	0.074	GO:0060389	BP	67	pathway-restricted SMAD protein phosphorylation	1	ENSG00000069702,ENSG00000106991,ENSG00000153071,ENSG00000163513
1	TRUE	0.000166	47	81	5	0.062	0.106	GO:0005518	MF	30	collagen binding	1	ENSG00000087303,ENSG00000110799,ENSG00000116962,ENSG00000187955,ENSG00000213949
1	TRUE	0.000551	6	18	2	0.111	0.333	GO:0005024	MF	14	transforming growth factor beta-activated receptor activity	1	ENSG00000069702,ENSG00000163513
