query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.48e-11	958	7149	246	0.034	0.257	GO:0006952	BP	19	defense response	1	ENSG00000006062,ENSG00000007908,ENSG00000009724,ENSG00000012223,ENSG00000012504,ENSG00000016082,ENSG00000021852,ENSG00000023445,ENSG00000025434,ENSG00000049249,ENSG00000064012,ENSG00000065427,ENSG00000069696,ENSG00000073754,ENSG00000077348,ENSG00000079385,ENSG00000081041,ENSG00000084674,ENSG00000085265,ENSG00000089127,ENSG00000090659,ENSG00000092067,ENSG00000095585,ENSG00000096006,ENSG00000096264,ENSG00000096996,ENSG00000099985,ENSG00000100298,ENSG00000100351,ENSG00000100473,ENSG00000100644,ENSG00000101017,ENSG00000101082,ENSG00000101307,ENSG00000101966,ENSG00000102962,ENSG00000103490,ENSG00000104689,ENSG00000104783,ENSG00000104856,ENSG00000104974,ENSG00000105609,ENSG00000105639,ENSG00000105697,ENSG00000105851,ENSG00000106366,ENSG00000107485,ENSG00000108691,ENSG00000108700,ENSG00000108984,ENSG00000111679,ENSG00000111981,ENSG00000112149,ENSG00000112299,ENSG00000113302,ENSG00000113600,ENSG00000113905,ENSG00000115009,ENSG00000115085,ENSG00000115353,ENSG00000115718,ENSG00000115919,ENSG00000116031,ENSG00000116701,ENSG00000117215,ENSG00000117322,ENSG00000117983,ENSG00000120659,ENSG00000120889,ENSG00000121060,ENSG00000121281,ENSG00000121797,ENSG00000121807,ENSG00000121897,ENSG00000121966,ENSG00000122852,ENSG00000123610,ENSG00000123838,ENSG00000123843,ENSG00000124635,ENSG00000124731,ENSG00000125538,ENSG00000125999,ENSG00000126759,ENSG00000128271,ENSG00000128394,ENSG00000130164,ENSG00000130234,ENSG00000131042,ENSG00000132170,ENSG00000132256,ENSG00000132465,ENSG00000133048,ENSG00000133661,ENSG00000134389,ENSG00000134489,ENSG00000135114,ENSG00000135605,ENSG00000136011,ENSG00000136244,ENSG00000136514,ENSG00000136573,ENSG00000136689,ENSG00000137161,ENSG00000138684,ENSG00000138755,ENSG00000139193,ENSG00000140464,ENSG00000140795,ENSG00000140968,ENSG00000142512,ENSG00000142515,ENSG00000142748,ENSG00000144891,ENSG00000145113,ENSG00000145901,ENSG00000146038,ENSG00000146070,ENSG00000147873,ENSG00000150048,ENSG00000150455,ENSG00000151651,ENSG00000151694,ENSG00000154269,ENSG00000156127,ENSG00000157017,ENSG00000158517,ENSG00000161905,ENSG00000161911,ENSG00000162645,ENSG00000162711,ENSG00000162891,ENSG00000162924,ENSG00000163131,ENSG00000163154,ENSG00000163218,ENSG00000163357,ENSG00000163421,ENSG00000163519,ENSG00000163563,ENSG00000163661,ENSG00000163739,ENSG00000163874,ENSG00000164136,ENSG00000164251,ENSG00000164342,ENSG00000164430,ENSG00000164509,ENSG00000164520,ENSG00000165059,ENSG00000165471,ENSG00000165682,ENSG00000166523,ENSG00000167207,ENSG00000167419,ENSG00000167634,ENSG00000167851,ENSG00000168040,ENSG00000168398,ENSG00000168703,ENSG00000169403,ENSG00000169429,ENSG00000169550,ENSG00000169876,ENSG00000169894,ENSG00000170542,ENSG00000171049,ENSG00000171051,ENSG00000171522,ENSG00000171557,ENSG00000171560,ENSG00000171564,ENSG00000171855,ENSG00000172216,ENSG00000172243,ENSG00000173198,ENSG00000173530,ENSG00000173702,ENSG00000174123,ENSG00000174125,ENSG00000174292,ENSG00000174840,ENSG00000175592,ENSG00000176358,ENSG00000176945,ENSG00000177455,ENSG00000178772,ENSG00000179094,ENSG00000179387,ENSG00000180383,ENSG00000181104,ENSG00000182261,ENSG00000182511,ENSG00000183542,ENSG00000183625,ENSG00000183918,ENSG00000184374,ENSG00000184557,ENSG00000185303,ENSG00000185499,ENSG00000185674,ENSG00000185988,ENSG00000186407,ENSG00000187554,ENSG00000187796,ENSG00000188373,ENSG00000188379,ENSG00000189377,ENSG00000196083,ENSG00000196126,ENSG00000196136,ENSG00000196954,ENSG00000197046,ENSG00000197405,ENSG00000197417,ENSG00000198019,ENSG00000198178,ENSG00000198286,ENSG00000198574,ENSG00000203722,ENSG00000204010,ENSG00000204472,ENSG00000204544,ENSG00000204577,ENSG00000204616,ENSG00000204642,ENSG00000205277,ENSG00000205649,ENSG00000205777,ENSG00000213809,ENSG00000215174,ENSG00000215182,ENSG00000233816,ENSG00000236637,ENSG00000237541,ENSG00000237693,ENSG00000239713,ENSG00000239732,ENSG00000243811,ENSG00000244165,ENSG00000244414,ENSG00000254415,ENSG00000258227,ENSG00000258659,ENSG00000274290,ENSG00000275385
1	TRUE	6.18e-07	212	7157	67	0.009	0.316	KEGG:04060	keg	53	Cytokine-cytokine receptor interaction	1	ENSG00000006327,ENSG00000049249,ENSG00000081041,ENSG00000090534,ENSG00000091181,ENSG00000096996,ENSG00000099985,ENSG00000101017,ENSG00000102962,ENSG00000103522,ENSG00000104432,ENSG00000104689,ENSG00000104899,ENSG00000108342,ENSG00000108691,ENSG00000108700,ENSG00000110324,ENSG00000113302,ENSG00000115009,ENSG00000115602,ENSG00000117560,ENSG00000120659,ENSG00000120889,ENSG00000121807,ENSG00000121966,ENSG00000123496,ENSG00000123999,ENSG00000125538,ENSG00000125726,ENSG00000128342,ENSG00000129048,ENSG00000134259,ENSG00000134470,ENSG00000135960,ENSG00000136244,ENSG00000136689,ENSG00000138379,ENSG00000138684,ENSG00000138755,ENSG00000139193,ENSG00000142224,ENSG00000142677,ENSG00000144476,ENSG00000147168,ENSG00000147873,ENSG00000152785,ENSG00000162891,ENSG00000163701,ENSG00000163739,ENSG00000164136,ENSG00000164400,ENSG00000164509,ENSG00000169429,ENSG00000171855,ENSG00000173530,ENSG00000179934,ENSG00000181634,ENSG00000183625,ENSG00000183682,ENSG00000186810,ENSG00000188379,ENSG00000189377,ENSG00000196083,ENSG00000226979,ENSG00000233816,ENSG00000236637,ENSG00000275385
1	TRUE	6.35e-06	1415	6631	286	0.043	0.202	GO:0006955	BP	126	immune response	1	ENSG00000006062,ENSG00000008018,ENSG00000009724,ENSG00000010704,ENSG00000011422,ENSG00000012223,ENSG00000012504,ENSG00000021852,ENSG00000023445,ENSG00000025434,ENSG00000049249,ENSG00000054148,ENSG00000064012,ENSG00000065427,ENSG00000065618,ENSG00000070785,ENSG00000073861,ENSG00000079385,ENSG00000081041,ENSG00000081277,ENSG00000084674,ENSG00000085265,ENSG00000085514,ENSG00000089127,ENSG00000090659,ENSG00000095585,ENSG00000096006,ENSG00000096264,ENSG00000096996,ENSG00000099866,ENSG00000100351,ENSG00000100365,ENSG00000100473,ENSG00000101017,ENSG00000101082,ENSG00000101966,ENSG00000102393,ENSG00000102837,ENSG00000103490,ENSG00000104432,ENSG00000104689,ENSG00000104783,ENSG00000104856,ENSG00000104974,ENSG00000105246,ENSG00000105383,ENSG00000105501,ENSG00000105639,ENSG00000105697,ENSG00000105851,ENSG00000106244,ENSG00000106588,ENSG00000107485,ENSG00000108405,ENSG00000108691,ENSG00000108700,ENSG00000108984,ENSG00000109323,ENSG00000109861,ENSG00000110852,ENSG00000111361,ENSG00000111679,ENSG00000111981,ENSG00000112149,ENSG00000112195,ENSG00000112299,ENSG00000113302,ENSG00000113600,ENSG00000113905,ENSG00000114013,ENSG00000115009,ENSG00000115085,ENSG00000115091,ENSG00000115211,ENSG00000115271,ENSG00000115602,ENSG00000115828,ENSG00000115919,ENSG00000116586,ENSG00000116701,ENSG00000117090,ENSG00000117322,ENSG00000117983,ENSG00000119718,ENSG00000120217,ENSG00000120659,ENSG00000120868,ENSG00000120889,ENSG00000121060,ENSG00000121281,ENSG00000121410,ENSG00000121807,ENSG00000122224,ENSG00000122852,ENSG00000122861,ENSG00000123329,ENSG00000123610,ENSG00000123737,ENSG00000123838,ENSG00000123843,ENSG00000124635,ENSG00000124731,ENSG00000125538,ENSG00000125999,ENSG00000126759,ENSG00000128394,ENSG00000129048,ENSG00000130038,ENSG00000130755,ENSG00000131042,ENSG00000132170,ENSG00000132256,ENSG00000133048,ENSG00000133063,ENSG00000133661,ENSG00000134389,ENSG00000134765,ENSG00000135047,ENSG00000135114,ENSG00000135605,ENSG00000136167,ENSG00000136244,ENSG00000136573,ENSG00000136689,ENSG00000137161,ENSG00000137509,ENSG00000137834,ENSG00000138684,ENSG00000138755,ENSG00000139193,ENSG00000139219,ENSG00000139572,ENSG00000140464,ENSG00000140968,ENSG00000141012,ENSG00000141574,ENSG00000141968,ENSG00000142224,ENSG00000142515,ENSG00000142748,ENSG00000143162,ENSG00000143365,ENSG00000143520,ENSG00000145113,ENSG00000145703,ENSG00000145901,ENSG00000146094,ENSG00000147168,ENSG00000147234,ENSG00000147813,ENSG00000147873,ENSG00000149516,ENSG00000149636,ENSG00000150455,ENSG00000151651,ENSG00000152207,ENSG00000153563,ENSG00000154269,ENSG00000155307,ENSG00000156127,ENSG00000156738,ENSG00000156886,ENSG00000158517,ENSG00000158874,ENSG00000160072,ENSG00000160224,ENSG00000160593,ENSG00000161905,ENSG00000161911,ENSG00000162645,ENSG00000162711,ENSG00000162747,ENSG00000162896,ENSG00000162924,ENSG00000163131,ENSG00000163357,ENSG00000163519,ENSG00000163563,ENSG00000163661,ENSG00000163739,ENSG00000163754,ENSG00000164136,ENSG00000164251,ENSG00000164406,ENSG00000164430,ENSG00000164520,ENSG00000164687,ENSG00000164949,ENSG00000165059,ENSG00000165471,ENSG00000166349,ENSG00000166523,ENSG00000167207,ENSG00000167851,ENSG00000168040,ENSG00000169403,ENSG00000169429,ENSG00000169508,ENSG00000169550,ENSG00000169876,ENSG00000169894,ENSG00000169919,ENSG00000170542,ENSG00000170909,ENSG00000171049,ENSG00000171051,ENSG00000171522,ENSG00000171557,ENSG00000171560,ENSG00000171564,ENSG00000171855,ENSG00000172116,ENSG00000172322,ENSG00000172543,ENSG00000173110,ENSG00000173335,ENSG00000173391,ENSG00000173702,ENSG00000173930,ENSG00000174123,ENSG00000174125,ENSG00000174500,ENSG00000174840,ENSG00000175857,ENSG00000177455,ENSG00000178772,ENSG00000179163,ENSG00000179934,ENSG00000180383,ENSG00000182261,ENSG00000182511,ENSG00000183918,ENSG00000184374,ENSG00000184557,ENSG00000185303,ENSG00000185499,ENSG00000185627,ENSG00000186407,ENSG00000187554,ENSG00000187796,ENSG00000187997,ENSG00000188379,ENSG00000188389,ENSG00000188404,ENSG00000196083,ENSG00000196126,ENSG00000196136,ENSG00000197046,ENSG00000197081,ENSG00000197249,ENSG00000197405,ENSG00000197646,ENSG00000198019,ENSG00000198178,ENSG00000198286,ENSG00000198574,ENSG00000198851,ENSG00000203722,ENSG00000203747,ENSG00000204386,ENSG00000204472,ENSG00000204544,ENSG00000204577,ENSG00000204616,ENSG00000204642,ENSG00000205220,ENSG00000205277,ENSG00000205649,ENSG00000211641,ENSG00000213809,ENSG00000215174,ENSG00000215182,ENSG00000233816,ENSG00000236637,ENSG00000237541,ENSG00000237693,ENSG00000239713,ENSG00000239732,ENSG00000242574,ENSG00000244414,ENSG00000248385,ENSG00000254415,ENSG00000257335,ENSG00000258659,ENSG00000274290,ENSG00000275385
1	TRUE	6.35e-06	680	4615	110	0.024	0.162	GO:0004888	MF	136	transmembrane signaling receptor activity	1	ENSG00000056291,ENSG00000064547,ENSG00000064989,ENSG00000069696,ENSG00000075073,ENSG00000083454,ENSG00000096264,ENSG00000096996,ENSG00000100739,ENSG00000101292,ENSG00000101850,ENSG00000103522,ENSG00000104213,ENSG00000104974,ENSG00000105246,ENSG00000106113,ENSG00000106128,ENSG00000107593,ENSG00000109163,ENSG00000110324,ENSG00000110448,ENSG00000111679,ENSG00000115353,ENSG00000115602,ENSG00000117090,ENSG00000117322,ENSG00000120057,ENSG00000120889,ENSG00000121807,ENSG00000121966,ENSG00000122375,ENSG00000122679,ENSG00000123496,ENSG00000125510,ENSG00000127366,ENSG00000128617,ENSG00000129048,ENSG00000131042,ENSG00000132671,ENSG00000133105,ENSG00000135124,ENSG00000135960,ENSG00000138435,ENSG00000139572,ENSG00000139636,ENSG00000142677,ENSG00000144820,ENSG00000144891,ENSG00000146276,ENSG00000146360,ENSG00000146383,ENSG00000147168,ENSG00000148734,ENSG00000152207,ENSG00000162896,ENSG00000163914,ENSG00000164251,ENSG00000164270,ENSG00000164930,ENSG00000165682,ENSG00000166603,ENSG00000166884,ENSG00000167355,ENSG00000168509,ENSG00000168830,ENSG00000169313,ENSG00000169403,ENSG00000169508,ENSG00000169684,ENSG00000169962,ENSG00000170909,ENSG00000171049,ENSG00000171522,ENSG00000171596,ENSG00000171659,ENSG00000173198,ENSG00000174125,ENSG00000174946,ENSG00000175485,ENSG00000176170,ENSG00000176281,ENSG00000178358,ENSG00000179934,ENSG00000180475,ENSG00000180758,ENSG00000180914,ENSG00000181104,ENSG00000183625,ENSG00000185149,ENSG00000186810,ENSG00000186867,ENSG00000187080,ENSG00000188000,ENSG00000188340,ENSG00000188778,ENSG00000196071,ENSG00000196126,ENSG00000196944,ENSG00000197081,ENSG00000197454,ENSG00000198019,ENSG00000198851,ENSG00000212126,ENSG00000213906,ENSG00000237521,ENSG00000237541,ENSG00000238243,ENSG00000241106,ENSG00000276240,ENSG00000279263
1	TRUE	9.58e-06	668	4615	107	0.023	0.16	GO:0007186	BP	125	G-protein coupled receptor signaling pathway	1	ENSG00000048545,ENSG00000056291,ENSG00000060558,ENSG00000064547,ENSG00000064989,ENSG00000069696,ENSG00000075073,ENSG00000100739,ENSG00000101292,ENSG00000101850,ENSG00000105851,ENSG00000106113,ENSG00000106128,ENSG00000108691,ENSG00000108700,ENSG00000109163,ENSG00000111679,ENSG00000114124,ENSG00000115009,ENSG00000115353,ENSG00000116703,ENSG00000121281,ENSG00000121807,ENSG00000121966,ENSG00000122375,ENSG00000122679,ENSG00000125510,ENSG00000127129,ENSG00000127366,ENSG00000129048,ENSG00000129437,ENSG00000130762,ENSG00000131620,ENSG00000132518,ENSG00000132671,ENSG00000133105,ENSG00000135324,ENSG00000135346,ENSG00000138755,ENSG00000139572,ENSG00000143919,ENSG00000144820,ENSG00000144891,ENSG00000145703,ENSG00000145888,ENSG00000146276,ENSG00000146360,ENSG00000146383,ENSG00000148734,ENSG00000152207,ENSG00000157017,ENSG00000159723,ENSG00000163739,ENSG00000163794,ENSG00000163914,ENSG00000164251,ENSG00000164270,ENSG00000166603,ENSG00000166884,ENSG00000168830,ENSG00000169313,ENSG00000169403,ENSG00000169429,ENSG00000169508,ENSG00000169962,ENSG00000171049,ENSG00000171522,ENSG00000171596,ENSG00000171659,ENSG00000173198,ENSG00000174946,ENSG00000176281,ENSG00000178015,ENSG00000178358,ENSG00000178597,ENSG00000179934,ENSG00000180475,ENSG00000180758,ENSG00000180914,ENSG00000181104,ENSG00000183625,ENSG00000183979,ENSG00000184574,ENSG00000185149,ENSG00000185527,ENSG00000185974,ENSG00000186810,ENSG00000186867,ENSG00000187080,ENSG00000188000,ENSG00000188340,ENSG00000188373,ENSG00000188710,ENSG00000188778,ENSG00000188958,ENSG00000196071,ENSG00000196944,ENSG00000197454,ENSG00000198515,ENSG00000198851,ENSG00000212126,ENSG00000213906,ENSG00000237521,ENSG00000238243,ENSG00000275385,ENSG00000276240,ENSG00000279263
1	TRUE	1.94e-05	285	6795	80	0.012	0.281	GO:0007600	BP	61	sensory perception	1	ENSG00000039987,ENSG00000048545,ENSG00000053918,ENSG00000071127,ENSG00000095464,ENSG00000100473,ENSG00000101276,ENSG00000101850,ENSG00000105929,ENSG00000107593,ENSG00000112038,ENSG00000116745,ENSG00000120057,ENSG00000120500,ENSG00000125510,ENSG00000127366,ENSG00000128271,ENSG00000128617,ENSG00000129535,ENSG00000131620,ENSG00000131686,ENSG00000132518,ENSG00000135124,ENSG00000135437,ENSG00000135903,ENSG00000136514,ENSG00000139219,ENSG00000139329,ENSG00000139988,ENSG00000143333,ENSG00000144191,ENSG00000146038,ENSG00000151062,ENSG00000155719,ENSG00000156313,ENSG00000162896,ENSG00000163421,ENSG00000163646,ENSG00000165533,ENSG00000166884,ENSG00000167355,ENSG00000167419,ENSG00000169962,ENSG00000170289,ENSG00000170615,ENSG00000173662,ENSG00000175544,ENSG00000175894,ENSG00000176281,ENSG00000178358,ENSG00000179148,ENSG00000180509,ENSG00000181104,ENSG00000181585,ENSG00000182040,ENSG00000184292,ENSG00000185313,ENSG00000185527,ENSG00000185974,ENSG00000187080,ENSG00000187688,ENSG00000188000,ENSG00000188340,ENSG00000196071,ENSG00000196131,ENSG00000196944,ENSG00000197405,ENSG00000197454,ENSG00000198515,ENSG00000212126,ENSG00000213199,ENSG00000237521,ENSG00000238243,ENSG00000242866,ENSG00000255374,ENSG00000261949,ENSG00000262180,ENSG00000276240,ENSG00000278570,ENSG00000279263
1	TRUE	1.94e-05	132	7165	48	0.007	0.364	GO:0017171	MF	91	serine hydrolase activity	1	ENSG00000007038,ENSG00000009724,ENSG00000012223,ENSG00000057593,ENSG00000078098,ENSG00000085265,ENSG00000099139,ENSG00000099953,ENSG00000100312,ENSG00000101981,ENSG00000109758,ENSG00000113088,ENSG00000114771,ENSG00000115718,ENSG00000122194,ENSG00000122861,ENSG00000123342,ENSG00000125656,ENSG00000126231,ENSG00000126460,ENSG00000126759,ENSG00000129437,ENSG00000135047,ENSG00000137509,ENSG00000137648,ENSG00000137674,ENSG00000137747,ENSG00000141086,ENSG00000142515,ENSG00000142748,ENSG00000149418,ENSG00000151006,ENSG00000151651,ENSG00000163131,ENSG00000164099,ENSG00000165471,ENSG00000167757,ENSG00000167759,ENSG00000170801,ENSG00000172382,ENSG00000176040,ENSG00000178226,ENSG00000184374,ENSG00000186474,ENSG00000187045,ENSG00000197635,ENSG00000215704,ENSG00000219073
1	TRUE	2.15e-05	129	7165	47	0.007	0.364	GO:0008236	MF	39	serine-type peptidase activity	1	ENSG00000007038,ENSG00000009724,ENSG00000012223,ENSG00000057593,ENSG00000078098,ENSG00000085265,ENSG00000099139,ENSG00000099953,ENSG00000100312,ENSG00000101981,ENSG00000109758,ENSG00000113088,ENSG00000115718,ENSG00000122194,ENSG00000122861,ENSG00000123342,ENSG00000125656,ENSG00000126231,ENSG00000126460,ENSG00000126759,ENSG00000129437,ENSG00000135047,ENSG00000137509,ENSG00000137648,ENSG00000137674,ENSG00000137747,ENSG00000141086,ENSG00000142515,ENSG00000142748,ENSG00000149418,ENSG00000151006,ENSG00000151651,ENSG00000163131,ENSG00000164099,ENSG00000165471,ENSG00000167757,ENSG00000167759,ENSG00000170801,ENSG00000172382,ENSG00000176040,ENSG00000178226,ENSG00000184374,ENSG00000186474,ENSG00000187045,ENSG00000197635,ENSG00000215704,ENSG00000219073
1	TRUE	3.69e-05	29	3409	12	0.004	0.414	GO:0050907	BP	92	detection of chemical stimulus involved in sensory perception	1	ENSG00000107593,ENSG00000127366,ENSG00000131686,ENSG00000136514,ENSG00000162896,ENSG00000166884,ENSG00000176281,ENSG00000188000,ENSG00000188340,ENSG00000212126,ENSG00000237521,ENSG00000276240
1	TRUE	5.18e-05	74	4750	22	0.005	0.297	KEGG:04740	keg	48	Olfactory transduction	1	ENSG00000127588,ENSG00000132518,ENSG00000144191,ENSG00000165059,ENSG00000166884,ENSG00000167355,ENSG00000169885,ENSG00000175485,ENSG00000176281,ENSG00000178358,ENSG00000180475,ENSG00000183862,ENSG00000187080,ENSG00000188000,ENSG00000188340,ENSG00000196071,ENSG00000196944,ENSG00000197454,ENSG00000237521,ENSG00000238243,ENSG00000276240,ENSG00000279263
