query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.06e-63	2009	352	172	0.489	0.086	GO:0002376	BP	260	immune system process	1	ENSG00000005844,ENSG00000008517,ENSG00000010610,ENSG00000010671,ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000018280,ENSG00000019582,ENSG00000021355,ENSG00000023697,ENSG00000026297,ENSG00000026508,ENSG00000026950,ENSG00000028137,ENSG00000028277,ENSG00000043462,ENSG00000051523,ENSG00000064932,ENSG00000066294,ENSG00000066336,ENSG00000067066,ENSG00000067182,ENSG00000068001,ENSG00000068079,ENSG00000072694,ENSG00000072786,ENSG00000073849,ENSG00000077150,ENSG00000077238,ENSG00000081237,ENSG00000082074,ENSG00000086730,ENSG00000090104,ENSG00000090339,ENSG00000091879,ENSG00000092929,ENSG00000095970,ENSG00000100292,ENSG00000100504,ENSG00000101096,ENSG00000101160,ENSG00000101336,ENSG00000101347,ENSG00000102034,ENSG00000103187,ENSG00000103196,ENSG00000104043,ENSG00000105122,ENSG00000105329,ENSG00000106799,ENSG00000107099,ENSG00000107201,ENSG00000107968,ENSG00000108771,ENSG00000110057,ENSG00000110719,ENSG00000111331,ENSG00000111335,ENSG00000112343,ENSG00000112799,ENSG00000115267,ENSG00000115318,ENSG00000115594,ENSG00000115956,ENSG00000117228,ENSG00000118503,ENSG00000118640,ENSG00000119917,ENSG00000123338,ENSG00000125347,ENSG00000125730,ENSG00000125810,ENSG00000127241,ENSG00000127314,ENSG00000128604,ENSG00000128791,ENSG00000129226,ENSG00000130303,ENSG00000130429,ENSG00000132109,ENSG00000132274,ENSG00000134516,ENSG00000135077,ENSG00000136286,ENSG00000136732,ENSG00000137462,ENSG00000137628,ENSG00000137752,ENSG00000137959,ENSG00000138496,ENSG00000138646,ENSG00000140678,ENSG00000140853,ENSG00000142089,ENSG00000142583,ENSG00000142627,ENSG00000143119,ENSG00000143226,ENSG00000143546,ENSG00000144802,ENSG00000146425,ENSG00000150337,ENSG00000152804,ENSG00000155465,ENSG00000155629,ENSG00000155926,ENSG00000157601,ENSG00000158869,ENSG00000159189,ENSG00000159216,ENSG00000159403,ENSG00000160255,ENSG00000160712,ENSG00000161638,ENSG00000161921,ENSG00000162367,ENSG00000162493,ENSG00000162889,ENSG00000163191,ENSG00000163565,ENSG00000163823,ENSG00000163840,ENSG00000164761,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000166710,ENSG00000167613,ENSG00000168394,ENSG00000168610,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000172936,ENSG00000173193,ENSG00000173369,ENSG00000173372,ENSG00000173535,ENSG00000174130,ENSG00000179583,ENSG00000180448,ENSG00000182578,ENSG00000183486,ENSG00000184979,ENSG00000185201,ENSG00000185507,ENSG00000185811,ENSG00000185885,ENSG00000186470,ENSG00000186818,ENSG00000188313,ENSG00000196664,ENSG00000197943,ENSG00000198001,ENSG00000198805,ENSG00000204252,ENSG00000204257,ENSG00000204264,ENSG00000204287,ENSG00000204482,ENSG00000213654,ENSG00000213928,ENSG00000216490,ENSG00000223865,ENSG00000231389,ENSG00000243649,ENSG00000244731,ENSG00000259207,ENSG00000276231
1	TRUE	8.73e-22	51	409	25	0.061	0.49	KEGG:05150	keg	74	Staphylococcus aureus infection	1	ENSG00000005844,ENSG00000072694,ENSG00000090339,ENSG00000125730,ENSG00000127241,ENSG00000143226,ENSG00000150337,ENSG00000159189,ENSG00000159403,ENSG00000160255,ENSG00000166278,ENSG00000169896,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000179344,ENSG00000196735,ENSG00000198502,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000243649,ENSG00000244731
1	TRUE	8.11e-18	638	233	46	0.197	0.072	GO:0030141	CC	101	secretory granule	1	ENSG00000005844,ENSG00000011600,ENSG00000012779,ENSG00000018280,ENSG00000021355,ENSG00000026508,ENSG00000028137,ENSG00000051523,ENSG00000072786,ENSG00000081237,ENSG00000092929,ENSG00000100504,ENSG00000101160,ENSG00000102265,ENSG00000103187,ENSG00000105329,ENSG00000110719,ENSG00000118640,ENSG00000122862,ENSG00000123338,ENSG00000125730,ENSG00000125810,ENSG00000127314,ENSG00000129226,ENSG00000130303,ENSG00000134516,ENSG00000137462,ENSG00000140678,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000145685,ENSG00000146425,ENSG00000149781,ENSG00000158869,ENSG00000160255,ENSG00000163191,ENSG00000165168,ENSG00000166710,ENSG00000167613,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000180448,ENSG00000198113,ENSG00000259207
1	TRUE	1.58e-12	66	409	20	0.049	0.303	KEGG:05140	keg	4	Leishmaniasis	1	ENSG00000051523,ENSG00000100906,ENSG00000105329,ENSG00000125730,ENSG00000137462,ENSG00000143226,ENSG00000150337,ENSG00000160255,ENSG00000165168,ENSG00000169896,ENSG00000172936,ENSG00000179344,ENSG00000196735,ENSG00000198001,ENSG00000198502,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389
1	TRUE	2.1e-12	119	336	24	0.071	0.202	KEGG:04380	keg	176	Osteoclast differentiation	1	ENSG00000010671,ENSG00000011600,ENSG00000043462,ENSG00000051523,ENSG00000066336,ENSG00000067182,ENSG00000072694,ENSG00000077150,ENSG00000095970,ENSG00000100906,ENSG00000101096,ENSG00000104972,ENSG00000105329,ENSG00000106799,ENSG00000115594,ENSG00000143226,ENSG00000150337,ENSG00000164761,ENSG00000165025,ENSG00000182578,ENSG00000186818,ENSG00000197943,ENSG00000213928,ENSG00000259207
1	TRUE	7e-12	82	409	21	0.051	0.256	KEGG:04640	keg	110	Hematopoietic cell lineage	1	ENSG00000010610,ENSG00000026508,ENSG00000077238,ENSG00000104894,ENSG00000115594,ENSG00000119535,ENSG00000150337,ENSG00000160712,ENSG00000161638,ENSG00000169896,ENSG00000170458,ENSG00000179344,ENSG00000182578,ENSG00000196735,ENSG00000198502,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000259207
1	TRUE	1.25e-11	137	409	26	0.064	0.19	KEGG:04145	keg	175	Phagosome	1	ENSG00000051523,ENSG00000058262,ENSG00000072694,ENSG00000110719,ENSG00000125730,ENSG00000137462,ENSG00000143226,ENSG00000150337,ENSG00000159403,ENSG00000160255,ENSG00000161638,ENSG00000165168,ENSG00000168394,ENSG00000169896,ENSG00000170458,ENSG00000174130,ENSG00000176014,ENSG00000179344,ENSG00000196735,ENSG00000198502,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000259207
1	TRUE	5.8e-11	159	409	27	0.066	0.17	KEGG:05152	keg	134	Tuberculosis	1	ENSG00000019582,ENSG00000067182,ENSG00000072694,ENSG00000105329,ENSG00000110719,ENSG00000125730,ENSG00000137462,ENSG00000140678,ENSG00000143226,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000165025,ENSG00000169896,ENSG00000170458,ENSG00000172936,ENSG00000174130,ENSG00000179344,ENSG00000179583,ENSG00000196735,ENSG00000198001,ENSG00000198502,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389
1	TRUE	9.66e-10	284	210	22	0.105	0.077	GO:0043235	CC	148	receptor complex	1	ENSG00000005844,ENSG00000010610,ENSG00000019582,ENSG00000026508,ENSG00000067182,ENSG00000077238,ENSG00000100368,ENSG00000106799,ENSG00000131724,ENSG00000137462,ENSG00000140678,ENSG00000145623,ENSG00000160255,ENSG00000160712,ENSG00000165025,ENSG00000166710,ENSG00000169252,ENSG00000169896,ENSG00000170458,ENSG00000174130,ENSG00000196664,ENSG00000259207
1	TRUE	1.1e-09	58	409	16	0.039	0.276	KEGG:04612	keg	208	Antigen processing and presentation	1	ENSG00000010610,ENSG00000019582,ENSG00000092010,ENSG00000100911,ENSG00000166710,ENSG00000168394,ENSG00000179344,ENSG00000179583,ENSG00000196735,ENSG00000198502,ENSG00000204252,ENSG00000204257,ENSG00000204287,ENSG00000216490,ENSG00000223865,ENSG00000231389
