query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00763	72	23	4	0.174	0.056	GO:2001022	BP	122	positive regulation of response to DNA damage stimulus	1	ENSG00000029363,ENSG00000080345,ENSG00000133302,ENSG00000166068
1	TRUE	0.00763	130	51	6	0.118	0.046	GO:0051783	BP	118	regulation of nuclear division	1	ENSG00000085224,ENSG00000095002,ENSG00000133302,ENSG00000153187,ENSG00000153201,ENSG00000154429
1	TRUE	0.00763	46	31	4	0.129	0.087	GO:0090734	CC	6	site of DNA damage	1	ENSG00000080345,ENSG00000122008,ENSG00000122565,ENSG00000133302
1	TRUE	0.00773	128	210	10	0.048	0.078	GO:2001252	BP	46	positive regulation of chromosome organization	1	ENSG00000080345,ENSG00000085224,ENSG00000096717,ENSG00000104320,ENSG00000128513,ENSG00000133302,ENSG00000138668,ENSG00000153187,ENSG00000174953,ENSG00000198160
1	TRUE	0.00773	367	51	8	0.157	0.022	GO:0000226	BP	92	microtubule cytoskeleton organization	1	ENSG00000134318,ENSG00000134709,ENSG00000135968,ENSG00000153187,ENSG00000153201,ENSG00000154429,ENSG00000162409,ENSG00000168172
1	TRUE	0.00773	5	18	2	0.111	0.4	GO:0070695	CC	84	FHF complex	1	ENSG00000134709,ENSG00000168172
1	TRUE	0.00773	22	103	4	0.039	0.182	GO:0000217	MF	108	DNA secondary structure binding	1	ENSG00000095002,ENSG00000100811,ENSG00000128513,ENSG00000165392
1	TRUE	0.00773	8	103	3	0.029	0.375	GO:0032357	MF	133	oxidized purine DNA binding	1	ENSG00000095002,ENSG00000128513,ENSG00000165392
1	TRUE	0.0103	125	51	5	0.098	0.04	GO:0007088	BP	51	regulation of mitotic nuclear division	1	ENSG00000085224,ENSG00000133302,ENSG00000153187,ENSG00000153201,ENSG00000154429
1	TRUE	0.0103	9	133	3	0.023	0.333	GO:0051095	BP	79	regulation of helicase activity	1	ENSG00000095002,ENSG00000096717,ENSG00000128513
1	TRUE	0.0103	577	174	19	0.109	0.033	GO:0031329	BP	47	regulation of cellular catabolic process	1	ENSG00000014123,ENSG00000082898,ENSG00000092108,ENSG00000096717,ENSG00000114062,ENSG00000123240,ENSG00000129003,ENSG00000132356,ENSG00000133706,ENSG00000139324,ENSG00000153187,ENSG00000162409,ENSG00000164305,ENSG00000168092,ENSG00000171055,ENSG00000173208,ENSG00000174840,ENSG00000174842,ENSG00000174953
1	TRUE	0.0103	140	43	5	0.116	0.036	GO:0016482	BP	114	cytosolic transport	1	ENSG00000102189,ENSG00000129003,ENSG00000134709,ENSG00000135968,ENSG00000168172
1	TRUE	0.0103	43	135	5	0.037	0.116	GO:0016239	BP	31	positive regulation of macroautophagy	1	ENSG00000096717,ENSG00000123240,ENSG00000129003,ENSG00000162409,ENSG00000168092
