query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000405	152	173	4	0.023	0.026	KEGG:03013	keg	111	RNA transport	1	ENSG00000075151,ENSG00000161960,ENSG00000206625,ENSG00000265185
1	TRUE	0.0318	1	171	1	0.006	1	GO:2000790	BP	70	regulation of mesenchymal cell proliferation involved in lung development	1	ENSG00000147862
1	TRUE	0.0318	2	165	1	0.006	0.5	GO:1905778	BP	63	negative regulation of exonuclease activity	1	ENSG00000132604
1	TRUE	0.0318	1	171	1	0.006	1	GO:2000791	BP	43	negative regulation of mesenchymal cell proliferation involved in lung development	1	ENSG00000147862
1	TRUE	0.0318	19	190	2	0.011	0.105	GO:0048678	BP	26	response to axon injury	1	ENSG00000116984,ENSG00000169313
1	TRUE	0.0318	2	165	1	0.006	0.5	GO:0032213	BP	7	regulation of telomere maintenance via semi-conservative replication	1	ENSG00000132604
1	TRUE	0.0318	19	190	2	0.011	0.105	GO:0006929	BP	96	substrate-dependent cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0318	431	205	6	0.029	0.014	GO:0051347	BP	15	positive regulation of transferase activity	1	ENSG00000019582,ENSG00000133119,ENSG00000167110,ENSG00000169313,ENSG00000169855,ENSG00000182578
1	TRUE	0.0318	5	231	2	0.009	0.4	GO:0045541	BP	32	negative regulation of cholesterol biosynthetic process	1	ENSG00000107566,ENSG00000130203
1	TRUE	0.0318	10	233	2	0.009	0.2	GO:0042753	BP	103	positive regulation of circadian rhythm	1	ENSG00000054118,ENSG00000069667
1	TRUE	0.0318	21	190	2	0.011	0.095	GO:0021885	BP	24	forebrain cell migration	1	ENSG00000169313,ENSG00000169855
1	TRUE	0.0318	1	165	1	0.006	1	GO:0032207	BP	78	regulation of telomere maintenance via recombination	1	ENSG00000132604
1	TRUE	0.0318	1	171	1	0.006	1	GO:2000795	BP	74	negative regulation of epithelial cell proliferation involved in lung morphogenesis	1	ENSG00000147862
1	TRUE	0.0318	1	171	1	0.006	1	GO:0021730	BP	47	trigeminal sensory nucleus development	1	ENSG00000147862
1	TRUE	0.0318	21	194	2	0.01	0.095	GO:0030224	BP	48	monocyte differentiation	1	ENSG00000019582,ENSG00000182578
1	TRUE	0.0318	1	171	1	0.006	1	GO:0061141	BP	9	lung ciliated cell differentiation	1	ENSG00000147862
1	TRUE	0.0318	37	176	2	0.011	0.054	GO:0090329	BP	4	regulation of DNA-dependent DNA replication	1	ENSG00000132604,ENSG00000133119
1	TRUE	0.0318	73	233	4	0.017	0.055	GO:0019218	BP	51	regulation of steroid metabolic process	1	ENSG00000069667,ENSG00000107566,ENSG00000130203,ENSG00000136931
1	TRUE	0.0318	1	165	1	0.006	1	GO:1903770	BP	72	negative regulation of beta-galactosidase activity	1	ENSG00000132604
1	TRUE	0.0318	28	178	2	0.011	0.071	GO:0021954	BP	90	central nervous system neuron development	1	ENSG00000147862,ENSG00000169855
1	TRUE	0.0318	1	165	1	0.006	1	GO:1903823	BP	25	telomere single strand break repair	1	ENSG00000132604
1	TRUE	0.0318	2	165	1	0.006	0.5	GO:1904534	BP	28	negative regulation of telomeric loop disassembly	1	ENSG00000132604
1	TRUE	0.0318	1	165	1	0.006	1	GO:0045950	BP	46	negative regulation of mitotic recombination	1	ENSG00000132604
1	TRUE	0.0318	40	178	2	0.011	0.05	GO:0030879	BP	86	mammary gland development	1	ENSG00000169855,ENSG00000182578
1	TRUE	0.0318	9	173	2	0.012	0.222	GO:0016281	CC	88	eukaryotic translation initiation factor 4F complex	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0318	1	167	1	0.006	1	GO:0005234	MF	116	extracellularly glutamate-gated ion channel activity	1	ENSG00000164418
1	TRUE	0.0318	7	225	2	0.009	0.286	GO:0001608	MF	36	G-protein coupled nucleotide receptor activity	1	ENSG00000169313,ENSG00000181631
1	TRUE	0.0318	33	233	3	0.013	0.091	GO:0032934	MF	66	sterol binding	1	ENSG00000069667,ENSG00000107566,ENSG00000130203
1	TRUE	0.0318	66	162	2	0.012	0.03	GO:0003724	MF	68	RNA helicase activity	1	ENSG00000140829,ENSG00000161960
1	TRUE	0.0318	15	173	2	0.012	0.133	GO:0000339	MF	54	RNA cap binding	1	ENSG00000075151,ENSG00000161960
1	TRUE	0.0318	1	174	1	0.006	1	GO:0005011	MF	80	macrophage colony-stimulating factor receptor activity	1	ENSG00000182578
1	TRUE	0.0318	694	194	8	0.041	0.012	GO:0060089	MF	60	molecular transducer activity	1	ENSG00000019582,ENSG00000054118,ENSG00000153233,ENSG00000155111,ENSG00000164418,ENSG00000169313,ENSG00000169855,ENSG00000182578
1	TRUE	0.0318	5	213	2	0.009	0.4	GO:0015277	MF	110	kainate selective glutamate receptor activity	1	ENSG00000164418,ENSG00000171189
1	TRUE	0.0333	104	194	3	0.015	0.029	GO:0050920	BP	41	regulation of chemotaxis	1	ENSG00000019582,ENSG00000169313,ENSG00000169855
1	TRUE	0.0333	235	176	3	0.017	0.013	GO:0060249	BP	62	anatomical structure homeostasis	1	ENSG00000132604,ENSG00000133119,ENSG00000182578
1	TRUE	0.0333	3	165	1	0.006	0.333	GO:1904430	BP	34	negative regulation of t-circle formation	1	ENSG00000132604
1	TRUE	0.0333	295	172	3	0.017	0.01	GO:0000398	BP	27	mRNA splicing, via spliceosome	1	ENSG00000054118,ENSG00000105705,ENSG00000140829
1	TRUE	0.0333	298	172	3	0.017	0.01	GO:0000375	BP	95	RNA splicing, via transesterification reactions	1	ENSG00000054118,ENSG00000105705,ENSG00000140829
1	TRUE	0.0333	30	190	2	0.011	0.067	GO:0031529	BP	113	ruffle organization	1	ENSG00000169313,ENSG00000182578
1	TRUE	0.0333	1	179	1	0.006	1	GO:0015912	BP	94	short-chain fatty acid transport	1	ENSG00000149742
1	TRUE	0.0333	11	231	2	0.009	0.182	GO:0051000	BP	22	positive regulation of nitric-oxide synthase activity	1	ENSG00000130203,ENSG00000132604
1	TRUE	0.0333	3	165	1	0.006	0.333	GO:0031627	BP	44	telomeric loop formation	1	ENSG00000132604
1	TRUE	0.0333	27	194	2	0.01	0.074	GO:0032722	BP	35	positive regulation of chemokine production	1	ENSG00000019582,ENSG00000182578
1	TRUE	0.0333	2	171	1	0.006	0.5	GO:0044300	CC	79	cerebellar mossy fiber	1	ENSG00000147862
1	TRUE	0.0333	426	242	8	0.033	0.019	GO:0003712	MF	53	transcription coregulator activity	1	ENSG00000054118,ENSG00000089280,ENSG00000100207,ENSG00000136931,ENSG00000166164,ENSG00000174460,ENSG00000175550,ENSG00000196781
1	TRUE	0.0333	1	181	1	0.006	1	GO:0008705	MF	85	methionine synthase activity	1	ENSG00000116984
