query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.00746	130	51	6	0.118	0.046	GO:0051783	BP	34	regulation of nuclear division	1	ENSG00000085224,ENSG00000095002,ENSG00000133302,ENSG00000153187,ENSG00000153201,ENSG00000154429
1	TRUE	0.00746	72	23	4	0.174	0.056	GO:2001022	BP	113	positive regulation of response to DNA damage stimulus	1	ENSG00000029363,ENSG00000080345,ENSG00000133302,ENSG00000166068
1	TRUE	0.00746	46	31	4	0.129	0.087	GO:0090734	CC	43	site of DNA damage	1	ENSG00000080345,ENSG00000122008,ENSG00000122565,ENSG00000133302
1	TRUE	0.00757	128	210	10	0.048	0.078	GO:2001252	BP	64	positive regulation of chromosome organization	1	ENSG00000080345,ENSG00000085224,ENSG00000096717,ENSG00000104320,ENSG00000128513,ENSG00000133302,ENSG00000138668,ENSG00000153187,ENSG00000174953,ENSG00000198160
1	TRUE	0.00757	367	51	8	0.157	0.022	GO:0000226	BP	39	microtubule cytoskeleton organization	1	ENSG00000134318,ENSG00000134709,ENSG00000135968,ENSG00000153187,ENSG00000153201,ENSG00000154429,ENSG00000162409,ENSG00000168172
1	TRUE	0.00757	5	18	2	0.111	0.4	GO:0070695	CC	12	FHF complex	1	ENSG00000134709,ENSG00000168172
1	TRUE	0.00757	9	103	3	0.029	0.333	GO:0032356	MF	108	oxidized DNA binding	1	ENSG00000095002,ENSG00000128513,ENSG00000165392
1	TRUE	0.00757	22	103	4	0.039	0.182	GO:0000217	MF	101	DNA secondary structure binding	1	ENSG00000095002,ENSG00000100811,ENSG00000128513,ENSG00000165392
1	TRUE	0.0101	43	135	5	0.037	0.116	GO:0016239	BP	71	positive regulation of macroautophagy	1	ENSG00000096717,ENSG00000123240,ENSG00000129003,ENSG00000162409,ENSG00000168092
1	TRUE	0.0101	9	133	3	0.023	0.333	GO:0051095	BP	87	regulation of helicase activity	1	ENSG00000095002,ENSG00000096717,ENSG00000128513
1	TRUE	0.0101	125	51	5	0.098	0.04	GO:0007088	BP	50	regulation of mitotic nuclear division	1	ENSG00000085224,ENSG00000133302,ENSG00000153187,ENSG00000153201,ENSG00000154429
1	TRUE	0.0101	7	174	3	0.017	0.429	GO:0055089	BP	66	fatty acid homeostasis	1	ENSG00000096717,ENSG00000132356,ENSG00000162409
1	TRUE	0.0101	140	43	5	0.116	0.036	GO:0016482	BP	90	cytosolic transport	1	ENSG00000102189,ENSG00000129003,ENSG00000134709,ENSG00000135968,ENSG00000168172
1	TRUE	0.0112	8	23	2	0.087	0.25	GO:0034182	BP	83	regulation of maintenance of mitotic sister chromatid cohesion	1	ENSG00000085224,ENSG00000133302
1	TRUE	0.0112	104	201	8	0.04	0.077	GO:0004386	MF	80	helicase activity	1	ENSG00000039123,ENSG00000047188,ENSG00000085224,ENSG00000104320,ENSG00000107290,ENSG00000153147,ENSG00000165392,ENSG00000174953
1	TRUE	0.0151	11	135	3	0.022	0.273	GO:0090161	BP	115	Golgi ribbon formation	1	ENSG00000117533,ENSG00000123240,ENSG00000135968
