query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	6.92e-08	515	1237	57	0.046	0.111	GO:0004888	MF	44	transmembrane signaling receptor activity	1	ENSG00000026508,ENSG00000072694,ENSG00000075073,ENSG00000080293,ENSG00000080644,ENSG00000101017,ENSG00000102755,ENSG00000103522,ENSG00000105609,ENSG00000110324,ENSG00000112038,ENSG00000112414,ENSG00000117322,ENSG00000125618,ENSG00000126266,ENSG00000128052,ENSG00000133105,ENSG00000134489,ENSG00000135898,ENSG00000135914,ENSG00000139567,ENSG00000140030,ENSG00000144891,ENSG00000145423,ENSG00000146276,ENSG00000148604,ENSG00000152990,ENSG00000153029,ENSG00000153246,ENSG00000156920,ENSG00000159618,ENSG00000160712,ENSG00000162618,ENSG00000163701,ENSG00000164120,ENSG00000164393,ENSG00000165029,ENSG00000165682,ENSG00000166148,ENSG00000167332,ENSG00000170175,ENSG00000170820,ENSG00000171596,ENSG00000173567,ENSG00000174130,ENSG00000174837,ENSG00000180871,ENSG00000183185,ENSG00000185483,ENSG00000186188,ENSG00000187474,ENSG00000188269,ENSG00000196242,ENSG00000196735,ENSG00000197471,ENSG00000203710,ENSG00000204688
1	TRUE	4.38e-05	316	2031	51	0.025	0.161	GO:0046649	BP	154	lymphocyte activation	1	ENSG00000004468,ENSG00000010671,ENSG00000010704,ENSG00000026950,ENSG00000067955,ENSG00000072694,ENSG00000076641,ENSG00000081237,ENSG00000086730,ENSG00000101017,ENSG00000101096,ENSG00000102524,ENSG00000103522,ENSG00000105851,ENSG00000105974,ENSG00000109743,ENSG00000111732,ENSG00000112299,ENSG00000117322,ENSG00000118503,ENSG00000120217,ENSG00000122224,ENSG00000123338,ENSG00000134321,ENSG00000135077,ENSG00000135870,ENSG00000137265,ENSG00000138795,ENSG00000143365,ENSG00000147251,ENSG00000150455,ENSG00000150782,ENSG00000152518,ENSG00000160593,ENSG00000161405,ENSG00000162692,ENSG00000162739,ENSG00000163554,ENSG00000165240,ENSG00000175354,ENSG00000197471,ENSG00000197635,ENSG00000197892,ENSG00000197943,ENSG00000203710,ENSG00000204482,ENSG00000213809,ENSG00000223865,ENSG00000242574,ENSG00000248385,ENSG00000254087
1	TRUE	8.21e-05	514	864	39	0.045	0.076	GO:0007186	BP	100	G-protein coupled receptor signaling pathway	1	ENSG00000075073,ENSG00000078401,ENSG00000090104,ENSG00000105851,ENSG00000105974,ENSG00000106804,ENSG00000112038,ENSG00000112414,ENSG00000126266,ENSG00000130762,ENSG00000133105,ENSG00000134489,ENSG00000135898,ENSG00000135914,ENSG00000140030,ENSG00000143919,ENSG00000144891,ENSG00000145703,ENSG00000146276,ENSG00000147509,ENSG00000148604,ENSG00000152990,ENSG00000159618,ENSG00000162618,ENSG00000164120,ENSG00000164393,ENSG00000166148,ENSG00000170820,ENSG00000173567,ENSG00000174837,ENSG00000180871,ENSG00000183185,ENSG00000186188,ENSG00000187474,ENSG00000188269,ENSG00000188828,ENSG00000196139,ENSG00000196242,ENSG00000204688
1	TRUE	0.000227	115	1980	25	0.013	0.217	GO:0032943	BP	95	mononuclear cell proliferation	1	ENSG00000004468,ENSG00000026950,ENSG00000072694,ENSG00000081237,ENSG00000101017,ENSG00000101096,ENSG00000102524,ENSG00000105851,ENSG00000109743,ENSG00000117322,ENSG00000120217,ENSG00000123338,ENSG00000135870,ENSG00000138795,ENSG00000150455,ENSG00000150782,ENSG00000161405,ENSG00000162692,ENSG00000163554,ENSG00000184371,ENSG00000197471,ENSG00000204482,ENSG00000223865,ENSG00000242574,ENSG00000254087
1	TRUE	0.000607	222	2031	37	0.018	0.167	GO:0002521	BP	26	leukocyte differentiation	1	ENSG00000010671,ENSG00000067955,ENSG00000072694,ENSG00000081237,ENSG00000087842,ENSG00000101096,ENSG00000111732,ENSG00000112299,ENSG00000117322,ENSG00000122224,ENSG00000123338,ENSG00000134321,ENSG00000135870,ENSG00000135898,ENSG00000137265,ENSG00000138039,ENSG00000138795,ENSG00000143365,ENSG00000147251,ENSG00000150782,ENSG00000151615,ENSG00000152192,ENSG00000152518,ENSG00000161405,ENSG00000162692,ENSG00000162739,ENSG00000164935,ENSG00000165240,ENSG00000166147,ENSG00000170820,ENSG00000175354,ENSG00000182718,ENSG00000184371,ENSG00000197471,ENSG00000197943,ENSG00000203710,ENSG00000254087
1	TRUE	0.000665	85	1821	19	0.01	0.224	GO:1903034	BP	84	regulation of response to wounding	1	ENSG00000011422,ENSG00000065534,ENSG00000074660,ENSG00000078401,ENSG00000088926,ENSG00000104368,ENSG00000105974,ENSG00000113070,ENSG00000118503,ENSG00000125798,ENSG00000140873,ENSG00000142512,ENSG00000144824,ENSG00000156535,ENSG00000162493,ENSG00000164344,ENSG00000174059,ENSG00000177119,ENSG00000254087
1	TRUE	0.000699	754	1877	83	0.044	0.11	GO:0006952	BP	153	defense response	1	ENSG00000010671,ENSG00000023445,ENSG00000026508,ENSG00000049249,ENSG00000051523,ENSG00000071889,ENSG00000072694,ENSG00000073754,ENSG00000081237,ENSG00000082196,ENSG00000084674,ENSG00000095015,ENSG00000100342,ENSG00000100784,ENSG00000101017,ENSG00000105609,ENSG00000105851,ENSG00000105974,ENSG00000106804,ENSG00000109743,ENSG00000109943,ENSG00000112299,ENSG00000112936,ENSG00000115919,ENSG00000117322,ENSG00000117595,ENSG00000118503,ENSG00000124212,ENSG00000125999,ENSG00000132256,ENSG00000134070,ENSG00000134216,ENSG00000134321,ENSG00000134489,ENSG00000135828,ENSG00000137265,ENSG00000137628,ENSG00000137752,ENSG00000138772,ENSG00000142512,ENSG00000142515,ENSG00000144642,ENSG00000144891,ENSG00000150455,ENSG00000150637,ENSG00000151388,ENSG00000154124,ENSG00000154451,ENSG00000155926,ENSG00000160712,ENSG00000162692,ENSG00000162739,ENSG00000162889,ENSG00000164344,ENSG00000164520,ENSG00000165168,ENSG00000165682,ENSG00000166523,ENSG00000167419,ENSG00000168398,ENSG00000170542,ENSG00000174130,ENSG00000177119,ENSG00000179776,ENSG00000180871,ENSG00000181143,ENSG00000183486,ENSG00000183625,ENSG00000186074,ENSG00000186188,ENSG00000186458,ENSG00000187474,ENSG00000196735,ENSG00000197471,ENSG00000197943,ENSG00000203710,ENSG00000204616,ENSG00000204642,ENSG00000213809,ENSG00000223865,ENSG00000239713,ENSG00000243646,ENSG00000254087
1	TRUE	0.000699	13	206	4	0.019	0.308	GO:0002347	BP	87	response to tumor cell	1	ENSG00000109943,ENSG00000120217,ENSG00000144642,ENSG00000150637
1	TRUE	0.000714	30	1892	11	0.006	0.367	GO:0030888	BP	28	regulation of B cell proliferation	1	ENSG00000004468,ENSG00000072694,ENSG00000081237,ENSG00000101096,ENSG00000102524,ENSG00000109743,ENSG00000123338,ENSG00000135870,ENSG00000150455,ENSG00000161405,ENSG00000254087
1	TRUE	0.000769	146	1727	25	0.014	0.171	GO:0048232	BP	17	male gamete generation	1	ENSG00000001626,ENSG00000042980,ENSG00000047936,ENSG00000071539,ENSG00000087903,ENSG00000095627,ENSG00000109832,ENSG00000114487,ENSG00000125885,ENSG00000134627,ENSG00000137948,ENSG00000144468,ENSG00000152670,ENSG00000163806,ENSG00000168594,ENSG00000170820,ENSG00000171722,ENSG00000179598,ENSG00000184361,ENSG00000185697,ENSG00000185823,ENSG00000197181,ENSG00000198252,ENSG00000198765,ENSG00000214114
