query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.000266	375	748	37	0.049	0.099	GO:0006397	BP	47	mRNA processing	1	ENSG00000021776,ENSG00000058673,ENSG00000060339,ENSG00000079134,ENSG00000100028,ENSG00000108406,ENSG00000108848,ENSG00000110768,ENSG00000111358,ENSG00000112739,ENSG00000116350,ENSG00000116560,ENSG00000116754,ENSG00000119707,ENSG00000122566,ENSG00000124193,ENSG00000125351,ENSG00000137574,ENSG00000137776,ENSG00000138035,ENSG00000139168,ENSG00000140830,ENSG00000145736,ENSG00000145833,ENSG00000146963,ENSG00000155827,ENSG00000163166,ENSG00000164167,ENSG00000164944,ENSG00000166477,ENSG00000172062,ENSG00000177613,ENSG00000180917,ENSG00000185246,ENSG00000196504,ENSG00000240344,ENSG00000272047
1	TRUE	0.00167	520	51	11	0.216	0.021	GO:0007017	BP	34	microtubule-based process	1	ENSG00000074935,ENSG00000100815,ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000126777,ENSG00000127914,ENSG00000162959,ENSG00000170759,ENSG00000187240
1	TRUE	0.00185	66	45	5	0.111	0.076	GO:0006275	BP	40	regulation of DNA replication	1	ENSG00000101972,ENSG00000108055,ENSG00000115355,ENSG00000121892,ENSG00000141446
1	TRUE	0.00434	533	14	6	0.429	0.011	GO:0005815	CC	1	microtubule organizing center	1	ENSG00000065243,ENSG00000074935,ENSG00000122417,ENSG00000127914,ENSG00000170759,ENSG00000175455
1	TRUE	0.00551	610	67	12	0.179	0.02	GO:0070925	BP	26	organelle assembly	1	ENSG00000079950,ENSG00000100815,ENSG00000101972,ENSG00000108055,ENSG00000112701,ENSG00000115355,ENSG00000118246,ENSG00000122417,ENSG00000127914,ENSG00000166037,ENSG00000187240,ENSG00000188906
1	TRUE	0.0171	74	42	4	0.095	0.054	GO:0048524	BP	45	positive regulation of viral process	1	ENSG00000048649,ENSG00000065243,ENSG00000108055,ENSG00000153922
1	TRUE	0.0171	5	34	2	0.059	0.4	GO:0032876	BP	41	negative regulation of DNA endoreduplication	1	ENSG00000101972,ENSG00000108055
1	TRUE	0.0171	15	11	2	0.182	0.133	GO:0061842	BP	2	microtubule organizing center localization	1	ENSG00000127914,ENSG00000170759
1	TRUE	0.0171	286	680	24	0.035	0.084	GO:0016607	CC	49	nuclear speck	1	ENSG00000079134,ENSG00000100815,ENSG00000101751,ENSG00000108848,ENSG00000112739,ENSG00000116350,ENSG00000116754,ENSG00000123200,ENSG00000124193,ENSG00000131051,ENSG00000138398,ENSG00000138433,ENSG00000143507,ENSG00000145736,ENSG00000145833,ENSG00000147082,ENSG00000147874,ENSG00000153914,ENSG00000164543,ENSG00000164944,ENSG00000176697,ENSG00000196504,ENSG00000197579,ENSG00000198887
1	TRUE	0.0171	28	42	3	0.071	0.107	GO:0004003	MF	33	ATP-dependent DNA helicase activity	1	ENSG00000112249,ENSG00000113522,ENSG00000153922
1	TRUE	0.0173	195	729	19	0.026	0.097	GO:0031503	BP	27	protein-containing complex localization	1	ENSG00000058673,ENSG00000078674,ENSG00000079134,ENSG00000079950,ENSG00000090989,ENSG00000096872,ENSG00000100815,ENSG00000114446,ENSG00000116350,ENSG00000116754,ENSG00000122566,ENSG00000124193,ENSG00000125351,ENSG00000149311,ENSG00000151461,ENSG00000163166,ENSG00000169251,ENSG00000181555,ENSG00000187240
1	TRUE	0.0173	43	83	4	0.048	0.093	GO:0007062	BP	6	sister chromatid cohesion	1	ENSG00000101972,ENSG00000108055,ENSG00000121892,ENSG00000164190
1	TRUE	0.0173	4	549	3	0.005	0.75	GO:0000439	CC	38	transcription factor TFIIH core complex	1	ENSG00000110768,ENSG00000111358,ENSG00000145736
1	TRUE	0.0173	102	34	4	0.118	0.039	GO:0000793	CC	14	condensed chromosome	1	ENSG00000101972,ENSG00000108055,ENSG00000113522,ENSG00000129534
1	TRUE	0.0173	55	139	5	0.036	0.091	GO:0016363	CC	43	nuclear matrix	1	ENSG00000101972,ENSG00000108055,ENSG00000122566,ENSG00000162664,ENSG00000196504
1	TRUE	0.0173	269	5	3	0.6	0.011	GO:0045296	MF	18	cadherin binding	1	ENSG00000065243,ENSG00000126777,ENSG00000170759
1	TRUE	0.0203	23	11	2	0.182	0.087	GO:0043268	BP	48	positive regulation of potassium ion transport	1	ENSG00000127914,ENSG00000170759
1	TRUE	0.0203	78	591	10	0.017	0.128	GO:0016591	CC	15	RNA polymerase II, holoenzyme	1	ENSG00000110768,ENSG00000111358,ENSG00000137815,ENSG00000145736,ENSG00000148835,ENSG00000153767,ENSG00000166477,ENSG00000196284,ENSG00000196586,ENSG00000272047
1	TRUE	0.0222	30	549	6	0.011	0.2	GO:0006363	BP	50	termination of RNA polymerase I transcription	1	ENSG00000110768,ENSG00000111358,ENSG00000125482,ENSG00000145736,ENSG00000166012,ENSG00000272047
1	TRUE	0.0222	22	475	5	0.011	0.227	GO:1905354	CC	9	exoribonuclease complex	1	ENSG00000083520,ENSG00000123737,ENSG00000133858,ENSG00000138035,ENSG00000223496
1	TRUE	0.0237	18	321	4	0.012	0.222	GO:0006312	BP	35	mitotic recombination	1	ENSG00000108384,ENSG00000113522,ENSG00000197275,ENSG00000198887
1	TRUE	0.0239	313	83	8	0.096	0.026	GO:0048285	BP	3	organelle fission	1	ENSG00000101972,ENSG00000108055,ENSG00000113522,ENSG00000121892,ENSG00000146247,ENSG00000164190,ENSG00000166037,ENSG00000188906
1	TRUE	0.0239	6	67	2	0.03	0.333	GO:0006627	BP	17	protein processing involved in protein targeting to mitochondrion	1	ENSG00000148950,ENSG00000188906
1	TRUE	0.0239	5	594	3	0.005	0.6	GO:0044547	MF	12	DNA topoisomerase binding	1	ENSG00000115053,ENSG00000121152,ENSG00000197579
1	TRUE	0.0254	66	643	9	0.014	0.136	GO:0042274	BP	30	ribosomal small subunit biogenesis	1	ENSG00000124383,ENSG00000124784,ENSG00000132467,ENSG00000146909,ENSG00000147679,ENSG00000156697,ENSG00000164167,ENSG00000165733,ENSG00000185088
1	TRUE	0.0264	136	36	4	0.111	0.029	GO:0030705	BP	13	cytoskeleton-dependent intracellular transport	1	ENSG00000100815,ENSG00000115355,ENSG00000170759,ENSG00000187240
1	TRUE	0.0267	5	99	2	0.02	0.4	GO:0010519	BP	31	negative regulation of phospholipase activity	1	ENSG00000116741,ENSG00000132855
1	TRUE	0.0275	3	203	2	0.01	0.667	GO:0022027	BP	19	interkinetic nuclear migration	1	ENSG00000078674,ENSG00000116641
1	TRUE	0.0277	43	51	3	0.059	0.07	GO:0034508	BP	16	centromere complex assembly	1	ENSG00000048649,ENSG00000112701,ENSG00000129534
1	TRUE	0.0278	89	727	11	0.015	0.124	GO:0006354	BP	7	DNA-templated transcription, elongation	1	ENSG00000079134,ENSG00000110768,ENSG00000111358,ENSG00000137815,ENSG00000145736,ENSG00000162664,ENSG00000163166,ENSG00000166477,ENSG00000181555,ENSG00000205581,ENSG00000272047
1	TRUE	0.0278	5	696	3	0.004	0.6	GO:0060911	BP	23	cardiac cell fate commitment	1	ENSG00000016082,ENSG00000115170,ENSG00000164736
1	TRUE	0.0302	92	456	9	0.02	0.098	GO:0000724	BP	37	double-strand break repair via homologous recombination	1	ENSG00000004700,ENSG00000081177,ENSG00000108384,ENSG00000113522,ENSG00000116560,ENSG00000122376,ENSG00000147231,ENSG00000197275,ENSG00000198887
1	TRUE	0.0304	19	717	5	0.007	0.263	GO:0005685	CC	32	U1 snRNP	1	ENSG00000100028,ENSG00000108848,ENSG00000146963,ENSG00000185246,ENSG00000196504
1	TRUE	0.032	68	34	3	0.088	0.044	GO:0003777	MF	11	microtubule motor activity	1	ENSG00000108055,ENSG00000170759,ENSG00000187240
1	TRUE	0.033	12	681	4	0.006	0.333	GO:0080009	BP	46	mRNA methylation	1	ENSG00000123200,ENSG00000164944,ENSG00000171103,ENSG00000180917
1	TRUE	0.0368	156	211	8	0.038	0.051	GO:0042393	MF	42	histone binding	1	ENSG00000005483,ENSG00000048649,ENSG00000105821,ENSG00000146247,ENSG00000153922,ENSG00000156802,ENSG00000179119,ENSG00000186767
1	TRUE	0.0381	42	475	6	0.013	0.143	GO:0008408	MF	24	3'-5' exonuclease activity	1	ENSG00000081177,ENSG00000083520,ENSG00000113522,ENSG00000123737,ENSG00000138035,ENSG00000152520
1	TRUE	0.0385	7	522	3	0.006	0.429	GO:0071141	CC	44	SMAD protein complex	1	ENSG00000113658,ENSG00000141646,ENSG00000175387
1	TRUE	0.039	296	57	6	0.105	0.02	GO:0060271	BP	29	cilium assembly	1	ENSG00000100815,ENSG00000115355,ENSG00000122417,ENSG00000127914,ENSG00000166037,ENSG00000187240
1	TRUE	0.0395	65	9	2	0.222	0.031	GO:1903076	BP	36	regulation of protein localization to plasma membrane	1	ENSG00000079950,ENSG00000170759
1	TRUE	0.0395	21	717	5	0.007	0.238	GO:0071010	CC	28	prespliceosome	1	ENSG00000100028,ENSG00000108848,ENSG00000146963,ENSG00000185246,ENSG00000196504
